Taxa	t.HC.T1.All	p.vals.HC.T1.All	adj.p.vals.HC.T1.All	t.HC.T2.All	p.vals.HC.T2.All	adj.p.vals.HC.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.HC.T1.UNC	p.vals.HC.T1.UNC	adj.p.vals.HC.T1.UNC	t.HC.T2.UNC	p.vals.HC.T2.UNC	adj.p.vals.HC.T2.UNC	t.T1.T2.UNC	p.vals.T1.T2.UNC	adj.p.vals.T1.T2.UNC	t.HC.T1.Denver	p.vals.HC.T1.Denver	adj.p.vals.HC.T1.Denver	t.HC.T2.Denver	p.vals.HC.T2.Denver	adj.p.vals.HC.T2.Denver	t.T1.T2.Denver	p.vals.T1.T2.Denver	adj.p.vals.T1.T2.Denver
Absiella argi	-0.359707955666024	0.719472640864354	0.796579469705992	0.0554992758225601	0.955806973701366	0.965535288955324	-0.0298391502418153	0.976273555506112	0.992270021502141	-1.00471604158052	0.318315046690667	0.858700700321244	-0.358133208629602	0.721381098292798	0.938978019745052	0.510301834852571	0.613342242967421	0.999967035301411	0.700493854998153	0.486245119207315	0.530408924940359	0.74778339034008	0.457504093025101	0.502134231641689	-0.455432080511639	0.651089902887278	0.921380555382861
Absiella sp. 9CBEGH2	-0.0359534869414899	0.971358197312375	0.981066483856474	0.574531859411856	0.566445889762066	0.650745402087136	0.93628577458248	0.352091767659625	0.779420523836997	-0.563663204242942	0.574635078772415	0.928105654108395	0.138933767857954	0.88999189644953	0.975074329275379	1.13478462302584	0.264894571050333	0.999967035301411	-0.109136686618244	0.913360937857041	0.926192317571507	0.216917708516853	0.828909195959329	0.846889211606976	0.164749054694544	0.86991355683055	0.97528049557377
Acaryochloris marina	-0.055703768190541	0.955636706004357	0.971010751731667	0.281760345435744	0.778545067032876	0.824690962944297	0.0872073045576877	0.930736098752382	0.981867218510782	-0.804106655077644	0.423570570551506	0.889392368031838	-1.40245865522727	0.166302370059952	0.731421487012045	-1.51067921119446	0.14068295992601	0.999967035301411	1.19547300312471	0.235641358860557	0.283116012223731	1.98654254087646	0.0509183188526762	0.0872266221812042	1.03280952551462	0.307467151936209	0.850623409886236
Acetoanaerobium sticklandii	1.52478496122043	0.129078919760599	0.23338342095947	2.88471969598901	0.00446509843336733	0.0234565378947596	1.36033899676751	0.177743886310376	0.702463343018287	-0.0529800245004753	0.957898681242839	0.993340287715143	2.0914560461051	0.0406390628902252	0.544213399680835	1.81482606482176	0.0789345783210547	0.999967035301411	2.13639255010828	0.0360300614746519	0.0630327609934262	2.26816391121138	0.0265194335937645	0.054429472641855	0.367052321165314	0.715380244058553	0.93541646378497
Acetobacter aceti	0.250901524276253	0.802165234300127	0.859208782470632	0.498375059323157	0.618862692982439	0.693895268831228	-0.468904269336825	0.640480364672289	0.892775013949025	-0.680887522394343	0.498181892899482	0.906169524859853	-0.000444876889868544	0.999646170553567	0.999826060092986	0.0797307214820163	0.936947965614455	0.999967035301411	1.95582585506691	0.0547724806337549	0.0865828917412998	1.62835205176991	0.108147130987087	0.152945738162206	-0.671780625632332	0.505316811682725	0.87588712163669
Acetobacter ascendens	3.68744208058087	0.00031211367687021	0.0048683753152418	3.53608917241983	0.000552418417877344	0.00668919731277184	-0.523143323377922	0.602396485545893	0.878844346796055	0.722833819500612	0.472513473580883	0.898163435760105	1.25018747390032	0.216871363172241	0.774008543095331	0.805065429831888	0.426723484601567	0.999967035301411	4.47675223771013	2.42453801467756e-05	0.00201954915414787	4.00888617194398	0.000147193313614663	0.00351611658191221	-0.960706754573066	0.342070952412738	0.853998895817929
Acetobacter ghanensis	2.88711000530914	0.00435908690079707	0.0246718991798677	2.82910711007226	0.00528169761376206	0.0263043685818007	-0.351956320026712	0.725845054856333	0.924543713374645	0.855605467788127	0.395055071986561	0.878196122301357	1.29236668539592	0.201565571720047	0.764415719842817	0.37079872967155	0.713230891973364	0.999967035301411	2.92059857196205	0.00477208831840644	0.0159778716106644	2.62080879432644	0.0109598635009247	0.0314643188730059	-0.777783220608175	0.440955417369089	0.866663063989223
Acetobacter orientalis	1.76383105459532	0.0796076774381847	0.165529169921972	0.0734108890108286	0.941583612949338	0.954637307692889	-2.13619182880078	0.0358831742493768	0.590055273603657	-0.396016812313419	0.693435900849853	0.948588908915452	-1.04218546174438	0.301647553812389	0.816980795353786	-1.27245695389815	0.212379369134634	0.999967035301411	2.81056641300827	0.00624829613258854	0.0189253568964181	1.22476927378432	0.224656786901952	0.273345538879388	-1.73072169669818	0.0906727481300895	0.848439590404996
Acetobacter pasteurianus	3.49409552988212	0.000598877156990271	0.00732651253551868	3.54368446388648	0.000515583026249992	0.00649798290226181	-0.641899482655886	0.522869881146542	0.843808432360053	1.95233008269841	0.0548602587214043	0.664037922741845	1.92352413359146	0.0588206245565783	0.585869391905625	-0.633158526463712	0.531129434627142	0.999967035301411	3.30319753882574	0.00148041124532901	0.00838966989524838	3.38519655562165	0.00119652556028246	0.00946765870400689	-0.362723420402139	0.718588391557652	0.93541646378497
Acetobacter persici	0.218649589381181	0.827198673051316	0.878236910185141	0.383440997334188	0.701936674575064	0.764074429551157	-0.194006833014823	0.846688151176654	0.963174301639284	-1.73393181652686	0.0870734642314188	0.692965620163913	-0.807830047446242	0.422330651238689	0.865324996352935	0.69958698804681	0.489239941830371	0.999967035301411	2.04789002738523	0.0437747268451027	0.0729535027901291	1.93820773183166	0.05654749811337	0.0939865414216838	-0.518125361379917	0.60702667380543	0.908338345730248
Acetobacter senegalensis	2.8053234125813	0.00557378988557479	0.0287285494342612	1.84481609622502	0.0668834563379609	0.136068173618736	-2.09694897728094	0.039324502753163	0.609434585569213	1.88425834311803	0.0632672729138238	0.682795151174821	0.668393599671431	0.5063753034432	0.881315703019004	-1.71611215552081	0.0958092956598482	0.999967035301411	2.17983697485852	0.0324628758674808	0.058485790622839	1.89630560712958	0.062403830140625	0.101060748228903	-1.37950536665397	0.174871322749737	0.848439590404996
Acetobacter sp. KACC 21233	1.22000506653151	0.224080210274404	0.345475120306557	0.415430258843974	0.678386657016296	0.744191564208964	-1.58044310515453	0.118158626023508	0.672129933874917	-1.61680907880831	0.109682467621425	0.714671928534442	-1.72262445836124	0.0894790097951979	0.641976446734961	-0.576949823916751	0.568010345226304	0.999967035301411	3.59171483037979	0.000558920460595335	0.0052385833389357	2.91330085530801	0.00476070628570569	0.0196606744794053	-1.52222433656536	0.135273645827321	0.848439590404996
Acetobacter tropicalis	2.13649134501194	0.0340006810968215	0.0930915199685388	3.42945558965654	0.00078217877854462	0.0081107269611026	1.39975703968294	0.165654874742442	0.695015529437548	1.09107628868384	0.278873840892122	0.854248310926141	1.78302733718522	0.0800680062095875	0.625249742934606	0.929286087678202	0.359698293693523	0.999967035301411	2.11437518147001	0.0377249960724759	0.0651368524917121	3.18872362961215	0.00212690875901185	0.0126297840030639	1.04099430361982	0.303696109271068	0.850407113694031
Acetobacteraceae bacterium	3.87200076738046	0.000153458805564282	0.00314732118570582	3.78800546121436	0.000216071498978059	0.00389910841337679	-0.495437723501612	0.621720702389587	0.88580457930821	2.20347159785074	0.0312229883322371	0.536895645566224	2.11061353295627	0.0391929161518681	0.536537507320401	-0.394076125295949	0.696138763795709	0.999967035301411	3.11736350336485	0.00261471901254544	0.0112918479189802	3.07208024656684	0.00312911634822594	0.0154867574919321	-0.312942675370965	0.755837037934765	0.947149157048956
Acetobacterium sp. KB-1	-0.313274135986275	0.754417973658657	0.823459367163161	-0.134788293280887	0.892936664726839	0.917009568228527	-0.38210180668633	0.703452231277817	0.915163581398083	-2.13738177828402	0.0354724120835286	0.57012682858122	-1.64029764127027	0.104617225527558	0.657875120889748	0.28618270443895	0.77658280221136	0.999967035301411	1.82760127345847	0.0723535114940173	0.107323409896917	1.57766087281335	0.119508756844416	0.165725965703908	-0.580318653294087	0.564728666850788	0.902202336980936
Acetobacterium woodii	1.15547104054411	0.249426315076644	0.372446592021474	0.56224635692745	0.574747406866851	0.656604446480129	-0.596487227424992	0.552622426508441	0.856996497358793	0.0137343040662838	0.989076879015935	0.998320864994446	0.316558611171792	0.75268045345262	0.947470991563916	-0.0053649494839126	0.995752717228426	0.999967035301411	1.4368014307269	0.154922731770134	0.199089142931423	0.596349609559316	0.55292629394799	0.592017788819675	-0.694630152697566	0.491023538766201	0.870806901232465
