Species	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
Absiella argi	-0.359707956	0.719472641	0.79657947	0.055499276	0.955806974	0.965535289	-0.02983915	0.976273556	0.992270022	-1.004716042	0.318315047	0.8587007	-0.358133209	0.721381098	0.93897802	0.510301835	0.613342243	0.999967035	0.700493855	0.486245119	0.530408925	0.74778339	0.457504093	0.502134232	-0.455432081	0.651089903	0.921380555
Absiella sp. 9CBEGH2	-0.035953487	0.971358197	0.981066484	0.574531859	0.56644589	0.650745402	0.936285775	0.352091768	0.779420524	-0.563663204	0.574635079	0.928105654	0.138933768	0.889991896	0.975074329	1.134784623	0.264894571	0.999967035	-0.109136687	0.913360938	0.926192318	0.216917709	0.828909196	0.846889212	0.164749055	0.869913557	0.975280496
Acaryochloris marina	-0.055703768	0.955636706	0.971010752	0.281760345	0.778545067	0.824690963	0.087207305	0.930736099	0.981867219	-0.804106655	0.423570571	0.889392368	-1.402458655	0.16630237	0.731421487	-1.510679211	0.14068296	0.999967035	1.195473003	0.235641359	0.283116012	1.986542541	0.050918319	0.087226622	1.032809526	0.307467152	0.85062341
Acetoanaerobium sticklandii	1.524784961	0.12907892	0.233383421	2.884719696	0.004465098	0.023456538	1.360338997	0.177743886	0.702463343	-0.052980025	0.957898681	0.993340288	2.091456046	0.040639063	0.5442134	1.814826065	0.078934578	0.999967035	2.13639255	0.036030061	0.063032761	2.268163911	0.026519434	0.054429473	0.367052321	0.715380244	0.935416464
Acetobacter aceti	0.250901524	0.802165234	0.859208782	0.498375059	0.618862693	0.693895269	-0.468904269	0.640480365	0.892775014	-0.680887522	0.498181893	0.906169525	-0.000444877	0.999646171	0.99982606	0.079730721	0.936947966	0.999967035	1.955825855	0.054772481	0.086582892	1.628352052	0.108147131	0.152945738	-0.671780626	0.505316812	0.875887122
Acetobacter ascendens	3.687442081	0.000312114	0.004868375	3.536089172	0.000552418	0.006689197	-0.523143323	0.602396486	0.878844347	0.72283382	0.472513474	0.898163436	1.250187474	0.216871363	0.774008543	0.80506543	0.426723485	0.999967035	4.476752238	2.42E-05	0.002019549	4.008886172	0.000147193	0.003516117	-0.960706755	0.342070952	0.853998896
Acetobacter ghanensis	2.887110005	0.004359087	0.024671899	2.82910711	0.005281698	0.026304369	-0.35195632	0.725845055	0.924543713	0.855605468	0.395055072	0.878196122	1.292366685	0.201565572	0.76441572	0.37079873	0.713230892	0.999967035	2.920598572	0.004772088	0.015977872	2.620808794	0.010959864	0.031464319	-0.777783221	0.440955417	0.866663064
Acetobacter orientalis	1.763831055	0.079607677	0.16552917	0.073410889	0.941583613	0.954637308	-2.136191829	0.035883174	0.590055274	-0.396016812	0.693435901	0.948588909	-1.042185462	0.301647554	0.816980795	-1.272456954	0.212379369	0.999967035	2.810566413	0.006248296	0.018925357	1.224769274	0.224656787	0.273345539	-1.730721697	0.090672748	0.84843959
Acetobacter pasteurianus	3.49409553	0.000598877	0.007326513	3.543684464	0.000515583	0.006497983	-0.641899483	0.522869881	0.843808432	1.952330083	0.054860259	0.664037923	1.923524134	0.058820625	0.585869392	-0.633158526	0.531129435	0.999967035	3.303197539	0.001480411	0.00838967	3.385196556	0.001196526	0.009467659	-0.36272342	0.718588392	0.935416464
Acetobacter persici	0.218649589	0.827198673	0.87823691	0.383440997	0.701936675	0.76407443	-0.194006833	0.846688151	0.963174302	-1.733931817	0.087073464	0.69296562	-0.807830047	0.422330651	0.865324996	0.699586988	0.489239942	0.999967035	2.047890027	0.043774727	0.072953503	1.938207732	0.056547498	0.093986541	-0.518125361	0.607026674	0.908338346
