Pathways	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
UNMAPPED	0.720668761	0.472171498	0.570103364	0.768908187	0.443253527	0.576939354	-0.474708223	0.636356226	0.700851789	-0.233673611	0.816021507	0.905135017	0.220852797	0.825985842	0.888684437	-0.336051285	0.739025819	0.795123489	1.458362056	0.148560532	0.276747048	1.18117534	0.241477554	0.542908156	-0.352918362	0.725873853	0.845124557
UNINTEGRATED	-1.177930378	0.240598807	0.369977411	-1.049318996	0.295873327	0.424910593	0.712587438	0.478283181	0.558854183	-0.06887081	0.945320129	0.958917853	-0.380517761	0.704980378	0.803296314	0.542068325	0.591526499	0.681405084	-1.816066224	0.073015067	0.176317865	-1.428450615	0.157550552	0.442771379	0.510445388	0.612350029	0.784030942
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	-1.384505481	0.167985374	0.277985949	-1.012023151	0.313382486	0.434734853	0.68719341	0.494052564	0.573171301	-0.677937137	0.500280509	0.734646153	-1.727305258	0.08974021	0.199452835	-0.81141116	0.423124184	0.534645287	-0.979486712	0.330897144	0.460993457	-0.136589667	0.891739346	0.925818557	1.316115101	0.195108564	0.369798789
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)"	-3.581288509	0.000513199	0.002117757	-1.275132842	0.204810457	0.328907433	2.714898371	0.008201048	0.029706017	-2.802995665	0.007795138	0.03064606	-1.209402309	0.234169894	0.373686221	1.532030094	0.135342691	0.259539513	-2.018669659	0.046973147	0.130882443	-0.260552719	0.795309742	0.900246444	2.362282507	0.02275893	0.173053545
ANAEROFRUCAT-PWY: homolactic fermentation	-2.875784538	0.004495305	0.014367346	-1.030269113	0.304433691	0.429633693	1.786141326	0.078064921	0.142174103	-2.006930295	0.047829269	0.128489635	-0.39564622	0.693572048	0.796142562	1.562793626	0.127937827	0.249630821	-3.101993728	0.002671939	0.018888762	-1.814905731	0.073706971	0.275042559	1.093996612	0.280047122	0.468964939
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1.830808836	0.068737338	0.141125303	-0.246470661	0.805680224	0.884349337	-2.020584357	0.046846032	0.096657002	1.991012535	0.049549235	0.131325614	-1.328361296	0.189230153	0.324679105	-2.890313076	0.006858495	0.125575516	0.617709283	0.53852264	0.629241508	0.385556859	0.700990083	0.840157232	-0.376400806	0.708469878	0.832354845
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	3.389521993	0.000852262	0.003347439	3.469572444	0.00066675	0.009859663	0.298699068	0.765984871	0.808126433	1.598103483	0.1145655	0.25407043	3.367691939	0.001142527	0.049796359	1.297050839	0.203888008	0.323124716	2.523606696	0.014981886	0.058641397	1.844170369	0.069603776	0.27012894	-0.559389759	0.578797967	0.757783684
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	-3.680414659	0.000323354	0.001464075	-2.299302697	0.023101689	0.088601773	1.875679053	0.064539758	0.121618272	-2.391935816	0.019905122	0.067594478	-2.033210074	0.046856267	0.139180422	0.586733394	0.561499582	0.659879126	-2.863802995	0.005313532	0.027730752	-1.538011471	0.128520349	0.39320744	1.850568686	0.071109481	0.23005228
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.661747815	0.508940998	0.603326419	0.449953359	0.653361729	0.752635773	-0.284667732	0.776672956	0.811523666	0.60690956	0.545390116	0.763078017	0.248012648	0.805044325	0.886636656	-0.062251312	0.950749911	0.956618737	-0.904609947	0.368926406	0.497874216	-0.802992736	0.424749511	0.672176411	-0.346480138	0.730671705	0.847683188
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	-0.160826403	0.872402296	0.904531411	0.087816277	0.93013861	0.956546331	0.016901886	0.986559181	0.989594748	0.106943095	0.91507983	0.946975712	0.042541857	0.966230433	0.982983778	0.099737651	0.921174839	0.944349049	-1.575951262	0.119124595	0.231954258	-1.131023919	0.261818564	0.565250674	-0.094781802	0.924928454	0.957227543
ARO-PWY: chorismate biosynthesis I	5.413429952	2.16E-07	2.61E-06	1.521491684	0.130416537	0.241888766	-4.087840082	0.000107089	0.005818499	4.666294963	1.45E-05	0.000263812	1.62980919	0.108231412	0.221908429	-2.530233471	0.016517365	0.125575516	3.200438912	0.001952818	0.015157586	0.592786578	0.555212342	0.747113768	-3.202562387	0.002564427	0.16183101
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	3.540281438	0.000504476	0.002117757	1.388431469	0.167158705	0.281220565	-2.163750737	0.033625805	0.074407572	2.069374193	0.041887625	0.11874231	0.023358802	0.981447206	0.987505522	-1.645867593	0.109579409	0.233482923	3.223395906	0.002096716	0.015896036	2.112291624	0.038322357	0.189534355	-1.483856671	0.145140613	0.298629949
AST-PWY: L-arginine degradation II (AST pathway)	-0.955166145	0.341074381	0.474008058	1.676417361	0.096304313	0.194821866	2.156138379	0.034236613	0.074407572	-0.250105352	0.803269259	0.8998824	1.859314928	0.067088263	0.159640684	1.45236229	0.156136503	0.278144809	-1.107613907	0.271527394	0.408622696	0.571097374	0.571341003	0.751036963	1.664549473	0.103274069	0.254061104
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	-1.971227908	0.050436497	0.108889391	-1.247529268	0.213992611	0.338648501	0.431471032	0.667347412	0.725184188	-1.603758184	0.112701538	0.253384147	-1.744978078	0.085831249	0.19431241	-0.299443345	0.766538148	0.813978619	-1.933658375	0.056820542	0.149383039	-0.918242302	0.361616434	0.630491892	1.120449264	0.268741411	0.463543387
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	6.621165688	3.60E-10	9.24E-09	2.380168074	0.018555105	0.074678573	-4.294619346	5.11E-05	0.004535477	5.562043048	2.11E-07	1.72E-05	1.170020133	0.246687216	0.382952535	-3.160650286	0.003431876	0.125575516	4.697533456	1.40E-05	0.000267994	2.425092987	0.017859782	0.132598211	-3.019356605	0.004249323	0.16183101
CALVIN-PWY: Calvin-Benson-Bassham cycle	7.682360584	9.08E-13	1.48E-10	3.699705148	0.000312095	0.004844896	-3.200033792	0.002005689	0.018067273	5.117040819	2.44E-06	9.96E-05	2.795127218	0.006823867	0.069518149	-2.167108988	0.03777805	0.141559129	6.351258511	1.48E-08	2.42E-06	3.121757346	0.002627762	0.054932783	-2.376229022	0.022014928	0.173053545
CENTFERM-PWY: pyruvate fermentation to butanoate	-0.885840304	0.376901588	0.501509868	1.043498765	0.298235014	0.426423749	2.541580506	0.013071821	0.041242931	-2.164884435	0.033681081	0.100734242	-0.277545143	0.782334112	0.869915356	1.36499893	0.181774378	0.303488121	0.452366662	0.653833028	0.727472925	1.226171823	0.229142951	0.529791504	2.236970626	0.030525676	0.173657568
CITRULBIO-PWY: L-citrulline biosynthesis	-4.567377951	1.30E-05	9.40E-05	-3.158170414	0.002065629	0.020591831	1.960219346	0.053635683	0.105555285	-3.69075945	0.00061753	0.004026293	-2.267942486	0.028344237	0.117740913	2.043210398	0.0493391	0.159883193	-2.874350651	0.005352483	0.027730752	-1.986942472	0.051033666	0.216064613	1.141408501	0.260016768	0.45088014
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	4.234591195	3.57E-05	0.000215623	1.965593065	0.050976977	0.126788392	-2.657570553	0.009589682	0.032564961	3.949031169	0.000149252	0.001420185	1.580440915	0.117613844	0.23667971	-2.37844048	0.023523935	0.136659461	2.355425972	0.02105007	0.07569103	1.136141453	0.259669028	0.565250674	-1.623140337	0.111869093	0.255241686
COA-PWY: coenzyme A biosynthesis I	3.072934507	0.002435367	0.008357153	0.791682986	0.42981196	0.564994753	-2.663145679	0.009445809	0.032564961	2.1416739	0.034910309	0.103461461	-0.40987308	0.683400025	0.787238191	-2.083414187	0.045285364	0.156823853	2.849188405	0.005951065	0.02984688	1.792069173	0.077562099	0.280947159	-1.805924151	0.077933245	0.233045794
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	6.887404266	9.25E-11	4.31E-09	3.777127655	0.000232594	0.004093302	-3.922641616	0.000190581	0.006916103	6.216933102	2.33E-08	7.60E-06	2.72012089	0.008704504	0.074675485	-2.679454875	0.011550127	0.125575516	4.367972838	4.69E-05	0.000695022	2.913139277	0.004849001	0.068729313	-2.914192547	0.005639815	0.16183101
COLANSYN-PWY: colanic acid building blocks biosynthesis	-1.78118512	0.076499204	0.149333775	-0.932960741	0.352323896	0.476587511	0.885237225	0.378820966	0.476817123	-1.340404264	0.184198455	0.366150587	-0.500913266	0.618334118	0.746581194	0.976824057	0.335983539	0.447063812	-2.985758608	0.003728754	0.023665488	-2.101584375	0.039472446	0.189534355	0.241261185	0.810499459	0.889639137
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	4.145685546	5.42E-05	0.000294476	0.643101083	0.521220911	0.641200064	-3.874715025	0.000224707	0.006916103	4.066139398	0.000120381	0.001308138	1.18283007	0.241133689	0.376122405	-2.61785963	0.013403592	0.125575516	2.077667614	0.040869551	0.122233703	-0.213852663	0.831284309	0.907363199	-2.907952711	0.005734417	0.16183101
CRNFORCAT-PWY: creatinine degradation I	1.827674062	0.069354422	0.141125303	1.695092829	0.091846599	0.189506273	0.317205989	0.751957091	0.795902635	1.052599609	0.29501301	0.517065813	2.461194561	0.015754452	0.093107905	1.428972891	0.162701741	0.283640469	1.063136136	0.292880082	0.42624512	0.304321968	0.761779933	0.869534784	-0.521814652	0.604477081	0.781982255
DAPLYSINESYN-PWY: L-lysine biosynthesis I	3.890268204	0.000146435	0.000737466	2.764829226	0.00631122	0.040956545	-1.102815352	0.273587292	0.365530562	2.383703325	0.018947679	0.065712162	0.822268977	0.413212093	0.55435038	-1.388778535	0.174491139	0.294736328	1.865950921	0.069548925	0.17307595	1.843591362	0.070624901	0.270867266	-0.25339362	0.801171677	0.889639137
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	1.825881384	0.069553483	0.141125303	2.048368294	0.042154615	0.116185521	0.182848285	0.855403957	0.879689874	0.25806068	0.7970867	0.896035394	1.184170778	0.240850603	0.376122405	1.178926124	0.24711941	0.357978234	1.458190976	0.14972882	0.27733861	1.223330193	0.226171141	0.529545347	-0.606842633	0.547146337	0.734031711
