Taxa	BMI change per day (kg/m2)_All	BMI change per day (kg/m2)_CEED	BMI change per day (kg/m2)_ACUTE
Absiella argi	0.32695315851784	0.999988768866776	0.437384017078131
Absiella sp. 9CBEGH2	0.462886614649875	0.999988768866776	0.131800167878413
Acaryochloris marina	0.211186012314267	0.999988768866776	0.067467777322661
Acetoanaerobium sticklandii	0.837084565606981	0.999988768866776	0.9600676594427
Acetobacter aceti	0.723337670464351	0.999988768866776	0.977067847875501
Acetobacter ascendens	0.50671529119356	0.999988768866776	0.328096354005655
Acetobacter ghanensis	0.112861661608933	0.999988768866776	0.0557200656042616
Acetobacter orientalis	0.140908352021976	0.999988768866776	0.0221912125434788
Acetobacter pasteurianus	0.438523283238573	0.999988768866776	0.199728395242867
Acetobacter persici	0.955844786196293	0.999988768866776	0.866297781035194
Acetobacter senegalensis	0.813633874882354	0.999988768866776	0.398276694988078
Acetobacter sp. KACC 21233	0.0680564688916002	0.999988768866776	0.00953938207690854
Acetobacter tropicalis	0.129942239267583	0.999988768866776	0.0579673457550437
Acetobacteraceae bacterium	0.914720528652057	0.999988768866776	0.695233364759259
Acetobacterium sp. KB-1	0.19933974137753	0.999988768866776	0.0720830435477501
Acetobacterium woodii	0.815964839343447	0.999988768866776	0.75134912537846
Acetohalobium arabaticum	0.794685958487536	0.999988768866776	0.72700816801773
Acetomicrobium mobile	0.670111768090608	0.999988768866776	0.432546529243236
Acholeplasma axanthum	0.304040585814982	0.999988768866776	0.361494518975352
Acholeplasma brassicae	0.761768114200538	0.999988768866776	0.872693746687653
Acholeplasma hippikon	0.423870604517596	0.999988768866776	0.736026730924847
Acholeplasma laidlawii	0.660637020528005	0.999988768866776	0.778099337427935
Acholeplasma oculi	0.918270869618646	0.999988768866776	0.867111069199228
Acholeplasma palmae	0.988088181702239	0.999988768866776	0.915936959462526
Achromobacter denitrificans	0.22535140536983	0.999988768866776	0.117046156339075
Achromobacter insolitus	0.292000637615345	0.999988768866776	0.0953491453976503
Achromobacter ruhlandii	0.694295664414081	0.999988768866776	0.572400695734828
Achromobacter sp. AONIH1	0.112861661608933	0.999988768866776	0.0326649937341194
Achromobacter sp. B7	0.104279697842343	0.999988768866776	0.0668571129696515
Achromobacter sp. MFA1 R4	0.095116070047776	0.999988768866776	0.0440002021991804
Achromobacter spanius	0.0418915926573696	0.999988768866776	0.0122351331027251
Achromobacter xylosoxidans	0.187034942094085	0.999988768866776	0.16083431496867
Acidaminococcus fermentans	0.10004387085726	0.999988768866776	0.0469617382429273
Acidaminococcus intestini	0.255606584356083	0.999988768866776	0.189749191088083
Acidianus brierleyi	0.565025787477889	0.999988768866776	0.620515794127481
Acidianus manzaensis	0.540895906345144	0.999988768866776	0.304254002615097
Acidianus sulfidivorans	0.589409565001862	0.999988768866776	0.713894643661358
Acidibrevibacterium fodinaquatile	0.592414163911591	0.999988768866776	0.540342718966344
Acidiferrobacter sp. SPIII_3	0.365462118533553	0.999988768866776	0.133440763091618
Acidihalobacter ferrooxidans	0.339800787330409	0.999988768866776	0.134923682621569
Acidihalobacter prosperus	0.151015162303782	0.999988768866776	0.049109276685996
Acidilobus saccharovorans	0.632100067989254	0.999988768866776	0.302940701049063
Acidilobus sp. 7A	0.618251599997343	0.999988768866776	0.489429244019017
Acidimicrobium ferrooxidans	0.722744054592311	0.999988768866776	0.779948662134957
Acidiphilium cryptum	0.0562015553293112	0.999988768866776	0.0172263218522877
Acidiphilium multivorum	0.784462862166433	0.999988768866776	0.795361602673341
Acidipropionibacterium acidipropionici	0.124938007407682	0.999988768866776	0.107037371257101
Acidipropionibacterium jensenii	0.0540170957368056	0.999988768866776	0.0342040517573348
Acidipropionibacterium virtanenii	0.168785108279745	0.999988768866776	0.0871536117010589
Acidisarcina polymorpha	0.686265586715152	0.999988768866776	0.334379047833527
Acidithiobacillus caldus	0.432550425116987	0.999988768866776	0.436509712896104
Acidithiobacillus ferrivorans	0.300447525715921	0.999988768866776	0.144269062249812
Acidithiobacillus ferrooxidans	0.316774278137442	0.999988768866776	0.117770628470807
Acidithiobacillus thiooxidans	0.771732763898353	0.999988768866776	0.986865737296083
Acidobacterium capsulatum	0.0337091795090393	0.999988768866776	0.0054480595221126
Acidothermus cellulolyticus	0.496805223205552	0.999988768866776	0.280399103470557
Acidovorax avenae	0.031447186605687	0.999988768866776	0.0057576673717741
Acidovorax carolinensis	0.187465670646741	0.999988768866776	0.0633042447268013
Acidovorax cattleyae	0.954810468798851	0.999988768866776	0.774572134331741
Acidovorax citrulli	0.291836412085515	0.999988768866776	0.141632232162747
Acidovorax ebreus	0.263533908552452	0.999988768866776	0.122121129039353
Acidovorax sp. 1608163	0.0297056669613635	0.999988768866776	0.0057576673717741
Acidovorax sp. HDW3	0.532581571950567	0.999988768866776	0.354300476483006
Acidovorax sp. JS42	0.769441097473376	0.999988768866776	0.283818496912187
Acidovorax sp. KKS102	0.0337091795090393	0.999988768866776	0.0057576673717741
Acidovorax sp. RAC01	0.0614339709297147	0.999988768866776	0.0202770634494698
Acidovorax sp. T1	0.0423898106555408	0.999988768866776	0.00845068482611435
Aciduliprofundum boonei	0.348092878761192	0.999988768866776	0.31711676460901
Acinetobacter baumannii	0.779986415709485	0.999988768866776	0.871480404780788
Acinetobacter baylyi	0.738734747213929	0.999988768866776	0.462328817690599
Acinetobacter bereziniae	0.611816701618794	0.999988768866776	0.652467828487028
Acinetobacter calcoaceticus	0.966218227903309	0.999988768866776	0.999854106905152
Acinetobacter chinensis	0.648025160859017	0.999988768866776	0.555746804028735
Acinetobacter cumulans	0.554702191184301	0.999988768866776	0.56693062959105
Acinetobacter defluvii	0.950097927750523	0.999988768866776	0.972135206318419
Acinetobacter dispersus	0.781253326102447	0.999988768866776	0.868256076489573
Acinetobacter equi	0.417083039643278	0.999988768866776	0.729952995030093
Acinetobacter guillouiae	0.603521680452109	0.999988768866776	0.268896609170405
Acinetobacter gyllenbergii	0.438363892180631	0.999988768866776	0.169717250393002
Acinetobacter haemolyticus	0.746284243210785	0.999988768866776	0.894218187333035
Acinetobacter indicus	0.787059282684579	0.999988768866776	0.786570034688675
Acinetobacter johnsonii	0.533048034767908	0.999988768866776	0.390883549291336
Acinetobacter junii	0.170570839595475	0.999988768866776	0.123653618584858
Acinetobacter larvae	0.95503746905557	0.999988768866776	0.658487678224262
Acinetobacter lwoffii	0.482292423762074	0.999988768866776	0.134281436762462
Acinetobacter nosocomialis	0.807368640997591	0.999988768866776	0.937220553606637
Acinetobacter oleivorans	0.82844420898828	0.999988768866776	0.98747856399333
Acinetobacter pittii	0.830576111907015	0.999988768866776	0.994952080356723
Acinetobacter radioresistens	0.659332315108479	0.999988768866776	0.608594388399474
Acinetobacter schindleri	0.969924412303935	0.999988768866776	0.89587639128504
Acinetobacter soli	0.486735879585405	0.999988768866776	0.366832002425845
Acinetobacter sp. 185	0.722744054592311	0.999988768866776	0.709244410543924
Acinetobacter sp. 323-1	0.46521163293493	0.999988768866776	0.65995757877399
Acinetobacter sp. ACNIH1	0.927909674842999	0.999988768866776	0.756371031878482
Acinetobacter sp. ACNIH2	0.758715232256356	0.999988768866776	0.805349082397424
Acinetobacter sp. LoGeW2-3	0.57119346914472	0.999988768866776	0.74024444852912
Acinetobacter sp. NCu2D-2	0.696944867647447	0.999988768866776	0.523442601314907
Acinetobacter sp. TGL-Y2	0.434469239804182	0.999988768866776	0.639171881381348
Acinetobacter sp. TTH0-4	0.929835136005216	0.999988768866776	0.37898796378041
Acinetobacter sp. WCHA45	0.368796981015592	0.999988768866776	0.0755814325875894
Acinetobacter sp. WCHA55	0.768174893724535	0.999988768866776	0.73308920555775
Acinetobacter sp. WCHAc010034	0.0489871986438239	0.999988768866776	0.0279753385318071
Acinetobacter sp. dk386	0.190221009318917	0.999988768866776	0.290387066596906
Acinetobacter tandoii	0.287454539017575	0.999988768866776	0.530681880810574
Acinetobacter towneri	0.910138110694792	0.999988768866776	0.733767161038711
Acinetobacter ursingii	0.984551046902083	0.999988768866776	0.937754248930161
Acinetobacter venetianus	0.110901235680501	0.999988768866776	0.0657007087500189
Acinetobacter wuhouensis	0.156939074079086	0.999988768866776	0.239070949683302
Actinoalloteichus hoggarensis	0.102984113817122	0.999988768866776	0.0604759285918564
Actinoalloteichus hymeniacidonis	0.0533952081827715	0.999988768866776	0.0128048378029484
Actinobacillus delphinicola	0.786128916546755	0.999988768866776	0.894450310057971
Actinobacillus equuli	0.47126859453891	0.999988768866776	0.261284495495367
Actinobacillus indolicus	0.534720059960609	0.999988768866776	0.319912838110459
Actinobacillus pleuropneumoniae	0.442747433690438	0.999988768866776	0.2960149172018
Actinobacillus porcitonsillarum	0.662995453209712	0.999988768866776	0.700040248875868
Actinobacillus succinogenes	0.779047191937646	0.999988768866776	0.626293162043125
Actinobacillus suis	0.547936530877326	0.999988768866776	0.47310127802369
Actinobacteria bacterium IMCC26077	0.223864753315625	0.999988768866776	0.0942680030894538
Actinobacteria bacterium IMCC26103	0.83159579364943	0.999988768866776	0.994412228953867
Actinobacteria bacterium IMCC26256	0.630586942152218	0.999988768866776	0.679528258640999
Actinobacteria bacterium YIM 96077	0.460562161489687	0.999988768866776	0.567440673216491
Actinobaculum sp. 313	0.834439187642254	0.999988768866776	0.652521696103645
Actinomadura amylolytica	0.0375823309179109	0.999988768866776	0.00835684396473037
Actinomadura sp. WMMA1423	0.0362713137855213	0.999988768866776	0.00835684396473037
Actinomadura sp. WMMB499	0.100347149360858	0.999988768866776	0.0415461102182773
Actinomyces gaoshouyii	0.68411580963153	0.999988768866776	0.396350595406077
Actinomyces hongkongensis	0.751241800233703	0.999988768866776	0.973825269682291
Actinomyces howellii	0.488922674083229	0.999988768866776	0.302940701049063
Actinomyces israelii	0.376753611288047	0.999988768866776	0.236576398913573
Actinomyces naeslundii	0.845102604753405	0.999988768866776	0.719398963134159
Actinomyces oris	0.879163632017755	0.999988768866776	0.927732304047507
Actinomyces pacaensis	0.801665013364936	0.999988768866776	0.596859726838884
Actinomyces qiguomingii	0.223637876798552	0.999988768866776	0.144883185888271
Actinomyces radicidentis	0.722744054592311	0.999988768866776	0.373273292486485
Actinomyces slackii	0.408035078805103	0.999988768866776	0.256426762277493
Actinomyces sp. 2129	0.283533952126874	0.999988768866776	0.176347980652889
Actinomyces sp. 299	0.422352113957818	0.999988768866776	0.272621502690578
Actinomyces sp. 432	0.284880908161477	0.999988768866776	0.164940150893416
Actinomyces sp. Chiba101	0.528994046164637	0.999988768866776	0.47125120793481
Actinomyces sp. Z16	0.447360390617957	0.999988768866776	0.41285935169548
Actinomyces sp. dk561	0.419299217043981	0.999988768866776	0.262596311761768
Actinomyces sp. oral taxon 171	0.985756795560845	0.999988768866776	0.966738649510945
Actinomyces sp. oral taxon 414	0.713030225859535	0.999988768866776	0.91379717011569
Actinomyces sp. oral taxon 848	0.601665091399798	0.999988768866776	0.344149747265549
Actinomyces sp. oral taxon 897	0.663516065115823	0.999988768866776	0.38692595040158
Actinomyces tangfeifanii	0.40177882967386	0.999988768866776	0.27116571659949
Actinomyces viscosus	0.95356554786603	0.999988768866776	0.999272465696917
Actinoplanes derwentensis	0.152987162157446	0.999988768866776	0.0832176708359556
Actinoplanes friuliensis	0.147937305286591	0.999988768866776	0.0853480685237369
Actinoplanes missouriensis	0.0826982407499382	0.999988768866776	0.0284395580110031
Actinoplanes sp. N902-109	0.0702053702186756	0.999988768866776	0.0236837890660969
Actinoplanes sp. OR16	0.0964180715554859	0.999988768866776	0.0256883224157758
Actinoplanes teichomyceticus	0.0803729942525322	0.999988768866776	0.0217191580171415
Actinopolymorpha singaporensis	0.0983234992797318	0.999988768866776	0.0804335228502358
Actinopolyspora erythraea	0.0760759616503712	0.999988768866776	0.0313709168286226
Actinosynnema pretiosum	0.0337091795090393	0.999988768866776	0.0073730777199043
Actinotignum schaalii	0.147612496707115	0.999988768866776	0.133959706918333
Adlercreutzia equolifaciens	0.296010728168531	0.999988768866776	0.293310533788497
Advenella kashmirensis	0.0547480605385218	0.999988768866776	0.0146320682992819
Advenella mimigardefordensis	0.723337670464351	0.999988768866776	0.799009799319987
Aequorivita sp. H23M31	0.750029428234406	0.999988768866776	0.877100844880632
Aequorivita sublithincola	0.887775554551137	0.999988768866776	0.733702614779395
Aeribacillus pallidus	0.589206688571919	0.999988768866776	0.519399817613032
Aerococcus christensenii	0.951988510349533	0.999988768866776	0.95699977632
Aerococcus sanguinicola	0.112466875965336	0.999988768866776	0.127566319961525
Aerococcus urinae	0.866620156620501	0.999988768866776	0.973450154528107
Aerococcus urinaeequi	0.563473128297385	0.999988768866776	0.48688028445939
Aerococcus urinaehominis	0.230772365456495	0.999988768866776	0.140344057896563
Aerococcus viridans	0.654471432296078	0.999988768866776	0.507420470122699
Aeromicrobium choanae	0.0818462932473015	0.999988768866776	0.0279116653403397
Aeromicrobium erythreum	0.223798190216102	0.999988768866776	0.195115604571727
Aeromicrobium marinum	0.180818661164813	0.999988768866776	0.0789418249379389
Aeromicrobium sp. 592	0.158777735395133	0.999988768866776	0.0866006811115088
Aeromicrobium sp. A1-2	0.110471009509737	0.999988768866776	0.0272549356323248
Aeromicrobium sp. MF47	0.0454488607204902	0.999988768866776	0.00748298967202642
Aeromonas caviae	0.0337091795090393	0.999988768866776	0.00890459898028411
Aeromonas dhakensis	0.457700907570332	0.999988768866776	0.415874412392775
Aeromonas encheleia	0.167248746883366	0.999988768866776	0.0779848496292434
Aeromonas hydrophila	0.101955342404205	0.999988768866776	0.0509465214622639
Aeromonas media	0.0847685855823984	0.999988768866776	0.0281021940152525
Aeromonas rivipollensis	0.204940234084737	0.999988768866776	0.0755814325875894
Aeromonas salmonicida	0.911417813436554	0.999988768866776	0.806859966791876
Aeromonas schubertii	0.248784110811772	0.999988768866776	0.188127201031772
Aeromonas sp. ASNIH4	0.0428275323032813	0.999988768866776	0.0130535836966693
Aeromonas sp. ASNIH5	0.26143392602751	0.999988768866776	0.144883185888271
Aeromonas sp. CA23	0.288173412107763	0.999988768866776	0.279109430418243
Aeromonas sp. CU5	0.308125234684912	0.999988768866776	0.0782130901935583
Aeromonas veronii	0.177347477896192	0.999988768866776	0.162212855609848
Aerosticca soli	0.0395158045147551	0.999988768866776	0.00920594677386881
Afipia sp. GAS231	0.117095088613842	0.999988768866776	0.0344186776567913
Agarilytica rhodophyticola	0.160457897417283	0.999988768866776	0.08736628718743
Agarivorans gilvus	0.945535658656659	0.999988768866776	0.857715994043965
Aggregatibacter actinomycetemcomitans	0.948583625995452	0.999988768866776	0.888834019704514
Aggregatibacter aphrophilus	0.843449117738247	0.999988768866776	0.938670974595345
Aggregatibacter segnis	0.975663339534779	0.999988768866776	0.999121153158622
Agrobacterium fabrum	0.206761194204914	0.999988768866776	0.122578394924367
Agrobacterium larrymoorei	0.0782537781903149	0.999988768866776	0.0261915119208495
Agrobacterium rhizogenes	0.312626929682517	0.999988768866776	0.211845270025619
Agrobacterium sp. MA01	0.0863718898253566	0.999988768866776	0.0114162905956682
Agrobacterium sp. T29	0.119077624889307	0.999988768866776	0.0193515537074289
Agrobacterium tumefaciens	0.327244739449977	0.999988768866776	0.160988904737049
Agrobacterium vitis	0.172308013020265	0.999988768866776	0.0903795895308995
Agrococcus carbonis	0.268267964743281	0.999988768866776	0.092534202853934
Agrococcus jejuensis	0.0403791136407325	0.999988768866776	0.0102313422755857
Agrococcus sp. SGAir0287	0.14500269535479	0.999988768866776	0.0520350313801448
Agromyces aureus	0.31353422076164	0.999988768866776	0.129358807381756
Agromyces flavus	0.133595825077939	0.999988768866776	0.0244413809467911
Agromyces protaetiae	0.467297332243748	0.999988768866776	0.216421057101551
Agromyces sp. HY052	0.813633874882354	0.999988768866776	0.815413471789786
Agromyces sp. KACC 19306	0.226341649165376	0.999988768866776	0.0938581659198304
Agromyces sp. LHK192	0.187488048475074	0.999988768866776	0.017140434355462
Agromyces sp. MF30-A	0.162741454987439	0.999988768866776	0.146532537589173
Ahniella affigens	0.91195081719321	0.999988768866776	0.625286454936535
Akkermansia glycaniphila	0.221729857704561	0.999988768866776	0.114283265196345
Akkermansia muciniphila	0.609520054235552	0.999988768866776	0.303387084748727
Alcaligenaceae bacterium SJ-26	0.570665721695242	0.999988768866776	0.38692595040158
Alcaligenes aquatilis	0.0543507172025905	0.999988768866776	0.0069019177240968
Alcaligenes faecalis	0.190221009318917	0.999988768866776	0.0699208058716505
Alcanivorax dieselolei	0.307155113771035	0.999988768866776	0.160450352802379
Alcanivorax pacificus	0.153463741147083	0.999988768866776	0.0594482847322499
Alcanivorax sp. N3-2A	0.110626312623246	0.999988768866776	0.0720830435477501
Alcanivorax xenomutans	0.0297056669613635	0.999988768866776	0.00842301081755386
Algibacter alginicilyticus	0.336148241914452	0.999988768866776	0.427721530066028
Algibacter sp. L1A34	0.66268040566551	0.999988768866776	0.986687847120717
Algibacter sp. L3A6	0.706569107733508	0.999988768866776	0.990428101873014
Algoriphagus machipongonensis	0.830576111907015	0.999988768866776	0.557664078195947
Algoriphagus sanaruensis	0.780878304414779	0.999988768866776	0.811093326696327
Alicycliphilus denitrificans	0.718728946774235	0.999988768866776	0.549176874314203
Alicyclobacillus acidocaldarius	0.0551496684632507	0.999988768866776	0.0210454536479515
Alienimonas californiensis	0.138185807147802	0.999988768866776	0.0623185054407621
Aliivibrio fischeri	0.223864753315625	0.999988768866776	0.15316528887232
Aliivibrio salmonicida	0.98277701769643	0.999988768866776	0.896092769749159
Aliivibrio wodanis	0.788591460099463	0.999988768866776	0.932435492753862
Alistipes communis	0.336069020612593	0.999988768866776	0.0217623753378768
Alistipes dispar	0.243723635096701	0.999988768866776	0.0375755687782183
Alistipes finegoldii	0.181532336182981	0.999988768866776	0.0182578056885511
Alistipes megaguti	0.470573151189736	0.999988768866776	0.0662766451107267
Alistipes onderdonkii	0.507352567381742	0.999988768866776	0.0755814325875894
