p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.974107247844097	0.795755113709937	0.857359293491695	-0.000687347398680173	0.992505915150193	0.998601576354727	0.999945204826384
Acidithiobacillia	0.805750411169159	0.526750796047579	0.595401051348372	-0.00421055710230576	0.992505915150193	0.998601576354727	0.999945204826384
Acidobacteriia	0.575772179741629	0.928203191398774	0.973119557875584	-0.0092238688941519	0.992505915150193	0.998601576354727	0.999945204826384
Actinobacteria	0.0181805062853737	0.63812761828482	0.695614694464647	0.0685496257719018	0.992505915150193	0.998601576354727	0.999945204826384
Alphaproteobacteria	0.624646809910801	0.839306927100013	0.948149494374827	-0.00811061307990347	0.992505915150193	0.998601576354727	0.999945204826384
Anaerolineae	0.58563096806484	0.754565605385462	0.877548078533983	-0.00895921287512476	0.992505915150193	0.998601576354727	0.999945204826384
Aquificae	0.642080178728692	0.458425539608686	0.463503305779241	-0.00731970580358221	0.992505915150193	0.998601576354727	0.999945204826384
Archaeoglobi	0.702780955940109	0.94276174114241	0.979900624620916	0.00614348605302767	0.992505915150193	0.998601576354727	0.999945204826384
Ardenticatenia	0.955137037905889	0.870172481361909	0.828403658670788	0.00142928154431092	0.992505915150193	0.998601576354727	0.999945204826384
Bacilli	0.43966767067432	0.696468765035464	0.849974250662755	0.0149084832529443	0.992505915150193	0.998601576354727	0.999945204826384
Bacteroidia	0.465887239840052	0.0562458037463098	0.0881189428417494	-0.0214841329295281	0.992505915150193	0.998601576354727	0.999945204826384
Betaproteobacteria	0.715780336818005	0.775594577208932	0.86135949060793	-0.00594848236888945	0.992505915150193	0.998601576354727	0.999945204826384
Blastocatellia	0.547403699439394	0.932942455737359	0.823824390024357	0.0126954345324095	0.992505915150193	0.998601576354727	0.999945204826384
Caldilineae	0.63437656638025	0.717493482050319	0.803731300258973	-0.00994464773168099	0.992505915150193	0.998601576354727	0.999945204826384
Calditrichae	0.997401354070499	0.404382493565545	0.410173712793241	5.67253278513156e-05	0.997401354070499	0.998601576354727	0.999945204826384
Candidatus Brocadiae	0.166615394077673	0.232346328126448	0.139594482941498	0.0239948355349478	0.992505915150193	0.998601576354727	0.999945204826384
Chitinophagia	0.56471259293353	0.734606974635357	0.807620152253589	0.0068923082700386	0.992505915150193	0.998601576354727	0.999945204826384
Chlamydiia	0.491004992887467	0.743192168582209	0.699637506840424	0.00986540527018216	0.992505915150193	0.998601576354727	0.999945204826384
Chlorobia	0.917269196823253	0.908417832949469	0.864528543730312	0.00158144464730783	0.992505915150193	0.998601576354727	0.999945204826384
Chloroflexia	0.600081252184144	0.833556490283411	0.744406389801677	-0.00908882441449935	0.992505915150193	0.998601576354727	0.999945204826384
Chrysiogenetes	0.921079749924597	0.717715171279721	0.729418557766997	0.00185084697614882	0.992505915150193	0.998601576354727	0.999945204826384
Chthonomonadetes	0.685745074904926	0.616986389635458	0.547003404925676	-0.00801056526759399	0.992505915150193	0.998601576354727	0.999945204826384
