p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.963008177789401	0.732961539314258	0.716640931738908	0.00144933376181994	0.989512990022137	0.961300661652191	0.959478311105607
Acidithiobacillia	0.341473598507379	0.511057488175207	0.521532943662274	-0.0264101881725966	0.858893917231513	0.912316788147225	0.912380819759566
Acidobacteriia	0.523579944050828	0.352881637424345	0.366799495966678	-0.0162733165927228	0.858893917231513	0.912316788147225	0.912380819759566
Actinobacteria	0.39745427031692	0.173277397522326	0.218538720534656	-0.0362658014614951	0.858893917231513	0.912316788147225	0.912380819759566
Alphaproteobacteria	0.542955499086244	0.297151356940066	0.299145375189157	-0.0156401525055954	0.858893917231513	0.912316788147225	0.912380819759566
Anaerolineae	0.538974448541989	0.29409905383209	0.296820864123055	-0.0152877059200179	0.858893917231513	0.912316788147225	0.912380819759566
Aquificae	0.300967294596145	0.808724191182633	0.835941565173454	-0.029054969406237	0.858893917231513	0.974426330565297	0.990644424624342
Archaeoglobi	0.205878183439908	0.981748345663639	0.976284122271219	-0.0309859274302261	0.858893917231513	0.994228315055201	0.995845913452051
Ardenticatenia	0.83527986243884	0.180000484674529	0.16403430774389	-0.00600394719249949	0.943735938389184	0.912316788147225	0.912380819759566
Bacilli	0.839389241575833	0.790294627887462	0.831490521674889	-0.00678606486679041	0.943735938389184	0.974426330565297	0.990644424624342
Bacteroidia	0.915017154373293	0.738141579482932	0.723489633649759	0.00519536089137744	0.97601829799818	0.961300661652191	0.959478311105607
Betaproteobacteria	0.476187823701294	0.243758402936558	0.236862390627839	-0.0186403333997169	0.858893917231513	0.912316788147225	0.912380819759566
Blastocatellia	0.263616280074839	0.679889813685398	0.793420895259937	0.033336665217602	0.858893917231513	0.961300661652191	0.987368225212366
Caldilineae	0.99289335402669	0.942980468023339	0.983274300385272	0.000271736264057908	0.999600012163505	0.994228315055201	0.995845913452051
Calditrichae	0.65493066620223	0.386885423388866	0.374119136866724	0.0107025899634432	0.862967466054703	0.912316788147225	0.912380819759566
Candidatus Brocadiae	0.494263187334568	0.613213481879939	0.762442586503563	0.0180342950705114	0.858893917231513	0.915732132940709	0.959478311105607
Chitinophagia	0.450329167462686	0.341817744200146	0.341498080307335	-0.015520867696317	0.858893917231513	0.912316788147225	0.912380819759566
Chlamydiia	0.534569517783391	0.590259052677135	0.556619870568928	-0.0142238209052172	0.858893917231513	0.912316788147225	0.912380819759566
Chlorobia	0.59536485781774	0.278699952159691	0.277490206481581	-0.0126802438246254	0.858893917231513	0.912316788147225	0.912380819759566
Chloroflexia	0.475525549013118	0.427062810347614	0.462757662088706	-0.0194861245275546	0.858893917231513	0.912316788147225	0.912380819759566
Chrysiogenetes	0.568645525283102	0.403625895954499	0.354376997704532	-0.0159331726281793	0.858893917231513	0.912316788147225	0.912380819759566
Chthonomonadetes	0.730943450056601	0.856146632580886	0.840668922856041	0.0105186237306659	0.895574074914445	0.978453294378155	0.990644424624342
Clostridia	0.321072005942173	0.820041715901571	0.99441212196893	-0.0138672757537208	0.858893917231513	0.974426330565297	0.995845913452051
Coprothermobacteria	0.15881283229138	0.15406120839468	0.16701159191937	-0.0586591606980917	0.858893917231513	0.912316788147225	0.912380819759566
Coriobacteriia	0.611736624828271	0.248729352321963	0.242858738780345	0.0247626318919517	0.858893917231513	0.912316788147225	0.912380819759566
Cytophagia	0.353355732039258	0.262534871527168	0.277372335143605	-0.0205506030269202	0.858893917231513	0.912316788147225	0.912380819759566
Deferribacteres	0.236331409336687	0.444371472358811	0.460169258441961	-0.0270541052431796	0.858893917231513	0.912316788147225	0.912380819759566
Dehalococcoidia	0.996334268411943	0.298717116126431	0.255302633391716	0.000129520111119338	0.999600012163505	0.912316788147225	0.912380819759566
Deinococci	0.72613189573005	0.332216985384049	0.31999258043792	-0.00962623833074075	0.895574074914445	0.912316788147225	0.912380819759566
Deltaproteobacteria	0.590807512996768	0.725799751877884	0.686376276855237	-0.0214609982567719	0.858893917231513	0.961300661652191	0.959478311105607
Dictyoglomia	0.294208516644833	0.737556601355853	0.712563023080529	-0.0361014480209546	0.858893917231513	0.961300661652191	0.959478311105607
Dothideomycetes	0.340003053780935	0.15433316056944	0.145782260623024	-0.0238235022181156	0.858893917231513	0.912316788147225	0.912380819759566
Ellioviricetes	0.542917024357794	0.578699234139705	0.584462707490412	0.0230717156517355	0.858893917231513	0.912316788147225	0.912380819759566
Elusimicrobia	0.743646330062887	0.337876422742449	0.276248775672203	-0.0090107366161356	0.895574074914445	0.912316788147225	0.912380819759566
Endomicrobia	0.851047587297389	0.550791355747969	0.467416876592432	0.00596631130749637	0.943735938389184	0.912316788147225	0.912380819759566
Epsilonproteobacteria	0.433215193078428	0.141375413269475	0.135451551252198	0.0238185895184232	0.858893917231513	0.912316788147225	0.912380819759566
Erysipelotrichia	0.125880910404224	0.787345746905937	0.735540561905271	-0.0580369541462937	0.858893917231513	0.974426330565297	0.959478311105607
Eurotiomycetes	0.632793989798309	0.930325746921819	0.917832576160005	-0.0115679087878506	0.860020284014221	0.994228315055201	0.995845913452051
Fibrobacteria	0.104222964507456	0.167232891120017	0.188783099421713	-0.0544866326767898	0.858893917231513	0.912316788147225	0.912380819759566
Fimbriimonadia	0.111464571505323	0.0450558138590473	0.0407161212977593	-0.0438225640395205	0.858893917231513	0.912316788147225	0.912380819759566
Flavobacteriia	0.36826540630537	0.826758611405554	0.860915496971389	-0.0199558373558174	0.858893917231513	0.974426330565297	0.994046759389645
Fusobacteriia	0.585236063609785	0.544566161339865	0.532775636624533	-0.0165322000699842	0.858893917231513	0.912316788147225	0.912380819759566
Gammaproteobacteria	0.398435580671734	0.954955964489189	0.933118541624275	-0.0248078091573831	0.858893917231513	0.994228315055201	0.995845913452051
Gemmatimonadetes	0.807335993573152	0.566480459649443	0.572388486597693	-0.0070700785071358	0.94189199250201	0.912316788147225	0.912380819759566
Gloeobacteria	0.637786810616503	0.505119482085316	0.512182073941339	-0.0147992352331684	0.860020284014221	0.912316788147225	0.912380819759566
Halobacteria	0.911286936559248	0.297782504260443	0.28321587107551	-0.00289752680842723	0.97601829799818	0.912316788147225	0.912380819759566
Hydrogenophilalia	0.513181632539682	0.301479015895898	0.25605580201011	-0.0224198557532106	0.858893917231513	0.912316788147225	0.912380819759566
Ignavibacteria	0.229286824904897	0.449796376941038	0.486055019947645	-0.035287892529808	0.858893917231513	0.912316788147225	0.912380819759566
Kiritimatiellae	0.999600012163505	0.276029673877093	0.238580320684666	-1.71977022752518e-05	0.999600012163505	0.912316788147225	0.912380819759566
Ktedonobacteria	0.864671035047135	0.989767212940756	0.995845913452051	-0.00528107822923718	0.949442705149795	0.994228315055201	0.995845913452051
Lentisphaeria	0.0261468035127243	0.0815416491017974	0.111899931791931	-0.118531029508519	0.858893917231513	0.912316788147225	0.912380819759566
Leotiomycetes	0.189948749192524	0.551114656611286	0.586530526988292	-0.0351972606607508	0.858893917231513	0.912316788147225	0.912380819759566
Limnochordia	0.400707348631816	0.300756077342891	0.301412339204949	-0.0262318732130404	0.858893917231513	0.912316788147225	0.912380819759566
Malasseziomycetes	0.38806084795555	0.342232468170006	0.365867958815255	0.0305377711380706	0.858893917231513	0.912316788147225	0.912380819759566
Methanobacteria	0.640507780194096	0.479419152905726	0.518363544883175	0.0356014164896866	0.860020284014221	0.912316788147225	0.912380819759566
Methanococci	0.244371350562467	0.811114556204244	0.740896188120043	-0.0341141622706142	0.858893917231513	0.974426330565297	0.959478311105607
Methanomicrobia	0.166887054726996	0.228557128453147	0.254065084888726	-0.0289007811871752	0.858893917231513	0.912316788147225	0.912380819759566
Methanopyri	0.13923156582337	0.0463597923409601	0.0421863098273589	-0.0535207723295479	0.858893917231513	0.912316788147225	0.912380819759566
Methylacidiphilae	0.788270163179859	0.686194264843216	0.647815551069164	-0.00802667914147697	0.929329034485729	0.961300661652191	0.959478311105607
Mollicutes	0.741622469799606	0.43000315304734	0.428719121779839	-0.0105429375085685	0.895574074914445	0.912316788147225	0.912380819759566
Negativicutes	0.095799710704526	0.955472616105262	0.84912379253515	-0.0850060752758983	0.858893917231513	0.994228315055201	0.990644424624342
Nitriliruptoria	0.412084004830332	0.247680014456512	0.245114810826239	-0.0275806331200672	0.858893917231513	0.912316788147225	0.912380819759566
Nitrososphaeria	0.0781846429828044	0.0835745629710221	0.0965720139526403	-0.0488331219776597	0.858893917231513	0.912316788147225	0.912380819759566
Nitrospira	0.16341827336033	0.0844770755711836	0.0893401029927249	-0.033672406065399	0.858893917231513	0.912316788147225	0.912380819759566
Oligoflexia	0.263312821934768	0.646330957846873	0.704931572837001	-0.025514142747695	0.858893917231513	0.952487727353287	0.959478311105607
Opitutae	0.605548499944864	0.186627187438108	0.172282881114019	-0.013043995708468	0.858893917231513	0.912316788147225	0.912380819759566
Phycisphaerae	0.448368416599746	0.376570101523064	0.376822037390399	-0.0198940290684348	0.858893917231513	0.912316788147225	0.912380819759566
Planctomycetia	0.734235930972398	0.338652170038612	0.329268070762106	-0.00850283464313955	0.895574074914445	0.912316788147225	0.912380819759566
Rubrobacteria	0.572248519519187	0.981753862570562	0.973406748771293	0.0162259958138729	0.858893917231513	0.994228315055201	0.995845913452051
Saccharomycetes	0.232963077194233	0.843922804150302	0.943475849926229	-0.0313089034257886	0.858893917231513	0.974426330565297	0.995845913452051
Saprospiria	0.329804406628369	0.334927797986992	0.360957649232415	-0.025915635715141	0.858893917231513	0.912316788147225	0.912380819759566
Schizosaccharomycetes	0.465134441023921	0.579876974021651	0.568785080607113	-0.0246323805662331	0.858893917231513	0.912316788147225	0.912380819759566
Sordariomycetes	0.299275978289761	0.339219297581743	0.365179811352447	-0.02192416701688	0.858893917231513	0.912316788147225	0.912380819759566
Sphingobacteriia	0.210761550804595	0.353983878418151	0.385767911692348	-0.0234636214015927	0.858893917231513	0.912316788147225	0.912380819759566
Spirochaetia	0.474318336309541	0.547395998614245	0.54461160174914	-0.0155973505971369	0.858893917231513	0.912316788147225	0.912380819759566
Synergistia	0.354372196288957	0.692269667196425	0.659294390063117	-0.0321063002386914	0.858893917231513	0.961300661652191	0.959478311105607
Tepidiformia	0.645015213010666	0.686411211323581	0.758141869000014	-0.0142606618328785	0.860020284014221	0.961300661652191	0.959478311105607
Thermococci	0.612819916446461	0.368854089554344	0.350536443024177	-0.0110994515288127	0.858893917231513	0.912316788147225	0.912380819759566
Thermodesulfobacteria	0.507428859286684	0.843739108114843	0.810682337713182	-0.016707301054911	0.858893917231513	0.974426330565297	0.990644424624342
Thermoleophilia	0.928169301669491	0.507864369578128	0.49226235379981	0.00303693629844131	0.980707186669651	0.912316788147225	0.912380819759566
Thermomicrobia	0.613495655165367	0.568409808700077	0.503382061056577	0.0148658815412707	0.858893917231513	0.912316788147225	0.912380819759566
