p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.0393036804678097	2.99626753501683	0.134269363043714
Acidithiobacillia	0.192372266410423	1.45854843085218	0.353208095704384
Acidobacteriia	0.0608362587145314	1.91013928035698	0.174709255795577
Actinobacteria	0.12283187187923	-2.75483353596051	0.264560954816804
Alphaproteobacteria	0.0234095187072371	2.37761213439469	0.0936380748289486
Anaerolineae	0.0113905672014636	2.63764295811419	0.063787176328196
Aquificae	0.918855526872108	-0.0986799306302479	0.918855526872108
Archaeoglobi	0.651905364695146	-0.458008295080351	0.745034702508738
Ardenticatenia	0.0067546185891123	5.18972551263713	0.0540369487128984
Bacilli	0.0740748462897159	-2.22685291191017	0.197532923439242
Bacteroidia	0.000636447332667511	6.49873277219616	0.0251447491898531
Betaproteobacteria	0.0133279484789588	2.53363706094159	0.0661844229504288
Blastocatellia	0.0395615087539514	2.70190258426806	0.134269363043714
Caldilineae	0.213958172121441	1.80843617544113	0.367891812300561
Calditrichae	0.215714303627645	1.56029690465521	0.367891812300561
Candidatus Brocadiae	0.411868151640514	0.882662260057567	0.577858968306435
Chitinophagia	0.807724798965065	0.181499027929693	0.820169361809507
Chlamydiia	0.514532683080054	-0.611937567669739	0.65149735416189
Chlorobia	0.119084260342803	1.4820712230645	0.264560954816804
Chloroflexia	0.0900593261609996	1.87631992301018	0.224147656222932
Chrysiogenetes	0.0733433228918871	2.22360517327237	0.197532923439242
Chthonomonadetes	0.0264175168926076	2.49907079325771	0.102026272136967
Clostridia	0.744788839003969	-0.189824008169448	0.802080288158121
Coprothermobacteria	0.213864195822773	1.9526636288044	0.367891812300561
Coriobacteriia	0.0452491046612387	4.46626977742249	0.149055874178198
Cytophagia	0.20267886543533	1.07489721021794	0.366129563367047
Deferribacteres	0.713487334862825	0.367760198059049	0.799105815046364
Dehalococcoidia	0.0852880532500696	2.11941649692794	0.217096862818359
Deinococci	0.00761801003453061	3.29503622404152	0.0568811415911619
Deltaproteobacteria	0.0191193668481288	3.04761674533124	0.085654763479617
Dictyoglomia	0.793070891069954	-0.319166538643742	0.814898530273715
Dothideomycetes	0.241387402702215	1.09241811273096	0.39757925150953
Ellioviricetes	0.146348472663179	-2.34060054555545	0.305640123428684
Elusimicrobia	0.412756405933168	0.961941660266482	0.577858968306435
Endomicrobia	0.605849523923067	0.604981640880703	0.729625233111651
Epsilonproteobacteria	0.769748581756984	-0.368939251521472	0.810456977072662
Erysipelotrichia	0.156403716412124	1.57339814304675	0.31849484069378
Eurotiomycetes	0.481627146604809	0.536015676003064	0.649906511081188
Fibrobacteria	0.233845410330131	1.42516646571717	0.390905760551861
Fimbriimonadia	0.0297692256147093	2.68039709961466	0.111138442294915
Flavobacteriia	0.475198420953111	-0.569655289245911	0.649051501789616
Fusobacteriia	0.100508821704353	-2.162712851633	0.237234567490475
Gammaproteobacteria	0.216793389391402	1.37388884996816	0.367891812300561
Gemmatimonadetes	0.00428157808410221	3.57021779807417	0.0540369487128984
Gloeobacteria	0.016783692451737	3.05320544669185	0.0783238981081058
