p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.846895729547569	0.422026203643662	0.996208252566128
Acidithiobacillia	0.877564785836203	-0.32215276171334	0.996208252566128
Acidobacteriia	0.775756907701736	-0.573546325443579	0.996208252566128
Actinobacteria	0.771134750462268	-0.845310390017308	0.996208252566128
Alphaproteobacteria	0.893534892259921	0.249731909112498	0.996208252566128
Anaerolineae	0.792386503250721	0.442812893341591	0.996208252566128
Aquificae	0.753379238229315	-0.565094682171521	0.996208252566128
Archaeoglobi	0.831201630172151	0.362718990590159	0.996208252566128
Ardenticatenia	0.774863374805346	0.611276934699521	0.996208252566128
Bacilli	0.461039112133855	1.26644823791899	0.996208252566128
Bacteroidia	0.00195589647142263	-10.662799795086	0.219060404799334
Betaproteobacteria	0.936105135863434	-0.147001814151033	0.996208252566128
Blastocatellia	0.894700025003313	0.26783986809408	0.996208252566128
Caldilineae	0.98780471185899	-0.0299563320969668	0.996208252566128
Calditrichae	0.235924487657925	-2.15141428029938	0.996208252566128
Candidatus Brocadiae	0.934930667751859	0.16926450589237	0.996208252566128
Chitinophagia	0.453155164917597	-1.12124445272795	0.996208252566128
Chlamydiia	0.546583285106986	-0.840659570330168	0.996208252566128
Chlorobia	0.73140816669439	-0.562676817059835	0.996208252566128
Chloroflexia	0.792767760074785	0.505765983778597	0.996208252566128
Chrysiogenetes	0.202954623054523	2.54161547017051	0.996208252566128
Chthonomonadetes	0.314660683470294	-2.2847326302218	0.996208252566128
Clostridia	0.0307905064770498	1.99370003003946	0.996208252566128
Coprothermobacteria	0.343820170012553	2.59774505783057	0.996208252566128
Coriobacteriia	0.705267699528386	1.22734103650151	0.996208252566128
Cytophagia	0.74612879248219	-0.514045052482557	0.996208252566128
Deferribacteres	0.365400831994181	-1.44754841695008	0.996208252566128
Dehalococcoidia	0.306467689068495	-2.1697972245489	0.996208252566128
Deinococci	0.851724842228782	0.379598218119733	0.996208252566128
Deltaproteobacteria	0.892592463187265	-0.414768155651739	0.996208252566128
Dictyoglomia	0.74739660809863	0.568032565053515	0.996208252566128
