p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.239678434404653	0.0668595684032443	0.674597916779784
Acidithiobacillia	0.778185718069191	0.0122348807553554	0.91744000446052
Acidobacteriia	0.226139577176963	0.047998100812691	0.674597916779784
Actinobacteria	0.0776453258314559	-0.120540666100534	0.662639768214039
Alphaproteobacteria	0.128700821650508	0.0623138331027681	0.662639768214039
Anaerolineae	0.063521763345939	0.0756817468757435	0.662639768214039
Aquificae	0.88169387104975	0.00554011433963102	0.958735083083223
Archaeoglobi	0.578143470363828	-0.0216858044850607	0.827360009695726
Ardenticatenia	0.233632908154386	0.0909170530307604	0.674597916779784
Bacilli	0.372138502783087	-0.0433979665083379	0.728222992548541
Bacteroidia	0.0175912300317385	0.179971149906863	0.662639768214039
Betaproteobacteria	0.129893094118762	0.0609958203695024	0.662639768214039
Blastocatellia	0.084672764542571	0.0876626277049597	0.662639768214039
Caldilineae	0.475103593691763	0.0402001054543145	0.794203022290708
Calditrichae	0.248641855841059	0.0559528885858286	0.674597916779784
Candidatus Brocadiae	0.950301631126091	-0.00258737691869493	0.976456721891029
Chitinophagia	0.851975899239252	-0.00534954213792421	0.935502948184277
Chlamydiia	0.399564031061377	-0.0303440593401553	0.733625761948757
Chlorobia	0.280647711437749	0.03973657175836	0.678505854546589
Chloroflexia	0.250569241413417	0.0493494348359924	0.674597916779784
Chrysiogenetes	0.357875308680329	0.0445209591138686	0.728222992548541
Chthonomonadetes	0.191669125225108	0.0576121911369593	0.674597916779784
Clostridia	0.935035147960754	-0.00182803583228023	0.974579025727464
Coprothermobacteria	0.0520413241957508	0.115712445266843	0.662639768214039
Coriobacteriia	0.670004103788393	0.0374006501311778	0.876013594272541
Cytophagia	0.390119460293861	0.0280217458772484	0.728222992548541
Deferribacteres	0.83732014248339	0.00790857725960627	0.935502948184277
Dehalococcoidia	0.295504755483932	0.0500915850939392	0.689511096129175
Deinococci	0.1645052054096	0.0680806041262654	0.662639768214039
Deltaproteobacteria	0.284730135390087	0.054912645539136	0.678505854546589
Dictyoglomia	0.537867917863016	-0.0287525369767481	0.827360009695726
Dothideomycetes	0.545507353797432	0.021799971809038	0.827360009695726
Ellioviricetes	0.4720864536037	-0.0449734831719762	0.794203022290708
Elusimicrobia	0.843244067200835	0.00896110342504496	0.935502948184277
Endomicrobia	0.507908009349035	0.0298037431259221	0.824430391986839
Epsilonproteobacteria	0.767662645644704	-0.0143121639882783	0.914661875661774
Erysipelotrichia	0.644241237041691	0.0199224007511777	0.865759300404705
Eurotiomycetes	0.27104380584902	0.0320816947344492	0.674597916779784
Fibrobacteria	0.228114813896932	0.0554409497494402	0.674597916779784
Fimbriimonadia	0.262100294363915	0.054300158252698	0.674597916779784
Flavobacteriia	0.569618012682452	-0.017455273582416	0.827360009695726
Fusobacteriia	0.251654483228892	-0.0585118182072389	0.674597916779784
Gammaproteobacteria	0.680274155084061	0.0177661137595582	0.876013594272541
Gemmatimonadetes	0.090392109266805	0.0839841822539417	0.662639768214039
Gloeobacteria	0.20036153239038	0.0644171319500967	0.674597916779784
Halobacteria	0.195970875845811	0.0576621251913695	0.674597916779784
Hydrogenophilalia	0.963936215125809	0.00245651195410358	0.981462328128097
Ignavibacteria	0.681581118578665	0.0173059500694659	0.876013594272541
Kiritimatiellae	0.0588783664537112	0.0991614064646573	0.662639768214039
Ktedonobacteria	0.33560173075707	0.0511177124863965	0.728222992548541
Lentisphaeria	0.127429310684944	0.104046223269022	0.662639768214039
Leotiomycetes	0.312464505603874	0.032940264777881	0.699920492552677
Limnochordia	0.308210212606795	0.0515577280655507	0.699920492552677
Malasseziomycetes	0.0973305642961683	0.107529349494954	0.662639768214039
Methanobacteria	0.569920302722468	-0.0650216606315462	0.827360009695726
Methanococci	0.621126714297197	-0.0186661137137398	0.864360083757933
Methanomicrobia	0.981237778143462	-0.000769007357257698	0.990077758126736
Methanopyri	0.806004229495026	-0.0163177532955548	0.930644058798381
Methylacidiphilae	0.267008506468827	0.0574419904519973	0.674597916779784
Mollicutes	0.720680210499843	-0.014466693659059	0.886991028307499
Negativicutes	0.145786353148193	0.0948391912519661	0.662639768214039
Nitriliruptoria	0.128666775840803	0.0883586291469216	0.662639768214039
Nitrososphaeria	0.992556165105778	0.000421814622980771	0.992556165105778
Nitrospira	0.628323653768648	0.0165495033628533	0.864360083757933
Oligoflexia	0.545695623450287	0.0218519971994524	0.827360009695726
Opitutae	0.229164332465991	0.0578149751654701	0.674597916779784
Phycisphaerae	0.371148776605627	0.0368647546679681	0.728222992548541
Planctomycetia	0.379821444824288	0.0367441280570529	0.728222992548541
Rubrobacteria	0.158336096273058	0.0757380683791046	0.662639768214039
Saccharomycetes	0.152142594419444	-0.0451680009751	0.662639768214039
Saprospiria	0.709740036758177	0.019549423230109	0.883232045743509
Schizosaccharomycetes	0.107917392065686	-0.0713618130822167	0.662639768214039
Sordariomycetes	0.455709483111126	0.0258575969725735	0.794203022290708
Sphingobacteriia	0.575537767900241	-0.0154178115655609	0.827360009695726
Spirochaetia	0.798467397894598	0.00824085293379155	0.930644058798381
Synergistia	0.341909052326424	0.0427546562938892	0.728222992548541
Tepidiformia	0.0684689897275405	0.0947189916435472	0.662639768214039
Thermococci	0.408643172055525	0.0313083513465126	0.738194117261594
Thermodesulfobacteria	0.901542970289277	-0.00503623714411118	0.961645834975228
Thermoleophilia	0.13793519275656	0.0847130082297585	0.662639768214039
Thermomicrobia	0.0979970517111743	0.0929362415381207	0.662639768214039
Thermoplasmata	0.834148179148052	0.00932150070749995	0.935502948184277
Thermoprotei	0.559741742832563	-0.0225457249744338	0.827360009695726
Thermotogae	0.632835061322772	-0.0169718249030817	0.864360083757933
Tissierellia	0.463269494031767	-0.028209738948137	0.794203022290708
Tremellomycetes	0.846283643024917	-0.00762030054231557	0.935502948184277
Unclassified Acidobacteria Phylum	0.361790603753389	0.0665191771277596	0.728222992548541
Unclassified Actinobacteria Phylum	0.901144300948145	0.00760573592876645	0.961645834975228
Unclassified Armatimonadetes Phylum	0.0483266717206075	0.101571145600198	0.662639768214039
Unclassified Ascomycota Phylum	0.0770682587767006	0.0802068864585587	0.662639768214039
Unclassified Bacteroidetes Phylum	0.106997260008404	0.0724717164384845	0.662639768214039
Unclassified Balneolaeota Phylum	0.518095348598088	0.039442461207446	0.827360009695726
Unclassified Candidatus Bipolaricaulota Phylum	0.0535094124184656	0.116101054818922	0.662639768214039
Unclassified Candidatus Cloacimonetes Phylum	0.939772631951484	-0.0039861967521942	0.974579025727464
Unclassified Candidatus Gracilibacteria Phylum	0.911323866042428	-0.00699707610998636	0.962908235818414
Unclassified Candidatus Saccharibacteria Phylum	0.423344656145365	-0.0411619109664918	0.752612722036205
Unclassified Cyanobacteria Phylum	0.649319475303529	0.0149445710858204	0.865759300404705
Unclassified Elusimicrobia Phylum	0.693064309921881	-0.0155466880804579	0.876013594272541
Unclassified Euryarchaeota Phylum	0.344647733309854	0.0468783208937938	0.728222992548541
Unclassified Firmicutes Phylum	0.742087040822392	-0.00943294397636032	0.893696221205461
Unclassified Kiritimatiellaeota Phylum	0.104583210296612	0.0763716850059075	0.662639768214039
Unclassified Microsporidia Phylum	0.496892486305887	-0.0309329983398655	0.818411153915579
Unclassified Planctomycetes Phylum	0.388803692802734	0.0332254683000001	0.728222992548541
Unclassified Proteobacteria Phylum	0.16565994205351	0.0572032764614624	0.662639768214039
Unclassified Tenericutes Phylum	0.73051239849782	-0.015294338940905	0.88931944164952
Unclassified Thaumarchaeota Phylum	0.256801814547917	-0.0484818617893852	0.674597916779784
Unclassified Verrucomicrobia Phylum	0.18909412050161	0.0710069014578517	0.674597916779784
Unclassified candidate division Zixibacteria Phylum	0.184996654365156	0.0705979111469861	0.674597916779784
Ustilaginomycetes	0.696117945448716	0.015958699047835	0.876013594272541
Verrucomicrobiae	0.161381221995206	0.159776178459807	0.662639768214039
Vicinamibacteria	0.0598704221740505	0.0985327593523642	0.662639768214039
Zetaproteobacteria	0.583584292553236	0.0300880643967446	0.827360009695726
