p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.783336269520444	0.00965383229146941	0.994772311746285
Acidithiobacillia	0.507629405491752	0.0220182276256583	0.994772311746285
Acidobacteriia	0.584104619812598	0.0172240850183684	0.994772311746285
Actinobacteria	0.540484045922793	-0.0279524776998931	0.994772311746285
Alphaproteobacteria	0.553108631373921	0.0172029029843216	0.994772311746285
Anaerolineae	0.868214906583001	0.00439718909078314	0.994772311746285
Aquificae	0.944618842337864	0.00207880841221924	0.994772311746285
Archaeoglobi	0.258655511966829	0.0295761020275303	0.994772311746285
Ardenticatenia	0.391601692383636	0.0282702895093205	0.994772311746285
Bacilli	0.200311197168164	0.0348715264837518	0.994772311746285
Bacteroidia	0.489176140794412	-0.0403487633472203	0.994772311746285
Betaproteobacteria	0.478853053176544	0.02019506832434	0.994772311746285
Blastocatellia	0.856692473695118	-0.00568011872310649	0.994772311746285
Caldilineae	0.930707224686589	0.0027846348357947	0.994772311746285
Calditrichae	0.848745518069381	-0.00544472348655166	0.994772311746285
Candidatus Brocadiae	0.93244950394312	0.00275455120785257	0.994772311746285
Chitinophagia	0.870288558726472	0.00381518943390673	0.994772311746285
Chlamydiia	0.922009987445832	-0.00213202513226239	0.994772311746285
Chlorobia	0.924940029887526	-0.00248326179155107	0.994772311746285
Chloroflexia	0.496182565564261	0.0203305893628576	0.994772311746285
Chrysiogenetes	0.395532911354547	0.0266241678078285	0.994772311746285
Chthonomonadetes	0.979278174811553	-0.000926092700730237	0.994772311746285
Clostridia	0.260197024780571	0.01688936976914	0.994772311746285
Coprothermobacteria	0.16064753490526	0.0603424285572037	0.994772311746285
Coriobacteriia	0.274507564635535	-0.0575216990114052	0.994772311746285
Cytophagia	0.75974809541389	0.00758355807327964	0.994772311746285
Deferribacteres	0.994911591377415	-0.000161828801530184	0.994911591377415
Dehalococcoidia	0.233738038575788	-0.0392664886578708	0.994772311746285
Deinococci	0.624106880145808	0.0155276832663959	0.994772311746285
Deltaproteobacteria	0.774500466283321	0.0139498823650455	0.994772311746285
Dictyoglomia	0.267148248507217	0.0310141263379422	0.994772311746285
Dothideomycetes	0.661652151134937	0.0110681406371928	0.994772311746285
Ellioviricetes	0.320040938546288	-0.0380372279899365	0.994772311746285
Elusimicrobia	0.157192797371528	-0.0472423717280832	0.994772311746285
Endomicrobia	0.903584380106597	-0.00383055716042781	0.994772311746285
Epsilonproteobacteria	0.308357952340975	0.0330997254324062	0.994772311746285
Erysipelotrichia	0.0954374996144922	0.0572194319833239	0.994772311746285
Eurotiomycetes	0.301392913497354	0.0260573598271626	0.994772311746285
Fibrobacteria	0.318615695002646	0.0367304952396648	0.994772311746285
Fimbriimonadia	0.981644911582182	0.00059703780337417	0.994772311746285
Flavobacteriia	0.531751653514483	0.0137196521249362	0.994772311746285
Fusobacteriia	0.531746217120545	0.0176792059257015	0.994772311746285
Gammaproteobacteria	0.168788463372361	0.0498680485645558	0.994772311746285
Gemmatimonadetes	0.672833238111625	0.0138804665616201	0.994772311746285
Gloeobacteria	0.3993301582558	0.0289743402959783	0.994772311746285
Halobacteria	0.655683494590938	0.012748093299249	0.994772311746285
Hydrogenophilalia	0.756916228110526	-0.0115471318188486	0.994772311746285
Ignavibacteria	0.260712967061666	0.0325444863917079	0.994772311746285
Kiritimatiellae	0.849916890675779	-0.00696516686352694	0.994772311746285
Ktedonobacteria	0.374383400639902	0.0307260113235186	0.994772311746285
Lentisphaeria	0.493936349481391	0.0308224780721481	0.994772311746285
Leotiomycetes	0.462827203744513	0.0179136616567287	0.994772311746285
Limnochordia	0.70386791357503	0.0136042173213748	0.994772311746285
Malasseziomycetes	0.16188394388873	0.0541769576040479	0.994772311746285
Methanobacteria	0.388015244402281	-0.0779064295487459	0.994772311746285
Methanococci	0.107766909365992	0.0412944369941561	0.994772311746285
Methanomicrobia	0.590226833901765	0.0129351327917719	0.994772311746285
Methanopyri	0.867800865061712	0.00608319137748603	0.994772311746285
Methylacidiphilae	0.763759136387028	0.00978161166829755	0.994772311746285
Mollicutes	0.584838471681572	0.0162341444522772	0.994772311746285
Negativicutes	0.120851176735497	0.106736206120069	0.994772311746285
Nitriliruptoria	0.563512223186795	0.0200851998758029	0.994772311746285
Nitrososphaeria	0.494220316121253	0.0234620614595832	0.994772311746285
Nitrospira	0.956181410961691	-0.00127838077102141	0.994772311746285
Oligoflexia	0.755887948496573	0.00729790923101814	0.994772311746285
Opitutae	0.265815884788662	0.0328613268563309	0.994772311746285
Phycisphaerae	0.865900017488536	0.00463164053250414	0.994772311746285
Planctomycetia	0.682908349354557	0.011117552949158	0.994772311746285
Rubrobacteria	0.783148619835896	0.00968478913101776	0.994772311746285
Saccharomycetes	0.34199672832819	0.0245858892555704	0.994772311746285
Saprospiria	0.675157876709743	0.0116621965753045	0.994772311746285
Schizosaccharomycetes	0.539251052445336	0.0200415049395455	0.994772311746285
Sordariomycetes	0.523024116918134	0.01498608257117	0.994772311746285
Sphingobacteriia	0.447808956242322	0.0160261648292674	0.994772311746285
Spirochaetia	0.708253288778453	0.00890336198459194	0.994772311746285
Synergistia	0.389472398110268	0.0378297073087017	0.994772311746285
Tepidiformia	0.279845383573103	0.0411507202566908	0.994772311746285
Thermococci	0.699147028757607	0.00964481987567425	0.994772311746285
Thermodesulfobacteria	0.985890416105693	-0.000460602667269285	0.994772311746285
Thermoleophilia	0.868605341608502	0.00603063574741515	0.994772311746285
Thermomicrobia	0.790194779615112	0.0091242498356191	0.994772311746285
Thermoplasmata	0.874030220162709	0.00574706092068708	0.994772311746285
Thermoprotei	0.542297484062182	0.0152089160212426	0.994772311746285
Thermotogae	0.433341033161016	0.0204928176141487	0.994772311746285
Tissierellia	0.912915959281967	0.00268747542687633	0.994772311746285
Tremellomycetes	0.143540994265017	0.0346639734766601	0.994772311746285
Unclassified Acidobacteria Phylum	0.260062583965398	0.0679395922849533	0.994772311746285
Unclassified Actinobacteria Phylum	0.928565283580454	-0.00335939898437699	0.994772311746285
Unclassified Armatimonadetes Phylum	0.313277278480101	-0.0266169624163769	0.994772311746285
Unclassified Ascomycota Phylum	0.962892634455188	-0.00185575940959637	0.994772311746285
