p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.0382955885437233	0.420284731749598	0.470747122300931	0.00183747132321784	0.513786997010972	0.883117491063666	0.951907161450282
Acidithiobacillia	0.335845114610669	0.422367625978724	0.457508323872205	0.000749281247635336	0.587728950568672	0.883117491063666	0.951907161450282
Acidobacteriia	0.0929222988068934	0.353987409945427	0.374109494911756	0.00123530223745686	0.520364873318603	0.883117491063666	0.951907161450282
Actinobacteria	0.75096569447629	0.552924290389571	0.458797283192568	0.000362650714051477	0.864087624664211	0.883117491063666	0.951907161450282
Alphaproteobacteria	0.117803253844689	0.371156541231007	0.400455238158299	0.0011265070102548	0.524655073683121	0.883117491063666	0.951907161450282
Anaerolineae	0.314517733211901	0.95188696201986	0.972129845271677	0.000672020403824251	0.568161066447306	0.974458208530119	0.999121576213241
Aquificae	0.296111508551224	0.227556769644136	0.24312226251778	0.000670152285822095	0.568161066447306	0.883117491063666	0.951907161450282
Archaeoglobi	0.570074534958779	0.175429530768494	0.21258842651007	0.000368935213027908	0.769257203799798	0.883117491063666	0.951907161450282
Ardenticatenia	0.0342214345550598	0.166890845902566	0.200308837862622	0.00184705047409767	0.513786997010972	0.883117491063666	0.951907161450282
Bacilli	0.21873739182493	0.616184841536015	0.65288079227489	-0.00086300142788991	0.524655073683121	0.932604084486942	0.956189636039585
Bacteroidia	0.690051782333086	0.315517355688873	0.312292038446513	0.000419669784827318	0.822189357673464	0.883117491063666	0.951907161450282
Betaproteobacteria	0.102733003706801	0.262194385772095	0.297534698980555	0.00118444850825446	0.524655073683121	0.883117491063666	0.951907161450282
Blastocatellia	0.175639577983161	0.851340038614161	0.724144266051901	0.00117678766650453	0.524655073683121	0.973173337767453	0.956189636039585
Caldilineae	0.274094115019514	0.982017915286143	0.938388942868813	0.000924154074129321	0.568161066447306	0.982017915286143	0.991523213187162
Calditrichae	0.0243919488378509	0.818998848409868	0.79995482576662	0.00143298969963835	0.513786997010972	0.973173337767453	0.981665065048242
Candidatus Brocadiae	0.213334451133247	0.902874034146098	0.70977145115162	0.000883152738958851	0.524655073683121	0.973173337767453	0.956189636039585
Chitinophagia	0.417255611041982	0.908268551919013	0.936046380017373	0.000432830208202827	0.628722456875311	0.973173337767453	0.991523213187162
Chlamydiia	0.448192231761307	0.920020383784305	0.990107026028339	0.000426522248862284	0.64355807637521	0.973173337767453	0.999121576213241
Chlorobia	0.192633501988257	0.711523213499326	0.729425671779542	0.000825119928575379	0.524655073683121	0.972082684959314	0.956189636039585
Chloroflexia	0.306810649307195	0.462928293443168	0.456687537930808	0.0007276063653929	0.568161066447306	0.883117491063666	0.951907161450282
Chrysiogenetes	0.253815837030508	0.23204680718324	0.296030316315295	0.000872198705037157	0.562031212210292	0.883117491063666	0.951907161450282
Chthonomonadetes	0.0430207229076597	0.141031629189638	0.147239881451298	0.00176420721945621	0.513786997010972	0.883117491063666	0.951907161450282
Clostridia	0.0871602941357899	0.468687156507245	0.350491694690686	-0.00054107128745041	0.513786997010972	0.883117491063666	0.951907161450282
Coprothermobacteria	0.497539642131587	0.0443643533102546	0.0455407002272319	0.00076461554645182	0.687956048379479	0.883117491063666	0.951907161450282
Coriobacteriia	0.179636350280119	0.291087792378825	0.296825943530547	0.00138397867194686	0.524655073683121	0.883117491063666	0.951907161450282
Cytophagia	0.308018252951229	0.541378604447729	0.548137337385113	0.000600381266464998	0.568161066447306	0.883117491063666	0.951907161450282
