p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.123865895929779	0.420284731722811	0.47074712227426	0.00147099055830573	0.813132460603711	0.883117491974366	0.951907162338027
Acidithiobacillia	0.638757216544002	0.42236762593647	0.457508323825325	0.000400256576612569	0.893028733184318	0.883117491974366	0.951907162338027
Acidobacteriia	0.276099802631542	0.353987409946587	0.374109494912995	0.000862059370324203	0.813132460603711	0.883117491974366	0.951907162338027
Actinobacteria	0.870174848195804	0.552924290853409	0.458797283645517	-0.000211221145617324	0.97931040877451	0.883117491974366	0.951907162338027
Alphaproteobacteria	0.327247262828706	0.371156541212024	0.400455238139401	0.000766622239737595	0.813132460603711	0.883117491974366	0.951907162338027
Anaerolineae	0.380739167891904	0.951886962126339	0.972129845382288	0.000656815975760203	0.813621149242539	0.974458208520805	0.999121576314488
Aquificae	0.928153849177792	0.227556769645838	0.243122262517881	6.83626696864619e-05	0.981353855306651	0.883117491974366	0.951907162338027
Archaeoglobi	0.862849923932203	0.175429530726478	0.212588426440874	-0.000123162378637406	0.97931040877451	0.883117491974366	0.951907162338027
Ardenticatenia	0.170477162688665	0.166890845918699	0.200308837880226	0.00125798590512515	0.813132460603711	0.883117491974366	0.951907162338027
Bacilli	0.19972374550836	0.616184841703904	0.652880792454629	-0.00116541046527923	0.813132460603711	0.932604084741045	0.956189635991717
Bacteroidia	0.288146226303177	0.315517355703374	0.312292038464192	0.00145836633454886	0.813132460603711	0.883117491974366	0.951907162338027
Betaproteobacteria	0.353488952524868	0.262194385718483	0.297534698926821	0.000730813088807943	0.813132460603711	0.883117491974366	0.951907162338027
Blastocatellia	0.155170050586007	0.851340038614023	0.724144266051946	0.0013515166275089	0.813132460603711	0.973173337655678	0.956189635991717
Caldilineae	0.304152565937468	0.982017915252157	0.938388942903859	0.000964898260002706	0.813132460603711	0.982017915252157	0.991523213187003
Calditrichae	0.0340037561238938	0.818998848729087	0.799954826077222	0.00154266896754482	0.813132460603711	0.973173337655678	0.981665064854761
Candidatus Brocadiae	0.187268538457224	0.902874034160974	0.709771451167612	0.00105568205130867	0.813132460603711	0.973173337655678	0.956189635991717
Chitinophagia	0.510402943259028	0.908268551911677	0.936046380010599	0.000402548670918877	0.888624191218058	0.973173337655678	0.991523213187003
Chlamydiia	0.524668156009404	0.920020384288857	0.990107026571784	0.000421160311699573	0.888624191218058	0.973173337655678	0.999121576314488
Chlorobia	0.339006234439319	0.711523213565505	0.729425671849701	0.000679808929253705	0.813132460603711	0.972082684951954	0.956189635991717
Chloroflexia	0.626797420591309	0.462928293434202	0.456687537921499	0.000384999181777692	0.888624191218058	0.883117491974366	0.951907162338027
Chrysiogenetes	0.658967559356994	0.232046807109109	0.296030316262041	0.000371137510227163	0.900053251804674	0.883117491974366	0.951907162338027
Chthonomonadetes	0.269883412272882	0.141031629176865	0.14723988143783	0.00102758984540275	0.813132460603711	0.883117491974366	0.951907162338027
Clostridia	0.0434847893540162	0.468687156796803	0.350491694903209	-0.000782928977337015	0.813132460603711	0.883117491974366	0.951907162338027
Coprothermobacteria	0.593062037288076	0.0443643533136931	0.0455407002306958	-0.000664814454824625	0.888624191218058	0.883117491974366	0.951907162338027
Coriobacteriia	0.812916368453296	0.291087792378806	0.296825943530524	0.000315226375644688	0.97931040877451	0.883117491974366	0.951907162338027
Cytophagia	0.582752344624122	0.541378604561461	0.548137337509832	0.000363506122955141	0.888624191218058	0.883117491974366	0.951907162338027
Deferribacteres	0.813766339595916	0.700940550076743	0.727978025253491	0.00015341154133798	0.97931040877451	0.972082684951954	0.956189635991717
Dehalococcoidia	0.252242745286409	0.910377989187646	0.834492220356541	0.000956651744659781	0.813132460603711	0.973173337655678	0.981665064854761
Deinococci	0.24450109740196	0.33237099759623	0.372823824617814	0.000988968452712244	0.813132460603711	0.883117491974366	0.951907162338027
Deltaproteobacteria	0.415143052708966	0.669796874580394	0.768366671779058	0.00094518907118613	0.841728655005538	0.961759614782104	0.956189635991717
Dictyoglomia	0.598759703885061	0.824498133134584	0.845034614435372	-0.000510924389851332	0.888624191218058	0.973173337655678	0.981665064854761
Dothideomycetes	0.177449876641582	0.938417147025118	0.999121576314488	0.00102241297656127	0.813132460603711	0.973173337655678	0.999121576314488
Ellioviricetes	0.109614070628982	0.0901031789069982	0.0880701506077646	0.00169514987147269	0.813132460603711	0.883117491974366	0.951907162338027
Elusimicrobia	0.0613611276427704	0.852540489854504	0.716850032726487	0.00153965595622218	0.813132460603711	0.973173337655678	0.956189635991717
Endomicrobia	0.355745451514123	0.818651711287291	0.727259656436983	0.00085212107539354	0.813132460603711	0.973173337655678	0.956189635991717
Epsilonproteobacteria	0.826437866620521	0.278603984313118	0.275299092195625	0.000194792323064012	0.97931040877451	0.883117491974366	0.951907162338027
Erysipelotrichia	0.492082957714872	0.161721081200757	0.18079682066109	-0.000737711134214801	0.888624191218058	0.883117491974366	0.951907162338027
Eurotiomycetes	0.455663853067599	0.837160193975931	0.902781265000361	0.000532007280480763	0.879902612820192	0.973173337655678	0.981665064854761
Fibrobacteria	0.967936853733869	0.3078698876967	0.317447574829527	3.97548806958981e-05	0.994577317598104	0.883117491974366	0.951907162338027
Fimbriimonadia	0.621512674508705	0.505609298096067	0.592478496632806	0.00037945003965484	0.888624191218058	0.883117491974366	0.951907162338027
Flavobacteriia	0.84327489064636	0.799388189479421	0.80893428031161	0.000125074653284905	0.97931040877451	0.973173337655678	0.981665064854761
Fusobacteriia	0.604511699162865	0.519004478129168	0.536964738024015	-0.000435256403181998	0.888624191218058	0.883117491974366	0.951907162338027
Gammaproteobacteria	0.291743974471414	0.272260008944233	0.356497124596367	-0.000859909536423833	0.813132460603711	0.883117491974366	0.951907162338027
Gemmatimonadetes	0.266955923399115	0.481889361470164	0.51149745143847	0.000997024931278553	0.813132460603711	0.883117491974366	0.951907162338027
Gloeobacteria	0.330456616155176	0.427864020289369	0.458660194227682	0.000926816978131466	0.813132460603711	0.883117491974366	0.951907162338027
Halobacteria	0.106102415208061	0.453403925414348	0.499971169462109	0.00132739843222158	0.813132460603711	0.883117491974366	0.951907162338027
Hydrogenophilalia	0.0282443195609877	0.839702890579086	0.679761919635498	0.00223151041080427	0.813132460603711	0.973173337655678	0.956189635991717
Ignavibacteria	0.824574388870396	0.426002902601137	0.426695680507817	-0.000186947208580384	0.97931040877451	0.883117491974366	0.951907162338027
Kiritimatiellae	0.172753446497753	0.927366509334489	0.845939531390525	0.00147144806917006	0.813132460603711	0.973173337655678	0.981665064854761
Ktedonobacteria	0.862271718875555	0.348325273151909	0.350054565602608	0.000158784145409413	0.97931040877451	0.883117491974366	0.951907162338027
Lentisphaeria	0.842867517115946	0.16477414769453	0.15302154593082	-0.000282853196150848	0.97931040877451	0.883117491974366	0.951907162338027
Leotiomycetes	0.87438429354867	0.365308303631469	0.382891781771122	0.000122311658187188	0.97931040877451	0.883117491974366	0.951907162338027
Limnochordia	0.548186406595072	0.493882916034741	0.527889533835112	0.000565841963904202	0.888624191218058	0.883117491974366	0.951907162338027
Malasseziomycetes	0.677624000824469	0.390359441918752	0.424487068470512	0.000431163210424646	0.903498667765959	0.883117491974366	0.951907162338027
Methanobacteria	0.998532958473603	0.957057169082934	0.893500777645664	-4.24526743540705e-06	0.998532958473603	0.974458208520805	0.981665064854761
Methanococci	0.64585113739223	0.362349613664154	0.367149046523126	-0.000388101532611841	0.893028733184318	0.883117491974366	0.951907162338027
Methanomicrobia	0.728094626088019	0.45216779226422	0.45505166264842	0.000219892686032551	0.950255930257747	0.883117491974366	0.951907162338027
Methanopyri	0.15608438464592	0.800263890391402	0.89233287351351	0.00153631855009652	0.813132460603711	0.973173337655678	0.981665064854761
Methylacidiphilae	0.912674468382619	0.837437233140621	0.818340795969097	-9.55755464609536e-05	0.981353855306651	0.973173337655678	0.981665064854761
Mollicutes	0.845500629122118	0.540425813677812	0.577822437326198	-0.000177725176037257	0.97931040877451	0.883117491974366	0.951907162338027
Negativicutes	0.303436113598274	0.462193050814779	0.485352610728486	-0.00163939695735156	0.813132460603711	0.883117491974366	0.951907162338027
Nitriliruptoria	0.263551548725583	0.278235682468968	0.317974841350717	0.00108567281287522	0.813132460603711	0.883117491974366	0.951907162338027
Nitrososphaeria	0.998224359386052	0.416274307792296	0.419956203700953	-1.86601892737969e-06	0.998532958473603	0.883117491974366	0.951907162338027
Nitrospira	0.296583437395252	0.730295244077635	0.756996954022882	0.000748548337137887	0.813132460603711	0.972082684951954	0.956189635991717
Oligoflexia	0.589888820955274	0.547945214887089	0.546293512869022	0.000356386918603134	0.888624191218058	0.883117491974366	0.951907162338027
Opitutae	0.30383530992848	0.408257557012367	0.463284935142762	0.000841899313373311	0.813132460603711	0.883117491974366	0.951907162338027
Phycisphaerae	0.391355560558463	0.511379840442126	0.546730097661723	0.000660034308385128	0.813621149242539	0.883117491974366	0.951907162338027
Planctomycetia	0.19664321065694	0.546216504149592	0.594795261436095	0.000989979801860027	0.813132460603711	0.883117491974366	0.951907162338027
Rubrobacteria	0.125453754235974	0.531982965535433	0.607051127329021	0.00137982404186347	0.813132460603711	0.883117491974366	0.951907162338027
Saccharomycetes	0.677412391622942	0.339991295167271	0.305519598094888	-0.000313897651969771	0.903498667765959	0.883117491974366	0.951907162338027
Saprospiria	0.392281625527653	0.653468796008699	0.655003524213142	0.000658554272320976	0.813621149242539	0.950500066921744	0.956189635991717
Schizosaccharomycetes	0.978447382815021	0.526595066211792	0.558462853466679	2.5225821423588e-05	0.996237335229839	0.883117491974366	0.951907162338027
Sordariomycetes	0.616138623958623	0.425279667711319	0.430570800714795	0.000313488066676802	0.888624191218058	0.883117491974366	0.951907162338027
Sphingobacteriia	0.90278879644299	0.861397768147334	0.85603560401842	6.76795193945242e-05	0.981353855306651	0.973173337655678	0.981665064854761
Spirochaetia	0.389908824334141	0.843486029712772	0.891458689942992	0.000554771678787054	0.813621149242539	0.973173337655678	0.981665064854761
Synergistia	0.483881283273124	0.899788952037361	0.990776063741507	0.000717504809747721	0.888624191218058	0.973173337655678	0.999121576314488
Tepidiformia	0.944580695052723	0.064208891779955	0.0567632557094727	6.34759276186934e-05	0.981353855306651	0.883117491974366	0.951907162338027
Thermococci	0.386956410269212	0.396672552084548	0.442801828212468	0.000565553940808114	0.813621149242539	0.883117491974366	0.951907162338027
Thermodesulfobacteria	0.72966080359077	0.488703326462128	0.546537081837178	0.000241952083515861	0.950255930257747	0.883117491974366	0.951907162338027
Thermoleophilia	0.303908327038904	0.732953160688968	0.765901520963614	0.00105371268251919	0.813132460603711	0.972082684951954	0.956189635991717
Thermomicrobia	0.114407001511822	0.480680111977609	0.568390846770211	0.0014692089014012	0.813132460603711	0.883117491974366	0.951907162338027
Thermoplasmata	0.344239525033565	0.576694710594301	0.580371087737669	0.000737743195365195	0.813132460603711	0.897080660924469	0.951907162338027
Thermoprotei	0.466372398038458	0.248469578710599	0.233729268937377	-0.000459383565081092	0.88531709458148	0.883117491974366	0.951907162338027
Thermotogae	0.617685223166201	0.390845664505414	0.404974585695744	-0.000361722704749019	0.888624191218058	0.883117491974366	0.951907162338027
Tissierellia	0.943894847280861	0.725699038724227	0.761052721573802	4.86775778494433e-05	0.981353855306651	0.972082684951954	0.956189635991717
Tremellomycetes	0.525794161745724	0.407250287651369	0.427288305060928	0.000495505412826075	0.888624191218058	0.883117491974366	0.951907162338027
Unclassified Acidobacteria Phylum	0.844120785208075	0.930073120598312	0.875592273990625	0.000270229345545292	0.97931040877451	0.973173337655678	0.981665064854761
Unclassified Actinobacteria Phylum	0.0945126119430337	0.167719491213093	0.179411482804469	0.00159363581269845	0.813132460603711	0.883117491974366	0.951907162338027
Unclassified Armatimonadetes Phylum	0.117988996118882	0.889946662249356	0.97557940404922	0.00122830058320748	0.813132460603711	0.973173337655678	0.999121576314488
Unclassified Ascomycota Phylum	0.6188886425261	0.488297604920057	0.600883740784021	0.000587187750143986	0.888624191218058	0.883117491974366	0.951907162338027
Unclassified Bacteroidetes Phylum	0.187180471554737	0.18408690901473	0.186791819468404	0.00122025510521488	0.813132460603711	0.883117491974366	0.951907162338027
Unclassified Balneolaeota Phylum	0.6046475579924	0.875695324307267	0.897340574360034	0.000428967365058262	0.888624191218058	0.973173337655678	0.981665064854761
Unclassified Candidatus Bipolaricaulota Phylum	0.323826632384079	0.640010659591618	0.747124913158689	0.000939385554198912	0.813132460603711	0.950500066921744	0.956189635991717
Unclassified Candidatus Cloacimonetes Phylum	0.549383935306258	0.230650183272603	0.249476736985712	-0.000627620340191518	0.888624191218058	0.883117491974366	0.951907162338027
Unclassified Candidatus Gracilibacteria Phylum	0.185058754324057	0.650605904773631	0.657988272701707	-0.00170425553489348	0.813132460603711	0.950500066921744	0.956189635991717
Unclassified Candidatus Saccharibacteria Phylum	0.800462496625191	0.282225709160117	0.306315734211953	0.000231961729905876	0.97931040877451	0.883117491974366	0.951907162338027
Unclassified Cyanobacteria Phylum	0.510152696509089	0.418194721445787	0.426299819116649	0.000411099444669827	0.888624191218058	0.883117491974366	0.951907162338027
Unclassified Elusimicrobia Phylum	0.316826208504922	0.732201824094277	0.724014932398323	0.000933890346337302	0.813132460603711	0.972082684951954	0.956189635991717
Unclassified Euryarchaeota Phylum	0.103625905527398	0.497583092131417	0.44558659135454	0.00159512631321977	0.813132460603711	0.883117491974366	0.951907162338027
Unclassified Firmicutes Phylum	0.946305503331413	0.544839575713064	0.568789190714585	4.00095878905792e-05	0.981353855306651	0.883117491974366	0.951907162338027
