p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.294822437858358	0.396353243017297	0.394938685297527	-0.19098572216111	0.643616759666341	0.887405110467729	0.893873574260509
Acidithiobacillia	0.104442254604365	0.728696585108776	0.725191122086535	-0.262900773366073	0.643616759666341	0.887405110467729	0.893873574260509
Acidobacteriia	0.263319547659716	0.759679454120282	0.75220685540223	-0.169757111908928	0.643616759666341	0.896112556525538	0.897632817097951
Actinobacteria	0.404116582869946	0.689181061161941	0.705951343004926	0.202128127179757	0.643616759666341	0.887405110467729	0.893873574260509
Alphaproteobacteria	0.399497240535023	0.615069104273301	0.612565951124341	-0.125658334033738	0.643616759666341	0.887405110467729	0.893873574260509
Anaerolineae	0.253412067480322	0.552509242728871	0.547902385834506	-0.160107755119026	0.643616759666341	0.887405110467729	0.893873574260509
Aquificae	0.309257169184993	0.444547841500248	0.444348100446091	-0.145867307190045	0.643616759666341	0.887405110467729	0.893873574260509
Archaeoglobi	0.718702890836347	0.364359733544849	0.376063587461948	0.0485445765707106	0.821374732384396	0.887405110467729	0.893873574260509
Ardenticatenia	0.424811111220565	0.955806175238112	0.955549627305745	-0.143140822876399	0.643616759666341	0.982047160899418	0.982934428221579
Bacilli	0.839121913569213	0.959491721520177	0.970212553454249	-0.034198049272403	0.895063374473827	0.982047160899418	0.982934428221579
Bacteroidia	0.348235221575715	0.437064259083368	0.436180909435181	0.238654560046232	0.643616759666341	0.887405110467729	0.893873574260509
Betaproteobacteria	0.435843103561252	0.918324043202495	0.918913426310239	-0.117487073323868	0.643616759666341	0.970304649421504	0.970927393837234
Blastocatellia	0.502345799235937	0.201307669293338	0.207298960762512	-0.118683484597164	0.665526706065989	0.887405110467729	0.893873574260509
Caldilineae	0.23681014670549	0.389678495311442	0.392367041075946	-0.208112379916169	0.643616759666341	0.887405110467729	0.893873574260509
Calditrichae	0.586684561187702	0.912750240096023	0.903954816058538	-0.0741028236036739	0.744545983896861	0.970304649421504	0.96421847046244
Candidatus Brocadiae	0.981620523086144	0.887065457482898	0.858557137314373	-0.00344455331335121	0.981620523086144	0.964576031437715	0.952063360190196
Chitinophagia	0.349164774305844	0.533448986793623	0.532025189907364	-0.106791842463414	0.643616759666341	0.887405110467729	0.893873574260509
Chlamydiia	0.397723286965776	0.974171816154896	0.968464291212835	-0.103983413729346	0.643616759666341	0.982948138822958	0.982934428221579
Chlorobia	0.192785290749734	0.302354419671362	0.298569929367525	-0.173452499618419	0.643616759666341	0.887405110467729	0.893873574260509
Chloroflexia	0.185055395495097	0.672839642728623	0.662620585748895	-0.198163526057938	0.643616759666341	0.887405110467729	0.893873574260509
Chrysiogenetes	0.448953557038384	0.303052833903466	0.31174703824416	-0.120355084228941	0.643616759666341	0.887405110467729	0.893873574260509
Chthonomonadetes	0.338781772432355	0.236353525152712	0.232248535545961	-0.172384018507946	0.643616759666341	0.887405110467729	0.893873574260509
Clostridia	0.262867431783124	0.72893991216992	0.756541757031962	-0.0798799915342908	0.643616759666341	0.887405110467729	0.897632817097951
Coprothermobacteria	0.252853315428747	0.429031189706486	0.433832046073069	-0.272736318310312	0.643616759666341	0.887405110467729	0.893873574260509
Coriobacteriia	0.904291816267836	0.719420511187117	0.720871334688796	0.0302661432261837	0.92918058185319	0.887405110467729	0.893873574260509
Cytophagia	0.246896119503497	0.277040213446607	0.273609028225677	-0.143642071926902	0.643616759666341	0.887405110467729	0.893873574260509
Deferribacteres	0.505087232282224	0.737824391936182	0.738520060498288	-0.081097322822156	0.665526706065989	0.888562708568305	0.897632817097951
Dehalococcoidia	0.0461544704596549	0.104319237903388	0.104909483875118	-0.308655947628234	0.643616759666341	0.887405110467729	0.893873574260509
Deinococci	0.309642722484464	0.446503889633472	0.445589172287484	-0.165115757648363	0.643616759666341	0.887405110467729	0.893873574260509
Deltaproteobacteria	0.832259083143877	0.681629167383953	0.696359577801287	0.0459233245913215	0.895063374473827	0.887405110467729	0.893873574260509
Dictyoglomia	0.446382751526022	0.548234525323622	0.551051155402097	-0.137199169192179	0.643616759666341	0.887405110467729	0.893873574260509
Dothideomycetes	0.155999445058225	0.346377117022496	0.34525005636927	-0.201780884874902	0.643616759666341	0.887405110467729	0.893873574260509
Ellioviricetes	0.871241895218253	0.399273819008464	0.401179038796639	0.0318304781585014	0.91532179403144	0.887405110467729	0.893873574260509
Elusimicrobia	0.632592715506545	0.679110291417716	0.667937060249294	-0.0736541799444691	0.753727490816309	0.887405110467729	0.893873574260509
Endomicrobia	0.152314093485518	0.138612739019294	0.141623542538926	-0.244385295314994	0.643616759666341	0.887405110467729	0.893873574260509
Epsilonproteobacteria	0.332582575821108	0.760095472052912	0.769239937656855	-0.162669063131734	0.643616759666341	0.896112556525538	0.897632817097951
Erysipelotrichia	0.297114915564201	0.460888499883108	0.465418027427753	-0.210499470431426	0.643616759666341	0.887405110467729	0.893873574260509
Eurotiomycetes	0.295301260717543	0.361338620942654	0.364221419735457	-0.139155977138559	0.643616759666341	0.887405110467729	0.893873574260509
Fibrobacteria	0.144611378455984	0.432784769429426	0.428726100860341	-0.273317907882382	0.643616759666341	0.887405110467729	0.893873574260509
Fimbriimonadia	0.429174494857859	0.425172362759804	0.434280042431155	-0.11370654307024	0.643616759666341	0.887405110467729	0.893873574260509
Flavobacteriia	0.211400738705486	0.286327814254341	0.284182492818622	-0.147249408854005	0.643616759666341	0.887405110467729	0.893873574260509
Fusobacteriia	0.64455049015704	0.577651339916339	0.581043842435909	-0.0720138267505674	0.759891104185141	0.887405110467729	0.893873574260509
Gammaproteobacteria	0.166861546931116	0.70436057923877	0.726272279086664	-0.209040569939419	0.643616759666341	0.887405110467729	0.893873574260509
Gemmatimonadetes	0.381933970826028	0.564038890756413	0.560118332051686	-0.149502693037155	0.643616759666341	0.887405110467729	0.893873574260509
Gloeobacteria	0.215326095866057	0.412166933653194	0.409093976335643	-0.224040093287649	0.643616759666341	0.887405110467729	0.893873574260509
Halobacteria	0.502806300439154	0.611619001268652	0.609389821516051	-0.105152676365614	0.665526706065989	0.887405110467729	0.893873574260509
Hydrogenophilalia	0.957172204904263	0.165908581006631	0.173973436549555	0.0100412711985307	0.965795377921418	0.887405110467729	0.893873574260509
Ignavibacteria	0.939242201284384	0.561223426832652	0.56212909571618	0.0120108881548049	0.956319332216827	0.887405110467729	0.893873574260509
Kiritimatiellae	0.60744631506383	0.705046225379969	0.70980903403207	-0.10405670084227	0.744545983896861	0.887405110467729	0.893873574260509
Ktedonobacteria	0.0779867301755563	0.562166857860988	0.553709997414447	-0.305240394659683	0.643616759666341	0.887405110467729	0.893873574260509
Lentisphaeria	0.468500849626987	0.211145624376152	0.207233170565757	-0.19460102804921	0.647803643928673	0.887405110467729	0.893873574260509
Leotiomycetes	0.279963984451588	0.459085227268162	0.457744370816038	-0.157578107698406	0.643616759666341	0.887405110467729	0.893873574260509
Limnochordia	0.0533161754815607	0.276168458390913	0.273322873551125	-0.344252531215108	0.643616759666341	0.887405110467729	0.893873574260509
Malasseziomycetes	0.27314557443767	0.352182475387669	0.352958856575894	-0.213851745127721	0.643616759666341	0.887405110467729	0.893873574260509
Methanobacteria	0.0267068715598729	0.215579129943133	0.216742913755944	-0.957309239137783	0.643616759666341	0.887405110467729	0.893873574260509
Methanococci	0.532660103444648	0.39188236787421	0.391984277510091	-0.09834399002249	0.693696878904658	0.887405110467729	0.893873574260509
Methanomicrobia	0.338159286948842	0.39676595123788	0.392466598627395	-0.11419908165554	0.643616759666341	0.887405110467729	0.893873574260509
Methanopyri	0.272926657559398	0.815392295177276	0.81982762669815	-0.223352386692373	0.643616759666341	0.931876908774029	0.9369458590836
Methylacidiphilae	0.7555834344012	0.446240213404079	0.443616932648654	-0.0503126903398426	0.854801461140752	0.887405110467729	0.893873574260509
Mollicutes	0.455145320850169	0.401645240265329	0.405841893608332	-0.126518868748171	0.643616759666341	0.887405110467729	0.893873574260509
Negativicutes	0.0255123684775088	0.461139816307778	0.469939149638335	-0.670940884044459	0.643616759666341	0.887405110467729	0.893873574260509
Nitriliruptoria	0.184725288158593	0.246954630623934	0.246976617687589	-0.24511672759315	0.643616759666341	0.887405110467729	0.893873574260509
Nitrososphaeria	0.604673092806778	0.59990361136758	0.597664537935338	-0.0818720257497122	0.744545983896861	0.887405110467729	0.893873574260509
Nitrospira	0.280966675982502	0.136276031484884	0.13523722610712	-0.143481088480946	0.643616759666341	0.887405110467729	0.893873574260509
Oligoflexia	0.427199180701749	0.503312541256475	0.497575855654327	-0.0987450519594904	0.643616759666341	0.887405110467729	0.893873574260509
Opitutae	0.611591343915279	0.883391318708452	0.886515029164576	-0.0795564394702555	0.744545983896861	0.964576031437715	0.964063714174499
Phycisphaerae	0.336605420303175	0.321883064037345	0.321559327286223	-0.138917719702639	0.643616759666341	0.887405110467729	0.893873574260509
Planctomycetia	0.351485473802553	0.447856349300086	0.446719332641285	-0.135231537567503	0.643616759666341	0.887405110467729	0.893873574260509
Rubrobacteria	0.408576220751353	0.269210711433418	0.270554940644696	-0.141097935807052	0.643616759666341	0.887405110467729	0.893873574260509
Saccharomycetes	0.186324990581344	0.717513623675566	0.7019097235527	-0.188172452868137	0.643616759666341	0.887405110467729	0.893873574260509
Saprospiria	0.0111452857766233	0.214412079559578	0.207943572245046	-0.364992682358331	0.643616759666341	0.887405110467729	0.893873574260509
Schizosaccharomycetes	0.289832040387737	0.420830312448525	0.422553961591608	-0.184288565694455	0.643616759666341	0.887405110467729	0.893873574260509
Sordariomycetes	0.228761788994773	0.417348644260591	0.412050251475165	-0.14211947988752	0.643616759666341	0.887405110467729	0.893873574260509
Sphingobacteriia	0.149676492696652	0.363475027723662	0.358545379362579	-0.149038428329687	0.643616759666341	0.887405110467729	0.893873574260509
Spirochaetia	0.246296933842011	0.417642283861745	0.417335132029849	-0.14003681695908	0.643616759666341	0.887405110467729	0.893873574260509
Synergistia	0.0824338161070146	0.502228676701233	0.509496622654318	-0.333520523994343	0.643616759666341	0.887405110467729	0.893873574260509
Tepidiformia	0.211633147107658	0.634150130824414	0.618238432653465	-0.223206343759665	0.643616759666341	0.887405110467729	0.893873574260509
Thermococci	0.280018982949932	0.607212179000898	0.608097167009587	-0.133915002317832	0.643616759666341	0.887405110467729	0.893873574260509
Thermodesulfobacteria	0.122366850601241	0.24270611214436	0.245302767554415	-0.202455415331203	0.643616759666341	0.887405110467729	0.893873574260509
Thermoleophilia	0.497977819768025	0.772549271749862	0.769399557512529	-0.131229813565753	0.665526706065989	0.901307483708172	0.897632817097951
Thermomicrobia	0.663749509774174	0.431621858939807	0.436698185212743	-0.0770353269078261	0.774374428069869	0.887405110467729	0.893873574260509
Thermoplasmata	0.149447501898585	0.460680990508874	0.451780558701841	-0.212887761925843	0.643616759666341	0.887405110467729	0.893873574260509
Thermoprotei	0.360307114994704	0.402329318470144	0.397212497473148	-0.108373315182866	0.643616759666341	0.887405110467729	0.893873574260509
Thermotogae	0.0786110354527419	0.309362913240647	0.307752012470883	-0.239173552394087	0.643616759666341	0.887405110467729	0.893873574260509
