p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.939238095951376	0.945782866537714	0.87739096322492	0.000600859284190778	0.995859029583939	0.995526819309343	0.996928403983069
Acidithiobacillia	0.995859029583939	0.794863186907716	0.660319710181341	3.50897677647055e-05	0.995859029583939	0.995526819309343	0.996928403983069
Acidobacteriia	0.976762184942882	0.907698196535447	0.866273757633703	-0.000192975530307175	0.995859029583939	0.995526819309343	0.996928403983069
Actinobacteria	0.703360126118037	0.322735299250782	0.590188470611448	-0.0043016220510982	0.995859029583939	0.995526819309343	0.996928403983069
Alphaproteobacteria	0.933260781351916	0.771337632143901	0.952389041455664	-0.000546293867710712	0.995859029583939	0.995526819309343	0.996928403983069
Anaerolineae	0.873799708406257	0.586772987480864	0.800455734742705	-0.000965205447871618	0.995859029583939	0.995526819309343	0.996928403983069
Aquificae	0.812863840896199	0.519553066079036	0.453163043225875	-0.00158317200154874	0.995859029583939	0.995526819309343	0.996928403983069
Archaeoglobi	0.597639308042374	0.869379029719084	0.709631389732901	-0.00346052948892318	0.995859029583939	0.995526819309343	0.996928403983069
Ardenticatenia	0.430774165378655	0.972604174588703	0.976801104346245	0.00590065347886384	0.995859029583939	0.995526819309343	0.996928403983069
Bacilli	0.814630433782561	0.111865649040022	0.14774129625536	0.00182477341628248	0.995859029583939	0.995526819309343	0.996928403983069
Bacteroidia	0.354844200616701	0.381956521051924	0.359843628704624	-0.0104012685206671	0.995859029583939	0.995526819309343	0.996928403983069
Betaproteobacteria	0.881780970819166	0.973840105593706	0.908403104870198	-0.000979049381597206	0.995859029583939	0.995526819309343	0.996928403983069
Blastocatellia	0.272567175092056	0.731240239273602	0.93314215277432	0.00812550166657293	0.995859029583939	0.995526819309343	0.996928403983069
Caldilineae	0.781916251463324	0.620923144541616	0.566087787787352	0.00201415440511654	0.995859029583939	0.995526819309343	0.996928403983069
Calditrichae	0.654165847081488	0.456695205414332	0.521330048082327	0.00284938067791236	0.995859029583939	0.995526819309343	0.996928403983069
Candidatus Brocadiae	0.89610509030022	0.538319465952332	0.924523576787417	-0.000904042005192303	0.995859029583939	0.995526819309343	0.996928403983069
Chitinophagia	0.980643615756214	0.195086127502947	0.21486161849189	0.000124714573224086	0.995859029583939	0.995526819309343	0.996928403983069
Chlamydiia	0.437125797447907	0.427455000716845	0.509043679276435	0.00452901026732677	0.995859029583939	0.995526819309343	0.996928403983069
Chlorobia	0.943351490843446	0.301007661005457	0.427167362012451	-0.000422823178517959	0.995859029583939	0.995526819309343	0.996928403983069
Chloroflexia	0.942199823236343	0.867700904968637	0.874566453175816	0.000500302892287823	0.995859029583939	0.995526819309343	0.996928403983069
Chrysiogenetes	0.896318842717181	0.820880843033811	0.997002691323495	0.000912923969403572	0.995859029583939	0.995526819309343	0.997002691323495
Chthonomonadetes	0.166864657206533	0.697505961194809	0.816155981907721	0.0108808611965775	0.995859029583939	0.995526819309343	0.996928403983069
Clostridia	0.759903284800107	0.704489200460818	0.335795467495683	0.00105339348887626	0.995859029583939	0.995526819309343	0.996928403983069
Coprothermobacteria	0.941977909799238	0.770451192690862	0.909859279592212	-0.000802832024950274	0.995859029583939	0.995526819309343	0.996928403983069
Coriobacteriia	0.277191444895169	0.00291196385384706	0.00121973581496736	-0.010620651978574	0.995859029583939	0.326139951630871	0.136610411276344
Cytophagia	0.991747611492614	0.237322848781926	0.333716628165136	5.70200594986031e-05	0.995859029583939	0.995526819309343	0.996928403983069
Deferribacteres	0.55725505955197	0.553333968919823	0.480191261819771	-0.00336400979530731	0.995859029583939	0.995526819309343	0.996928403983069
Dehalococcoidia	0.227569133560379	0.91417504385598	0.773472680637682	0.00876529594219554	0.995859029583939	0.995526819309343	0.996928403983069
Deinococci	0.733592345609851	0.766721381131535	0.878194391367363	0.00236252189580837	0.995859029583939	0.995526819309343	0.996928403983069
Deltaproteobacteria	0.0766049432993119	0.992915795274978	0.967527553857751	-0.0182350194070048	0.995859029583939	0.995526819309343	0.996928403983069
Dictyoglomia	0.309153294825038	0.759013125217108	0.806304693404683	-0.00863231166932939	0.995859029583939	0.995526819309343	0.996928403983069
Dothideomycetes	0.855716422832803	0.163428092236599	0.177421856935704	-0.00116420740478358	0.995859029583939	0.995526819309343	0.996928403983069
Ellioviricetes	0.812998930745633	0.82665010915659	0.835640370958718	0.00217772041262989	0.995859029583939	0.995526819309343	0.996928403983069
Elusimicrobia	0.177335203405615	0.936896073555287	0.847642676227977	-0.00957013025454845	0.995859029583939	0.995526819309343	0.996928403983069
