p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.959369499952689	0.730879102764483	0.800286866658089	2.67228402249214e-06	0.989606993215942	0.99708112297694	0.997144308810988
Acidithiobacillia	0.495336839804551	0.895149437870768	0.839822541191702	-3.20934250218631e-05	0.989606993215942	0.99708112297694	0.997144308810988
Acidobacteriia	0.966112286640466	0.962351986656875	0.985286793924634	-1.83170067154636e-06	0.989606993215942	0.99708112297694	0.997144308810988
Actinobacteria	0.426885587387492	0.555142202431179	0.784686171185928	5.85761687891484e-05	0.989606993215942	0.99708112297694	0.997144308810988
Alphaproteobacteria	0.916314653086897	0.83056192121324	0.81326448534114	4.55387373007501e-06	0.989606993215942	0.99708112297694	0.997144308810988
Anaerolineae	0.812225935878768	0.683903208087052	0.772152715554319	-1.00626736721322e-05	0.989606993215942	0.99708112297694	0.997144308810988
Aquificae	0.40670207156589	0.621721083766461	0.567012993863362	-3.79406171832927e-05	0.989606993215942	0.99708112297694	0.997144308810988
Archaeoglobi	0.985612199347629	0.634833558798653	0.465277695076555	-7.00126509464806e-07	0.989606993215942	0.99708112297694	0.997144308810988
Ardenticatenia	0.255464952021261	0.732961491933362	0.4776909308523	5.51184583278757e-05	0.989606993215942	0.99708112297694	0.997144308810988
Bacilli	0.254830858714777	0.336393745938616	0.38587671151962	-6.23394599408253e-05	0.989606993215942	0.99708112297694	0.997144308810988
Bacteroidia	0.717357028724527	0.500696310791448	0.508565617031729	2.98199171861527e-05	0.989606993215942	0.99708112297694	0.997144308810988
Betaproteobacteria	0.811556962647429	0.774542699874178	0.678242110899412	1.04940202497879e-05	0.989606993215942	0.99708112297694	0.997144308810988
Blastocatellia	0.305324135268347	0.678583598834643	0.805825015620424	5.15438048372325e-05	0.989606993215942	0.99708112297694	0.997144308810988
Caldilineae	0.906014592523086	0.766790548426955	0.911799267538612	-6.10273845953564e-06	0.989606993215942	0.99708112297694	0.997144308810988
Calditrichae	0.409691060731206	0.876697506969071	0.836840951368329	3.41928553239949e-05	0.989606993215942	0.99708112297694	0.997144308810988
Candidatus Brocadiae	0.771809670790743	0.939593694066587	0.636704894432066	-1.31175288408798e-05	0.989606993215942	0.99708112297694	0.997144308810988
Chitinophagia	0.88911797070501	0.257857059647095	0.307844478478748	-4.85226684774866e-06	0.989606993215942	0.99708112297694	0.997144308810988
Chlamydiia	0.821230101007003	0.796206168408802	0.938218052949352	-8.79400240481146e-06	0.989606993215942	0.99708112297694	0.997144308810988
Chlorobia	0.933926775702979	0.586097782157099	0.668989973976023	-3.36119494825426e-06	0.989606993215942	0.99708112297694	0.997144308810988
Chloroflexia	0.496062046357785	0.938784054320303	0.723829592106976	-3.07317333553247e-05	0.989606993215942	0.99708112297694	0.997144308810988
Chrysiogenetes	0.751717007628158	0.920191918102765	0.716935016355562	1.4961008573921e-05	0.989606993215942	0.99708112297694	0.997144308810988
Chthonomonadetes	0.526196502569883	0.305954575645905	0.329551290375292	3.28112818955932e-05	0.989606993215942	0.99708112297694	0.997144308810988
Clostridia	0.476331224968859	0.737461614815133	0.330889567335346	-1.61889958815737e-05	0.989606993215942	0.99708112297694	0.997144308810988
Coprothermobacteria	0.849743014083144	0.941678213936309	0.898160945075119	1.33911217286598e-05	0.989606993215942	0.99708112297694	0.997144308810988
Coriobacteriia	0.690516493645978	0.727359929775285	0.668060703394558	-3.25775739387789e-05	0.989606993215942	0.99708112297694	0.997144308810988
Cytophagia	0.661603740968974	0.445454365582366	0.598188477240073	-1.65188936873802e-05	0.989606993215942	0.99708112297694	0.997144308810988
Deferribacteres	0.468778376732246	0.940036880950379	0.862083815409177	-2.74975801556224e-05	0.989606993215942	0.99708112297694	0.997144308810988
Dehalococcoidia	0.867911015595212	0.970797038239041	0.844439686359962	8.07396169900179e-06	0.989606993215942	0.99708112297694	0.997144308810988
Deinococci	0.528230607079479	0.863090795122731	0.698860719023127	2.9148420283487e-05	0.989606993215942	0.99708112297694	0.997144308810988
Deltaproteobacteria	0.41520580009171	0.722796484165934	0.825658131570866	-5.45636097030631e-05	0.989606993215942	0.99708112297694	0.997144308810988
Dictyoglomia	0.277305653841081	0.960184645683525	0.859351395550903	-6.26495356511892e-05	0.989606993215942	0.99708112297694	0.997144308810988
Dothideomycetes	0.667245546881178	0.183304794123996	0.164843240737231	1.78537569240791e-05	0.989606993215942	0.99708112297694	0.997144308810988
Ellioviricetes	0.980968093117372	0.859399238192835	0.840167340781609	-1.5082585441856e-06	0.989606993215942	0.99708112297694	0.997144308810988
Elusimicrobia	0.507944371817188	0.272704636731513	0.139396996735684	2.87856764933387e-05	0.989606993215942	0.99708112297694	0.997144308810988
Endomicrobia	0.800557063522858	0.878670326399553	0.717519706486451	-1.34851051799638e-05	0.989606993215942	0.99708112297694	0.997144308810988
