p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.959369501645987	0.730879103381542	0.800286866852753	2.67228391182845e-06	0.989606997842435	0.997081122971678	0.997144308576408
Acidithiobacillia	0.49533684074142	0.895149437771274	0.839822541318118	-3.20934249403283e-05	0.989606997842435	0.997081122971678	0.997144308576408
Acidobacteriia	0.966112285852194	0.962351986589793	0.985286793822313	-1.83170071446862e-06	0.989606997842435	0.997081122971678	0.997144308576408
Actinobacteria	0.42688558738473	0.555142202413757	0.784686171148151	5.85761687906988e-05	0.989606997842435	0.997081122971678	0.997144308576408
Alphaproteobacteria	0.916314656003422	0.830561921163063	0.813264485950026	4.55387357301885e-06	0.989606997842435	0.997081122971678	0.997144308576408
Anaerolineae	0.81222593539557	0.683903207990297	0.7721527155471	-1.00626736993492e-05	0.989606997842435	0.997081122971678	0.997144308576408
Aquificae	0.406702071630706	0.621721083762742	0.567012993872275	-3.79406171777567e-05	0.989606997842435	0.997081122971678	0.997144308576408
Archaeoglobi	0.985612217976924	0.63483355212493	0.465277685099315	-7.00125600350095e-07	0.989606997842435	0.997081122971678	0.997144308576408
Ardenticatenia	0.255464977639072	0.732961492571362	0.477690942674263	5.51184558953179e-05	0.989606997842435	0.997081122971678	0.997144308576408
Bacilli	0.254830858706249	0.336393745944919	0.385876711525954	-6.23394599420263e-05	0.989606997842435	0.997081122971678	0.997144308576408
Bacteroidia	0.717357028741164	0.50069631077204	0.508565617013169	2.98199171842715e-05	0.989606997842435	0.997081122971678	0.997144308576408
Betaproteobacteria	0.811556963170363	0.774542699896696	0.678242111044475	1.0494020220932e-05	0.989606997842435	0.997081122971678	0.997144308576408
Blastocatellia	0.30532413539385	0.67858359889703	0.805825015630494	5.15438048265866e-05	0.989606997842435	0.997081122971678	0.997144308576408
Caldilineae	0.906014593001945	0.766790548287729	0.911799267522823	-6.10273842760682e-06	0.989606997842435	0.997081122971678	0.997144308576408
Calditrichae	0.4096910606748	0.87669750698352	0.836840951367027	3.41928553276527e-05	0.989606997842435	0.997081122971678	0.997144308576408
Candidatus Brocadiae	0.771809673146824	0.939593693530723	0.636704894155114	-1.31175286982154e-05	0.989606997842435	0.997081122971678	0.997144308576408
Chitinophagia	0.88911797225427	0.257857059471991	0.307844478107201	-4.8522667787568e-06	0.989606997842435	0.997081122971678	0.997144308576408
