p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.977233295415526	0.972584290822354	0.94933863872249	-0.000442718489976719	0.99553004606835	0.993342811950965	0.992308948685901
Acidithiobacillia	0.48851445920903	0.919400211525809	0.96334239288525	-0.00957282857951886	0.982529342411184	0.993342811950965	0.992308948685901
Acidobacteriia	0.91664884917005	0.888022740235169	0.943464199091765	-0.0013265069998079	0.982529342411184	0.993342811950965	0.992308948685901
Actinobacteria	0.17271271458142	0.557075448443767	0.683106337621324	0.0294251953041697	0.982529342411184	0.993342811950965	0.992308948685901
Alphaproteobacteria	0.986233302162942	0.793499304596261	0.794980889229304	0.000219662169394385	0.99553004606835	0.993342811950965	0.992308948685901
Anaerolineae	0.645575133358228	0.701185385880401	0.792444262990708	-0.00573055164677848	0.982529342411184	0.993342811950965	0.992308948685901
Aquificae	0.490342009872895	0.823231400396353	0.790767035647364	-0.00922995298500854	0.982529342411184	0.993342811950965	0.992308948685901
Archaeoglobi	0.851568443845626	0.621782914533034	0.454956188228682	0.00213118237002765	0.982529342411184	0.993342811950965	0.992308948685901
Ardenticatenia	0.38199425955843	0.876633295681221	0.698566997853617	0.01246296329614	0.982529342411184	0.993342811950965	0.992308948685901
Bacilli	0.514301636492449	0.475210521705559	0.578105816829401	-0.0104370666703021	0.982529342411184	0.993342811950965	0.992308948685901
Bacteroidia	0.988401101036551	0.455687769889842	0.501074041435486	0.000348917058938706	0.99553004606835	0.993342811950965	0.992308948685901
Betaproteobacteria	0.856382017400414	0.669198670908237	0.611573184107599	0.0023371947634477	0.982529342411184	0.993342811950965	0.992308948685901
Blastocatellia	0.309600313397721	0.956246017538345	0.671765883662124	0.014994668178582	0.982529342411184	0.993342811950965	0.992308948685901
Caldilineae	0.814300606744807	0.885074385981473	0.981717262242291	-0.00357075988577861	0.982529342411184	0.993342811950965	0.992308948685901
Calditrichae	0.734742211820932	0.797011424902101	0.767097691830518	0.00411287212559955	0.982529342411184	0.993342811950965	0.992308948685901
Candidatus Brocadiae	0.511335625529368	0.611426586935528	0.93209462934864	-0.00876634766422409	0.982529342411184	0.993342811950965	0.992308948685901
Chitinophagia	0.66413871617616	0.303083341192558	0.361119785552447	-0.00444524278924853	0.982529342411184	0.993342811950965	0.992308948685901
Chlamydiia	0.79643842868555	0.715671053222804	0.833994136515147	-0.00293661456086271	0.982529342411184	0.993342811950965	0.992308948685901
Chlorobia	0.68310672434049	0.656467882867499	0.757312606781783	-0.00486957764265289	0.982529342411184	0.993342811950965	0.992308948685901
Chloroflexia	0.413223047325456	0.907258672620389	0.730545694343033	-0.0108467568250988	0.982529342411184	0.993342811950965	0.992308948685901
Chrysiogenetes	0.846555078339592	0.993342811950965	0.740386510657214	0.0026884796036728	0.982529342411184	0.993342811950965	0.992308948685901
Chthonomonadetes	0.84052465613808	0.287659183150364	0.349203307310628	0.00308126646103612	0.982529342411184	0.993342811950965	0.992308948685901
Clostridia	0.844463482888092	0.618301561564623	0.363409282427892	-0.00129305068635325	0.982529342411184	0.993342811950965	0.992308948685901
Coprothermobacteria	0.704510751499117	0.740257923192746	0.69792190953117	0.00783571281576649	0.982529342411184	0.993342811950965	0.992308948685901
