p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.588420340789353	1.06236253376751e-05	0.974459623932988
Acidithiobacillia	0.452627298641464	1.40699761348885e-05	0.974459623932988
Acidobacteriia	0.546819820549943	1.08942644464842e-05	0.974459623932988
Actinobacteria	0.348939068803139	-2.43286409569782e-05	0.974459623932988
Alphaproteobacteria	0.519100229919635	1.07920300089607e-05	0.974459623932988
Anaerolineae	0.734874425348802	5.12704352414424e-06	0.974459623932988
Aquificae	0.432676186595064	1.26454703757061e-05	0.974459623932988
Archaeoglobi	0.428759336987757	1.20587673453108e-05	0.974459623932988
Ardenticatenia	0.379395771875381	1.68070941390944e-05	0.974459623932988
Bacilli	0.713798847538468	5.69402886063011e-06	0.974459623932988
Bacteroidia	0.879311004189524	5.12262906899654e-06	0.974459623932988
Betaproteobacteria	0.440259045531085	1.26726504285824e-05	0.974459623932988
Blastocatellia	0.69878405135	-7.04125592306556e-06	0.974459623932988
Caldilineae	0.47341047443406	1.25908873288484e-05	0.974459623932988
Calditrichae	0.837714931791667	3.38877101577853e-06	0.974459623932988
Candidatus Brocadiae	0.998574355207685	3.33525796022424e-08	0.998574355207685
Chitinophagia	0.800946645882786	3.40809131690764e-06	0.974459623932988
Chlamydiia	0.722635610363432	4.4653954770434e-06	0.974459623932988
Chlorobia	0.803354753803579	3.67673856169771e-06	0.974459623932988
Chloroflexia	0.756199234296403	5.37975971436762e-06	0.974459623932988
Chrysiogenetes	0.545974300395215	1.09760115582018e-05	0.974459623932988
Chthonomonadetes	0.944985605543649	-1.42460391402311e-06	0.974459623932988
Clostridia	0.940412593561739	-6.47794943519608e-07	0.974459623932988
Coprothermobacteria	0.25425991021643	2.80631040795058e-05	0.974459623932988
Coriobacteriia	0.830197339434158	-6.27065399401636e-06	0.974459623932988
Cytophagia	0.673233992323854	6.02430627942392e-06	0.974459623932988
Deferribacteres	0.359800761730303	1.31828255260086e-05	0.974459623932988
Dehalococcoidia	0.261856781329953	-2.13910231143949e-05	0.974459623932988
Deinococci	0.578805618426401	1.01244427715016e-05	0.974459623932988
Deltaproteobacteria	0.573577909190073	1.55218160816506e-05	0.974459623932988
Dictyoglomia	0.224305932851325	1.90557032698045e-05	0.974459623932988
Dothideomycetes	0.759785860140907	4.45188309793745e-06	0.974459623932988
Ellioviricetes	0.889246953723645	-3.11719910728185e-06	0.974459623932988
Elusimicrobia	0.910986558673461	1.9834114766588e-06	0.974459623932988
Endomicrobia	0.896249466697831	2.36226711313779e-06	0.974459623932988
Epsilonproteobacteria	0.704918591695568	7.12514113816378e-06	0.974459623932988
