p-variable	slope	adjusted.p-variable
Acidimicrobiia	0.933422344970895	0.00144313957371961	0.981218087962042
Acidithiobacillia	0.42683628490179	0.0130566464564583	0.981218087962042
Acidobacteriia	0.537108267313314	0.00979213481125355	0.981218087962042
Actinobacteria	0.352114833172111	-0.0212134163525498	0.981218087962042
Alphaproteobacteria	0.607330589589858	0.00755963378142764	0.981218087962042
Anaerolineae	0.959561975498739	0.000674384687320825	0.981218087962042
Aquificae	0.704990570440063	0.00537803161772077	0.981218087962042
Archaeoglobi	0.506812374592947	0.0088928025159925	0.981218087962042
Ardenticatenia	0.704832735231591	0.00639306117724824	0.981218087962042
Bacilli	0.537728921578119	0.00837794334965868	0.981218087962042
Bacteroidia	0.395647281685353	0.0249903891534189	0.981218087962042
Betaproteobacteria	0.527268110186437	0.00912669148835237	0.981218087962042
Blastocatellia	0.538122017344366	-0.00981122028485108	0.981218087962042
Caldilineae	0.91399528882631	0.00167222553355082	0.981218087962042
Calditrichae	0.9561788046427	0.000798183847977873	0.981218087962042
Candidatus Brocadiae	0.926059296026442	-0.00152020022120716	0.981218087962042
Chitinophagia	0.636200833228826	0.00560343026163652	0.981218087962042
Chlamydiia	0.963696336391292	-0.000503115692022073	0.981218087962042
Chlorobia	0.65385161732982	0.00580353952243676	0.981218087962042
Chloroflexia	0.658333449376752	0.00671872875171974	0.981218087962042
Chrysiogenetes	0.861489883775406	0.00279203706805905	0.981218087962042
Chthonomonadetes	0.998551045333784	-3.29046677132439e-05	0.998551045333784
Clostridia	0.624881317494773	0.00371077502492743	0.981218087962042
Coprothermobacteria	0.281558408965583	0.0232923424802485	0.981218087962042
Coriobacteriia	0.466040027194782	-0.0186239619803682	0.981218087962042
Cytophagia	0.502127253450363	0.00839343543794815	0.981218087962042
Deferribacteres	0.627127863093429	0.00617100996650485	0.981218087962042
Dehalococcoidia	0.58611519842532	-0.00918996413872318	0.981218087962042
Deinococci	0.799547160705427	0.00407352074372138	0.981218087962042
Deltaproteobacteria	0.935847646031788	0.0019537772652204	0.981218087962042
Dictyoglomia	0.271104428646097	0.0151825285814291	0.981218087962042
Dothideomycetes	0.922136779297892	0.00124993156754152	0.981218087962042
Ellioviricetes	0.822730919897808	-0.00439996560551075	0.981218087962042
Elusimicrobia	0.728166362168532	-0.00540644862175451	0.981218087962042
Endomicrobia	0.878210563533957	0.00243613095825124	0.981218087962042
Epsilonproteobacteria	0.374065968926321	0.0145919108300523	0.981218087962042
Erysipelotrichia	0.313741514767849	0.0173386094199705	0.981218087962042
Eurotiomycetes	0.380409419022563	0.0111328271012372	0.981218087962042
Fibrobacteria	0.228341881514886	0.0224778004814582	0.981218087962042
Fimbriimonadia	0.604869810599534	-0.00676946522107638	0.981218087962042
Flavobacteriia	0.322569105710787	0.0109641521417411	0.981218087962042
Fusobacteriia	0.460821577594221	0.0102587791662845	0.981218087962042
Gammaproteobacteria	0.827043812564517	-0.00393518184611563	0.981218087962042
Gemmatimonadetes	0.582481037131186	0.0090021579504007	0.981218087962042
Gloeobacteria	0.471642909046942	0.0126082075590891	0.981218087962042
Halobacteria	0.834451202716116	0.00300877198121039	0.981218087962042
Hydrogenophilalia	0.649082007460123	0.00860130412058802	0.981218087962042
Ignavibacteria	0.456725645822841	0.0110160321772036	0.981218087962042
Kiritimatiellae	0.805961368563447	-0.00453766147140153	0.981218087962042
Ktedonobacteria	0.354463963941263	0.0156358590032708	0.981218087962042
Lentisphaeria	0.123727891236226	0.0283963677499192	0.981218087962042
Leotiomycetes	0.610266623836687	0.00631280491233989	0.981218087962042
Limnochordia	0.795556749909348	0.00467458209646846	0.981218087962042
Malasseziomycetes	0.305224482369966	0.0201532748222949	0.981218087962042
Methanobacteria	0.788780276198276	-0.0116378097621146	0.981218087962042
Methanococci	0.132493462170219	0.0196656699513266	0.981218087962042
