p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.628980816385894	0.859215252254256	0.938542354870763	-0.00987793294833732	0.830947432175634	0.99960904022735	0.992166360769216
Acidithiobacillia	0.818806720344354	0.599151804311542	0.64443919259046	-0.00363619138637816	0.932721874632689	0.99960904022735	0.992166360769216
Acidobacteriia	0.220930156618396	0.89083536679716	0.976844004356004	-0.0200064926126524	0.704933766882336	0.99960904022735	0.992166360769216
Actinobacteria	0.123948417824445	0.756059093901413	0.772458620836804	0.0445202831571371	0.662985475869388	0.99960904022735	0.992166360769216
Alphaproteobacteria	0.354826908830061	0.839783014583326	0.961580995451884	-0.0149212823176658	0.74227932887256	0.99960904022735	0.992166360769216
Anaerolineae	0.129632338045446	0.632262258987011	0.802037669143175	-0.0249267156053963	0.662985475869388	0.99960904022735	0.992166360769216
Aquificae	0.341542212830892	0.382733082795105	0.37668369212204	-0.0139745056834006	0.74227932887256	0.99960904022735	0.992166360769216
Archaeoglobi	0.199955837923539	0.67692575939529	0.753482457023273	-0.0211281144220642	0.704933766882336	0.99960904022735	0.992166360769216
Ardenticatenia	0.476243787484247	0.885586651397221	0.968953810369732	-0.0178769989970921	0.776342612474321	0.99960904022735	0.992166360769216
Bacilli	0.998859099559505	0.514253425918291	0.599564474952099	2.63100092213956e-05	0.998859099559505	0.99960904022735	0.992166360769216
Bacteroidia	0.425622405192369	0.073499503322362	0.103084952913208	-0.0221706370173482	0.757860130662323	0.99960904022735	0.992166360769216
Betaproteobacteria	0.355545560888537	0.695797628093346	0.805295566724728	-0.0149400996633664	0.74227932887256	0.99960904022735	0.992166360769216
Blastocatellia	0.651436243137724	0.991972555679166	0.900183209693779	0.00878583322326892	0.830947432175634	0.99960904022735	0.992166360769216
Caldilineae	0.541319259025141	0.870904995778986	0.936580247006986	-0.0118880303276722	0.813318201821075	0.99960904022735	0.992166360769216
