p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.654895217622825	0.966594827027048	0.99135313289127	0.0123537864325752	0.967030548227872	0.983117815523237	0.997940404562277
Acidithiobacillia	0.699404920078678	0.552985843814009	0.560660440935808	-0.0093519475747338	0.967030548227872	0.983117815523237	0.989715278234708
Acidobacteriia	0.795355487269652	0.563975953427388	0.570377293685411	0.0058341681315899	0.967030548227872	0.983117815523237	0.989715278234708
Actinobacteria	0.716840049320835	0.102288607227457	0.128165074023926	0.0132764938652027	0.967030548227872	0.983117815523237	0.989715278234708
Alphaproteobacteria	0.646278686601179	0.573195345801343	0.562152570847421	0.0103221153416762	0.967030548227872	0.983117815523237	0.989715278234708
Anaerolineae	0.651519401853624	0.378850977031569	0.378148248458494	0.00977339353053501	0.967030548227872	0.983117815523237	0.989715278234708
Aquificae	0.344197978125216	0.664018451888816	0.696064121600191	-0.0218466502895226	0.967030548227872	0.983117815523237	0.989715278234708
Archaeoglobi	0.151973394884273	0.824205926234694	0.832406289566121	-0.030549363463295	0.967030548227872	0.983117815523237	0.989715278234708
Ardenticatenia	0.195935531107672	0.514831306887503	0.464805550813193	0.0334438319083964	0.967030548227872	0.983117815523237	0.989715278234708
Bacilli	0.630402652650519	0.576917785230711	0.566992160250737	-0.0133518374765052	0.967030548227872	0.983117815523237	0.989715278234708
Bacteroidia	0.588819684639652	0.884988456271521	0.86623500266632	0.0223251076427362	0.967030548227872	0.983117815523237	0.989715278234708
Betaproteobacteria	0.608974407416613	0.497777816946574	0.47496559278674	0.0116316847119154	0.967030548227872	0.983117815523237	0.989715278234708
Blastocatellia	0.309419969404948	0.39501521607364	0.480397024906687	0.0266579974722976	0.967030548227872	0.983117815523237	0.989715278234708
Caldilineae	0.996256941166637	0.688166196968724	0.725031778517555	0.00012465012396986	0.996256941166637	0.983117815523237	0.989715278234708
Calditrichae	0.137207913556852	0.588371848467118	0.565038699865711	0.0314019089943195	0.967030548227872	0.983117815523237	0.989715278234708
Candidatus Brocadiae	0.650313414753723	0.555863014503188	0.684114099793484	0.0103329154273446	0.967030548227872	0.983117815523237	0.989715278234708
Chitinophagia	0.846278839396304	0.354793720357934	0.352480831848809	0.0034281016264392	0.967030548227872	0.983117815523237	0.989715278234708
Chlamydiia	0.954878493113867	0.412424099060196	0.391660404701849	-0.00109628017373999	0.979573626556467	0.983117815523237	0.989715278234708
Chlorobia	0.544053485307268	0.271024038918207	0.270659063154816	0.012489501566728	0.967030548227872	0.983117815523237	0.989715278234708
Chloroflexia	0.977392276796323	0.725547990956553	0.751688737276925	0.000657441252246512	0.994099837083439	0.983117815523237	0.989715278234708
Chrysiogenetes	0.708007711796693	0.74861677500247	0.673511889884669	0.00912619991395209	0.967030548227872	0.983117815523237	0.989715278234708
Chthonomonadetes	0.82979115910828	0.573188906101982	0.5698765991575	0.00577262295785674	0.967030548227872	0.983117815523237	0.989715278234708
Clostridia	0.217215105595014	0.931251074470032	0.916924863805815	-0.0146289466796166	0.967030548227872	0.983117815523237	0.989715278234708
Coprothermobacteria	0.895871855037807	0.193175066598925	0.203005990211421	-0.00472664316084783	0.967030548227872	0.983117815523237	0.989715278234708
Coriobacteriia	0.44015074812879	0.199787130914874	0.191400639973976	-0.0312943194974257	0.967030548227872	0.983117815523237	0.989715278234708
Cytophagia	0.891906107571412	0.345902760351986	0.357013125783938	0.00259875742007718	0.967030548227872	0.983117815523237	0.989715278234708
Deferribacteres	0.583467315136812	0.301039219320594	0.316149042694557	-0.0104905789362045	0.967030548227872	0.983117815523237	0.989715278234708
Dehalococcoidia	0.198335316578508	0.528080096690086	0.463512892042808	0.0316673421633684	0.967030548227872	0.983117815523237	0.989715278234708
Deinococci	0.487389544798771	0.627298379156339	0.597996176204057	0.0168848280185208	0.967030548227872	0.983117815523237	0.989715278234708
Deltaproteobacteria	0.865188641888336	0.884235173990394	0.934431405958727	-0.00574945125482011	0.967030548227872	0.983117815523237	0.989715278234708
Dictyoglomia	0.100954156877347	0.797247648970588	0.839823724514343	-0.0474462268771284	0.967030548227872	0.983117815523237	0.989715278234708
Dothideomycetes	0.581240311296431	0.0534875033293837	0.0517360382871601	0.0116601390751606	0.967030548227872	0.983117815523237	0.989715278234708
Ellioviricetes	0.934525319716011	0.761204578057642	0.759854383326177	0.00260485640443954	0.967030548227872	0.983117815523237	0.989715278234708
Elusimicrobia	0.375394554996981	0.12875233633991	0.106831399391003	0.0202099171705815	0.967030548227872	0.983117815523237	0.989715278234708
Endomicrobia	0.293470624948914	0.416589369419026	0.359059836450387	0.0285764205290097	0.967030548227872	0.983117815523237	0.989715278234708
Epsilonproteobacteria	0.419974395179601	0.353671935192125	0.332281961123854	-0.0211661616100009	0.967030548227872	0.983117815523237	0.989715278234708
Erysipelotrichia	0.0331985540178362	0.761322291689682	0.715103544892574	-0.0698697117248509	0.967030548227872	0.983117815523237	0.989715278234708
Eurotiomycetes	0.671680210853619	0.921681364747639	0.912145005158897	-0.00884223489829569	0.967030548227872	0.983117815523237	0.989715278234708
Fibrobacteria	0.66035440059392	0.336542274484289	0.356211997051073	-0.0126269488411052	0.967030548227872	0.983117815523237	0.989715278234708
Fimbriimonadia	0.50379511278672	0.231628829278568	0.198869005465794	0.0148836284946901	0.967030548227872	0.983117815523237	0.989715278234708
