p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.0263036516004685	0.47815079524161	0.791645560572529	2.99558738379313	0.104337818015192	0.8458131774543	0.97070415125395
Acidithiobacillia	0.171915158089443	0.338250356669131	0.636130403778823	1.45846245229593	0.329966190526512	0.807069288963352	0.963221679782443
Acidobacteriia	0.0487387248312001	0.373015217588104	0.585164017810901	1.91008694110149	0.156754277159806	0.807069288963352	0.963221679782443
Actinobacteria	0.130558243454596	0.664020299565843	0.386913398639774	-2.75483419683982	0.280946254904799	0.860636155105136	0.963221679782443
Alphaproteobacteria	0.0177942717111919	0.219694345030205	0.441944736656759	2.37760997062569	0.0814430128319935	0.807069288963352	0.963221679782443
Anaerolineae	0.00984861020401413	0.148046948331501	0.356712845545855	2.63740938615461	0.056478804961417	0.75583692538022	0.963221679782443
Aquificae	0.919155022392692	0.617141573109531	0.669436339690417	-0.0987024458867203	0.919155022392692	0.860636155105136	0.963221679782443
Archaeoglobi	0.624811801998969	0.967123457546763	0.691170832484909	-0.457587105170769	0.728947102332131	0.975319419051397	0.963221679782443
Ardenticatenia	0.00209129113745756	0.0745672059664584	0.136906678401482	5.18573928999139	0.0329686154239642	0.75583692538022	0.963221679782443
Bacilli	0.0676782848111486	0.67259800356956	0.712046192998439	-2.22685359450663	0.178971464278371	0.860636155105136	0.963221679782443
Bacteroidia	0.00277047188436674	0.324174239420435	0.450869764177329	6.49873019495757	0.0329686154239642	0.807069288963352	0.963221679782443
Betaproteobacteria	0.00924619735182763	0.152437699236347	0.326224689104918	2.53363404967596	0.056478804961417	0.75583692538022	0.963221679782443
Blastocatellia	0.0409652514893264	0.917105578976036	0.955838013528912	2.69915575984176	0.147723179613026	0.975319419051397	0.993802899663285
Caldilineae	0.186415022992128	0.525004321221748	0.964647223506813	1.80772072215358	0.341282888247126	0.855828961991617	0.993802899663285
Calditrichae	0.19403180868736	0.515725458485795	0.348802602019385	1.55995746879487	0.344623660205907	0.852379577219578	0.963221679782443
Candidatus Brocadiae	0.420885397355802	0.781809356637759	0.552413373794709	0.881648947530746	0.610797101040737	0.921141717226666	0.963221679782443
Chitinophagia	0.807447356403832	0.963017323395443	0.89997820018285	0.181498315564742	0.821249875316718	0.975319419051397	0.993802899663285
Chlamydiia	0.495795348668753	0.564767777882026	0.325501212769254	-0.611894321394237	0.666885816613713	0.860636155105136	0.963221679782443
Chlorobia	0.114684165181995	0.598878887490736	0.937540711066532	1.48203275658546	0.262450301089566	0.860636155105136	0.993802899663285
Chloroflexia	0.0849264399102781	0.515431987762487	0.704790867741957	1.87602601909161	0.210546798944231	0.852379577219578	0.963221679782443
Chrysiogenetes	0.0541394391738954	0.100933683843623	0.19748515388392	2.2217012206164	0.165194699017783	0.75583692538022	0.963221679782443
Chthonomonadetes	0.0359918745666999	0.431959902836422	0.617017770830529	2.49572807145702	0.133844783544915	0.8458131774543	0.963221679782443
Clostridia	0.73672004996745	0.124307560297482	0.970573989406745	-0.189824777418345	0.799869460731946	0.75583692538022	0.993802899663285
Coprothermobacteria	0.209235386083882	0.716274209505145	0.921839157027649	1.94656688884509	0.359970146725968	0.887881572199086	0.993802899663285
Coriobacteriia	0.0356073468736129	0.370358198112749	0.725201069378279	4.46626484894106	0.133844783544915	0.807069288963352	0.963221679782443
Cytophagia	0.163410454275239	0.580836919198922	0.512686282869543	1.07489228749186	0.329590577267008	0.860636155105136	0.963221679782443
Deferribacteres	0.707259795229143	0.734713472518775	0.817335560253893	0.3677556811926	0.793999204078	0.894875609608135	0.971865128903861
Dehalococcoidia	0.066308327336092	0.277020756480256	0.512162911234216	2.11924686115385	0.178971464278371	0.807069288963352	0.963221679782443
Deinococci	0.00425692469231755	0.0885072446720635	0.180377328852008	3.29499154463851	0.0389672337219837	0.75583692538022	0.963221679782443
Deltaproteobacteria	0.0198399730028296	0.36207659039788	0.496955685229767	3.04760981424425	0.0825679776771344	0.807069288963352	0.963221679782443
Dictyoglomia	0.79824973079652	0.750171373895161	0.799403418679723	-0.318887800320595	0.818894120386085	0.894875609608135	0.97070415125395
Dothideomycetes	0.275184725484918	0.392693380338385	0.630816161198673	1.09223193891324	0.436709687866911	0.81012190357757	0.963221679782443
Ellioviricetes	0.132210002308141	0.249318028038586	0.790888409431534	-2.33049430476622	0.280946254904799	0.807069288963352	0.97070415125395
Elusimicrobia	0.434300850880406	0.645522980105371	0.675231564466991	0.960439941837659	0.619372986593966	0.860636155105136	0.963221679782443
Endomicrobia	0.594903716039535	0.912598704479215	0.971692875652277	0.604753211023671	0.726471497588369	0.975319419051397	0.993802899663285
Epsilonproteobacteria	0.750853113648655	0.891221196739691	0.928102494209172	-0.368939726465843	0.80496865337108	0.975319419051397	0.993802899663285
Erysipelotrichia	0.171594213381804	0.128863558613079	0.131810272997505	1.57339688912806	0.329966190526512	0.75583692538022	0.963221679782443
Eurotiomycetes	0.53265095267331	0.584545165935068	0.564317655903947	0.535985714854505	0.681564122237891	0.860636155105136	0.963221679782443
Fibrobacteria	0.214772104349107	0.201290880068376	0.414856398008926	1.42495362984099	0.359970146725968	0.798453824271224	0.963221679782443
Fimbriimonadia	0.0434325422993038	0.283794067245067	0.827939822866815	2.67668072736221	0.152013898047563	0.807069288963352	0.971865128903861
Flavobacteriia	0.475128041341736	0.334075427772643	0.637743478561213	-0.569654640493576	0.656926367210506	0.807069288963352	0.963221679782443
Fusobacteriia	0.0695614259699488	0.191068383052945	0.718606656688644	-2.16270319957288	0.179952384574433	0.798453824271224	0.963221679782443
Gammaproteobacteria	0.21367934023448	0.461684028196413	0.153132972341371	1.37388789945297	0.359970146725968	0.8458131774543	0.963221679782443
Gemmatimonadetes	0.00272911283394456	0.0555616729722322	0.167498252744148	3.56974210316007	0.0329686154239642	0.75583692538022	0.963221679782443
Gloeobacteria	0.0108059756719619	0.139737778918458	0.208842691592452	3.05252634461959	0.056478804961417	0.75583692538022	0.963221679782443
Halobacteria	0.0193584232747151	0.200716296655448	0.414118888704931	2.62037526675611	0.0825679776771344	0.798453824271224	0.963221679782443
Hydrogenophilalia	0.504367424329699	0.664491928188598	0.708143753414183	0.93273504574774	0.666885816613713	0.860636155105136	0.963221679782443
Ignavibacteria	0.70147737174901	0.497537163208412	0.373636019649631	0.429945519809528	0.793999204078	0.8458131774543	0.963221679782443
Kiritimatiellae	0.00105569170354978	0.0184259834680893	0.0598306836231291	4.25878472562804	0.0314068281806059	0.567814037290472	0.963221679782443
Ktedonobacteria	0.010778695643502	0.0447754093421686	0.108268071704658	3.33355697239872	0.056478804961417	0.75583692538022	0.963221679782443
Lentisphaeria	0.00235449829253389	0.137919399610939	0.165606903946452	4.69495087313983	0.0329686154239642	0.75583692538022	0.963221679782443
Leotiomycetes	0.599531683726087	0.653787577657539	0.614170707825313	0.522052817556959	0.726471497588369	0.860636155105136	0.963221679782443
Limnochordia	0.0104421928962402	0.162408194783657	0.318772527567544	3.14986048992672	0.056478804961417	0.773063007170206	0.963221679782443
Malasseziomycetes	0.0201216080053521	0.867997226293823	0.37336162979677	3.45829947082751	0.0825679776771344	0.975319419051397	0.963221679782443
Methanobacteria	0.480273898716924	0.496270475054981	0.96924903526235	1.924980651128	0.656926367210506	0.8458131774543	0.993802899663285
Methanococci	0.739375131769026	0.890483514454627	0.984887620680435	-0.341250453149386	0.799869460731946	0.975319419051397	0.993802899663285
Methanomicrobia	0.501394341006829	0.476721324804687	0.599847376143434	0.562076803827656	0.666885816613713	0.8458131774543	0.963221679782443
Methanopyri	0.263109577095723	0.952987444720338	0.247919125808491	1.92167401866965	0.42890465307385	0.975319419051397	0.963221679782443
Methylacidiphilae	0.145053252708219	0.313555487535166	0.531599111173274	1.87583872227654	0.297609259866862	0.807069288963352	0.963221679782443
Milneviricetes	0.526283304594058	0.452080934016275	0.476770114730543	1.06177836268543	0.681564122237891	0.8458131774543	0.963221679782443
Mollicutes	0.737872612396983	0.966839565805367	0.741294283926564	-0.354996730727905	0.799869460731946	0.975319419051397	0.969384832827046
Monjiviricetes	0.578612624428302	0.284910113557472	0.381382171855085	0.805027140439451	0.717238565697582	0.807069288963352	0.963221679782443
Negativicutes	0.275237198235448	0.0698406079851938	0.392470008393851	1.74250002129109	0.436709687866911	0.75583692538022	0.963221679782443
Nitriliruptoria	0.00228502920304662	0.0832260163543962	0.168474885588986	4.00780393833475	0.0329686154239642	0.75583692538022	0.963221679782443
Nitrososphaeria	0.610480250074259	0.639375785557274	0.501161755583436	0.545035144583512	0.726471497588369	0.860636155105136	0.963221679782443
Nitrospira	0.437204461125153	0.481666410211559	0.758166985555817	0.685983584939274	0.619372986593966	0.8458131774543	0.97070415125395
Oligoflexia	0.719555938495549	0.487165501973488	0.475757062591195	0.312820277005722	0.799869460731946	0.8458131774543	0.963221679782443
Opitutae	0.00538340450980981	0.135904370130441	0.210109512553469	3.15232952306017	0.0410402805144424	0.75583692538022	0.963221679782443
Phycisphaerae	0.101503789685224	0.280822885185889	0.63902396179342	1.64774075215971	0.239757003446798	0.807069288963352	0.963221679782443
Planctomycetia	0.0472408449974445	0.328094661287348	0.520769663470204	2.05165009897713	0.156754277159806	0.807069288963352	0.963221679782443
Rubrobacteria	0.00385076808753692	0.124483753852605	0.263560025262786	3.75174365203708	0.0388834047463528	0.75583692538022	0.963221679782443
Saccharomycetes	0.126758679675481	0.439351592435741	0.286553058289336	-1.58010032141511	0.280946254904799	0.8458131774543	0.963221679782443
Saprospiria	0.0537766263762316	0.369780770462894	0.372322715787131	2.45309539933617	0.165194699017783	0.807069288963352	0.963221679782443
Schizosaccharomycetes	0.185315230258983	0.806894439404765	0.822123840052698	-1.53442649934991	0.341282888247126	0.933492500219979	0.971865128903861
Sordariomycetes	0.245835467710758	0.490306559512842	0.724724422430273	0.987012318004892	0.406311398021947	0.8458131774543	0.963221679782443
Spartobacteria	0.197362856239894	0.17854898397795	0.709877463850462	-1.6390897737321	0.345384998419814	0.798453824271224	0.963221679782443
Sphingobacteriia	0.661149105969145	0.371853422560874	0.564050126184771	-0.324539727778314	0.763851879711925	0.807069288963352	0.963221679782443
Spirochaetia	0.571579036368071	0.620479248189792	0.78449450136168	0.490129059426594	0.715977950818952	0.860636155105136	0.97070415125395
Synergistia	0.0112905721250552	0.387016327274911	0.502797190574413	2.86460691444958	0.056478804961417	0.81012190357757	0.963221679782443
Tepidiformia	0.000422105828349257	0.0190861861274108	0.0753081166754891	4.30410618504971	0.0314068281806059	0.567814037290472	0.963221679782443
Thermococci	0.29878256654821	0.815825378343511	0.76075743480854	1.03702879483659	0.450064878724519	0.933492500219979	0.97070415125395
Thermodesulfobacteria	0.762082350488206	0.340033147900052	0.575513002252825	0.303516553882817	0.809712497393719	0.807069288963352	0.963221679782443
Thermoleophilia	0.00526881490156164	0.325765519257268	0.700651642246399	3.92613028402589	0.0410402805144424	0.807069288963352	0.963221679782443
Thermomicrobia	0.0113906833535631	0.482908112680505	0.66679159084891	3.75353816083284	0.056478804961417	0.8458131774543	0.963221679782443
Thermoplasmata	0.317259025659864	0.898509929529112	0.781471098520976	1.13850190086438	0.471922800669048	0.975319419051397	0.97070415125395
Thermoprotei	0.792708824236806	0.364953999047282	0.354694169179548	-0.238549379840731	0.818894120386085	0.807069288963352	0.963221679782443
Thermotogae	0.604533164092816	0.953336942588177	0.993802899663285	-0.455992302362712	0.726471497588369	0.975319419051397	0.993802899663285
Tissierellia	0.527022410056149	0.950571288652441	0.892138503936447	-0.6133566661786	0.681564122237891	0.975319419051397	0.993802899663285
Tremellomycetes	0.772558925118448	0.919597310418302	0.99118973197322	-0.306945605657255	0.813579753000844	0.975319419051397	0.993802899663285
Unclassified Acidobacteria Phylum	0.128183024645478	0.645049237130689	0.604912154308025	2.71826146154291	0.280946254904799	0.860636155105136	0.963221679782443
