p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.206367804105796	0.294837561729079	0.555586543851918	0.0668430899767032	0.621551122393174	0.690892180226259	0.959410366261029
Acidithiobacillia	0.766474735316587	0.33514048141543	0.711641740082322	0.0122354937783773	0.894220524536018	0.690892180226259	0.959410366261029
Acidobacteriia	0.201867048669682	0.270599822107872	0.451852083443191	0.0479966087744346	0.621551122393174	0.690892180226259	0.959410366261029
Actinobacteria	0.0820096331992744	0.881302765794663	0.768697153055749	-0.12054087062205	0.547143169128699	0.919956395873377	0.959410366261029
Alphaproteobacteria	0.110186145622113	0.163760388340641	0.369332621325404	0.0623135850629248	0.547143169128699	0.690892180226259	0.959410366261029
Anaerolineae	0.0567865309565319	0.0992916733737737	0.276525234726444	0.0756746454145293	0.547143169128699	0.690892180226259	0.959410366261029
Aquificae	0.882313885112055	0.573613834966679	0.607036455380177	0.00553850397038487	0.951923120819599	0.850533469459968	0.959410366261029
Archaeoglobi	0.546197782988184	0.713518420333284	0.896871096747449	-0.0216761755620054	0.784911954129884	0.89698778927671	0.959410366261029
Ardenticatenia	0.16543137800631	0.119367028900837	0.228550939559891	0.0909129406904955	0.596555575234875	0.690892180226259	0.959410366261029
Bacilli	0.35786880161386	0.876838949068743	0.974689534774709	-0.0433981785989982	0.682054783969105	0.919956395873377	0.974689534774709
Bacteroidia	0.0335504978922159	0.0754731277478965	0.809230678179721	0.179970896322555	0.547143169128699	0.690892180226259	0.959410366261029
Betaproteobacteria	0.107097502006049	0.158536089535466	0.375825108033085	0.0609955522953284	0.547143169128699	0.690892180226259	0.959410366261029
Blastocatellia	0.0876835658040689	0.832524503374942	0.854575324548623	0.0875735241007428	0.547143169128699	0.919956395873377	0.959410366261029
Caldilineae	0.449601108686153	0.286621042289219	0.753305923244223	0.0401838326013943	0.722717749153496	0.690892180226259	0.959410366261029
Calditrichae	0.225819040937362	0.480332878746955	0.249240756917566	0.0559500740574823	0.639820615989192	0.80506496578715	0.959410366261029
Candidatus Brocadiae	0.950610341794549	0.906892295025368	0.828321281825946	-0.00260638637009455	0.975195092013374	0.930346406103611	0.959410366261029
Chitinophagia	0.851734367598475	0.808403132117944	0.944897633824932	-0.00534960214808423	0.930109377792381	0.919956395873377	0.961049730129631
Chlamydiia	0.380888582207152	0.824477337273533	0.477449810168937	-0.0303424700599388	0.686753655797744	0.919956395873377	0.959410366261029
Chlorobia	0.275544355012816	0.469553421525627	0.835215083337924	0.039735385699142	0.657455056432513	0.80506496578715	0.959410366261029
Chloroflexia	0.242782954526359	0.352317452189942	0.493435929672387	0.049340966102171	0.654766755682787	0.690892180226259	0.959410366261029
Chrysiogenetes	0.315936495216044	0.139036103203368	0.289284772082349	0.0444691602138521	0.682054783969105	0.690892180226259	0.959410366261029
Chthonomonadetes	0.214147865698489	0.360726060095811	0.539208893195802	0.0575142570495744	0.621551122393174	0.692361308893573	0.959410366261029
Clostridia	0.932676693909268	0.157364324232453	0.493485246413379	-0.00182824913495546	0.968361706109641	0.690892180226259	0.959410366261029
Coprothermobacteria	0.0520437180608979	0.424397375503399	0.555725192124572	0.115473829316947	0.547143169128699	0.776973656690839	0.959410366261029
Coriobacteriia	0.652920042022254	0.344859158500321	0.780909543841551	0.0374003562838734	0.844537880441828	0.690892180226259	0.959410366261029
Cytophagia	0.345595733828819	0.629365922269064	0.5241146450041	0.0280214258139827	0.682054783969105	0.881112291176689	0.959410366261029
Deferribacteres	0.833601760860553	0.725856310717861	0.818541982492234	0.00790728822584071	0.930109377792381	0.89698778927671	0.959410366261029
Dehalococcoidia	0.262046081105371	0.203896244500021	0.41871423834702	0.0500865783257695	0.657455056432513	0.690892180226259	0.959410366261029
