p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.555455629128627	0.458188607864753	0.326078552724666	0.0219222126634997	0.951743788688538	0.976345385870524	0.955447346063449
Acidithiobacillia	0.345629818524084	0.965326826379155	0.925086348654327	0.0325368479573855	0.95087253220909	0.976345385870524	0.994143298309575
Acidobacteriia	0.466648549908569	0.686844886963019	0.378846755373999	0.0236108491036478	0.95087253220909	0.976345385870524	0.955447346063449
Actinobacteria	0.438829514070139	0.163475830993804	0.994143298309575	-0.039034109143337	0.95087253220909	0.976345385870524	0.994143298309575
Alphaproteobacteria	0.490821197379478	0.473308135374282	0.302442734456603	0.0215066227733071	0.95087253220909	0.976345385870524	0.955447346063449
Anaerolineae	0.702537825489886	0.83742955864294	0.567376408647715	0.0105398323636425	0.960291262573872	0.976345385870524	0.955447346063449
Aquificae	0.607836369246461	0.776785637938319	0.639377386840119	0.0143448075118092	0.951743788688538	0.976345385870524	0.955447346063449
Archaeoglobi	0.259304062558354	0.189398085185187	0.551032429694155	0.0333319510618458	0.95087253220909	0.976345385870524	0.955447346063449
Ardenticatenia	0.409329926932911	0.163055443629853	0.112718539600434	0.0311700796026155	0.95087253220909	0.976345385870524	0.955447346063449
Bacilli	0.202416694326304	0.728845606675266	0.285179300337988	0.0410998245759228	0.95087253220909	0.976345385870524	0.955447346063449
Bacteroidia	0.395084309742398	0.77666645295544	0.810167825726561	-0.0419003520129926	0.95087253220909	0.976345385870524	0.964099712614608
Betaproteobacteria	0.435639910553651	0.325174016067788	0.282358095576025	0.0242999057967492	0.95087253220909	0.976345385870524	0.955447346063449
Blastocatellia	0.932413511887825	0.0808347539996323	0.195642775123841	-0.00309545336082772	0.988900453129636	0.976345385870524	0.955447346063449
Caldilineae	0.66186174667862	0.495276108299616	0.670180785633064	0.0159030376667069	0.960291262573872	0.976345385870524	0.955447346063449
Calditrichae	0.856960430227735	0.478182741509861	0.106929102951682	-0.00469900279249643	0.988900453129636	0.976345385870524	0.955447346063449
Candidatus Brocadiae	0.917837820128803	0.00689047558096796	0.12887739532043	-0.00321822695162847	0.988900453129636	0.819966594135187	0.955447346063449
Chitinophagia	0.787596102136296	0.64460613250851	0.504732137707382	0.00627340098265008	0.988900453129636	0.976345385870524	0.955447346063449
Chlamydiia	0.935193627674334	0.167737447804613	0.203907997046856	-0.00200705158487241	0.988900453129636	0.976345385870524	0.955447346063449
Chlorobia	0.816029383619571	0.714382071295126	0.389395461772304	0.00616342288798568	0.988900453129636	0.976345385870524	0.955447346063449
Chloroflexia	0.482138407155589	0.945638424835215	0.503940028056261	0.0216544682351785	0.95087253220909	0.976345385870524	0.955447346063449
Chrysiogenetes	0.343165545393603	0.0459193901792587	0.163571966241026	0.0307236428677942	0.95087253220909	0.976345385870524	0.955447346063449
Chthonomonadetes	0.949880885529566	0.455622258439105	0.123968629545667	0.00240829031416297	0.988900453129636	0.976345385870524	0.955447346063449
Clostridia	0.220537036448354	0.41072408953208	0.544413923794907	0.017494311582225	0.95087253220909	0.976345385870524	0.955447346063449
Coprothermobacteria	0.205960233053763	0.934665106693715	0.975097259787595	0.0647208083151486	0.95087253220909	0.976345385870524	0.994143298309575
Coriobacteriia	0.377632530719975	0.13824783770999	0.0329003212567237	-0.0419168312501614	0.95087253220909	0.976345385870524	0.955447346063449
Cytophagia	0.64822891197464	0.912821345787874	0.606542300617996	0.01175790955525	0.960291262573872	0.976345385870524	0.955447346063449
Deferribacteres	0.838811467463273	0.808240380108281	0.730636205813226	0.00506558592257409	0.988900453129636	0.976345385870524	0.955447346063449
Dehalococcoidia	0.222926288271779	0.156753826608817	0.155925866668828	-0.0371359878762019	0.95087253220909	0.976345385870524	0.955447346063449
Deinococci	0.53536520721016	0.316192598634929	0.21648403848046	0.0209901553991872	0.95087253220909	0.976345385870524	0.955447346063449
Deltaproteobacteria	0.672055939629549	0.391605323592918	0.95482089493341	0.0193385443907537	0.960291262573872	0.976345385870524	0.994143298309575
Dictyoglomia	0.263536217838353	0.673158562680277	0.506510366228918	0.0401882565894659	0.95087253220909	0.976345385870524	0.955447346063449
Dothideomycetes	0.581203285750011	0.768848570246102	0.798430737710353	0.016028103312064	0.951743788688538	0.976345385870524	0.961672369490841
Ellioviricetes	0.327394148032131	0.710222110928279	0.497273121479352	-0.0393038655154336	0.95087253220909	0.976345385870524	0.955447346063449
Elusimicrobia	0.322927188129974	0.300557676751326	0.723744201571018	-0.0317173190118716	0.95087253220909	0.976345385870524	0.955447346063449
Endomicrobia	0.959865388434408	0.502396548944581	0.993994919270882	0.00169210535105414	0.988900453129636	0.976345385870524	0.994143298309575
Epsilonproteobacteria	0.395767498447893	0.800247523352607	0.407003823733176	0.0296658298649096	0.95087253220909	0.976345385870524	0.955447346063449
Erysipelotrichia	0.0864474347405635	0.874353572871203	0.503111171572813	0.0678269045148167	0.95087253220909	0.976345385870524	0.955447346063449
Eurotiomycetes	0.222147649643083	0.444247185362892	0.522936638928585	0.0324747949378413	0.95087253220909	0.976345385870524	0.955447346063449
Fibrobacteria	0.314803217301118	0.959136537965274	0.895138253945839	0.0402370464977089	0.95087253220909	0.976345385870524	0.994143298309575
Fimbriimonadia	0.947249323367224	0.0707911059051899	0.158693020364074	-0.00190012916140363	0.988900453129636	0.976345385870524	0.955447346063449
Flavobacteriia	0.513292077525164	0.632203804622502	0.701609932552364	0.0156438959365846	0.95087253220909	0.976345385870524	0.955447346063449
Fusobacteriia	0.408155282650845	0.857586161217527	0.719953725860504	0.0259562776162616	0.95087253220909	0.976345385870524	0.955447346063449
Gammaproteobacteria	0.0341488377944319	0.508930511217939	0.254146501796092	0.0647893686750865	0.95087253220909	0.976345385870524	0.955447346063449
Gemmatimonadetes	0.530032972933096	0.520971314229535	0.307310345350349	0.0231693608543608	0.95087253220909	0.976345385870524	0.955447346063449
Gloeobacteria	0.39137819811764	0.674488368079472	0.493406205068434	0.0321206121714396	0.95087253220909	0.976345385870524	0.955447346063449
Halobacteria	0.557918110326584	0.254076782235658	0.113849922138032	0.0193562301767695	0.951743788688538	0.976345385870524	0.955447346063449
Hydrogenophilalia	0.825083034293714	0.121082530332968	0.439859036412543	-0.00874939961779999	0.988900453129636	0.976345385870524	0.955447346063449
Ignavibacteria	0.32080441148389	0.942433223830994	0.98605817111889	0.0327805808872188	0.95087253220909	0.976345385870524	0.994143298309575
Kiritimatiellae	0.958255136245781	0.156096318542541	0.190508787956667	-0.0021613115416619	0.988900453129636	0.976345385870524	0.955447346063449
Ktedonobacteria	0.209563479289909	0.872091421891242	0.854120216080935	0.0433269913468687	0.95087253220909	0.976345385870524	0.98739419926055
Lentisphaeria	0.329202874440122	0.0322772190937835	0.0575728266203522	0.0524575371494391	0.95087253220909	0.976345385870524	0.955447346063449
Leotiomycetes	0.577914342356666	0.886358283079505	0.856580294918309	0.016637642451838	0.951743788688538	0.976345385870524	0.98739419926055
Limnochordia	0.616607283851839	0.706855065851732	0.652034593312105	0.0186992725272042	0.952938529589205	0.976345385870524	0.955447346063449
Malasseziomycetes	0.100904768696303	0.31009483916817	0.317220439905675	0.0643754300003886	0.95087253220909	0.976345385870524	0.955447346063449
Methanobacteria	0.41759747412381	0.415350809994945	0.637369736753193	-0.060150347236293	0.95087253220909	0.976345385870524	0.955447346063449
Methanococci	0.17951949282973	0.480156748392929	0.412064349760579	0.0433350883409873	0.95087253220909	0.976345385870524	0.955447346063449
Methanomicrobia	0.523109819343815	0.857868024734654	0.800046761173053	0.0157758869161326	0.95087253220909	0.976345385870524	0.961672369490841
Methanopyri	0.763689481451209	0.915432093659956	0.532944880888279	0.0121405243216247	0.977194067663374	0.976345385870524	0.955447346063449
Methylacidiphilae	0.664558297158637	0.943569539358388	0.592087930945476	0.0143560539968416	0.960291262573872	0.976345385870524	0.955447346063449
Milneviricetes	0.793981092613371	0.693941422097718	0.640324843873931	-0.0121536888472496	0.988900453129636	0.976345385870524	0.955447346063449
Mollicutes	0.507022322501184	0.919648164239582	0.888965605615531	0.0220565864297942	0.95087253220909	0.976345385870524	0.994143298309575
Monjiviricetes	0.320234786092605	0.428881166591629	0.714042354037414	0.0367532115470598	0.95087253220909	0.976345385870524	0.955447346063449
Negativicutes	0.0834618478487635	0.515499158796789	0.355119432265134	0.118376333187834	0.95087253220909	0.976345385870524	0.955447346063449
Nitriliruptoria	0.486392057947462	0.379377222403568	0.344672532778865	0.0258331342446142	0.95087253220909	0.976345385870524	0.955447346063449
Nitrososphaeria	0.49882564500847	0.926659576488645	0.977451315440325	0.0234391617719555	0.95087253220909	0.976345385870524	0.994143298309575
Nitrospira	0.94033393523556	0.741781950287887	0.423343106914053	0.00199237277019691	0.988900453129636	0.976345385870524	0.955447346063449
Oligoflexia	0.602468070474526	0.57653546115864	0.936739113538293	0.0130988179904124	0.951743788688538	0.976345385870524	0.994143298309575
Opitutae	0.254402582330809	0.306465861742561	0.334109515663657	0.0389376341373179	0.95087253220909	0.976345385870524	0.955447346063449
Phycisphaerae	0.717474905410184	0.467724956510294	0.33015052912808	0.0105953335729376	0.960291262573872	0.976345385870524	0.955447346063449
Planctomycetia	0.60553780245316	0.301176149246574	0.177007844630003	0.0154112595773919	0.951743788688538	0.976345385870524	0.955447346063449
Rubrobacteria	0.692617502908297	0.150188781097284	0.111905279894519	0.0142888763751976	0.960291262573872	0.976345385870524	0.955447346063449
Saccharomycetes	0.276401764436691	0.359940053779415	0.919106846148598	0.0308812693667497	0.95087253220909	0.976345385870524	0.994143298309575
Saprospiria	0.50715252814078	0.467843194174052	0.712708759446709	0.0189883368502269	0.95087253220909	0.976345385870524	0.955447346063449
Schizosaccharomycetes	0.369636938528269	0.684769077543095	0.711475164664618	0.0307687145923788	0.95087253220909	0.976345385870524	0.955447346063449
Sordariomycetes	0.418956997756907	0.91513745147749	0.585771810942922	0.0197137850889709	0.95087253220909	0.976345385870524	0.955447346063449
Spartobacteria	0.347909818587715	0.962190531712515	0.725274314652166	0.0361203222989991	0.95087253220909	0.976345385870524	0.955447346063449
Sphingobacteriia	0.405512381418743	0.548317266187527	0.682228104424188	0.0177613347892275	0.95087253220909	0.976345385870524	0.955447346063449
Spirochaetia	0.561670397784253	0.627893389208089	0.533096039577602	0.0139937363360634	0.951743788688538	0.976345385870524	0.955447346063449
Synergistia	0.262028583899798	0.565279607587434	0.714930990482045	0.0441961107711533	0.95087253220909	0.976345385870524	0.955447346063449
Tepidiformia	0.208114045518039	0.637466947437002	0.701852151067141	0.047963675653317	0.95087253220909	0.976345385870524	0.955447346063449
Thermococci	0.60114807894509	0.482452654235943	0.507230128584245	0.0131255058666422	0.951743788688538	0.976345385870524	0.955447346063449
Thermodesulfobacteria	0.707520425187854	0.823431191362069	0.991243044286517	0.00926289767803435	0.960291262573872	0.976345385870524	0.994143298309575
Thermoleophilia	0.741737194563324	0.37599817830368	0.201348634388761	0.0138988404974963	0.960291262573872	0.976345385870524	0.955447346063449
Thermomicrobia	0.722602622387395	0.026182662635653	0.0215780269843466	0.0134071530031546	0.960291262573872	0.976345385870524	0.955447346063449
Thermoplasmata	0.410471283988098	0.968140802795982	0.572119677445036	0.0254749670824034	0.95087253220909	0.976345385870524	0.955447346063449
Thermoprotei	0.364119970306445	0.634495337139197	0.940787560604318	0.0220622763790424	0.95087253220909	0.976345385870524	0.994143298309575
Thermotogae	0.261983896968357	0.716722968066475	0.615125438848489	0.0302827182440825	0.95087253220909	0.976345385870524	0.955447346063449
Tissierellia	0.675814735607522	0.8909671436862	0.909998762496666	0.0104664877738946	0.960291262573872	0.976345385870524	0.994143298309575
Tremellomycetes	0.221543112361494	0.750161794584216	0.794475766316569	0.0376694833856332	0.95087253220909	0.976345385870524	0.961672369490841
Unclassified Acidobacteria Phylum	0.174087385686375	0.208585898971621	0.53098861075285	0.0795945610142638	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Actinobacteria Phylum	0.958447775611113	0.103986448016066	0.00838087259624203	0.00188422771953202	0.988900453129636	0.976345385870524	0.955447346063449
Unclassified Armatimonadetes Phylum	0.435567707969984	0.131932121415756	0.109613514511559	-0.0246205055510454	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Ascomycota Phylum	0.963970189605359	0.150603872425147	0.79713281252166	0.00195838255459153	0.988900453129636	0.976345385870524	0.961672369490841
Unclassified Bacteroidetes Phylum	0.733309520309937	0.976703567994884	0.843188237734132	-0.011402171641952	0.960291262573872	0.976703567994884	0.98739419926055
Unclassified Balneolaeota Phylum	0.982665486261799	0.77459494712755	0.663569224988742	0.00070065687231894	0.98921776466728	0.976345385870524	0.955447346063449
Unclassified Basidiomycota Phylum	0.00119065705110575	0.778481314508349	0.608477548049815	0.105260773400368	0.141688189081584	0.976345385870524	0.955447346063449
Unclassified Candidatus Bipolaricaulota Phylum	0.871807779789664	0.105203891185821	0.245755490279377	0.00581902272389873	0.988900453129636	0.976345385870524	0.955447346063449
Unclassified Candidatus Cloacimonetes Phylum	0.382273167716587	0.906083866255616	0.619451608925445	0.0344260319232702	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Candidatus Gracilibacteria Phylum	0.253945885200945	0.789729776101098	0.862932745572246	0.0578472457011387	0.95087253220909	0.976345385870524	0.98739419926055
Unclassified Candidatus Korarchaeota Phylum	0.936407693697246	0.463246250979073	0.165706035960931	0.00295387869062823	0.988900453129636	0.976345385870524	0.955447346063449
Unclassified Candidatus Micrarchaeota Phylum	0.98921776466728	0.239414049488976	0.168052531208909	0.000456434550311945	0.98921776466728	0.976345385870524	0.955447346063449
Unclassified Candidatus Saccharibacteria Phylum	0.730727514491512	0.908673174474415	0.881334934282	0.0119120776378942	0.960291262573872	0.976345385870524	0.994143298309575
Unclassified Chloroflexi Phylum	0.70449436036941	0.149236742542642	0.480604682168589	0.020569403239618	0.960291262573872	0.976345385870524	0.955447346063449
Unclassified Cyanobacteria Phylum	0.468073200966731	0.954100215895789	0.656589751603093	0.0174264913212631	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Elusimicrobia Phylum	0.521075364736774	0.734811515521011	0.791239971499214	0.0225456361980696	0.95087253220909	0.976345385870524	0.961672369490841
Unclassified Euryarchaeota Phylum	0.944595429188459	0.248402307974018	0.152384391733692	0.00278096133228991	0.988900453129636	0.976345385870524	0.955447346063449
Unclassified Firmicutes Phylum	0.281873435794961	0.76129410646823	0.712784930460648	0.0236235860651309	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Kiritimatiellaeota Phylum	0.906242323229961	0.405366770550394	0.279183053054383	0.00339900484421499	0.988900453129636	0.976345385870524	0.955447346063449
Unclassified Microsporidia Phylum	0.534519731720692	0.951325649857349	0.208356935401312	0.0198280352140428	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Planctomycetes Phylum	0.514063390880092	0.6561945236565	0.40102247823645	0.0189436560357759	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Proteobacteria Phylum	0.451804616039668	0.507889334696588	0.454936350301678	0.0226155019916447	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Tenericutes Phylum	0.983981484705754	0.773275319097433	0.792020738870816	-0.000715016598036609	0.98921776466728	0.976345385870524	0.961672369490841
Unclassified Thaumarchaeota Phylum	0.246716501432104	0.607942735559772	0.302219090111282	0.0339332957232481	0.95087253220909	0.976345385870524	0.955447346063449
Unclassified Verrucomicrobia Phylum	0.811860839404818	0.349600459306726	0.741412708604039	0.00750570450211851	0.988900453129636	0.976345385870524	0.959001220911746
Unclassified candidate division Zixibacteria Phylum	0.87595223831787	0.926932464665713	0.775386099349423	0.00602447207906239	0.988900453129636	0.976345385870524	0.961672369490841
Ustilaginomycetes	0.511186714960133	0.358872265173281	0.26514030262403	0.0195424145403954	0.95087253220909	0.976345385870524	0.955447346063449
Verrucomicrobiae	0.742410051737783	0.875511132838127	0.649407058107251	0.0318517068662583	0.960291262573872	0.976345385870524	0.955447346063449
