p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.191915578926701	0.763299263410289	0.987299466357716	0.00338475266070947	0.643088375097753	0.993362823530931	0.999964951529915
Acidithiobacillia	0.226604040696082	0.478007354116296	0.496582489281892	0.00252897720703567	0.643088375097753	0.993362823530931	0.999964951529915
Acidobacteriia	0.183015861090146	0.814253273841179	0.860398992313897	0.00262562163119369	0.643088375097753	0.993362823530931	0.999964951529915
Actinobacteria	0.541165998828259	0.904675615457213	0.408941652334913	-0.00224236542697008	0.751843295922602	0.993362823530931	0.999964951529915
Alphaproteobacteria	0.170456841085543	0.725834685747588	0.94415137499207	0.00270039877654213	0.643088375097753	0.993362823530931	0.999964951529915
Anaerolineae	0.279071839136481	0.412322836097689	0.773464203860443	0.00208270825685993	0.643088375097753	0.993362823530931	0.999964951529915
Aquificae	0.30203869940369	0.873042969103428	0.813679708320526	0.00187303392377705	0.643088375097753	0.993362823530931	0.999964951529915
Archaeoglobi	0.0519901517864059	0.922864022501889	0.799827860983666	0.0037780761645096	0.643088375097753	0.993362823530931	0.999964951529915
Ardenticatenia	0.436434469778966	0.976667650026209	0.696795458417142	0.002383511681664	0.718002543274688	0.993362823530931	0.999964951529915
Bacilli	0.0914492196290888	0.834935802582837	0.359621448811539	0.00397731272885029	0.643088375097753	0.993362823530931	0.999964951529915
Bacteroidia	0.777908913957827	0.344145079895635	0.793621827552743	0.00110661917120062	0.864017120705762	0.993362823530931	0.999964951529915
Betaproteobacteria	0.132084345379617	0.855451415197676	0.918642129014422	0.00290017157639944	0.643088375097753	0.993362823530931	0.999964951529915
Blastocatellia	0.599600607465393	0.447037172330393	0.778622739931755	0.00130404121889136	0.784093102070129	0.993362823530931	0.999964951529915
Caldilineae	0.403106056977984	0.562162296173331	0.668865040489507	0.00213748663788419	0.718002543274688	0.993362823530931	0.999964951529915
Calditrichae	0.387275265140672	0.540979887066164	0.470514660859682	0.00183799345381315	0.718002543274688	0.993362823530931	0.999964951529915
Candidatus Brocadiae	0.561451161730725	0.0720075437711866	0.378496656415711	0.00122982983980661	0.759235093704048	0.993362823530931	0.999964951529915
Chitinophagia	0.520094585337896	0.945940496763796	0.879408390132741	0.000927517820642932	0.737648214100704	0.993362823530931	0.999964951529915
Chlamydiia	0.591187154186433	0.916304066322778	0.817022570676243	0.000923701119626347	0.781680792757616	0.993362823530931	0.999964951529915
Chlorobia	0.234169068444566	0.732046314584376	0.851019984520058	0.00210698349498107	0.643088375097753	0.993362823530931	0.999964951529915
Chloroflexia	0.285623786037305	0.893571998919318	0.808514352866754	0.00217325247053425	0.643088375097753	0.993362823530931	0.999964951529915
Chrysiogenetes	0.328892715138596	0.746021725836432	0.756166473488552	0.00212612554772809	0.67079305426827	0.993362823530931	0.999964951529915
Chthonomonadetes	0.494491021196066	0.871363869863944	0.555349025023728	0.00164769280673075	0.737648214100704	0.993362823530931	0.999964951529915
Clostridia	0.387595955751549	0.173281041678197	0.300664928532667	0.000907904163172872	0.718002543274688	0.993362823530931	0.999964951529915
Coprothermobacteria	0.0243659514563124	0.421523557272669	0.474844602593349	0.00697169487491435	0.643088375097753	0.993362823530931	0.999964951529915
Coriobacteriia	0.485913845701776	0.324900649831724	0.0769289453084725	-0.00267481861369536	0.737648214100704	0.993362823530931	0.999964951529915
Cytophagia	0.263032008374966	0.78692763607596	0.924698234945086	0.00169495982936582	0.643088375097753	0.993362823530931	0.999964951529915
Deferribacteres	0.43575631529817	0.880007087931351	0.875770145944979	0.00137298775722492	0.718002543274688	0.993362823530931	0.999964951529915
Dehalococcoidia	0.952102338523594	0.900479672985678	0.806875163377309	0.000129017914509827	0.985218941602676	0.993362823530931	0.999964951529915
Deinococci	0.292778193359155	0.878291191009619	0.831278593031734	0.00233953922650419	0.643088375097753	0.993362823530931	0.999964951529915
Deltaproteobacteria	0.373947932434958	0.942624175240785	0.718410670718851	0.00243449114977137	0.718002543274688	0.993362823530931	0.999964951529915
Dictyoglomia	0.494648193432705	0.614460016175832	0.948030868250805	0.00160848911390384	0.737648214100704	0.993362823530931	0.999964951529915
Dothideomycetes	0.293695747452076	0.73481316429472	0.927971006437953	0.00196742872088342	0.643088375097753	0.993362823530931	0.999964951529915
Ellioviricetes	0.388873471221127	0.158276761780822	0.394235897855272	-0.00253027658987594	0.718002543274688	0.993362823530931	0.999964951529915
Elusimicrobia	0.679129166902237	0.783866479459725	0.930521039887246	-0.000956762542553145	0.800162087736299	0.993362823530931	0.999964951529915
Endomicrobia	0.520692857012261	0.861472585500565	0.535624866270569	0.00142581220694264	0.737648214100704	0.993362823530931	0.999964951529915
Epsilonproteobacteria	0.634295188157228	0.63902959801871	0.35268797550579	0.00103928674976587	0.79966312525702	0.993362823530931	0.999964951529915
Erysipelotrichia	0.446488976490142	0.997871940700783	0.911492427480794	0.00174388093630701	0.718002543274688	0.997871940700783	0.999964951529915
Eurotiomycetes	0.070321850228064	0.829369434634461	0.717162883980759	0.00297708370484462	0.643088375097753	0.993362823530931	0.999964951529915
Fibrobacteria	0.0830790783125358	0.565630953276068	0.859085043203066	0.00393718737604336	0.643088375097753	0.993362823530931	0.999964951529915
Fimbriimonadia	0.291495311503425	0.505322153799884	0.826746729860284	0.00251193130945563	0.643088375097753	0.993362823530931	0.999964951529915
Flavobacteriia	0.445652783805433	0.924161845969238	0.965488540026471	0.00118321124938326	0.718002543274688	0.993362823530931	0.999964951529915
Fusobacteriia	0.796605650288131	0.170062348601759	0.643205935520855	0.000580558502046302	0.869688737470529	0.993362823530931	0.999964951529915
Gammaproteobacteria	0.509532585901127	0.469221559273308	0.2704881529906	0.00136697309514462	0.737648214100704	0.993362823530931	0.999964951529915
Gemmatimonadetes	0.121391119397355	0.378116436159888	0.688845812192718	0.00367017464350122	0.643088375097753	0.993362823530931	0.999964951529915
Gloeobacteria	0.186739492165304	0.685408587203382	0.870463125312049	0.00308826581208848	0.643088375097753	0.993362823530931	0.999964951529915
Halobacteria	0.282264629814546	0.727936912900929	0.860198010615212	0.00229980877031219	0.643088375097753	0.993362823530931	0.999964951529915
Hydrogenophilalia	0.648933763096421	0.870637407431192	0.88441611740264	0.00121110810874945	0.79966312525702	0.993362823530931	0.999964951529915
Ignavibacteria	0.205747500409407	0.848159649175624	0.822304955355883	0.00266834472053922	0.643088375097753	0.993362823530931	0.999964951529915
Kiritimatiellae	0.171033821578093	0.393059549354933	0.554966718570291	0.00356643471078253	0.643088375097753	0.993362823530931	0.999964951529915
Ktedonobacteria	0.203190802420617	0.365080058172919	0.765921379381887	0.00306928412634123	0.643088375097753	0.993362823530931	0.999964951529915
Lentisphaeria	0.175736728971779	0.126517639922543	0.1516786057408	0.00446513792365531	0.643088375097753	0.993362823530931	0.999964951529915
Leotiomycetes	0.469345988136756	0.934237801344377	0.961425849945748	0.00140042416997828	0.737648214100704	0.993362823530931	0.999964951529915
Limnochordia	0.47767543593671	0.521944323766942	0.728247212853059	0.0017053633110163	0.737648214100704	0.993362823530931	0.999964951529915
Malasseziomycetes	0.0471067934585969	0.244342214761109	0.646225602178328	0.00543624719629703	0.643088375097753	0.993362823530931	0.999964951529915
Methanobacteria	0.132721028537452	0.186693510212004	0.491721516686606	-0.00722290555197091	0.643088375097753	0.993362823530931	0.999964951529915
Methanococci	0.300100525536962	0.889630847864546	0.821973882160104	0.00215963856728364	0.643088375097753	0.993362823530931	0.999964951529915
Methanomicrobia	0.763290172974365	0.844278052623394	0.792281993178107	0.000472831349392847	0.864017120705762	0.993362823530931	0.999964951529915
Methanopyri	0.270447678316619	0.0887942513524042	0.673005600219079	-0.00335520350627779	0.643088375097753	0.993362823530931	0.999964951529915
Methylacidiphilae	0.509884827042174	0.718226465992711	0.692875078616882	0.00152683860969539	0.737648214100704	0.993362823530931	0.999964951529915
Milneviricetes	0.855488137093317	0.56955507472773	0.652597950468864	0.000577520223403324	0.917144939766709	0.993362823530931	0.999964951529915
Mollicutes	0.617390968166171	0.608787271429154	0.95310751565856	0.00103679447432783	0.798581795780155	0.993362823530931	0.999964951529915
Monjiviricetes	0.543348936549107	0.224387961643156	0.654197648976925	0.0017246144682299	0.751843295922602	0.993362823530931	0.999964951529915
Negativicutes	0.0370361493996215	0.703826797806443	0.436716180862018	0.0077206946422053	0.643088375097753	0.993362823530931	0.999964951529915
Nitriliruptoria	0.149379658566447	0.828386403648892	0.999096295752212	0.0036204123500374	0.643088375097753	0.993362823530931	0.999964951529915
Nitrososphaeria	0.709968552267882	0.545605482351447	0.620707737641246	0.000797659729494016	0.828296644312529	0.993362823530931	0.999964951529915
Nitrospira	0.663724539652718	0.799872494965723	0.819082555216661	0.000736769953808458	0.79966312525702	0.993362823530931	0.999964951529915
Oligoflexia	0.4369480659692	0.775723345062242	0.895546713656986	0.00127558754042502	0.718002543274688	0.993362823530931	0.999964951529915
Opitutae	0.10132948823908	0.79526207845927	0.903341468063966	0.00362981695055317	0.643088375097753	0.993362823530931	0.999964951529915
Phycisphaerae	0.302629823575413	0.750750423201103	0.78264553257553	0.00198765912466662	0.643088375097753	0.993362823530931	0.999964951529915
Planctomycetia	0.39534219140814	0.938593374477659	0.65899852816317	0.0016691755234377	0.718002543274688	0.993362823530931	0.999964951529915
Rubrobacteria	0.277195090037177	0.758887413481141	0.997351351422214	0.0026771955509421	0.643088375097753	0.993362823530931	0.999964951529915
Saccharomycetes	0.394839853957147	0.906201774699319	0.696060806559881	0.00163202216974396	0.718002543274688	0.993362823530931	0.999964951529915
Saprospiria	0.552587721909619	0.548531981827792	0.685042898191581	0.00131183326949428	0.755838378244192	0.993362823530931	0.999964951529915
Schizosaccharomycetes	0.769951430357723	0.449746656002122	0.352494145824665	0.000675286737114755	0.864017120705762	0.993362823530931	0.999964951529915
