p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidimicrobiia	0.650951218843675	0.380325867883475	0.583922905043711	0.00350194084782265	0.993242089172515	0.97446389827753	0.981765393010859
Acidithiobacillia	0.474381067902434	0.753924267887584	0.852012688338627	-0.00427023281256539	0.993242089172515	0.97446389827753	0.981765393010859
Acidobacteriia	0.795396337049686	0.802185487543577	0.921989015610871	-0.00142332774909022	0.993242089172515	0.97446389827753	0.981765393010859
Actinobacteria	0.230381612236766	0.767032813382247	0.923687853651738	-0.0121996983511002	0.993242089172515	0.97446389827753	0.981765393010859
Alphaproteobacteria	0.792240694780785	0.517934980673161	0.837071533372828	0.00150919442613835	0.993242089172515	0.97446389827753	0.981765393010859
Anaerolineae	0.876220165721141	0.503851228790871	0.903291497417308	0.000901597738383614	0.993242089172515	0.97446389827753	0.981765393010859
Aquificae	0.516424268220582	0.656117851355861	0.52682276229955	-0.00352247563192865	0.993242089172515	0.97446389827753	0.981765393010859
Archaeoglobi	0.276066757518118	0.766346328702203	0.479711547450022	-0.00568339919362107	0.993242089172515	0.97446389827753	0.981765393010859
Ardenticatenia	0.438187763995401	0.78308906021899	0.851597137086066	-0.00739720131841189	0.993242089172515	0.97446389827753	0.981765393010859
Bacilli	0.807731001123425	0.636084481607392	0.698128639069167	0.00167705934249597	0.993242089172515	0.97446389827753	0.981765393010859
Bacteroidia	0.621219044046907	0.22494283640979	0.777868652418259	0.00615640729545539	0.993242089172515	0.97446389827753	0.981765393010859
Betaproteobacteria	0.90277084226086	0.56195991060285	0.909615179564741	0.000681165204569235	0.993242089172515	0.97446389827753	0.981765393010859
Blastocatellia	0.292283220361681	0.952681412717153	0.920454926266009	0.00803626939903114	0.993242089172515	0.98050433494272	0.981765393010859
Caldilineae	0.995859588882603	0.444391997217111	0.860452043376933	4.03189909479078e-05	0.997669735122346	0.97446389827753	0.981765393010859
Calditrichae	0.774496313240439	0.992782209032416	0.933593565992908	0.00199533991418953	0.993242089172515	0.992782209032416	0.981765393010859
Candidatus Brocadiae	0.257275849255425	0.18675078019175	0.199098844618633	-0.00694634724724042	0.993242089172515	0.97446389827753	0.981765393010859
Chitinophagia	0.305638760077965	0.413013550455353	0.422460773150273	-0.00423219515841315	0.993242089172515	0.97446389827753	0.981765393010859
Chlamydiia	0.32472094340107	0.708034084370342	0.427096575107838	-0.00504683953346984	0.993242089172515	0.97446389827753	0.981765393010859
Chlorobia	0.97737554399251	0.962304515952494	0.61521787794463	-0.000150319483889131	0.997669735122346	0.98050433494272	0.981765393010859
Chloroflexia	0.760422905981098	0.945187982342511	0.72662012407794	-0.00188106925646893	0.993242089172515	0.98050433494272	0.981765393010859
Chrysiogenetes	0.154067489215372	0.984060327975646	0.622053925071109	-0.00918575760349987	0.993242089172515	0.992399822280524	0.981765393010859
Chthonomonadetes	0.812658063561247	0.84452644898502	0.890471806514361	-0.00161195219254018	0.993242089172515	0.98050433494272	0.981765393010859
Clostridia	0.202013709246644	0.774668631008613	0.0638179106690561	-0.0040709855792248	0.993242089172515	0.97446389827753	0.981765393010859
Coprothermobacteria	0.0670873130442192	0.46467053198925	0.582899974354344	0.0156679161623438	0.993242089172515	0.97446389827753	0.981765393010859
Coriobacteriia	0.919612537080224	0.50410888101727	0.892853342291316	-0.00121254839997629	0.993242089172515	0.97446389827753	0.981765393010859
Cytophagia	0.732200563559561	0.788873841005385	0.791695581645069	-0.00146316319346366	0.993242089172515	0.97446389827753	0.981765393010859
Deferribacteres	0.715473648933809	0.541596740702571	0.396577034508524	-0.0019889962012943	0.993242089172515	0.97446389827753	0.981765393010859
Dehalococcoidia	0.759325399404703	0.728572107166958	0.913940535946195	-0.00200189269118403	0.993242089172515	0.97446389827753	0.981765393010859
Deinococci	0.832946436932033	0.506205707821253	0.804529084118806	-0.00138756772106261	0.993242089172515	0.97446389827753	0.981765393010859
Deltaproteobacteria	0.872387400709336	0.583597752973933	0.738532805989039	-0.0011940430296235	0.993242089172515	0.97446389827753	0.981765393010859
Dictyoglomia	0.361470598521572	0.383866204988482	0.632202552152686	-0.00635032125589818	0.993242089172515	0.97446389827753	0.981765393010859
Dothideomycetes	0.892648597382157	0.929110468393047	0.726343189527572	-0.000753704965166869	0.993242089172515	0.98050433494272	0.981765393010859
Ellioviricetes	0.69181697369742	0.161491571602687	0.515055582534447	-0.00342097700313528	0.993242089172515	0.97446389827753	0.981765393010859
Elusimicrobia	0.505480339949827	0.865500745188499	0.74939464597625	-0.00456467331514919	0.993242089172515	0.98050433494272	0.981765393010859
Endomicrobia	0.717401731598042	0.743871621282603	0.780220756906648	0.0022727550465959	0.993242089172515	0.97446389827753	0.981765393010859
Epsilonproteobacteria	0.605779411127089	0.540177814277942	0.497157679901236	-0.00333204084685202	0.993242089172515	0.97446389827753	0.981765393010859
Erysipelotrichia	0.2555359170771	0.474006133701997	0.282064065087264	-0.00727406950525426	0.993242089172515	0.97446389827753	0.981765393010859
Eurotiomycetes	0.56573290805538	0.770222889018712	0.74465429719541	0.00276044221566018	0.993242089172515	0.97446389827753	0.981765393010859
Fibrobacteria	0.604762377005474	0.922195650194192	0.652240366687206	0.00329124791231783	0.993242089172515	0.98050433494272	0.981765393010859
Fimbriimonadia	0.561331723705669	0.294008505264587	0.796378726306884	0.00445228508481791	0.993242089172515	0.97446389827753	0.981765393010859
