p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.895884931666421	0.222445647183201	0.233684445586225	-0.00462614969029682	0.982024048490609	0.975740440214032	0.95542039441694
Acetobacteraceae	0.614788708092297	0.34362636906038	0.285966068794755	-0.0144992954429016	0.923922937358508	0.975740440214032	0.95542039441694
Acholeplasmataceae	0.832997295388932	0.690951440274398	0.733503651628713	0.00637478965236035	0.957575015904687	0.975740440214032	0.95542039441694
Acidaminococcaceae	0.00265698183794244	0.301543787842557	0.381809693470047	-0.249604491465762	0.864379793714483	0.975740440214032	0.95542039441694
Acidiferrobacteraceae	0.495804941298348	0.446267801411018	0.362622557725788	-0.0232197594162225	0.904001333784866	0.975740440214032	0.95542039441694
Acidilobaceae	0.375868623093223	0.170007168027361	0.161045619574928	0.0362626910937109	0.900371626142205	0.975740440214032	0.95542039441694
Acidimicrobiaceae	0.1871030569642	0.096699552788604	0.0964113103625585	-0.0610896704422973	0.864379793714483	0.975740440214032	0.95542039441694
Acidithiobacillaceae	0.962805572500292	0.743296059706591	0.681231517641667	0.00147851717648567	0.998252826465083	0.975740440214032	0.95542039441694
Acidobacteriaceae	0.173764233922947	0.972764431706423	0.874877051636571	-0.040606846014624	0.864379793714483	0.985471112239421	0.961053324689202
Acidothermaceae	0.912913821252021	0.916337927168202	0.864192905717662	0.00440330968311933	0.987069645874937	0.979934620868974	0.961053324689202
Actinomycetaceae	0.686855880221347	0.506113111536968	0.481749949919325	0.0196646657055701	0.930870469247351	0.975740440214032	0.95542039441694
Actinopolysporaceae	0.233539281983738	0.997386441365331	0.908801881793479	-0.0536277309879713	0.864379793714483	0.997386441365331	0.961053324689202
Aerococcaceae	0.832159491770932	0.660629663743107	0.6874862952067	0.00500908919582708	0.957575015904687	0.975740440214032	0.95542039441694
Aeromonadaceae	0.599938799107135	0.576502490916534	0.490495779029391	-0.0165487603574285	0.923922937358508	0.975740440214032	0.95542039441694
Akkermansiaceae	0.17269156649254	0.529641749546438	0.568283661069459	-0.120364349870732	0.864379793714483	0.975740440214032	0.95542039441694
Alcaligenaceae	0.311625704456881	0.823196227126582	0.706957043449625	-0.0310592012101675	0.864379793714483	0.975740440214032	0.95542039441694
Alcanivoracaceae	0.22431504322726	0.155513717341102	0.0949603853551514	-0.0380798207313626	0.864379793714483	0.975740440214032	0.95542039441694
