p-variable	slope	adjusted.p-variable
Acaryochloridaceae	0.0751737356628077	1.5628606455668	0.227521610384437
Acetobacteraceae	0.0737819374248031	1.48439378619881	0.227521610384437
Acholeplasmataceae	0.972236443618569	0.0311176093739868	0.989529186686884
Acidaminococcaceae	0.0706798930155278	5.02892130615879	0.221952103067054
Acidiferrobacteraceae	0.0503457322746975	1.74974345952143	0.183886894478505
Acidilobaceae	0.927321231885958	-0.110522197612993	0.964788756406602
Acidimicrobiaceae	0.559296262547278	0.846857474056851	0.71120388941197
Acidithiobacillaceae	0.288456715903459	1.00468966919164	0.495184028967604
Acidobacteriaceae	0.115360304365589	1.40760830473022	0.293583183642901
Acidothermaceae	0.299926722105459	1.17060475320026	0.506433645522332
Actinomycetaceae	0.828025176805655	0.262342265022058	0.903459673845154
Actinopolysporaceae	0.0110543877519756	2.96039233482467	0.113024165118224
Aerococcaceae	0.604988703762708	0.338590342823696	0.755726902841976
Aeromonadaceae	0.042862255886038	1.80034215021326	0.165970389333155
Akkermansiaceae	0.383061478617066	2.36282525780936	0.571593883695705
Alcaligenaceae	0.0205698815740599	1.99144388689359	0.12498181486942
Alcanivoracaceae	0.00766319847443688	2.41992129428148	0.113024165118224
Alicyclobacillaceae	0.0868172101921189	1.45956726058678	0.245664083785391
Alteromonadaceae	0.442920377430199	0.526999067274478	0.61318278058213
Amoebophilaceae	0.378776472197949	-0.871588126318556	0.568716860588757
Anaerohalosphaeraceae	0.440578489777608	0.743991640033636	0.612163191626579
Anaerolineaceae	0.0207134719004867	1.96798032456338	0.12498181486942
Anaeromyxobacteraceae	0.0663026303152403	2.12726494694833	0.212086053492849
Anaplasmataceae	0.976562706671837	-0.0234857800241885	0.990643551183086
Aphanizomenonaceae	0.40438848995562	-0.688441861582065	0.593333539393574
Aphanothecaceae	0.95862817237134	0.040810709146129	0.981928251626399
Aquificaceae	0.711619391391391	0.344552717319267	0.840559602216895
Archaeoglobaceae	0.447403093021691	-0.654566481156827	0.616076451620778
Archangiaceae	0.0181324231473167	2.40986422760886	0.12498181486942
Ardenticatenaceae	0.0117291343147048	3.68783156441674	0.113024165118224
Aspergillaceae	0.0222124082902472	1.62138702281648	0.126960107129158
