p-variable	slope	adjusted.p-variable
Acaryochloridaceae	0.221688717309526	0.029299989273412	0.582756798450511
Acetobacteraceae	0.153939520749493	0.0323522847447255	0.538283046211834
Acholeplasmataceae	0.4749674947159	0.0173040765577629	0.721263497272568
Acidaminococcaceae	0.00622313713136433	0.205239692838038	0.538283046211834
Acidiferrobacteraceae	0.0743503500368429	0.0436335256615068	0.538283046211834
Acidilobaceae	0.305120428377573	0.0341874554323576	0.610654220160983
Acidimicrobiaceae	0.99738996034729	-0.000130469093576501	0.99738996034729
Acidithiobacillaceae	0.432879576784531	0.0203960103858346	0.709977649821762
Acidobacteriaceae	0.145352264218983	0.0355096816284637	0.538283046211834
Acidothermaceae	0.788420185997224	-0.00848183295429915	0.895027064887912
Actinomycetaceae	0.66632508142907	0.014249741501438	0.820194881375232
Actinopolysporaceae	0.147006229713546	0.0465868469281989	0.538283046211834
Aerococcaceae	0.2697287733268	0.0197396565254354	0.587526382759597
Aeromonadaceae	0.359404260711054	0.0223598369623229	0.661047122379259
Akkermansiaceae	0.241593524511416	0.0863487309121065	0.582756798450511
Alcaligenaceae	0.120889585282446	0.0366831503728158	0.538283046211834
Alcanivoracaceae	0.0300301504115135	0.0542397824037309	0.538283046211834
Alicyclobacillaceae	0.307881656430395	0.0239778034425997	0.610654220160983
Alteromonadaceae	0.498046493122169	0.0126393381901529	0.730751977088083
Amoebophilaceae	0.984377147826708	0.000527700218075927	0.988214875498547
Anaerohalosphaeraceae	0.34641589116501	0.0249821368856215	0.653242852143947
Anaerolineaceae	0.101676323929659	0.0383817487296618	0.538283046211834
Anaeromyxobacteraceae	0.201560046134268	0.0405591944777181	0.571396569371155
Anaplasmataceae	0.420878261149919	0.0177779829902228	0.705198047344952
Aphanizomenonaceae	0.350087431440251	0.0209163525386366	0.653242852143947
Aphanothecaceae	0.727186270115106	0.00744946307206839	0.861058203673514
Aquificaceae	0.661279300256471	0.0116008104257027	0.8188160156241
Archaeoglobaceae	0.398512756572107	0.0197884130034354	0.684714971604909
Archangiaceae	0.118393255773514	0.0437706958478891	0.538283046211834
Ardenticatenaceae	0.0978462051681932	0.0666124145024743	0.538283046211834
Aspergillaceae	0.0156247279440307	0.0469075247537365	0.538283046211834
Atopobiaceae	0.603550881181181	-0.0197921095996102	0.799045511075343
Aurantimonadaceae	0.0624634804739847	0.0528024367423968	0.538283046211834
Azonexaceae	0.946760413048791	0.00177640494106344	0.975388996075181
Bacillaceae	0.721969820863763	0.00647126424739739	0.861058203673514
Bacteriovoracaceae	0.545332186684512	0.0166004740493524	0.762743524542926
Bacteroidaceae	0.196808133026138	0.0689295281622953	0.564510275494371
Baekduiaceae	0.0436795999014584	0.0746766031317084	0.538283046211834
Barnesiellaceae	0.252274457078829	0.0530651870611303	0.585231285565751
Bartonellaceae	0.728516712404671	0.00682198884942289	0.861058203673514
Bdellovibrionaceae	0.241884310559479	0.0254038216121051	0.582756798450511
Beijerinckiaceae	0.163877704472879	0.0376872543236416	0.541006524381619
Bernardetiaceae	0.859600610839839	-0.00557118787301517	0.925295212901857
Beutenbergiaceae	0.107745382872093	0.0483873888280167	0.538283046211834
Bifidobacteriaceae	0.218038972527608	-0.077163517701677	0.582756798450511
Blattabacteriaceae	0.728973547187674	0.00837724600804417	0.861058203673514
Bogoriellaceae	0.190440681030288	0.0460630763379757	0.564510275494371
Borreliaceae	0.535005090177174	0.0158754054703102	0.756944014948474
Brachyspiraceae	0.833790344391192	-0.00525203439732596	0.911072211463668
Bradymonadaceae	0.31594107243997	0.0345900162715514	0.616324440555244
Bradyrhizobiaceae	0.12056712489054	0.0388685366439875	0.538283046211834
Brevibacteriaceae	0.226008132476645	0.0295019311156054	0.582756798450511
Brucellaceae	0.246217580087083	0.026983714022642	0.582756798450511
Budviciaceae	0.0467666881118174	0.0420835120310432	0.538283046211834
Burkholderiaceae	0.153330479355652	0.0338322544585371	0.538283046211834
Caldilineaceae	0.468832590232818	0.0223174241427811	0.721263497272568
Caldisphaeraceae	0.744431619686699	0.0123449617455627	0.867010483601008
Calditrichaceae	0.453245361578561	0.0200715011467954	0.715774769122101
Calotrichaceae	0.1272041158661	0.0291817338590361	0.538283046211834
Campylobacteraceae	0.585425578673775	0.0161380753041767	0.789251761824592
Candidatus Brocadiaceae	0.696834864688205	0.01000578940381	0.845855176682441
Candidatus Deianiraeaceae	0.174761302181101	-0.0402242450650131	0.551296495621751
Candidatus Methanomethylophilaceae	0.169608901238285	0.0539080409889186	0.550987810704933
Candidatus Midichloriaceae	0.25105445134363	0.0327012886292674	0.585036391140134
Candidatus Nanopelagicaceae	0.644328032900324	0.0106837054952434	0.817312652570608
Candidatus Paracaedibacteraceae	0.877581649357452	0.00503692201410146	0.929947632549564
Cardiobacteriaceae	0.0739583843658066	0.045727624556928	0.538283046211834
Carnobacteriaceae	0.901192832594375	-0.00270022409734604	0.941657687628789
Casimicrobiaceae	0.0221258982840966	0.0741204551185699	0.538283046211834
Catenulisporaceae	0.0501839705365433	0.0687640071137848	0.538283046211834
Caulobacteraceae	0.0595453476432349	0.0476863520998133	0.538283046211834
Cellulomonadaceae	0.178357164595852	0.0404628229699553	0.551296495621751
Cellvibrionaceae	0.348835220782063	0.0196747991860219	0.653242852143947
Chaetomiaceae	0.181771773457507	0.0325446884006817	0.551296495621751
Chamaesiphonaceae	0.126425397394905	0.0376898856427733	0.538283046211834
Chelatococcaceae	0.0349260120273108	0.0722787408394072	0.538283046211834
Chitinophagaceae	0.894879264757274	0.00232781361278448	0.938620817413434
