p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.197054641360739	0.398279708032716	0.375537889610309	0.00125285644192283	0.834824044725525	0.951911559633347	0.987768651702319
Acetobacteraceae	0.35743835449947	0.531362635581499	0.540065271612297	0.000682581433301291	0.834824044725525	0.951911559633347	0.987768651702319
Acholeplasmataceae	0.467138903761694	0.406687606418269	0.40190776109673	-0.000673375505890462	0.862281489022481	0.951911559633347	0.987768651702319
Acidaminococcaceae	0.201988874353061	0.878488926598948	0.905577314417738	-0.00292763864974621	0.834824044725525	0.995097206000048	0.994392988135748
Acidiferrobacteraceae	0.0551467786377037	0.808676827197892	0.909715925637269	0.00160990935264278	0.834824044725525	0.990317067448583	0.994392988135748
Acidilobaceae	0.570724582608364	0.137992234521278	0.112296796812054	-0.000582901783899271	0.870946621863403	0.951911559633347	0.987768651702319
Acidimicrobiaceae	0.150427982058919	0.570951772508655	0.633284296277873	0.00172521241197032	0.834824044725525	0.951911559633347	0.987768651702319
Acidithiobacillaceae	0.638752269279398	0.422374107652922	0.457515668406083	0.000400264018056566	0.889074104537541	0.951911559633347	0.987768651702319
Acidobacteriaceae	0.232488901066559	0.411920022043687	0.444296938333995	0.000956061184504169	0.834824044725525	0.951911559633347	0.987768651702319
Acidothermaceae	0.0731706744499491	0.990088701836453	0.940419349621317	0.00138413390244372	0.834824044725525	0.998360826745642	0.994488634609812
Actinomycetaceae	0.668403162066295	0.0677476561492926	0.0791375332480563	-0.000368404063273232	0.896826660990585	0.951911559633347	0.987768651702319
Actinopolysporaceae	0.379528739289091	0.527442041410492	0.600585976374945	0.000925633583774891	0.835064189984076	0.951911559633347	0.987768651702319
Aerococcaceae	0.766633902475812	0.496733179896022	0.46230717025494	-0.0001846910188074	0.93956233337828	0.951911559633347	0.987768651702319
Aeromonadaceae	0.389199672431327	0.437727718580488	0.461749647521925	0.000664225234914055	0.835064189984076	0.951911559633347	0.987768651702319
Akkermansiaceae	0.606476852762961	0.546605968873873	0.528997199266533	0.00141687857297694	0.874554594058891	0.951911559633347	0.987768651702319
Alcaligenaceae	0.308635908179335	0.305085087730878	0.335483475775937	0.000789791799085207	0.834824044725525	0.951911559633347	0.987768651702319
Alcanivoracaceae	0.817080729079852	0.0962922092370373	0.0935544256088628	0.000164283662401854	0.956355853354827	0.951911559633347	0.987768651702319
Alicyclobacillaceae	0.0694738700145661	0.998360826745642	0.918528643448598	0.0013995887083603	0.834824044725525	0.998360826745642	0.994392988135748
Alteromonadaceae	0.529932022984975	0.499920423142242	0.526068645567846	0.000410192811084418	0.867903432970292	0.951911559633347	0.987768651702319
Amoebophilaceae	0.568596310935818	0.957508092631412	0.99252039066723	0.000526130710588033	0.870946621863403	0.998360826745642	0.999113018634767
