p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.351598060139073	0.188555085315075	0.181370463115618	-0.171765663060848	0.680288385672116	0.938144327920768	0.935355941952516
Acetobacteraceae	0.392407924719051	0.611039772333248	0.604466604365971	-0.119953199120062	0.680288385672116	0.938144327920768	0.935355941952516
Acholeplasmataceae	0.421263755700863	0.68751159018399	0.685032007175584	-0.138799889771157	0.680288385672116	0.938144327920768	0.935355941952516
Acidaminococcaceae	0.11572995455883	0.8199896736021	0.814422815762054	-0.687192732074869	0.680288385672116	0.951933216743247	0.950866638970538
Acidiferrobacteraceae	0.772081087577789	0.549219832440039	0.554763329797741	-0.0457477737354787	0.845248220509503	0.938144327920768	0.935355941952516
Acidilobaceae	0.106856247880067	0.672886662311988	0.651512575876654	-0.318918042486489	0.680288385672116	0.938144327920768	0.935355941952516
Acidimicrobiaceae	0.205648783028932	0.434560635674739	0.433219548515266	-0.288202468769972	0.680288385672116	0.938144327920768	0.935355941952516
Acidithiobacillaceae	0.104440321929901	0.728691351921163	0.725185965655316	-0.262903212196286	0.680288385672116	0.938144327920768	0.936138577674623
Acidobacteriaceae	0.267839469851452	0.854290331359598	0.848530165963119	-0.169597916402317	0.680288385672116	0.951933216743247	0.950866638970538
Acidothermaceae	0.617551228029086	0.844184873280559	0.864249304198534	-0.0724661306330683	0.756688690740488	0.951933216743247	0.951350457378986
Actinomycetaceae	0.458877779685407	0.851304962460388	0.845884925167105	-0.121579123292675	0.680288385672116	0.951933216743247	0.950866638970538
Actinopolysporaceae	0.939133315514193	0.558323857857996	0.567790801525635	0.0150752431814772	0.957730014831306	0.938144327920768	0.935355941952516
Aerococcaceae	0.0903063263630209	0.519667237938772	0.506750972013855	-0.198987178521552	0.680288385672116	0.938144327920768	0.935355941952516
Aeromonadaceae	0.253114729901988	0.601980513694271	0.597944808317619	-0.166826081269034	0.680288385672116	0.938144327920768	0.935355941952516
Akkermansiaceae	0.852023278562073	0.500054589623485	0.502696894717458	-0.0949664425396475	0.90101024324326	0.938144327920768	0.935355941952516
Alcaligenaceae	0.390517460972959	0.845466643741741	0.84313137880704	-0.127376992301807	0.680288385672116	0.951933216743247	0.950866638970538
Alcanivoracaceae	0.249671588479303	0.620954051274728	0.611286535435722	-0.158005929757445	0.680288385672116	0.938144327920768	0.935355941952516
Alicyclobacillaceae	0.449808124868571	0.51823355934122	0.518962896092849	-0.109613974632761	0.680288385672116	0.938144327920768	0.935355941952516
Alteromonadaceae	0.280275399691596	0.679955532892849	0.67667789332357	-0.13322857325366	0.680288385672116	0.938144327920768	0.935355941952516
Amoebophilaceae	0.116055675268628	0.150641626836718	0.151257805453508	-0.268968893837898	0.680288385672116	0.938144327920768	0.935355941952516
Anaerohalosphaeraceae	0.140485325081815	0.482097534762581	0.480602685353236	-0.245199573439651	0.680288385672116	0.938144327920768	0.935355941952516
Anaerolineaceae	0.253407729596183	0.55250521353583	0.547898448913753	-0.160109951911487	0.680288385672116	0.938144327920768	0.935355941952516
Anaeromyxobacteraceae	0.551837543687648	0.385179982122077	0.382846773059573	-0.103522879873301	0.735747750442514	0.938144327920768	0.935355941952516
Anaplasmataceae	0.449890403372083	0.360605205104688	0.359087672376312	-0.111933027241802	0.680288385672116	0.938144327920768	0.935355941952516
Aphanizomenonaceae	0.121858820271033	0.870917791653377	0.878126196656956	-0.219395316207113	0.680288385672116	0.958381757909165	0.960103118472417
Aphanothecaceae	0.152953318921639	0.421395979674942	0.416650777615872	-0.180418907438888	0.680288385672116	0.938144327920768	0.935355941952516
Aquificaceae	0.292843934453392	0.357714832121745	0.360566902408328	-0.172136563009849	0.680288385672116	0.938144327920768	0.935355941952516
Archaeoglobaceae	0.718716859759709	0.364355437678193	0.37605923298976	0.0485421528905618	0.809841646886787	0.938144327920768	0.935355941952516
Archangiaceae	0.444012577706068	0.44371673172566	0.442285365482951	-0.127128822114836	0.680288385672116	0.938144327920768	0.935355941952516
Ardenticatenaceae	0.424805375046796	0.955801059181143	0.95554456857209	-0.143143006071803	0.680288385672116	0.978719457549905	0.980289746642682
Aspergillaceae	0.37283509099693	0.732299067619706	0.730457481846328	-0.124606059456781	0.680288385672116	0.938144327920768	0.936138577674623
Atopobiaceae	0.4073395451252	0.778363145227694	0.787788691307737	-0.163543218073138	0.680288385672116	0.951933216743247	0.950866638970538
Aurantimonadaceae	0.429450025782058	0.856978178639726	0.853010460591046	-0.130747144885276	0.680288385672116	0.951933216743247	0.950866638970538
Azonexaceae	0.350740622083599	0.843663303027054	0.833740181592398	-0.127852470596093	0.680288385672116	0.951933216743247	0.950866638970538
Bacillaceae	0.361474383919168	0.422476155852021	0.422231094452651	-0.10616724085492	0.680288385672116	0.938144327920768	0.935355941952516
Bacteriovoracaceae	0.843697922431899	0.948741322537402	0.94663104731676	0.0338903861428413	0.895271705531199	0.978055851774241	0.976983946629521
Bacteroidaceae	0.417587441322727	0.401268368476522	0.401996102480059	0.229063189034811	0.680288385672116	0.938144327920768	0.935355941952516
Baekduiaceae	0.436384568840569	0.225456592509233	0.227753751180239	-0.17000492087992	0.680288385672116	0.938144327920768	0.935355941952516
Barnesiellaceae	0.418228489664814	0.615119574342606	0.608865431889513	-0.20447776788854	0.680288385672116	0.938144327920768	0.935355941952516
Bartonellaceae	0.299512150112034	0.430231444075756	0.429404164676411	-0.139348565651692	0.680288385672116	0.938144327920768	0.935355941952516
Bdellovibrionaceae	0.209052993159647	0.602564766142778	0.592473269889044	-0.153599225508149	0.680288385672116	0.938144327920768	0.935355941952516
Beijerinckiaceae	0.247127127175776	0.524694797088778	0.519276559361538	-0.19068409871629	0.680288385672116	0.938144327920768	0.935355941952516
Bernardetiaceae	0.334506108722256	0.677817778654308	0.676877431180448	-0.191421030862661	0.680288385672116	0.938144327920768	0.935355941952516
Beutenbergiaceae	0.53477131241987	0.943038394297306	0.93034459273389	-0.109428728665248	0.729194993653119	0.977192702340267	0.966420748581865
Bifidobacteriaceae	0.38928130060193	0.519984371419431	0.533839682037733	0.303134065655495	0.680288385672116	0.938144327920768	0.935355941952516
Blattabacteriaceae	0.122656384250543	0.377145873061232	0.371611514860798	-0.24931399361772	0.680288385672116	0.938144327920768	0.935355941952516
Bogoriellaceae	0.902459458369713	0.555358288455392	0.556160521462003	-0.0230472755814341	0.933266307350205	0.938144327920768	0.935355941952516
Borreliaceae	0.417132515925603	0.479082894763032	0.480555061725448	-0.143324875605957	0.680288385672116	0.938144327920768	0.935355941952516
Brachyspiraceae	0.453529843688387	0.427431548759594	0.428589586990777	-0.128931211864299	0.680288385672116	0.938144327920768	0.935355941952516
Bradymonadaceae	0.50250559669052	0.27425289220055	0.277742017705144	-0.141372541132863	0.704916853714155	0.938144327920768	0.935355941952516
