p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.479486063525367	0.543389800373131	0.320818405988581	1.0398316641705e-05	0.774294880331058	0.999481737902431	0.999534435506873
Acetobacteraceae	0.28957371147546	0.620246954695237	0.82434642155359	-1.21794501572625e-05	0.710994318523578	0.999481737902431	0.999534435506873
Acholeplasmataceae	0.17912874680704	0.722221809157542	0.555934462051618	-1.92531651616035e-05	0.686458575336932	0.999481737902431	0.999534435506873
Acidaminococcaceae	0.0145097365738776	0.858148599126805	0.556420783012223	-8.4901124316638e-05	0.661434667003302	0.999481737902431	0.999534435506873
Acidiferrobacteraceae	0.733016227856523	0.664841259692755	0.526881881747002	-4.38291012200819e-06	0.873077216499748	0.999481737902431	0.999534435506873
Acidilobaceae	0.400108770292519	0.553102832150088	0.997306618621805	-1.32029140920863e-05	0.749979462575688	0.999481737902431	0.999534435506873
Acidimicrobiaceae	0.502228438136992	0.403459407856144	0.361256508731265	-1.21457513704531e-05	0.779059173616117	0.999481737902431	0.999534435506873
Acidithiobacillaceae	0.306341709029492	0.965967695428549	0.924438591688544	-1.33461167894686e-05	0.715324223145826	0.999481737902431	0.999534435506873
Acidobacteriaceae	0.583442221927139	0.921303482391275	0.998550960672161	-6.70258872554766e-06	0.820663044071627	0.999481737902431	0.999534435506873
Acidothermaceae	0.927235452857881	0.328566215031045	0.605373769257899	1.09236170179771e-06	0.958888068718491	0.999481737902431	0.999534435506873
Actinomycetaceae	0.570435895662326	0.398524001769325	0.604810198595341	7.74257874258383e-06	0.818313332217542	0.999481737902431	0.999534435506873
Actinopolysporaceae	0.293247025124015	0.148585417221373	0.0927176159668757	-1.68397968423955e-05	0.710994318523578	0.999481737902431	0.999534435506873
Aerococcaceae	0.450187015929808	0.569466598251414	0.327124008162518	-7.11755698114825e-06	0.768028922669099	0.999481737902431	0.999534435506873
Aeromonadaceae	0.396585983619865	0.640714929176856	0.718770512089709	-1.0231344809974e-05	0.748685921685924	0.999481737902431	0.999534435506873
Akkermansiaceae	0.226657841682283	0.979035448944181	0.935937205353499	-5.15460621223307e-05	0.698603887167724	0.999481737902431	0.999534435506873
Alcaligenaceae	0.531602251203062	0.647292965852068	0.663849273757857	-7.52127869366023e-06	0.79125768603924	0.999481737902431	0.999534435506873
Alcanivoracaceae	0.44250045108104	0.621137262366183	0.83761717134991	-8.73753755073843e-06	0.768028922669099	0.999481737902431	0.999534435506873
Alicyclobacillaceae	0.578660536375207	0.639570413275304	0.598244501206527	-6.4635692497621e-06	0.820663044071627	0.999481737902431	0.999534435506873
Alteromonadaceae	0.184454220647384	0.523524394810774	0.617606533023898	-1.34496886571905e-05	0.686458575336932	0.999481737902431	0.999534435506873
Amoebophilaceae	0.274793298502058	0.527125997364682	0.476505464909617	-1.56016014396023e-05	0.710994318523578	0.999481737902431	0.999534435506873
Anaerohalosphaeraceae	0.14054095718408	0.813169475368262	0.702445497499078	-2.03356718880799e-05	0.686458575336932	0.999481737902431	0.999534435506873
Anaerolineaceae	0.309341351729357	0.510130489957243	0.608447373822135	-1.17545529207798e-05	0.715324223145826	0.999481737902431	0.999534435506873
Anaeromyxobacteraceae	0.76702122629411	0.813140410801503	0.875843559137401	-4.10350830940582e-06	0.882235310356148	0.999481737902431	0.999534435506873
Anaplasmataceae	0.167113254105758	0.420833755321486	0.27298222055919	-1.69315376329778e-05	0.686458575336932	0.999481737902431	0.999534435506873
Aphanizomenonaceae	0.0163318554017592	0.522911300113321	0.444283191294066	-2.82815145537058e-05	0.661434667003302	0.999481737902431	0.999534435506873
Aphanothecaceae	0.299219454201379	0.603396937312038	0.451175459626107	-1.08278648823326e-05	0.710994318523578	0.999481737902431	0.999534435506873
Aquificaceae	0.186610098149846	0.867129632413908	0.834076491218637	-1.80441935742118e-05	0.686458575336932	0.999481737902431	0.999534435506873
Archaeoglobaceae	0.289628345684823	0.719539005085118	0.522087248897754	-1.15200936666975e-05	0.710994318523578	0.999481737902431	0.999534435506873
Archangiaceae	0.597590031815953	0.591418856198394	0.607708974330497	-6.99556882396697e-06	0.822884669479187	0.999481737902431	0.999534435506873
Ardenticatenaceae	0.7829361772013	0.714647827603569	0.56316296783763	3.7911957039268e-06	0.882235310356148	0.999481737902431	0.999534435506873
Aspergillaceae	0.458145045399763	0.904135854486721	0.949793106801834	-8.36787630463468e-06	0.768028922669099	0.999481737902431	0.999534435506873
Atopobiaceae	0.468918826465991	0.853972347750738	0.926515651874098	-1.15465714052905e-05	0.774294880331058	0.999481737902431	0.999534435506873
Aurantimonadaceae	0.484546026888857	0.604528623178959	0.670250687218567	-9.40441559354338e-06	0.774294880331058	0.999481737902431	0.999534435506873
Azonexaceae	0.806302631783591	0.89416734280659	0.71584822268363	-2.72353618981847e-06	0.891085526541952	0.999481737902431	0.999534435506873
Bacillaceae	0.177826914506264	0.874245406780236	0.761253418408867	-1.30280537344748e-05	0.686458575336932	0.999481737902431	0.999534435506873
Bacteriovoracaceae	0.324711610532961	0.955635370255127	0.854939900880989	-1.41397470405197e-05	0.715324223145826	0.999481737902431	0.999534435506873
Bacteroidaceae	0.76051483494535	0.27866933769959	0.293989735040778	-6.90305618173908e-06	0.882235310356148	0.999481737902431	0.999534435506873
Baekduiaceae	0.986641770804823	0.912882502984452	0.898248643296012	2.86066538193116e-07	0.991173139777711	0.999481737902431	0.999534435506873
Barnesiellaceae	0.0672715767117379	0.0326528100391041	0.0598084919921166	-3.75012770682947e-05	0.686458575336932	0.999481737902431	0.999534435506873
Bartonellaceae	0.0916738732871345	0.745886417428988	0.591032924650392	-1.87186971572346e-05	0.686458575336932	0.999481737902431	0.999534435506873
Bdellovibrionaceae	0.103372546871648	0.83994769233066	0.816256784716253	-1.65933970597042e-05	0.686458575336932	0.999481737902431	0.999534435506873
Beijerinckiaceae	0.393071317147291	0.964150882708288	0.875446950555998	-1.15284412129191e-05	0.748685921685924	0.999481737902431	0.999534435506873
Bernardetiaceae	0.0487505209597768	0.999481737902431	0.816753265430497	-3.24136252499859e-05	0.686458575336932	0.999481737902431	0.999534435506873
Beutenbergiaceae	0.802248477090107	0.405545598602641	0.580359868573687	-3.53994006320494e-06	0.88851175419657	0.999481737902431	0.999534435506873
Bifidobacteriaceae	0.385325949287583	0.586976966153926	0.910637806636993	2.52159659915084e-05	0.748685921685924	0.999481737902431	0.999534435506873
Blattabacteriaceae	0.168853051707874	0.397740538125823	0.224251248982126	-1.81612408796263e-05	0.686458575336932	0.999481737902431	0.999534435506873
Bogoriellaceae	0.713507610175178	0.347790677136215	0.26566341475	5.22386566598665e-06	0.87281809795776	0.999481737902431	0.999534435506873
Borreliaceae	0.144213212558988	0.254778016153615	0.185309403264134	-2.11134747688226e-05	0.686458575336932	0.999481737902431	0.999534435506873
Brachyspiraceae	0.119711574174802	0.450059850651898	0.34404986581367	-2.20782678940966e-05	0.686458575336932	0.999481737902431	0.999534435506873
Bradymonadaceae	0.464480964195649	0.160620386823299	0.100237769524809	-1.18504754160423e-05	0.774134940326082	0.999481737902431	0.999534435506873
Bradyrhizobiaceae	0.548697385599842	0.737840016524676	0.776608361040683	-7.20993730830087e-06	0.80278168631795	0.999481737902431	0.999534435506873
Brevibacteriaceae	0.981273703797638	0.710833973120686	0.462077234761967	2.75508098414842e-07	0.991173139777711	0.999481737902431	0.999534435506873
Brucellaceae	0.562181423087326	0.81261708805585	0.82708809788361	-6.39950098355581e-06	0.808724672877019	0.999481737902431	0.999534435506873
Budviciaceae	0.650501877218831	0.519042591837515	0.381427251940625	-4.74448940912071e-06	0.844867242175663	0.999481737902431	0.999534435506873
Burkholderiaceae	0.538444934652267	0.500944638310511	0.503158774950057	-7.38753818137333e-06	0.797794912051298	0.999481737902431	0.999534435506873
Caldilineaceae	0.471756489567897	0.972088061428832	0.915861655871516	-1.02981902442288e-05	0.774294880331058	0.999481737902431	0.999534435506873
Caldisphaeraceae	0.196592699560985	0.524488807846181	0.332392395922821	-2.32485462280777e-05	0.694150741143399	0.999481737902431	0.999534435506873
Calditrichaceae	0.775668507041892	0.781761907250292	0.886092019083144	3.21918562281873e-06	0.882235310356148	0.999481737902431	0.999534435506873
Calotrichaceae	0.165045336979135	0.42055855056062	0.26821815843231	-1.45544472234908e-05	0.686458575336932	0.999481737902431	0.999534435506873
Campylobacteraceae	0.640651028082042	0.894748201185412	0.724105315223367	-6.87016543055675e-06	0.841671631281254	0.999481737902431	0.999534435506873
Candidatus Brocadiaceae	0.0266708313062848	0.840549082657831	0.464697404150678	-2.7603185578855e-05	0.686458575336932	0.999481737902431	0.999534435506873
Candidatus Deianiraeaceae	0.867223896416907	0.407614334856173	0.337479450218007	-3.35434467718758e-06	0.92551158869692	0.999481737902431	0.999534435506873
Candidatus Methanomethylophilaceae	0.499262352733036	0.682401884825842	0.851835980788891	-1.05369080076252e-05	0.779059173616117	0.999481737902431	0.999534435506873
Candidatus Midichloriaceae	0.107091279565947	0.860277137983296	0.994874043004221	-2.73042116807147e-05	0.686458575336932	0.999481737902431	0.999534435506873
Candidatus Nanopelagicaceae	0.0638185455734366	0.876263520485484	0.589326309896247	-2.29032069439278e-05	0.686458575336932	0.999481737902431	0.999534435506873
