p-variable	slope	adjusted.p-variable
Acaryochloridaceae	0.958204380452625	0.0173227809456822	0.977371345614503
Acetobacteraceae	0.50866576674769	0.180282927633616	0.770526704352443
Acholeplasmataceae	0.418080473420477	0.263975304069475	0.769632016581243
Acidaminococcaceae	0.0179422364472181	2.25923109813896	0.769632016581243
Acidiferrobacteraceae	0.495939575803699	0.181472525106015	0.769632016581243
Acidilobaceae	0.0559491037870064	0.764144999462178	0.769632016581243
Acidimicrobiaceae	0.529035895991394	0.314506571131498	0.772019774025181
Acidithiobacillaceae	0.235229984384105	0.375713729342023	0.769632016581243
Acidobacteriaceae	0.368155181338659	0.276764368522969	0.769632016581243
Acidothermaceae	0.807732359913899	-0.0564612784308945	0.896868989673538
Actinomycetaceae	0.858502693476408	0.0567274378643031	0.918557685305985
Actinopolysporaceae	0.965810698814472	-0.013596666952646	0.981050315363812
Aerococcaceae	0.176759457554265	0.312294975047284	0.769632016581243
Aeromonadaceae	0.433126059080641	0.207571372306346	0.769632016581243
Akkermansiaceae	0.24077717046163	1.11209831341801	0.769632016581243
Alcaligenaceae	0.306138131681767	0.283479675766461	0.769632016581243
Alcanivoracaceae	0.194058410048643	0.343622552257661	0.769632016581243
Alicyclobacillaceae	0.582072904865912	0.155568687588627	0.787022694179207
Alteromonadaceae	0.687297860818595	0.0961609921233376	0.827162158448789
Amoebophilaceae	0.244966596358329	0.334150948299122	0.769632016581243
Anaerohalosphaeraceae	0.208056161469788	0.405058981782767	0.769632016581243
Anaerolineaceae	0.539312464333602	0.157852251406567	0.772019774025181
Anaeromyxobacteraceae	0.402145055005404	0.293028991010924	0.769632016581243
Anaplasmataceae	0.230969576724371	0.345257641185096	0.769632016581243
Aphanizomenonaceae	0.143462613441279	0.372790999054698	0.769632016581243
Aphanothecaceae	0.48853117675426	0.157912888645757	0.769632016581243
Aquificaceae	0.751812362287037	0.0989058634855762	0.862821599322479
Archaeoglobaceae	0.48358765854906	0.181981348012587	0.769632016581243
Archangiaceae	0.359841959860074	0.302000798368969	0.769632016581243
Ardenticatenaceae	0.343458270889527	0.308052052534047	0.769632016581243
Aspergillaceae	0.190787594603057	0.311743893439058	0.769632016581243
Atopobiaceae	0.582484711340219	0.209584060690305	0.787022694179207
Aurantimonadaceae	0.508697241708409	0.19190227183715	0.770526704352443
Azonexaceae	0.968835457393894	-0.011701227193123	0.982185552279243
Bacillaceae	0.537713164096324	0.129963505773389	0.772019774025181
Bacteriovoracaceae	0.835876509653467	-0.0632682984201127	0.913962637943813
Bacteroidaceae	0.820658643046603	-0.140480758863812	0.90500899607923
Baekduiaceae	0.252466861047198	0.462534100230291	0.769632016581243
Barnesiellaceae	0.172048980680313	0.634600182744988	0.769632016581243
Bartonellaceae	0.45425778293141	0.169815903693043	0.769632016581243
Bdellovibrionaceae	0.278070964661612	0.244167663196823	0.769632016581243
Beijerinckiaceae	0.21907642174316	0.392252625697867	0.769632016581243
Bernardetiaceae	0.242060786010904	0.409549958422701	0.769632016581243
Beutenbergiaceae	0.422902211168749	0.267420582861976	0.769632016581243
Bifidobacteriaceae	0.0595292407914	-1.23508193921025	0.769632016581243
Blattabacteriaceae	0.330113087705693	0.301886870791183	0.769632016581243
Bogoriellaceae	0.600345225866001	0.183960378490005	0.793242554570962
Borreliaceae	0.366903585887256	0.295644200271501	0.769632016581243
Brachyspiraceae	0.446268512504198	0.241275252277191	0.769632016581243
Bradymonadaceae	0.736463331204749	-0.13971175593805	0.861996853569195
Bradyrhizobiaceae	0.434420538942899	0.221505331205488	0.769632016581243
Brevibacteriaceae	0.559567814806098	0.145973729314624	0.783090827785708
Brucellaceae	0.420818501853872	0.203850588910454	0.769632016581243
Budviciaceae	0.190119339173132	0.312585182666505	0.769632016581243
Burkholderiaceae	0.43151376905193	0.215323721614838	0.769632016581243
Caldilineaceae	0.449314660829429	0.226094360217924	0.769632016581243
Caldisphaeraceae	0.252067296913745	0.535601399629164	0.769632016581243
