p-variable	slope	adjusted.p-variable
Acaryochloridaceae	0.78483097951749	0.00464900724809571	0.986912455143251
Acetobacteraceae	0.570594145105029	0.00798341415613096	0.986912455143251
Acholeplasmataceae	0.555168032781381	0.00994277615116981	0.986912455143251
Acidaminococcaceae	0.1098305082877	0.0808344163574915	0.986912455143251
Acidiferrobacteraceae	0.965040687723571	0.000604682354109125	0.986912455143251
Acidilobaceae	0.0288532160561007	0.0445904896520453	0.986912455143251
Acidimicrobiaceae	0.63154685761021	-0.0123693872781064	0.986912455143251
Acidithiobacillaceae	0.426838614960963	0.0130566327117136	0.986912455143251
Acidobacteriaceae	0.55776542734101	0.00933180580268255	0.986912455143251
Acidothermaceae	0.905622059666501	0.00141856199166841	0.986912455143251
Actinomycetaceae	0.474559856702934	0.0116776580515951	0.986912455143251
Actinopolysporaceae	0.869921548779487	-0.00267707753340267	0.986912455143251
Aerococcaceae	0.276119982075763	0.013054042981451	0.986912455143251
Aeromonadaceae	0.938936951906789	-0.00105149724429173	0.986912455143251
Akkermansiaceae	0.952949382841233	-0.00291960620241029	0.986912455143251
Alcaligenaceae	0.595870938098295	0.00762575189970357	0.986912455143251
Alcanivoracaceae	0.474991420123717	0.00984798413587347	0.986912455143251
Alicyclobacillaceae	0.924064527102945	0.00139253937962265	0.986912455143251
Alteromonadaceae	0.867200682001304	0.00206167572060141	0.986912455143251
Amoebophilaceae	0.780228132497356	0.00418173691758191	0.986912455143251
Anaerohalosphaeraceae	0.254721648892078	0.0189391553509896	0.986912455143251
Anaerolineaceae	0.959563000987837	0.000674371151784121	0.986912455143251
Anaeromyxobacteraceae	0.849656277969394	0.00343835293286925	0.986912455143251
Anaplasmataceae	0.382976024305077	0.0130413128447782	0.986912455143251
Aphanizomenonaceae	0.643607773588354	0.00618383668405045	0.986912455143251
Aphanothecaceae	0.360441465017686	0.0107127834089437	0.986912455143251
Aquificaceae	0.985696996478764	-0.000289270047063754	0.993412824239851
Archaeoglobaceae	0.506814675373835	0.00889278887195444	0.986912455143251
Archangiaceae	0.618486812669302	0.00851205516587606	0.986912455143251
Ardenticatenaceae	0.70483453924111	0.00639304760018066	0.986912455143251
Aspergillaceae	0.43960288219704	0.00958952941636746	0.986912455143251
Atopobiaceae	0.85695483051531	0.00355091520406656	0.986912455143251
Aurantimonadaceae	0.611088624022704	0.00762404284129533	0.986912455143251
Azonexaceae	0.915856713513971	0.00163100960332322	0.986912455143251
Bacillaceae	0.623666225292822	0.00534054621560849	0.986912455143251
Bacteriovoracaceae	0.559517833356036	0.00916161913401866	0.986912455143251
Bacteroidaceae	0.345816577774628	0.0298855045387103	0.986912455143251
Baekduiaceae	0.640654543412559	0.0098219995403624	0.986912455143251
Barnesiellaceae	0.136569586387267	0.0355466859727698	0.986912455143251
Bartonellaceae	0.343286814774279	0.011051560569535	0.986912455143251
Bdellovibrionaceae	0.375561471369953	0.0103187172815354	0.986912455143251
Beijerinckiaceae	0.323266604608377	0.0163298292786719	0.986912455143251
Bernardetiaceae	0.196754189561815	0.0232323497129375	0.986912455143251
Beutenbergiaceae	0.809807743160076	0.00416191239852991	0.986912455143251
Bifidobacteriaceae	0.401826066462897	-0.0290617566032826	0.986912455143251
Blattabacteriaceae	0.267092475830337	0.0176875694036285	0.986912455143251
Bogoriellaceae	0.958242917276589	-0.00095004370249134	0.986912455143251
Borreliaceae	0.438141804550938	0.0131208043438077	0.986912455143251
Brachyspiraceae	0.632305198521684	0.00783825976830021	0.986912455143251
Bradymonadaceae	0.294038026177159	-0.0222540128118346	0.986912455143251
Bradyrhizobiaceae	0.743449583196627	0.00480287439789727	0.986912455143251
Brevibacteriaceae	0.980465050417765	0.000316747754515198	0.990077452872841
Brucellaceae	0.36938874004355	0.011700193531277	0.986912455143251
Budviciaceae	0.315519957391117	0.012422853944097	0.986912455143251
Burkholderiaceae	0.683336333671201	0.00577962207174201	0.986912455143251
Caldilineaceae	0.913996412666805	0.00167221191597973	0.986912455143251
Caldisphaeraceae	0.0782511269449784	0.041770267347172	0.986912455143251
Calditrichaceae	0.956179701255448	0.000798170937108017	0.986912455143251
Calotrichaceae	0.101250659744645	0.0207380519752255	0.986912455143251
Campylobacteraceae	0.363716062206158	0.0159986315294677	0.986912455143251
Candidatus Brocadiaceae	0.926058909400625	-0.0015202139173773	0.986912455143251
Candidatus Deianiraeaceae	0.954438679374016	-0.00119973600967575	0.986912455143251
Candidatus Methanomethylophilaceae	0.61629243856232	0.0111249633885024	0.986912455143251
Candidatus Midichloriaceae	0.46603378315557	0.0132529881218517	0.986912455143251
Candidatus Nanopelagicaceae	0.327476291363222	0.0126978651632209	0.986912455143251
Candidatus Paracaedibacteraceae	0.857294183674101	0.00355752183958395	0.986912455143251
Cardiobacteriaceae	0.424363364244177	0.0123605319805564	0.986912455143251
Carnobacteriaceae	0.28644243120177	0.0123286766464938	0.986912455143251
Casimicrobiaceae	0.255688412487608	0.021280265309662	0.986912455143251
Catenulisporaceae	0.826787514912385	0.00362449969267288	0.986912455143251
Caulobacteraceae	0.626673112597699	0.00772897204748905	0.986912455143251
Cellulomonadaceae	0.904443812477686	0.00206412415455784	0.986912455143251
Cellvibrionaceae	0.602492534018148	0.00678557868108019	0.986912455143251
Chaetomiaceae	0.916498759859672	0.00144888017119197	0.986912455143251
Chamaesiphonaceae	0.305342275810257	0.01756430347378	0.986912455143251
Chelatococcaceae	0.626187059646761	0.00928153113999468	0.986912455143251
Chitinophagaceae	0.636203696963216	0.00560341678771	0.986912455143251
Chlamydiaceae	0.497515964121632	-0.00759348942480073	0.986912455143251
Chlorobiaceae	0.653854220198777	0.00580352600234556	0.986912455143251
Chloroflexaceae	0.502946324099149	0.0109863154647499	0.986912455143251
Christensenellaceae	0.324280443677844	0.0203952892213483	0.986912455143251
Chromatiaceae	0.583089471759535	0.00747349661539761	0.986912455143251
