p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.215378997609893	0.220787494726026	0.231916393858745	0.541742002759005	0.979955393098293	0.963434046320619
Acetobacteraceae	0.125888334204045	0.343627730698635	0.285966740864035	0.495686192768033	0.979955393098293	0.963434046320619
Acholeplasmataceae	0.913593621752859	0.690978730726159	0.733531309891209	0.967953319016465	0.979955393098293	0.963434046320619
Acidaminococcaceae	0.00635735925540974	0.301538227480954	0.381802505995599	0.461429453989579	0.979955393098293	0.963434046320619
Acidiferrobacteraceae	0.115931163314015	0.446265295951586	0.362624913220242	0.488503833201039	0.979955393098293	0.963434046320619
Acidilobaceae	0.732167336578982	0.169197494402951	0.160270314852991	0.882593956981191	0.979955393098293	0.963434046320619
Acidimicrobiaceae	0.99659033044117	0.0968885811442975	0.0965535484430565	0.996596433330809	0.979955393098293	0.963434046320619
Acidithiobacillaceae	0.742193162274363	0.743249783636324	0.6811877084357	0.884860962365979	0.979955393098293	0.963434046320619
Acidobacteriaceae	0.111591187947496	0.972775243106441	0.874887407004875	0.484625290215917	0.986615422450293	0.967003044116695
Acidothermaceae	0.967311928557195	0.9173831384123	0.865597351535605	0.985151061298625	0.98301934827102	0.967003044116695
Actinomycetaceae	0.835531652620892	0.506116114488519	0.481752487506648	0.930671423660968	0.979955393098293	0.963434046320619
Actinopolysporaceae	0.164413147318601	0.997733972658172	0.909193079522762	0.498240821301971	0.997733972658172	0.967003044116695
Aerococcaceae	0.891129999101105	0.660656013007896	0.687510861245415	0.961966010866185	0.979955393098293	0.963434046320619
Aeromonadaceae	0.232109472291204	0.576507157170398	0.49049935177092	0.55706273349889	0.979955393098293	0.963434046320619
Akkermansiaceae	0.0471417698004018	0.529643487881633	0.568285954215441	0.484625290215917	0.979955393098293	0.963434046320619
Alcaligenaceae	0.148011825299119	0.823205976373838	0.706965410496565	0.497293093141652	0.979955393098293	0.963434046320619
Alcanivoracaceae	0.00580444672027694	0.155539226717553	0.0949801347000216	0.461429453989579	0.979955393098293	0.963434046320619
Alicyclobacillaceae	0.205752675827768	0.714048275583126	0.613414744506593	0.530726528303402	0.979955393098293	0.963434046320619
Alteromonadaceae	0.382396407148352	0.522256780704757	0.474440788971519	0.672238269891371	0.979955393098293	0.963434046320619
Amoebophilaceae	0.338683912468841	0.635116059570647	0.742146955291389	0.636266750098626	0.979955393098293	0.963434046320619
Anaerohalosphaeraceae	0.512338242946115	0.494166416631849	0.436281929975922	0.7706013899353	0.979955393098293	0.963434046320619
Anaerolineaceae	0.0540066281365939	0.922976189676603	0.77889196325875	0.484625290215917	0.98301934827102	0.963434046320619
Anaeromyxobacteraceae	0.226286356186248	0.503220508705042	0.426259247209994	0.552699418649597	0.979955393098293	0.963434046320619
Anaplasmataceae	0.526232381601759	0.132370413733815	0.14482569440814	0.777407141849066	0.979955393098293	0.963434046320619
Aphanizomenonaceae	0.489446660835479	0.692904261686917	0.694784594523796	0.754677532908337	0.979955393098293	0.963434046320619
Aphanothecaceae	0.63452317464665	0.283816132834085	0.29118546639963	0.837934910059691	0.979955393098293	0.963434046320619
Aquificaceae	0.653671764277973	0.588650792643575	0.587887110640994	0.847714103201256	0.979955393098293	0.963434046320619
Archaeoglobaceae	0.788512410309227	0.780058224434053	0.754269769312082	0.903997343013206	0.979955393098293	0.963434046320619
Archangiaceae	0.104910392139818	0.689974136632769	0.583828848008385	0.484625290215917	0.979955393098293	0.963434046320619
Ardenticatenaceae	0.154283977162279	0.565340700689643	0.487593916992585	0.498006384805033	0.979955393098293	0.963434046320619
Arenaviridae	0.0285836588859059	0.456099799567429	0.337696739803354	0.484625290215917	0.979955393098293	0.963434046320619
Aspergillaceae	0.0197892240074107	0.217797037728884	0.170704436028337	0.473905982166527	0.979955393098293	0.963434046320619
Aspiviridae	0.316459978902084	0.0594000053821755	0.0585635057335513	0.623674545611268	0.979955393098293	0.963434046320619
Atopobiaceae	0.773777482842325	0.830103793887306	0.776228263388625	0.899210885324133	0.979955393098293	0.963434046320619
Aurantimonadaceae	0.0544304170024122	0.714126687774344	0.584847045778497	0.484625290215917	0.979955393098293	0.963434046320619
Azonexaceae	0.790997675136555	0.633292798553775	0.559133548295132	0.903997343013206	0.979955393098293	0.963434046320619
Bacillaceae	0.924416692039586	0.438695371510958	0.433801181454608	0.969179504422911	0.979955393098293	0.963434046320619
Bacteriovoracaceae	0.6621826469298	0.842115663428134	0.79308626725966	0.85603002600761	0.979955393098293	0.963434046320619
Bacteroidaceae	0.123977560366684	0.845298255776828	0.819722276225334	0.495686192768033	0.979955393098293	0.967003044116695
Baekduiaceae	0.0223174720795903	0.565740370842696	0.432013815898086	0.484625290215917	0.979955393098293	0.963434046320619
Barnesiellaceae	0.267617603139433	0.876009777910073	0.792522505462611	0.582083127711187	0.979955393098293	0.963434046320619
Bartonellaceae	0.9883970404894	0.474991992915359	0.495288354618254	0.993798117213386	0.979955393098293	0.963434046320619
Bdellovibrionaceae	0.302733004689221	0.512667065362369	0.463192743146979	0.612119482008974	0.979955393098293	0.963434046320619
Beijerinckiaceae	0.48234705721462	0.422330607466549	0.362252487675507	0.747790178800041	0.979955393098293	0.963434046320619
Bernardetiaceae	0.18441334774782	0.902728139538668	0.998738692780538	0.510067194613286	0.979955393098293	0.998738692780538
Beutenbergiaceae	0.141175240063397	0.900192077582076	0.957295496539348	0.497293093141652	0.979955393098293	0.977689272664857
Bifidobacteriaceae	0.0161201515325334	0.54769074578885	0.444059584121634	0.468086789019466	0.979955393098293	0.963434046320619
