p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.747994033850219	0.867575612869761	0.824211585768945	0.976817676561108	0.993622242825575	0.994625559147417
Acetobacteraceae	0.809831217836736	0.400123559951482	0.413288150796643	0.976817676561108	0.990824850108649	0.994625559147417
Acholeplasmataceae	0.206511116103441	0.949948613774337	0.995132665043614	0.976817676561108	0.993622242825575	0.998377949715451
Acidaminococcaceae	0.0362232463463958	0.191133166509689	0.164898834063766	0.976817676561108	0.990824850108649	0.994625559147417
Acidiferrobacteraceae	0.281450981287167	0.736497357228009	0.671566750802085	0.976817676561108	0.990824850108649	0.994625559147417
Acidilobaceae	0.376792352334358	0.658208710164788	0.570247261961345	0.976817676561108	0.990824850108649	0.994625559147417
Acidimicrobiaceae	0.756292630348147	0.0301260049154919	0.0324962361055921	0.976817676561108	0.990824850108649	0.994625559147417
Acidithiobacillaceae	0.699404920078678	0.552985843814009	0.560660440935808	0.976817676561108	0.990824850108649	0.994625559147417
Acidobacteriaceae	0.819932465043338	0.612831784675719	0.612450371222308	0.976817676561108	0.990824850108649	0.994625559147417
Acidothermaceae	0.328704188972391	0.200377141884886	0.224326495730869	0.976817676561108	0.990824850108649	0.994625559147417
Actinomycetaceae	0.170022185374406	0.556882562638181	0.545631713033725	0.976817676561108	0.990824850108649	0.994625559147417
Actinopolysporaceae	0.511363259484868	0.201073528137278	0.179792532018991	0.976817676561108	0.990824850108649	0.994625559147417
Aerococcaceae	0.444378962153589	0.587448799669289	0.651700456099937	0.976817676561108	0.990824850108649	0.994625559147417
Aeromonadaceae	0.762420090810278	0.417525389627217	0.417780081731316	0.976817676561108	0.990824850108649	0.994625559147417
Akkermansiaceae	0.590244547740781	0.966534598139294	0.949026804267148	0.976817676561108	0.993622242825575	0.996133053176863
Alcaligenaceae	0.625488896542393	0.707030368859093	0.687105412383432	0.976817676561108	0.990824850108649	0.994625559147417
Alcanivoracaceae	0.973775401739594	0.470275959582253	0.501094824234763	0.997160916494552	0.990824850108649	0.994625559147417
Alicyclobacillaceae	0.36489417868431	0.553917220540603	0.51724397195039	0.976817676561108	0.990824850108649	0.994625559147417
Alteromonadaceae	0.89872034566851	0.21382030429672	0.221686075277274	0.980030492658725	0.990824850108649	0.994625559147417
Amoebophilaceae	0.499061886320408	0.776881377362543	0.783026103952657	0.976817676561108	0.990824850108649	0.994625559147417
Anaerohalosphaeraceae	0.585944119294535	0.47296876189645	0.484201588503847	0.976817676561108	0.990824850108649	0.994625559147417
Anaerolineaceae	0.651519401853624	0.378850977031569	0.378148248458494	0.976817676561108	0.990824850108649	0.994625559147417
Anaeromyxobacteraceae	0.542722818032499	0.893502374634558	0.877025707647287	0.976817676561108	0.993622242825575	0.994625559147417
Anaplasmataceae	0.126738704215071	0.874185855199413	0.810297427319601	0.976817676561108	0.993622242825575	0.994625559147417
Aphanizomenonaceae	0.29526634804877	0.27256912006622	0.272711138789011	0.976817676561108	0.990824850108649	0.994625559147417
