p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.80045242306096	0.403013333938748	0.104136567824432	0.999797384021062	0.948671822253351	0.645089032663942
Acetobacteraceae	0.942384854556262	0.678394658413989	0.873300541854418	0.999797384021062	0.988260314000875	0.985785588731941
Acholeplasmataceae	0.951137684682958	0.302537061340977	0.215463376039057	0.999797384021062	0.898778682283044	0.777358062572286
Acidaminococcaceae	0.347021972092952	0.404559699183408	0.427235757851612	0.999797384021062	0.948671822253351	0.923210766153815
Acidiferrobacteraceae	0.697347563917891	0.41933418724683	0.498263884852777	0.999797384021062	0.948671822253351	0.948419532547355
Acidilobaceae	0.627398760716404	0.802255705036731	0.314503480373858	0.999797384021062	0.988260314000875	0.851713140228095
Acidimicrobiaceae	0.66034246760067	0.885325182913341	0.819191149842125	0.999797384021062	0.997998585699999	0.978815629394601
Acidithiobacillaceae	0.87853916050265	0.78176969883861	0.826318991481674	0.999797384021062	0.988260314000875	0.978815629394601
Acidobacteriaceae	0.756472750569143	0.965346960855987	0.948282755693763	0.999797384021062	0.999089634071041	0.987374507654033
Acidothermaceae	0.222193277107467	0.360586585168684	0.0599812396210397	0.999797384021062	0.930111191650063	0.593906936025235
Actinomycetaceae	0.325113879792871	0.767735425217869	0.56964925587467	0.999797384021062	0.988260314000875	0.95423487950643
Actinopolysporaceae	0.892158352202597	0.860003050501272	0.583639657647844	0.999797384021062	0.997998585699999	0.95423487950643
Aerococcaceae	0.291443469877432	0.891122809750475	0.725111617978555	0.999797384021062	0.997998585699999	0.96627033788902
Aeromonadaceae	0.62071291387012	0.427642758034839	0.457187003707902	0.999797384021062	0.949131166352217	0.93016811223089
Akkermansiaceae	0.470679680625116	0.139033564569368	0.137683942053071	0.999797384021062	0.739090151050054	0.680484216779742
Alcaligenaceae	0.827259215555513	0.741446028181687	0.744666270960885	0.999797384021062	0.988260314000875	0.967006457902882
Alcanivoracaceae	0.7015344639997	0.82191802812749	0.899821486481777	0.999797384021062	0.988260314000875	0.985785588731941
