p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.341025539973054	0.393201197600942	0.213654766777234	0.626504789884975	0.979118303579392	0.999579445565385
Acetobacteraceae	0.109181140962338	0.333923611769924	0.762295306041642	0.447563855140652	0.979118303579392	0.999579445565385
Acholeplasmataceae	0.3968990700783	0.899790265897369	0.695194224371014	0.665357500948542	0.979253267064598	0.999579445565385
Acidaminococcaceae	0.00477207601578417	0.60127340386046	0.225265235109579	0.437464095542375	0.979118303579392	0.999579445565385
Acidiferrobacteraceae	0.0699438949592284	0.845633543457059	0.690450614903725	0.447563855140652	0.979118303579392	0.999579445565385
Acidilobaceae	0.191920612698838	0.266155068119146	0.842224128689595	0.515110927749076	0.979118303579392	0.999579445565385
Acidimicrobiaceae	0.823516461697212	0.385412488045578	0.402285565992798	0.905540013659085	0.979118303579392	0.999579445565385
Acidithiobacillaceae	0.353253418453687	0.443429843867506	0.732201285668767	0.632840162352868	0.979118303579392	0.999579445565385
Acidobacteriaceae	0.10514458685754	0.561518775811521	0.911055650301862	0.447563855140652	0.979118303579392	0.999579445565385
Acidothermaceae	0.951658339028432	0.934406924052226	0.184380352846731	0.982500287342978	0.98027700345408	0.999579445565385
Actinomycetaceae	0.708251383058772	0.43198425808784	0.504884049135647	0.840715507558031	0.979118303579392	0.999579445565385
Actinopolysporaceae	0.162800558351267	0.960885329914214	0.936742630716416	0.47636190362568	0.984315853866668	0.999579445565385
Aerococcaceae	0.217528722403188	0.636618662146103	0.819972493368174	0.534761511531948	0.979118303579392	0.999579445565385
Aeromonadaceae	0.321578353930685	0.423189217354811	0.923884162123192	0.609393829948735	0.979118303579392	0.999579445565385
Akkermansiaceae	0.291539797394433	0.643367139375692	0.423398481141655	0.582875863578116	0.979118303579392	0.999579445565385
Alcaligenaceae	0.0902493844944737	0.457271981354951	0.903245690962334	0.447563855140652	0.979118303579392	0.999579445565385
Alcanivoracaceae	0.0110951038724516	0.0492790446752895	0.27416709354685	0.437464095542375	0.979118303579392	0.999579445565385
Alicyclobacillaceae	0.232335368220535	0.55279923756054	0.980418966504492	0.53876274214064	0.979118303579392	0.999579445565385
Alteromonadaceae	0.43082408589277	0.632122978061916	0.965530393810378	0.690872641829253	0.979118303579392	0.999579445565385
Amoebophilaceae	0.957360758948936	0.385939245881408	0.651649209858366	0.98593869205189	0.979118303579392	0.999579445565385
Anaerohalosphaeraceae	0.292493866324526	0.660325168186768	0.828997872922052	0.582875863578116	0.979118303579392	0.999579445565385
Anaerolineaceae	0.07550988119473	0.219602002496866	0.596557619364364	0.447563855140652	0.979118303579392	0.999579445565385
Anaeromyxobacteraceae	0.160029964377483	0.33629383123942	0.749194875013826	0.472387916237277	0.979118303579392	0.999579445565385
Anaplasmataceae	0.244404749469129	0.684604518905092	0.744778083231918	0.546646454463016	0.979118303579392	0.999579445565385
Aphanizomenonaceae	0.270340343161956	0.940304750399046	0.552367160226741	0.563124035567547	0.98027700345408	0.999579445565385
Aphanothecaceae	0.616087410284002	0.893310553621437	0.932867795746825	0.789480322412487	0.979118303579392	0.999579445565385
Aquificaceae	0.433182750372757	0.971719634020171	0.821564408759882	0.690872641829253	0.984688467450014	0.999579445565385
Archaeoglobaceae	0.412681687880466	0.938095181692055	0.934693200225888	0.676894541184717	0.98027700345408	0.999579445565385
Archangiaceae	0.0961840563285488	0.533495499268436	0.9565519657173	0.447563855140652	0.979118303579392	0.999579445565385
Ardenticatenaceae	0.0776340052012723	0.394719254147644	0.672576557901991	0.447563855140652	0.979118303579392	0.999579445565385
