p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.103313213649852	0.624286509438253	0.93488859816363	0.555675635295672	0.892477496580504	0.995122447934649
Acetobacteraceae	0.13068379575662	0.146830328402775	0.27256750876608	0.555675635295672	0.642928444923854	0.981228503400236
Acholeplasmataceae	0.928748700524163	0.870853921800987	0.663487252955949	0.967300533376109	0.946282214240443	0.981228503400236
Acidaminococcaceae	0.00882036168257902	0.651440711188488	0.300145949393893	0.555675635295672	0.892477496580504	0.981228503400236
Acidiferrobacteraceae	0.0554753380932374	0.191969862329228	0.526671655851858	0.555675635295672	0.642928444923854	0.981228503400236
Acidilobaceae	0.381243377120309	0.290523944755753	0.474361302928726	0.733262523241849	0.663567784119803	0.981228503400236
Acidimicrobiaceae	0.900120916317912	0.62695944009249	0.747481153770075	0.959656593224306	0.892477496580504	0.983061367593258
Acidithiobacillaceae	0.766474735316587	0.33514048141543	0.711641740082322	0.941021593382635	0.679887122369139	0.982489681381512
Acidobacteriaceae	0.161604322877382	0.243079539444949	0.370767472171781	0.556466981538563	0.659252614125743	0.981228503400236
Acidothermaceae	0.958243145083024	0.923440146568352	0.480641976112043	0.979664060717433	0.978862728808264	0.981228503400236
Actinomycetaceae	0.803046537292117	0.275137855615387	0.439890762578337	0.946162383537294	0.660112368731179	0.981228503400236
Actinopolysporaceae	0.117187300134462	0.29118525094625	0.325636330672972	0.555675635295672	0.663567784119803	0.981228503400236
Aerococcaceae	0.952024907068256	0.757876882416718	0.597108979497994	0.97861778156737	0.925876265839745	0.981228503400236
Aeromonadaceae	0.436999265108506	0.201625373696023	0.459817566378404	0.783193488116543	0.642928444923854	0.981228503400236
Akkermansiaceae	0.151416815677575	0.67037173589866	0.291858485537	0.556466981538563	0.900353280331047	0.981228503400236
Alcaligenaceae	0.166314701385558	0.113905114969268	0.260927009746614	0.556466981538563	0.642928444923854	0.981228503400236
Alcanivoracaceae	0.0200617539435103	0.00620097141578817	0.025860460742741	0.555675635295672	0.642928444923854	0.981228503400236
Alicyclobacillaceae	0.215557345242419	0.117273668223089	0.305382811870321	0.594938272869077	0.642928444923854	0.981228503400236
Alteromonadaceae	0.446121600251672	0.427605971011974	0.66400313248426	0.79013149706647	0.751714955409585	0.981228503400236
Amoebophilaceae	0.493752102906946	0.234600257273408	0.460310443946696	0.8016210611901	0.659252614125743	0.981228503400236
