p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.943472258813207	0.906681202963929	0.148253005618361	0.99128645800766	0.999105814964353	0.953731006304196
Acetobacteraceae	0.563322797059507	0.845182161263912	0.436490430650871	0.957001183274319	0.999105814964353	0.953731006304196
Acholeplasmataceae	0.403854646185107	0.720951188614824	0.804159544976513	0.957001183274319	0.999105814964353	0.984736582822045
Acidaminococcaceae	0.0721560790910597	0.619310950713812	0.400435202421327	0.957001183274319	0.999105814964353	0.953731006304196
Acidiferrobacteraceae	0.664442160704804	0.125872384138576	0.116332705189668	0.957001183274319	0.999105814964353	0.953731006304196
Acidilobaceae	0.0146569201393372	0.470761229681584	0.699640535248673	0.957001183274319	0.999105814964353	0.976622372308278
Acidimicrobiaceae	0.695033019234935	0.425946298903553	0.376360778300226	0.957001183274319	0.999105814964353	0.953731006304196
Acidithiobacillaceae	0.345629818524084	0.965326826379155	0.925086348654327	0.957001183274319	0.999105814964353	0.991548863023667
Acidobacteriaceae	0.467584928320801	0.584104376019696	0.369572816774101	0.957001183274319	0.999105814964353	0.953731006304196
Acidothermaceae	0.695369828079268	0.865440483833742	0.164100773940779	0.957001183274319	0.999105814964353	0.953731006304196
Actinomycetaceae	0.311957846159887	0.727767431154844	0.997769570675267	0.957001183274319	0.999105814964353	0.999531552512805
Actinopolysporaceae	0.891239542709713	0.162888424120192	0.252669074111111	0.989363001650355	0.999105814964353	0.953731006304196
Aerococcaceae	0.130233300149953	0.489490072167793	0.989077072194813	0.957001183274319	0.999105814964353	0.999531552512805
Aeromonadaceae	0.617369330534284	0.679968005945847	0.455810706194704	0.957001183274319	0.999105814964353	0.953731006304196
Akkermansiaceae	0.717429572016013	0.856160127032982	0.643766767442579	0.9588889194984	0.999105814964353	0.976622372308278
Alcaligenaceae	0.417071830031555	0.39091113722498	0.249973810393029	0.957001183274319	0.999105814964353	0.953731006304196
Alcanivoracaceae	0.294110391629057	0.853505389048463	0.365059803904501	0.957001183274319	0.999105814964353	0.953731006304196
Alicyclobacillaceae	0.780408975761795	0.216167867402092	0.135856804115412	0.969894984554041	0.999105814964353	0.953731006304196
Alteromonadaceae	0.800378291489734	0.796015426535104	0.630007876552986	0.969894984554041	0.999105814964353	0.976622372308278
Amoebophilaceae	0.674337785608086	0.939996441225821	0.874728534634109	0.957001183274319	0.999105814964353	0.984736582822045
Anaerohalosphaeraceae	0.362786497764584	0.76224983186877	0.864182979729251	0.957001183274319	0.999105814964353	0.984736582822045
Anaerolineaceae	0.702537825489886	0.83742955864294	0.567376408647715	0.957001183274319	0.999105814964353	0.974261642609436
Anaeromyxobacteraceae	0.627227136585199	0.433117828039643	0.212041799954762	0.957001183274319	0.999105814964353	0.953731006304196
Anaplasmataceae	0.347827216800777	0.913614829960364	0.861854193850108	0.957001183274319	0.999105814964353	0.984736582822045
Aphanizomenonaceae	0.221416683039269	0.859253556254836	0.604468240376108	0.957001183274319	0.999105814964353	0.974261642609436
Aphanothecaceae	0.48180485278983	0.577701814121317	0.755384813311197	0.957001183274319	0.999105814964353	0.983425511669294
Aquificaceae	0.783299905140916	0.720352895883254	0.869010140513191	0.969894984554041	0.999105814964353	0.984736582822045
Archaeoglobaceae	0.259304062558354	0.189398085185187	0.551032429694155	0.957001183274319	0.999105814964353	0.974261642609436
Archangiaceae	0.411574814086635	0.348456503046698	0.208193524763422	0.957001183274319	0.999105814964353	0.953731006304196
Ardenticatenaceae	0.409329926932911	0.163055443629853	0.112718539600434	0.957001183274319	0.999105814964353	0.953731006304196
Arenaviridae	0.142631604447695	0.642890484447626	0.400038480551353	0.957001183274319	0.999105814964353	0.953731006304196
Aspergillaceae	0.179232627074788	0.778950923781759	0.681225104218007	0.957001183274319	0.999105814964353	0.976622372308278
Aspiviridae	0.793981092613371	0.693941422097718	0.640324843873931	0.969894984554041	0.999105814964353	0.976622372308278
Atopobiaceae	0.657620309773176	0.903024522123028	0.444359189209471	0.957001183274319	0.999105814964353	0.953731006304196
Aurantimonadaceae	0.47326619821617	0.846879505319174	0.659177756800566	0.957001183274319	0.999105814964353	0.976622372308278
Azonexaceae	0.711514394123758	0.954164043117273	0.482593355458052	0.957001183274319	0.999105814964353	0.956556745965558
Bacillaceae	0.502226277930876	0.972617962174813	0.975103942929614	0.957001183274319	0.999105814964353	0.999531552512805
Bacteriovoracaceae	0.706020002384412	0.428172770078074	0.460742235975242	0.957001183274319	0.999105814964353	0.953731006304196
Bacteroidaceae	0.377533495587347	0.837531780244428	0.808622145102899	0.957001183274319	0.999105814964353	0.984736582822045
Baekduiaceae	0.435665269216137	0.0998157569657355	0.109541986136777	0.957001183274319	0.999105814964353	0.953731006304196
Barnesiellaceae	0.959128546923853	0.922475070067843	0.775227511089595	0.992814920175161	0.999105814964353	0.984736582822045
Bartonellaceae	0.579335189768239	0.635272882609161	0.663867632956431	0.957001183274319	0.999105814964353	0.976622372308278
Bdellovibrionaceae	0.384987670626456	0.51821595526071	0.958307438807796	0.957001183274319	0.999105814964353	0.999083124925224
Beijerinckiaceae	0.243962721737434	0.688845254870002	0.389601168455675	0.957001183274319	0.999105814964353	0.953731006304196
Bernardetiaceae	0.419330603461199	0.46156995035114	0.350394163302099	0.957001183274319	0.999105814964353	0.953731006304196
Beutenbergiaceae	0.569765055787838	0.838939007839246	0.25448658293024	0.957001183274319	0.999105814964353	0.953731006304196
Bifidobacteriaceae	0.527791688527595	0.0846411857681681	0.586702447926465	0.957001183274319	0.999105814964353	0.974261642609436
Blattabacteriaceae	0.402066900495062	0.501609312858631	0.658291342458301	0.957001183274319	0.999105814964353	0.976622372308278
Bogoriellaceae	0.712549794068379	0.106375721393685	0.0395040640612356	0.957001183274319	0.999105814964353	0.953731006304196
Borreliaceae	0.344295158083106	0.393696213247326	0.245519222566054	0.957001183274319	0.999105814964353	0.953731006304196
Brachyspiraceae	0.63554028317081	0.86232042280155	0.824336787408004	0.957001183274319	0.999105814964353	0.984736582822045
Bradymonadaceae	0.620214661298073	0.110691618732263	0.15602970142962	0.957001183274319	0.999105814964353	0.953731006304196
Bradyrhizobiaceae	0.607894636919605	0.373573481473723	0.221598364049943	0.957001183274319	0.999105814964353	0.953731006304196
Brevibacteriaceae	0.780350298121608	0.0598000073056167	0.083371847024942	0.969894984554041	0.999105814964353	0.953731006304196
Brucellaceae	0.557738034536602	0.36120577862898	0.310223065998826	0.957001183274319	0.999105814964353	0.953731006304196
Budviciaceae	0.226130700987447	0.609884565667849	0.805467442038464	0.957001183274319	0.999105814964353	0.984736582822045
Burkholderiaceae	0.563990498385458	0.297900834823928	0.179632353601321	0.957001183274319	0.999105814964353	0.953731006304196
Caedimonadaceae	0.900596697249417	0.272136891912943	0.900833430491443	0.990224227817777	0.999105814964353	0.984736582822045
Caldilineaceae	0.66186174667862	0.495276108299616	0.670180785633064	0.957001183274319	0.999105814964353	0.976622372308278
Caldisphaeraceae	0.134361525747508	0.50109601583411	0.482730144477737	0.957001183274319	0.999105814964353	0.956556745965558
Calditrichaceae	0.856960430227735	0.478182741509861	0.106929102951682	0.979509584221026	0.999105814964353	0.953731006304196
Calotrichaceae	0.0559074269755155	0.573802455397712	0.626224283580148	0.957001183274319	0.999105814964353	0.976622372308278
Campylobacteraceae	0.390215441539375	0.785903598599973	0.41156313552386	0.957001183274319	0.999105814964353	0.953731006304196
Candidatus Brocadiaceae	0.917837820128803	0.00689047558096796	0.12887739532043	0.990224227817777	0.999105814964353	0.953731006304196
Candidatus Deianiraeaceae	0.141166517311215	0.528439467928143	0.355833355789984	0.957001183274319	0.999105814964353	0.953731006304196
Candidatus Methanomethylophilaceae	0.745041821389486	0.833540894127794	0.486906899439159	0.969894984554041	0.999105814964353	0.956556745965558
Candidatus Midichloriaceae	0.324137077583343	0.921097094919172	0.897845737324684	0.957001183274319	0.999105814964353	0.984736582822045
Candidatus Nanopelagicaceae	0.617004136285717	0.626277640391312	0.867559422002369	0.957001183274319	0.999105814964353	0.984736582822045
Candidatus Nitrosocaldaceae	0.466399685524115	0.0949220089465975	0.0842153596179978	0.957001183274319	0.999105814964353	0.953731006304196
Candidatus Paracaedibacteraceae	0.981078955499444	0.72614592396333	0.346974047783474	0.992814920175161	0.999105814964353	0.953731006304196
Cardiobacteriaceae	0.384653124755241	0.895963032021467	0.638606672246003	0.957001183274319	0.999105814964353	0.976622372308278
