p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.665984379050135	0.774877126647225	0.874086239379576	0.00750714434626781	0.998660095784193	0.99945309295832	0.99985537375504
Acaryochloris	0.604510601590476	0.0216985049705988	0.0241776771518728	-0.00993445612515127	0.998660095784193	0.99945309295832	0.99985537375504
Acetoanaerobium	0.85983973165997	0.97451901715954	0.872981144446962	-0.00332244315685926	0.998660095784193	0.99945309295832	0.99985537375504
Acetobacter	0.570547407609728	0.550731407058123	0.473636292427403	-0.00863838897388836	0.998660095784193	0.99945309295832	0.99985537375504
Acetobacterium	0.772562774514703	0.690329964227454	0.665482910458402	-0.00392670837250169	0.998660095784193	0.99945309295832	0.99985537375504
Acetohalobium	0.743929917479032	0.935073271145822	0.795730307640714	0.00565843072347141	0.998660095784193	0.99945309295832	0.99985537375504
Acetomicrobium	0.493046369062671	0.469618125493471	0.471331226492872	0.0157119316467462	0.998660095784193	0.99945309295832	0.99985537375504
Acholeplasma	0.579674255746048	0.269863624845519	0.294850164237763	-0.0100455977201215	0.998660095784193	0.99945309295832	0.99985537375504
Achromobacter	0.833893081957162	0.779019064359957	0.869357981405076	-0.00383061724142497	0.998660095784193	0.99945309295832	0.99985537375504
Acidaminococcus	0.478667391863433	0.40839900339058	0.338724665464096	-0.0181881699889555	0.998660095784193	0.99945309295832	0.99985537375504
Acidianus	0.693229253007459	0.167216828416776	0.185667190400283	-0.00813184503376344	0.998660095784193	0.99945309295832	0.99985537375504
Acidibrevibacterium	0.423145613863521	0.958439817090356	0.96470846080965	0.0208594401000819	0.998660095784193	0.99945309295832	0.99985537375504
Acidiferrobacter	0.680114458448856	0.704311186163158	0.579467353525122	-0.0089002701007541	0.998660095784193	0.99945309295832	0.99985537375504
Acidihalobacter	0.604643036854498	0.576963705475147	0.681529342399774	-0.00985266609084779	0.998660095784193	0.99945309295832	0.99985537375504
Acidilobus	0.303179531229809	0.0868823656460787	0.0624609790641693	-0.0229486358269482	0.998660095784193	0.99945309295832	0.99985537375504
Acidimicrobium	0.812013520012683	0.791027032671177	0.747259461281263	0.00580113968643277	0.998660095784193	0.99945309295832	0.99985537375504
Acidiphilium	0.429465592684332	0.573817961008775	0.671252612849823	-0.0172520102945473	0.998660095784193	0.99945309295832	0.99985537375504
Acidipropionibacterium	0.664193151683429	0.817053433726333	0.947044313767961	-0.00798857073165164	0.998660095784193	0.99945309295832	0.99985537375504
Acidisarcina	0.93003712559924	0.876431710552018	0.856148348306379	-0.00169493339875967	0.998660095784193	0.99945309295832	0.99985537375504
Acidithiobacillus	0.805730156160056	0.526798380803371	0.595444295119848	-0.00421112964954749	0.998660095784193	0.99945309295832	0.99985537375504
Acidobacterium	0.064048666789762	0.630780209798922	0.911647542705869	-0.0378446296091448	0.998660095784193	0.99945309295832	0.99985537375504
Acidothermus	0.409584312947502	0.99527560028848	0.92774949406632	0.0168378120562826	0.998660095784193	0.99945309295832	0.99985537375504
Acidovorax	0.824549867404526	0.945347817569933	0.96799340850206	-0.00418630630697534	0.998660095784193	0.99945309295832	0.99985537375504
