p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.0607114097253899	0.152466805795598	0.174794950040458	0.0583182106639957	0.795010750673797	0.987762808399353	0.976470831150924
Acaryochloris	0.89588508776129	0.222437319147007	0.233675928012065	-0.00462619804931923	0.975803543288552	0.987762808399353	0.976470831150924
Acetoanaerobium	0.596547916671779	0.755130255347591	0.779733118218518	0.0168270625955614	0.87693049329077	0.987762808399353	0.976470831150924
Acetobacter	0.772519446878151	0.377509169954221	0.322818255142252	-0.00802319850072496	0.935932527527219	0.987762808399353	0.976470831150924
Acetobacterium	0.875919404868097	0.687537601444218	0.648490957929065	-0.00367867469940802	0.974350481803107	0.987762808399353	0.976470831150924
Acetohalobium	0.18509173167065	0.447253038289029	0.527248585468288	0.0434426903541644	0.795010750673797	0.987762808399353	0.976470831150924
Acetomicrobium	0.692701216095709	0.716140756075541	0.790037170568306	-0.0173340776565076	0.906888226567468	0.987762808399353	0.976470831150924
Acholeplasma	0.945976800621529	0.827592498705187	0.86385981138634	0.00213009193092684	0.992323885796228	0.987762808399353	0.98444030393759
Achromobacter	0.374508365668384	0.73009250306427	0.615508513760481	-0.0311368392454861	0.818088130235106	0.987762808399353	0.976470831150924
Acidaminococcus	0.251570719274461	0.645129001046327	0.692525878738152	-0.0535803033511935	0.795010750673797	0.987762808399353	0.976470831150924
Acidianus	0.0484630280145581	0.0400957120165279	0.0476408106028929	0.0763920029901851	0.795010750673797	0.987762808399353	0.976470831150924
Acidibrevibacterium	0.943957468979654	0.769410267048674	0.743352138650059	-0.00345900631600009	0.991036155879524	0.987762808399353	0.976470831150924
Acidiferrobacter	0.318952673946638	0.802493479159075	0.666348194989956	-0.0431702932763828	0.817818893772889	0.987762808399353	0.976470831150924
Acidihalobacter	0.231136507185772	0.502575234300207	0.377283943603253	-0.0411375697241777	0.795010750673797	0.987762808399353	0.976470831150924
Acidilobus	0.375864625994634	0.169995132565141	0.161034354704396	0.036263405071782	0.818088130235106	0.987762808399353	0.976470831150924
Acidimicrobium	0.187110540236703	0.0967128565688584	0.0964245634586741	-0.0610893102870765	0.795010750673797	0.987762808399353	0.976470831150924
Acidiphilium	0.373656136122811	0.306748994829808	0.227130530820273	-0.0352261887055583	0.818088130235106	0.987762808399353	0.976470831150924
Acidipropionibacterium	0.476997843498551	0.540263330090148	0.434617625082524	-0.0246630462804265	0.832729361921171	0.987762808399353	0.976470831150924
Acidisarcina	0.644829749029132	0.709845382320092	0.662451620632089	-0.0178835728667113	0.893989824879792	0.987762808399353	0.976470831150924
Acidithiobacillus	0.96278672424662	0.743246365284974	0.681185182114355	0.00147930368571068	0.994608585181274	0.987762808399353	0.976470831150924
Acidobacterium	0.00619336409880378	0.708323242226935	0.456554942291138	-0.0983552783236035	0.795010750673797	0.987762808399353	0.976470831150924
Acidothermus	0.912898186549535	0.916295930416925	0.864152377214538	0.004404153228195	0.979843619543568	0.987762808399353	0.98444030393759
Acidovorax	0.27608053829837	0.709644135220104	0.593364891956033	-0.0400685557847675	0.799363064896902	0.987762808399353	0.976470831150924
