p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.453052174789844	0.939437056446719	0.922023102991601	-0.024787421806928	0.976214385026515	0.993810544409251	0.98422954093726
Acaryochloris	0.496605111040267	0.726833836794715	0.686505005610887	0.0212045311502247	0.976214385026515	0.953506025886215	0.949775801678545
Acetoanaerobium	0.258994655481357	0.836099498127661	0.866284201655364	-0.0386327568719936	0.976214385026515	0.98030720898151	0.979570776963315
Acetobacter	0.557861550206746	0.686294548159137	0.726062308094253	-0.0135434185129933	0.976214385026515	0.941661911577772	0.951736251491772
Acetobacterium	0.24552249556277	0.435649565839098	0.461648069108699	-0.0253629165479327	0.976214385026515	0.941661911577772	0.941379663414598
Acetohalobium	0.0950541007677319	0.15691406805772	0.150978893187488	-0.049550594065106	0.976214385026515	0.941661911577772	0.941379663414598
Acetomicrobium	0.949074914291298	0.705663632259435	0.752166441429188	0.00219890838825935	0.992688792140072	0.94794307649631	0.955581963229311
Acholeplasma	0.518261626722254	0.681308505462507	0.635835191615969	-0.0213287164144664	0.976214385026515	0.941661911577772	0.943943259536274
Achromobacter	0.837027860649753	0.467956463422045	0.451761650918382	-0.00568046598256879	0.992688792140072	0.941661911577772	0.941379663414598
Acidaminococcus	0.842155448463769	0.781820660341137	0.696197873477276	-0.00879133790694471	0.992688792140072	0.963801155038777	0.949775801678545
Acidianus	0.577477980808839	0.653770353912672	0.621840956677655	-0.0199817569239249	0.976214385026515	0.941661911577772	0.941379663414598
Acidibrevibacterium	0.286800514532101	0.618870918707972	0.699116884566134	0.0407912104589885	0.976214385026515	0.941661911577772	0.949775801678545
Acidiferrobacter	0.859899747935861	0.928356524157714	0.973163790187393	-0.00607025907878278	0.992688792140072	0.993810544409251	0.991041875738906
Acidihalobacter	0.400661909669447	0.221512349066026	0.211254609729932	-0.0271558373518523	0.976214385026515	0.941661911577772	0.941379663414598
Acidilobus	0.757139536027756	0.273620142828856	0.230440943172006	0.0109872967452411	0.982155263973603	0.941661911577772	0.941379663414598
Acidimicrobium	0.249237941923911	0.114746275020638	0.119938275682146	0.0430852738409308	0.976214385026515	0.941661911577772	0.941379663414598
Acidiphilium	0.562499077981857	0.333231414013267	0.300711854140514	-0.018886529909303	0.976214385026515	0.941661911577772	0.941379663414598
Acidipropionibacterium	0.978029508171238	0.643644578848117	0.629210980994467	0.000706533067949982	0.992956698466891	0.941661911577772	0.941379663414598
Acidisarcina	0.913655491480523	0.798892839403452	0.746302522318369	-0.00317969667487163	0.992688792140072	0.964875834900666	0.955581963229311
Acidithiobacillus	0.341509628896235	0.51110412791366	0.521575937578142	-0.0264089315589811	0.976214385026515	0.941661911577772	0.941379663414598
Acidobacterium	0.694728617274091	0.663048099416186	0.674707594045842	-0.0127387442245249	0.976214385026515	0.941661911577772	0.948774832619755
Acidothermus	0.767252001374931	0.218553022823658	0.243578955381328	-0.00798724221712308	0.988295422356199	0.941661911577772	0.941379663414598
Acidovorax	0.688194699592668	0.283528492558357	0.278119908809798	-0.0115322927523291	0.976214385026515	0.941661911577772	0.941379663414598
Aciduliprofundum	0.90776004372101	0.896395718501062	0.896500834240288	-0.00347087496909833	0.992688792140072	0.993263933451546	0.98422954093726
Acinetobacter	0.473678090944449	0.935812680231161	0.923177696476784	-0.0158536217354714	0.976214385026515	0.993810544409251	0.98422954093726
Actinoalloteichus	0.884748475718277	0.549236181048032	0.532868368456916	-0.00418494607212657	0.992688792140072	0.941661911577772	0.941379663414598
Actinobacillus	0.176063722320157	0.605319645731661	0.604369589360525	-0.0326286143493415	0.976214385026515	0.941661911577772	0.941379663414598
Actinobaculum	0.975617835891276	0.808519525168393	0.801865824052367	-0.00083268399272404	0.992688792140072	0.964875834900666	0.96206973207098
Actinomadura	0.424388480500148	0.334204961181017	0.35005473460909	-0.0258338060298373	0.976214385026515	0.941661911577772	0.941379663414598
Actinomyces	0.420456811951941	0.611140468788594	0.56161529037103	-0.0227885420970183	0.976214385026515	0.941661911577772	0.941379663414598
