p-variable	slope	adjusted.p-variable
Absiella	0.167063859064791	-1.28222612478423	0.348154382988405
Acaryochloris	0.0751757927862137	1.56288428575884	0.200777929702986
Acetoanaerobium	0.720170899630975	-0.351136644701795	0.839274145820821
Acetobacter	0.263374662230498	0.959358349772848	0.459937896717924
Acetobacterium	0.575113150686453	0.395798970527551	0.731202729045543
Acetohalobium	0.660161052952581	-0.351569771694919	0.792098002207895
Acetomicrobium	0.49443925384474	0.812946646984076	0.664178093007918
Acholeplasma	0.945306358931514	0.0648106953254347	0.964065635886544
Achromobacter	0.0168730687595158	2.31542167151039	0.0977697329166367
Acidaminococcus	0.0438671150075676	3.01328349464913	0.147078653745131
Acidianus	0.514286402923861	-0.642089994356149	0.68039641055082
Acidibrevibacterium	0.40045676395315	1.03872423890497	0.585201756110798
Acidiferrobacter	0.180672298963074	1.53240607503582	0.369113062869277
Acidihalobacter	0.036106891248747	2.04992214251942	0.134330559612229
Acidilobus	0.927339531686801	-0.11049573783162	0.952609116105282
Acidimicrobium	0.55928908305177	0.846882633634879	0.719452223354518
Acidiphilium	0.00536704102464666	3.20191937741859	0.0641403704370621
Acidipropionibacterium	0.0441485907026322	2.15848737619337	0.147132477632219
Acidisarcina	0.51219962011559	0.650702905809283	0.680283889325075
Acidithiobacillus	0.288456076039391	1.00471634112129	0.485528800054157
Acidobacterium	0.000395759198828338	3.90296433680345	0.0389342877441493
Acidothermus	0.299920392370061	1.17063190149421	0.494950629040618
Acidovorax	0.00463042791645639	2.84462243050242	0.0588409984803879
Aciduliprofundum	0.486458381039802	0.731803741594571	0.658778735886963
Acinetobacter	0.978655655418579	-0.0184193388633913	0.984667881297038
Actinoalloteichus	0.0144986034866399	2.69622557021095	0.0906435248055722
Actinobacillus	0.269014361204535	-0.834711859911415	0.464233062831658
Actinobaculum	0.71727797805879	0.35649353121796	0.837075984218785
Actinomadura	0.00241026280180934	3.62457651913732	0.0468072220846947
Actinomyces	0.835068650930511	-0.238531277793698	0.89652625338763
Actinoplanes	0.0225898006991305	2.38858438161445	0.107340124169621
Actinopolymorpha	0.0186282979371336	2.81749768225493	0.10271530752561
Actinopolyspora	0.0110549365390132	2.96041823546904	0.0830011924508152
Actinosynnema	0.000646389852178721	4.64999625685373	0.0389342877441493
Actinotignum	0.0414934292082743	3.25091682555082	0.140823617904817
Adlercreutzia	0.129851356022446	3.91340115705243	0.298562124935114
Advenella	0.286123728327873	0.873813980205201	0.482090942461248
Aequorivita	0.453133591204791	0.50077786640111	0.63143164680291
Aeribacillus	0.396665476356008	-0.7054140570191	0.581706073351007
Aerococcus	0.549374737477462	0.397509790943942	0.71153441466123
Aeromicrobium	0.0371331952848644	2.26980300377111	0.13568534489863
Aeromonas	0.0309970988036219	1.94589342478888	0.123608874455206
Aerosticca	0.00164331687893664	3.91191060898573	0.0436629678718069
Afipia	0.0268098163707678	3.03625585272806	0.115518215976678
Agarilytica	0.0475626470736957	-2.14597410833793	0.155365794366863
Agarivorans	0.89728013504611	-0.127354611955783	0.937297025491006
