p-variable	slope	adjusted.p-variable
Absiella	0.204118062026917	-1.32794734385598	0.351954451596427
Acaryochloris	0.0194251775880836	2.23515358952135	0.0675360533237134
Acetoanaerobium	0.932279708075395	-0.100643592453979	0.956435012047737
Acetobacter	0.121293991184469	1.59780078584276	0.244499281623966
Acetobacterium	0.500821811505121	0.559797521055052	0.648650056489888
Acetohalobium	0.583598593084372	-0.542736177844974	0.721579524386105
Acetomicrobium	0.271266138070261	1.63261514914058	0.425982613419117
Acholeplasma	0.988483948226003	0.0152460480926366	0.993262118368486
Achromobacter	0.0102175162652348	3.01628034194729	0.0470685029060541
Acidaminococcus	0.0324794194534697	3.93199881686881	0.0935151833595335
Acidianus	0.435119144467353	-1.01506902000164	0.589733608190064
Acidibrevibacterium	0.372417519376876	1.36163188420912	0.533203303603428
Acidiferrobacter	0.0534596560524101	2.77787192216115	0.132296738117795
Acidihalobacter	0.0103402207845365	2.88494554020497	0.0473713145032621
Acidilobus	0.822692586022422	-0.320565713312333	0.89187599123552
Acidimicrobium	0.658746302261894	0.753002198864529	0.779157255093549
Acidiphilium	0.00372287887840107	4.14593037645859	0.0286627202536157
Acidipropionibacterium	0.0553257933451015	2.54749044769712	0.135503378988076
Acidisarcina	0.189816240097335	1.68057124846673	0.334390261951132
Acidithiobacillus	0.192371536914487	1.45859748537502	0.337818232195135
Acidobacterium	5.87747411988066e-06	5.58585263455183	0.00443105336551693
Acidothermus	0.148743535465271	2.24048169928663	0.282053021070406
Acidovorax	0.00138088395122596	3.79818381784654	0.0161719014851322
Aciduliprofundum	0.578008207122428	0.722809179551627	0.716265013744112
Acinetobacter	0.952709792251195	0.0483487909657593	0.968432997869033
Actinoalloteichus	0.0094040035620413	3.5916924698226	0.04506875482327
Actinobacillus	0.246656079447501	-1.11840306858907	0.401752262606458
Actinobaculum	0.495078463255567	0.836771154498268	0.6452315708417
Actinomadura	0.000680381032602908	4.87474532034955	0.0118811335778616
Actinomyces	0.947123853942724	0.100536879079957	0.96570629620279
Actinoplanes	0.0137099012414234	3.06766653855734	0.0560185891019338
Actinopolymorpha	0.0256801079650346	3.41616906941299	0.0814533839420146
Actinopolyspora	0.00570078781677275	4.07156737685546	0.0350200315437721
Actinosynnema	0.000207430941674355	6.10067884732308	0.00967687599687327
Actinotignum	0.0537908562553325	4.17575954588325	0.132531971676169
Adlercreutzia	0.158430402683228	4.42219755689966	0.293147327366948
Advenella	0.258160375790814	1.12645134106725	0.413492833731173
Aequorivita	0.140850830729043	1.14087394716935	0.273638938671026
Aeribacillus	0.350389807511613	-0.90659674636192	0.512693053805251
Aerococcus	0.806503619920383	0.191300151165407	0.882568476071985
