p-variable	slope	adjusted.p-variable
Absiella	0.705980897242335	0.00962046300204655	0.863544353917602
Acaryochloris	0.221702803913199	0.029299758522693	0.539803874665562
Acetoanaerobium	0.990629933355358	-0.000322596306362056	0.99783015092063
Acetobacter	0.158059951538162	0.0328774231415855	0.492779965441351
Acetobacterium	0.301696253372303	0.0197835833409519	0.593752508116142
Acetohalobium	0.487912704949605	-0.0150206586077094	0.727085927165017
Acetomicrobium	0.281098844316945	0.035176873558263	0.577833594683658
Acholeplasma	0.395701057188231	0.0217141143133117	0.66739437941585
Achromobacter	0.116635397579548	0.0418264001236472	0.477745483189134
Acidaminococcus	0.23201512421401	0.048891311970143	0.539803874665562
Acidianus	0.855717561941045	-0.00486048344538901	0.937869816726165
Acidibrevibacterium	0.481558247816173	0.024116083913949	0.724034917554375
Acidiferrobacter	0.104880808827866	0.050566555520914	0.475753643883477
Acidihalobacter	0.0153332045660769	0.0641761268738079	0.438891405126555
Acidilobus	0.305129769704521	0.0341872640190232	0.59909186188739
Acidimicrobium	0.997384980142435	-0.000130719573973063	0.999129470232655
Acidiphilium	0.0832696776791372	0.0560658612751304	0.466795234142538
Acidipropionibacterium	0.256241156866914	0.0337023069660976	0.554705660598654
Acidisarcina	0.884389842646002	-0.00392656882885589	0.948440200565073
Acidithiobacillus	0.432895460682611	0.020395832169365	0.692378329753662
Acidobacterium	0.0053222060907513	0.0854097534269197	0.438891405126555
Acidothermus	0.788418119884261	-0.00848200828907089	0.902611515063579
Acidovorax	0.0836497682441709	0.0481268910090778	0.466795234142538
Aciduliprofundum	0.122864186573373	0.0442602408522684	0.483033433266003
Acinetobacter	0.3824371309223	0.0163042880976785	0.65566283373586
Actinoalloteichus	0.16064610928325	0.0427946207970886	0.492779965441351
Actinobacillus	0.351897481149395	0.0190964648795822	0.636785104626164
Actinobaculum	0.560559014255661	0.0155990795698615	0.776645069912555
Actinomadura	0.01973723092529	0.0767942803883076	0.438891405126555
Actinomyces	0.591930562434712	0.0167997225941507	0.800309370186118
Actinoplanes	0.191388852135667	0.0376498459043895	0.515877141730063
Actinopolymorpha	0.323808515076674	0.0325891564515821	0.611237297398319
Actinopolyspora	0.147014241614569	0.0465866489430685	0.492779965441351
Actinosynnema	0.0265138567102164	0.0840918411857479	0.438891405126555
Actinotignum	0.171282763700436	0.0596789764242797	0.503286911800776
Adlercreutzia	0.838103608814525	0.0145369294276395	0.927322888528646
Advenella	0.512165480287062	0.0146205086362805	0.746477820961774
Aequorivita	0.335448765251266	0.0174041226010001	0.620524245398059
Aeribacillus	0.603045246260183	0.011970997303826	0.807459134082676
Aerococcus	0.410529140904007	0.0149889419319962	0.681347266789784
Aeromicrobium	0.247794071111163	0.0345853930059186	0.548710439757476
Aeromonas	0.311628617964903	0.0250826459299055	0.60547148044252
Aerosticca	0.117425565392441	0.0546690581456846	0.478849425044096
Afipia	0.345463995033669	0.0357470611203648	0.63063295690559
Agarilytica	0.279767314856936	-0.0323821516757022	0.576521740529226
Agarivorans	0.740809837433187	-0.00888098632575582	0.879348151071656
Aggregatibacter	0.184057554244087	0.0268032338557323	0.513569987764961
Agrobacterium	0.177380807956145	0.030268606246229	0.508593592467361
Agrococcus	0.086699256913212	0.0626056270323129	0.466795234142538
Agromyces	0.435028077011076	0.020219000807884	0.692378329753662
Ahniella	0.271646996942627	0.0293473962005653	0.56895334498185
Akkermansia	0.241595868971608	0.0863485536486042	0.544622906075648
Alcaligenes	0.0910889888203968	0.0427962305890571	0.466795234142538
Alcanivorax	0.0363338654701341	0.0528129255207458	0.450956830992582
Algibacter	0.874425177020303	-0.00426671839149505	0.944565606123522
Algoriphagus	0.674471900838319	0.00671770044858859	0.849732402344034
Alicycliphilus	0.798509277671569	-0.00821908063874054	0.910158278799054
Alicyclobacillus	0.152594090353197	0.0394491987735391	0.492779965441351
Alienimonas	0.0669416348778508	0.0505982345325201	0.466795234142538
Aliiarcobacter	0.870800416859396	0.00546292326750332	0.944565606123522
Aliivibrio	0.909501013299692	-0.002559318229482	0.962113704250801
Alistipes	0.103894294409041	0.111254751832726	0.475753643883477
Alkalilimnicola	0.0123296894627972	0.0953365384874316	0.438891405126555
Alkaliphilus	0.829878141488047	-0.00445857472106054	0.923972956720769
Alkalitalea	0.974089276372024	-0.000821703732517274	0.987750284516265
Alloactinosynnema	0.36267574248948	0.0284452495582876	0.643681707321244
Allochromatium	0.0363290787464139	0.0610605119160281	0.450956830992582
Allofrancisella	0.338483248101521	0.0326608887201642	0.624558733477647
Allokutzneria	0.447990737974128	0.0218734800434085	0.702838299293372
Alloprevotella	0.0882269788695441	0.047495039310846	0.466795234142538
Allopseudarcicella	0.796706805188223	0.00664092867691826	0.908726623476005
Altererythrobacter	0.115889620021626	0.0445646110137809	0.477706608159433
Alteromonas	0.534033445722641	0.0120626116097119	0.762082479773295
Aminipila	0.672694041880178	0.0103639944749528	0.848135096017238
Aminobacter	0.110787509326452	0.0440748656939307	0.475753643883477
Aminobacterium	0.307454500422766	0.026306206971128	0.601525687297717
Aminomonas	0.116050062133726	0.0565569743709171	0.477706608159433
Ammonifex	0.14295557088376	0.0471797304169316	0.490307204236681
Amphibacillus	0.648785270334821	0.00993250979022162	0.83250764241266
Amycolatopsis	0.0960819577510682	0.0508099384866429	0.466795234142538
Anabaena	0.814456528111279	-0.00605006808986663	0.919419587774235
Anabaenopsis	0.240628442500562	0.0347506134312493	0.544622906075648
Anaerobutyricum	0.449995504273732	0.0274074146086593	0.70531811838569
Anaerococcus	0.646879126940718	0.00990206057716526	0.832091691251331
Anaerocolumna	0.360433426005199	0.0167680045293994	0.640705027502477
Anaerohalosphaera	0.34643031018083	0.0249819557751561	0.631011616463002
Anaerolinea	0.283057705324382	0.0338856401884785	0.579353222093302
Anaeromyxobacter	0.201570225743637	0.0405590124183285	0.527061769515202
Anaerostipes	0.266822066488677	0.0432717879852155	0.56487825551723
Anaerotignum	0.280390771730624	0.0236998046047954	0.577091402707955
Anaplasma	0.150612653875178	0.0436010252687937	0.492779965441351
Ancylobacter	0.171852661363627	0.0435358407362872	0.503286911800776
Aneurinibacillus	0.251137007931084	0.0220219485083882	0.55043823556823
Anoxybacillus	0.548407604725207	0.0129150658242192	0.768325060369013
Anoxybacter	0.532775618521627	0.0130609749637918	0.761797245320353
Anseongella	0.966770514842691	-0.00102893096556497	0.983703540093222
Antarcticibacterium	0.870741740297575	-0.00363869864770868	0.944565606123522
Antarctobacter	0.120302689446386	0.0491414813070651	0.478849425044096
Apibacter	0.623016000261465	-0.0136101079942874	0.81752983379361
Aquabacterium	0.342744692279612	0.0284482199672916	0.627736148965853
Aquaspirillum	0.00651173512356434	0.0899693998830423	0.438891405126555
Aquicella	0.406999623976093	0.022675663849134	0.67819676820866
Aquifex	0.0989646815979671	0.0556513477229359	0.466795234142538
Aquiflexum	0.0231265555029636	0.048795542906169	0.438891405126555
Aquimarina	0.492887046574299	-0.0151567501391863	0.732503269395048
Aquisphaera	0.0124714876221161	0.0790559812636049	0.438891405126555
Aquitalea	0.261116987496726	0.0291012901959003	0.55969224611716
Arabia	0.971142029975153	0.00160504644194363	0.98536253560017
Arachidicoccus	0.85124244435998	-0.0039115775424146	0.93378376317325
Arcanobacterium	0.168281490206686	0.0444530961744028	0.501650274820874
Archaeoglobus	0.297966925640752	0.0323032260956279	0.590035483899111
Archangium	0.0784289711687961	0.0501182855194417	0.466795234142538
Arcobacter	0.786974439425873	0.00645180208899974	0.90208849842383
Arcticibacterium	0.500947840993706	0.017057526200379	0.737595394665511
Arenibacter	0.761622203238515	0.00814407317774066	0.886338505238384
Arenimonas	0.926727612323183	0.00330360278185408	0.970544957932665
Aromatoleum	0.07760500245393	0.0631741922449602	0.466795234142538
Arsenicicoccus	0.252401835504936	0.0375663093975801	0.55043823556823
Arsenophonus	0.831236329497024	0.00547558396965649	0.923972956720769
Arthrobacter	0.29744146699005	0.0260757443459137	0.590035483899111
Arthrospira	0.716065839133584	-0.0104426360293064	0.870480621695286
Asaia	0.589012916383681	0.0196222398431231	0.798019189001872
Aspergillus	0.0156288092695196	0.046907343831047	0.438891405126555
Asticcacaulis	0.367445765976288	0.0270307573195324	0.647444271481613
Athalassotoga	0.600715522350217	0.0149568839228895	0.806687271163187
Atlantibacter	0.157644013222948	0.042206167106365	0.492779965441351
Atopobium	0.540445071814848	-0.0189219742590833	0.764733756494822
Aurantimicrobium	0.125255601939856	0.0419387424251881	0.48692915045002
Auraticoccus	0.283814230580926	0.0331016612253032	0.579353222093302
Aureimonas	0.0875772798736063	0.0578743042846956	0.466795234142538
