p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.694068058107841	0.465673789531448	0.510571193626941	-0.000371729737663506	0.927841785075032	0.98866036796657	0.992203493171501
Acaryochloris	0.197046306470189	0.398280105260206	0.375541267608105	0.00125289389824731	0.885713477479083	0.98866036796657	0.992203493171501
Acetoanaerobium	0.847147899578543	0.690688790306312	0.779480916125597	-0.000181011497882887	0.96295026167054	0.98866036796657	0.992203493171501
Acetobacter	0.551839883301997	0.542258425004841	0.541615179858937	0.000409304618884625	0.897954722046205	0.98866036796657	0.992203493171501
Acetobacterium	0.64503696898001	0.725453910561417	0.743030098115769	0.000297030999308373	0.908026177793583	0.98866036796657	0.992203493171501
Acetohalobium	0.648662001666795	0.367351886600705	0.425444219461042	0.000400332787918689	0.908026177793583	0.98866036796657	0.992203493171501
Acetomicrobium	0.526672487023756	0.7723896450182	0.70013698893066	0.00062884414395574	0.897954722046205	0.994087658017601	0.992203493171501
Acholeplasma	0.41874283915682	0.454990855631144	0.445065241900326	-0.000773878056850028	0.887711439044843	0.98866036796657	0.992203493171501
Achromobacter	0.288731312844268	0.420370468651713	0.464646005043362	0.000885519558953053	0.885713477479083	0.98866036796657	0.992203493171501
Acidaminococcus	0.509224501515987	0.898857080343668	0.996726046167574	-0.000947663769405202	0.895226030067825	0.994087658017601	0.999690029039881
Acidianus	0.648728312454925	0.834180759235167	0.837791019253564	-0.000464904384539849	0.908026177793583	0.994087658017601	0.992203493171501
Acidibrevibacterium	0.224247730081433	0.974724789286986	0.890474388498233	0.00145375549998845	0.885713477479083	0.997253900836024	0.993595112195879
Acidiferrobacter	0.926781518118004	0.336765776619919	0.316324645450195	-9.3658003593324e-05	0.981680041165758	0.98866036796657	0.992203493171501
Acidihalobacter	0.314929033731376	0.286623112543339	0.3362616506371	0.000984751373878733	0.885713477479083	0.98866036796657	0.992203493171501
Acidilobus	0.57075239522678	0.137995578855692	0.112301070684075	-0.000582867611147739	0.904894353104187	0.98866036796657	0.992203493171501
Acidimicrobium	0.150424594654738	0.570950401799073	0.633285480658808	0.00172524784905744	0.885713477479083	0.98866036796657	0.992203493171501
Acidiphilium	0.16289961726501	0.56003208745951	0.487918814104552	0.00138880050973918	0.885713477479083	0.98866036796657	0.992203493171501
Acidipropionibacterium	0.212832392543424	0.455196656098914	0.493510710749308	0.00101457529562973	0.885713477479083	0.98866036796657	0.992203493171501
Acidisarcina	0.238416585220707	0.679295540584696	0.791200156531671	0.000975530802174548	0.885713477479083	0.98866036796657	0.992203493171501
Acidithiobacillus	0.638728700263458	0.422379777866563	0.457524588096092	0.000400300989836768	0.908026177793583	0.98866036796657	0.992203493171501
Acidobacterium	0.23841023149954	0.297720571813397	0.329134499565573	0.00115233270938635	0.885713477479083	0.98866036796657	0.992203493171501
Acidothermus	0.0731671299905297	0.990083793359798	0.940420148284013	0.00138417332450332	0.885713477479083	0.997884453549906	0.993595112195879
Acidovorax	0.365513693482839	0.130057166401191	0.144301686003039	0.000782019020756976	0.885713477479083	0.98866036796657	0.992203493171501
Aciduliprofundum	0.878417791739171	0.812474766280953	0.799001712828648	0.000143383924288698	0.969218653267641	0.994087658017601	0.992203493171501
Acinetobacter	0.967236392673998	0.524321597484016	0.550762833713799	-2.61199017602968e-05	0.988710007531488	0.98866036796657	0.992203493171501
Actinoalloteichus	0.311706130106619	0.572069866207645	0.619413104007755	0.000902389407916854	0.885713477479083	0.98866036796657	0.992203493171501
Actinobacillus	0.699081599373707	0.304365878425805	0.350693490778003	-0.000266542918647237	0.93025093868606	0.98866036796657	0.992203493171501
Actinobaculum	0.293664198194657	0.180605256939044	0.205465835292581	0.000822072598270591	0.885713477479083	0.98866036796657	0.992203493171501
Actinomadura	0.457788905839116	0.283996188832267	0.301704518065356	0.000719363140010088	0.887711439044843	0.98866036796657	0.992203493171501
Actinomyces	0.751723816702408	0.107062167793564	0.114338260455451	-0.000249088607249146	0.939702403610651	0.98866036796657	0.992203493171501
Actinoplanes	0.338060466183561	0.293724065953446	0.318230156087966	0.000939585531636207	0.885713477479083	0.98866036796657	0.992203493171501
Actinopolymorpha	0.243102602948361	0.985139918271867	0.870727611898904	0.00099859155670511	0.885713477479083	0.997591539124329	0.993595112195879
Actinopolyspora	0.379510307520193	0.527441830221157	0.600588641398521	0.000925679701450271	0.886734801180576	0.98866036796657	0.992203493171501
Actinosynnema	0.22467934239505	0.272484091591914	0.318373110898853	0.00124536399808603	0.885713477479083	0.98866036796657	0.992203493171501
Actinotignum	0.795986767568257	0.167429093664621	0.166335501758153	0.000267705682203626	0.95538757526976	0.98866036796657	0.992203493171501
Adlercreutzia	0.799605375110134	0.1649729054554	0.127475124515381	0.000485959294371335	0.957391993724302	0.98866036796657	0.992203493171501
Advenella	0.371280286454439	0.802080368591851	0.790183441512114	0.000682735338122344	0.885713477479083	0.994087658017601	0.992203493171501
Aequorivita	0.192578151729179	0.7529403512143	0.805941498300404	0.000936901245698463	0.885713477479083	0.994087658017601	0.992203493171501
Aeribacillus	0.716797049957017	0.459235937181569	0.533822660340692	-0.000308748902297074	0.93498947752181	0.98866036796657	0.992203493171501
Aerococcus	0.7630164667746	0.778917529761035	0.734781706548761	-0.000184041599452791	0.943703540616869	0.994087658017601	0.992203493171501
Aeromicrobium	0.197208921146605	0.569992123601682	0.606068399921452	0.00118033892344511	0.885713477479083	0.98866036796657	0.992203493171501
Aeromonas	0.366850006115604	0.472617479111271	0.501580816675716	0.000705824802889906	0.885713477479083	0.98866036796657	0.992203493171501
Aerosticca	0.209099007831132	0.901696790932093	0.792093263547509	0.00141878824117424	0.885713477479083	0.994087658017601	0.992203493171501
Afipia	0.155817868643872	0.537936620298147	0.613107116630601	0.00151536397632521	0.885713477479083	0.98866036796657	0.992203493171501
