p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.447863359408856	0.378041241521533	0.372115372346278	-0.13038809397276	0.998190602276364	0.993151616084151	0.991763224485475
Acaryochloris	0.933090345095496	0.188552232419124	0.181367943655173	-0.0156758514065827	0.998190602276364	0.993151616084151	0.991763224485475
Acetoanaerobium	0.519352794200724	0.315127439639512	0.323024660628857	-0.10473165748914	0.998190602276364	0.993151616084151	0.991763224485475
Acetobacter	0.509077187349464	0.990298330053875	0.997911174091927	-0.0854960707070377	0.998190602276364	0.9974961374195	0.998365831094201
Acetobacterium	0.306101581836452	0.506796480955375	0.501870931709363	-0.122865595271917	0.998190602276364	0.993151616084151	0.991763224485475
Acetohalobium	0.604177192102128	0.8613314898231	0.869670336150416	-0.0852904143833101	0.998190602276364	0.993151616084151	0.991763224485475
Acetomicrobium	0.605912578140447	0.114418248096889	0.116278362854587	-0.0897888474328225	0.998190602276364	0.993151616084151	0.991763224485475
Acholeplasma	0.503223514130022	0.66053582714317	0.656834131994928	-0.115447183893553	0.998190602276364	0.993151616084151	0.991763224485475
Achromobacter	0.653470685659822	0.546433612090527	0.546479417468457	-0.0716599816481516	0.998190602276364	0.993151616084151	0.991763224485475
Acidaminococcus	0.00668085985211866	0.209161571013244	0.22093516632375	-0.752505810622439	0.998190602276364	0.993151616084151	0.991763224485475
Acidianus	0.366080754301447	0.481355305912342	0.484843162969019	0.148949587080755	0.998190602276364	0.993151616084151	0.991763224485475
Acidibrevibacterium	0.504529002243247	0.0783343366603263	0.0800541888515867	0.148097909280041	0.998190602276364	0.993151616084151	0.991763224485475
Acidiferrobacter	0.899499661235137	0.699852583453024	0.691706304528362	-0.0240531312104217	0.998190602276364	0.993151616084151	0.991763224485475
Acidihalobacter	0.697842246071437	0.53494604251798	0.53855310042015	-0.0731558328558598	0.998190602276364	0.993151616084151	0.991763224485475
Acidilobus	0.18725192835473	0.672877094116029	0.651503860742616	-0.264542557969868	0.998190602276364	0.993151616084151	0.991763224485475
Acidimicrobium	0.444104967207302	0.434557065526647	0.433216327952666	-0.175631470077084	0.998190602276364	0.993151616084151	0.991763224485475
Acidiphilium	0.431716571376474	0.749039305439756	0.753711525676816	-0.147246441336193	0.998190602276364	0.993151616084151	0.991763224485475
Acidipropionibacterium	0.860760365325588	0.445979317399415	0.444511315924131	-0.0277454163899098	0.998190602276364	0.993151616084151	0.991763224485475
Acidisarcina	0.764675672863657	0.754265563716562	0.741231441027174	-0.0461889419456036	0.998190602276364	0.993151616084151	0.991763224485475
Acidithiobacillus	0.164614816237701	0.728678777459667	0.725174047462432	-0.227674031511025	0.998190602276364	0.993151616084151	0.991763224485475
Acidobacterium	0.604343142746263	0.268129906312464	0.266036423809922	-0.0977931328292287	0.998190602276364	0.993151616084151	0.991763224485475
Acidothermus	0.533260842285356	0.8442057246355	0.864269454267719	-0.0897789554572787	0.998190602276364	0.993151616084151	0.991763224485475
Acidovorax	0.753575571607047	0.974200947655582	0.972911271260725	-0.0534600392381361	0.998190602276364	0.994340580665187	0.991763224485475
Aciduliprofundum	0.243777245714069	0.824498487573507	0.82848066034932	-0.210855988625366	0.998190602276364	0.993151616084151	0.991763224485475
Acinetobacter	0.511774824825642	0.674988202336742	0.675795693094711	-0.0767707609261182	0.998190602276364	0.993151616084151	0.991763224485475
Actinoalloteichus	0.571185921748809	0.671528686284423	0.670763847563581	-0.0973164429754005	0.998190602276364	0.993151616084151	0.991763224485475
Actinobacillus	0.945091529357718	0.500678901008356	0.510958417524896	0.00848147269530586	0.998190602276364	0.993151616084151	0.991763224485475
Actinobaculum	0.726929629150666	0.714929380353433	0.718525999335472	0.052912366674184	0.998190602276364	0.993151616084151	0.991763224485475
Actinomadura	0.619230357013151	0.618721192601657	0.615171287440429	-0.0933841806162613	0.998190602276364	0.993151616084151	0.991763224485475
Actinomyces	0.473976457510586	0.58337081137469	0.582711129313933	-0.107163414559375	0.998190602276364	0.993151616084151	0.991763224485475
Actinoplanes	0.591923408386575	0.633163815439372	0.630075747215285	-0.102251998673555	0.998190602276364	0.993151616084151	0.991763224485475
Actinopolymorpha	0.52167000811875	0.986305604275161	0.976262943045883	-0.10643534508215	0.998190602276364	0.9974961374195	0.991763224485475
Actinopolyspora	0.631242272037448	0.558316555948258	0.567783714366193	0.0941653074288577	0.998190602276364	0.993151616084151	0.991763224485475
Actinosynnema	0.657095715857006	0.678468201902122	0.680061738263463	-0.0904816745381984	0.998190602276364	0.993151616084151	0.991763224485475
Actinotignum	0.469225866475137	0.288561103325299	0.283004736440252	-0.140967169541138	0.998190602276364	0.993151616084151	0.991763224485475
Adlercreutzia	0.073226657555728	0.616999951358891	0.587510956858296	-0.672779647937117	0.998190602276364	0.993151616084151	0.991763224485475
Advenella	0.348202907797435	0.941050021915642	0.95289903300165	-0.133567332755711	0.998190602276364	0.993151616084151	0.991763224485475
Aequorivita	0.779217213614028	0.319721624801463	0.308984824867746	-0.0340360472982354	0.998190602276364	0.993151616084151	0.991763224485475
Aeribacillus	0.224756143338053	0.663401257955334	0.67395658485196	-0.184345228209401	0.998190602276364	0.993151616084151	0.991763224485475
Aerococcus	0.215814709790299	0.444724500862976	0.4332813114739	-0.142904423938448	0.998190602276364	0.993151616084151	0.991763224485475
Aeromicrobium	0.929582971613806	0.313043327989216	0.311865568429362	0.0154226723519097	0.998190602276364	0.993151616084151	0.991763224485475
Aeromonas	0.463005406857969	0.643473222509407	0.640250653639899	-0.107241569859335	0.998190602276364	0.993151616084151	0.991763224485475
Aerosticca	0.424748364714491	0.542399681577301	0.54982423675857	-0.165926489116259	0.998190602276364	0.993151616084151	0.991763224485475
Afipia	0.875845713991186	0.870011241269374	0.863530197505228	-0.0319488240950288	0.998190602276364	0.993151616084151	0.991763224485475
Agarilytica	0.202633405735772	0.424150766141165	0.420037278774898	-0.28269324821044	0.998190602276364	0.993151616084151	0.991763224485475
Agarivorans	0.904563672900045	0.879547951250505	0.862319077034112	0.0180442350606251	0.998190602276364	0.993151616084151	0.991763224485475
Aggregatibacter	0.0553060574735671	0.196148484197754	0.193383138432407	-0.233000827704996	0.998190602276364	0.993151616084151	0.991763224485475
Agrobacterium	0.690536302177025	0.496482123355801	0.494623080675671	-0.0583472122891698	0.998190602276364	0.993151616084151	0.991763224485475
Agrococcus	0.828969827789813	0.430582724630711	0.426964139579343	-0.0406892336813867	0.998190602276364	0.993151616084151	0.991763224485475
Agromyces	0.878755942039876	0.24449019778738	0.247190916575103	0.0264692262110501	0.998190602276364	0.993151616084151	0.991763224485475
Ahniella	0.562545212991212	0.52830005932601	0.522638700675157	-0.101167327627965	0.998190602276364	0.993151616084151	0.991763224485475
Akkermansia	0.721952688102729	0.500049318140114	0.502691738535712	0.171835847883	0.998190602276364	0.993151616084151	0.991763224485475
Alcaligenes	0.299365936526192	0.997001542310504	0.995968291384481	-0.146755737453029	0.998190602276364	0.997985833931492	0.998365831094201
Alcanivorax	0.47398305474684	0.724366650144221	0.713139974899282	-0.096068592651263	0.998190602276364	0.993151616084151	0.991763224485475
Algibacter	0.86431206359691	0.716192824002494	0.706443582075327	-0.0261871363175508	0.998190602276364	0.993151616084151	0.991763224485475
Algoriphagus	0.98309125697741	0.591246872462646	0.593855922078821	-0.00255437512694786	0.998227210438612	0.993151616084151	0.991763224485475
Alicycliphilus	0.469713473198045	0.551365107735152	0.563756742045109	-0.13084686404166	0.998190602276364	0.993151616084151	0.991763224485475
Alicyclobacillus	0.833069126556778	0.270134948943668	0.275831009889351	-0.0323701889841767	0.998190602276364	0.993151616084151	0.991763224485475
Alienimonas	0.844777235357925	0.762821565120273	0.764203351833316	0.0356748067627147	0.998190602276364	0.993151616084151	0.991763224485475
Aliiarcobacter	0.776629614057782	0.997310881560214	0.990833225726657	0.0503287768924081	0.998190602276364	0.997985833931492	0.998365831094201
Aliivibrio	0.877838916010683	0.297989860275795	0.300916544464064	-0.0208306574136889	0.998190602276364	0.993151616084151	0.991763224485475
Alistipes	0.886240712386757	0.324676189550174	0.316733513523389	-0.059494588918929	0.998190602276364	0.993151616084151	0.991763224485475
Alkalilimnicola	0.440360654217828	0.597623818452317	0.600256363035855	-0.153557020160785	0.998190602276364	0.993151616084151	0.991763224485475
Alkaliphilus	0.826121180015313	0.868662814531756	0.872130613098027	-0.029265772555629	0.998190602276364	0.993151616084151	0.991763224485475
Alkalitalea	0.232111308787893	0.27991506267114	0.284309449368193	-0.170742551592848	0.998190602276364	0.993151616084151	0.991763224485475
Alloactinosynnema	0.356629718375763	0.758210831315746	0.748498731409438	-0.174764792946718	0.998190602276364	0.993151616084151	0.991763224485475
Allochromatium	0.824605155781561	0.718380704954475	0.719788330799155	-0.0365978677350869	0.998190602276364	0.993151616084151	0.991763224485475
Allofrancisella	0.608696848081969	0.197090721444415	0.202907588935653	-0.103966730903911	0.998190602276364	0.993151616084151	0.991763224485475
Allokutzneria	0.245240058742623	0.751214725750968	0.737935398390974	-0.196031771465885	0.998190602276364	0.993151616084151	0.991763224485475
Alloprevotella	0.334196016067246	0.786090625173629	0.773908643574076	-0.162702293865845	0.998190602276364	0.993151616084151	0.991763224485475
Allopseudarcicella	0.653331853878297	0.446026978088391	0.445645180290767	-0.0716190268119519	0.998190602276364	0.993151616084151	0.991763224485475
Altererythrobacter	0.599843445774161	0.74886563308261	0.747915111418726	-0.0894102196402169	0.998190602276364	0.993151616084151	0.991763224485475
