p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.694068058201884	0.465673789539525	0.510571193635238	-0.000371729737539472	0.92784178520075	0.988660367926021	0.992203493172532
Acaryochloris	0.197046306462662	0.398280105237363	0.375541267579518	0.00125289389826746	0.885713477081393	0.988660367926021	0.992203493172532
Acetoanaerobium	0.847147899570995	0.690688790355539	0.779480916178874	-0.000181011497892878	0.962950262137184	0.988660367926021	0.992203493172532
Acetobacter	0.551839883326125	0.542258425000705	0.541615179856074	0.000409304618859116	0.897954722085465	0.988660367926021	0.992203493172532
Acetobacterium	0.645036969068071	0.725453910733524	0.743030098253277	0.000297030999234669	0.908026177195246	0.988660367926021	0.992203493172532
Acetohalobium	0.64866200154747	0.36735188664962	0.425444219514559	0.000400332788059111	0.908026177195246	0.988660367926021	0.992203493172532
Acetomicrobium	0.526672487080512	0.772389645149946	0.700136989062352	0.000628844143862003	0.897954722085465	0.994087655112455	0.992203493172532
Acholeplasma	0.418742839162522	0.454990855628599	0.44506524190114	-0.000773878056837775	0.887711438965463	0.988660367926021	0.992203493172532
Achromobacter	0.288731316513027	0.420370470272562	0.464646006520403	0.000885519552177178	0.885713477081393	0.988660367926021	0.992203493172532
Acidaminococcus	0.509224514213548	0.898857079832771	0.996726042501886	-0.00094766374223198	0.895226029988482	0.994087655112455	0.999690029065758
Acidianus	0.648728312392489	0.834180759250772	0.837791019266597	-0.000464904384629147	0.908026177195246	0.994087655112455	0.992203493172532
Acidibrevibacterium	0.22424772950903	0.974724789316792	0.890474388429359	0.00145375550181122	0.885713477081393	0.997253900802259	0.993595112313036
Acidiferrobacter	0.926781518541241	0.336765776644002	0.316324645469495	-9.3658003051298e-05	0.981680041614066	0.988660367926021	0.992203493172532
Acidihalobacter	0.314929032913492	0.286623111704457	0.336261649788532	0.000984751375538389	0.885713477081393	0.988660367926021	0.992203493172532
Acidilobus	0.570752398070824	0.137995579133385	0.112301070836892	-0.000582867606712406	0.904894353059147	0.988660367926021	0.992203493172532
Acidimicrobium	0.15042459532561	0.570950403157128	0.633285482416112	0.00172524784546314	0.885713477081393	0.988660367926021	0.992203493172532
Acidiphilium	0.162899617070805	0.56003208590511	0.487918812594714	0.001388800510389	0.885713477081393	0.988660367926021	0.992203493172532
Acidipropionibacterium	0.212832392551275	0.455196656105273	0.493510710755351	0.00101457529561311	0.885713477081393	0.988660367926021	0.992203493172532
Acidisarcina	0.238416585208636	0.679295540385509	0.791200156338323	0.000975530802218547	0.885713477081393	0.988660367926021	0.992203493172532
Acidithiobacillus	0.638728700273733	0.422379777855801	0.457524588084151	0.00040030098982398	0.908026177195246	0.988660367926021	0.992203493172532
Acidobacterium	0.238410231496299	0.297720571808023	0.329134499560024	0.00115233270939368	0.885713477081393	0.988660367926021	0.992203493172532
Acidothermus	0.0731671299665173	0.990083793490502	0.9404201483949	0.00138417332464077	0.885713477081393	0.997884453681639	0.993595112313036
Acidovorax	0.365513693546789	0.130057166424058	0.144301686026882	0.000782019020653267	0.885713477081393	0.988660367926021	0.992203493172532
Aciduliprofundum	0.878417791741007	0.812474766279701	0.799001712827533	0.000143383924286507	0.96921865308418	0.994087655112455	0.992203493172532
Acinetobacter	0.967236393008023	0.524321597448414	0.550762833700496	-2.6119901492881e-05	0.988710007455344	0.988660367926021	0.992203493172532
Actinoalloteichus	0.311706130000277	0.572069866075307	0.619413103891315	0.000902389408102583	0.885713477081393	0.988660367926021	0.992203493172532
Actinobacillus	0.699081599370258	0.304365878415562	0.350693490765749	-0.000266542918649791	0.93025093876041	0.988660367926021	0.992203493172532
Actinobaculum	0.293664198491859	0.180605256981909	0.205465835330402	0.000822072597754003	0.885713477081393	0.988660367926021	0.992203493172532
Actinomadura	0.457788922040478	0.283996192395977	0.301704521342779	0.000719363114342154	0.887711438965463	0.988660367926021	0.992203493172532
Actinomyces	0.751723821994044	0.107062167137191	0.114338259760088	-0.000249088601788217	0.939702403796024	0.988660367926021	0.992203493172532
Actinoplanes	0.338060471444395	0.293724069160448	0.318230159256456	0.000939585521615313	0.885713477081393	0.988660367926021	0.992203493172532
Actinopolymorpha	0.243102603152078	0.985139918334485	0.870727612021708	0.000998591556322754	0.885713477081393	0.997591540165515	0.993595112313036
Actinopolyspora	0.379510307980315	0.527441830285225	0.600588641426004	0.00092567970052959	0.88673480120157	0.988660367926021	0.992203493172532
Actinosynnema	0.224679343553673	0.272484092176829	0.318373111449128	0.00124536399520026	0.885713477081393	0.988660367926021	0.992203493172532
Actinotignum	0.795986767602928	0.167429093675394	0.166335501769972	0.000267705682156196	0.955387575650634	0.988660367926021	0.992203493172532
Adlercreutzia	0.799605317593484	0.164972890948131	0.127475111513649	0.000485959434749307	0.957391993925066	0.988660367926021	0.992203493172532
Advenella	0.371280286476143	0.802080368374611	0.790183441329121	0.00068273533807506	0.885713477081393	0.994087655112455	0.992203493172532
Aequorivita	0.192578151854959	0.752940351270641	0.805941498384739	0.000936901245428539	0.885713477081393	0.994087655112455	0.992203493172532
Aeribacillus	0.716797049945988	0.459235937114958	0.533822660267608	-0.00030874890230766	0.934989476709154	0.988660367926021	0.992203493172532
Aerococcus	0.763016466793249	0.778917529780279	0.734781706555624	-0.000184041599437339	0.943703539501945	0.994087655112455	0.992203493172532
Aeromicrobium	0.197208921176022	0.569992123601298	0.606068399918902	0.00118033892336643	0.885713477081393	0.988660367926021	0.992203493172532
Aeromonas	0.366850006176539	0.472617479125643	0.501580816689847	0.000705824802794017	0.885713477081393	0.988660367926021	0.992203493172532
Aerosticca	0.209099007832016	0.90169679093294	0.792093263548571	0.00141878824117124	0.885713477081393	0.994087655112455	0.992203493172532
Afipia	0.155817868701881	0.537936620004301	0.613107116328034	0.00151536397611666	0.885713477081393	0.988660367926021	0.992203493172532
Agarilytica	0.879152439690762	0.766578434349812	0.75455273023057	0.000183604441957834	0.96921865308418	0.994087655112455	0.992203493172532
Agarivorans	0.649241796845178	0.27982472035339	0.232849346924038	0.000365609662377514	0.908026177195246	0.988660367926021	0.992203493172532
Aggregatibacter	0.663015522971514	0.923726529202406	0.954604630960229	0.00031149681899716	0.910829807797178	0.994087655112455	0.995337881734589
Agrobacterium	0.253713620154492	0.64872135033736	0.685491580393688	0.000902525387552361	0.885713477081393	0.988660367926021	0.992203493172532
Agrococcus	0.152549150273375	0.417918443082652	0.447860761862661	0.00138289643553974	0.885713477081393	0.988660367926021	0.992203493172532
