p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.928027465991762	0.378041242243022	0.372115373062675	-0.0157984280055697	0.970024937739975	0.993151615882078	0.991763224068851
Acaryochloris	0.351596947983569	0.188552232406356	0.181367943642612	-0.171767995581812	0.778521736687061	0.993151615882078	0.991763224068851
Acetoanaerobium	0.171247921509142	0.315127439648067	0.323024660638073	-0.238718574519686	0.778521736687061	0.993151615882078	0.991763224068851
Acetobacter	0.51047559599782	0.990298330866271	0.997911174897872	-0.0852656938886876	0.789378006403452	0.9974961382378	0.99836583086613
Acetobacterium	0.143781456368768	0.506796481001073	0.501870931753576	-0.177047583723529	0.778521736687061	0.993151615882078	0.991763224068851
Acetohalobium	0.530086087477251	0.861331490071633	0.869670336397726	-0.104225750133644	0.793548225309592	0.993151615882078	0.991763224068851
Acetomicrobium	0.0991443317372862	0.11441824811691	0.116278362874572	-0.302593323569557	0.778521736687061	0.993151615882078	0.991763224068851
Acholeplasma	0.330423563584857	0.6605358270998	0.656834131957121	-0.173617101565282	0.778521736687061	0.993151615882078	0.991763224068851
Achromobacter	0.398585800488593	0.546433612393446	0.546479417772464	-0.133844624395463	0.778521736687061	0.993151615882078	0.991763224068851
Acidaminococcus	0.0364601963198368	0.20916157119864	0.220935166507928	-0.553209883678429	0.778521736687061	0.993151615882078	0.991763224068851
Acidianus	0.855317596455334	0.48135531919154	0.484843175890539	0.0341904901381098	0.930885577817552	0.993151615882078	0.991763224068851
Acidibrevibacterium	0.621531052273162	0.07833433662638	0.080054188815968	-0.108032297728392	0.824905139609152	0.993151615882078	0.991763224068851
Acidiferrobacter	0.688323836663068	0.69985258340842	0.691706304485251	-0.0770258497426076	0.854240701769166	0.993151615882078	0.991763224068851
Acidihalobacter	0.428622593881882	0.534946041808028	0.538553099702323	-0.148139656567947	0.778521736687061	0.993151615882078	0.991763224068851
Acidilobus	0.106856781726732	0.672877094033905	0.651503860663937	-0.318921842137729	0.778521736687061	0.993151615882078	0.991763224068851
Acidimicrobium	0.205647522552197	0.434557070787542	0.433216333241019	-0.288206773437731	0.778521736687061	0.993151615882078	0.991763224068851
Acidiphilium	0.319463576240684	0.749039305732331	0.753711525970847	-0.185473005785082	0.778521736687061	0.993151615882078	0.991763224068851
Acidipropionibacterium	0.514163586390716	0.445979314803237	0.444511313302821	-0.101130532642415	0.791716707562742	0.993151615882078	0.991763224068851
Acidisarcina	0.946590299547585	0.75426556350211	0.741231440813626	-0.0104050269741005	0.978328037606766	0.993151615882078	0.991763224068851
Acidithiobacillus	0.104443003450111	0.728678777379267	0.725174047383174	-0.26290694562199	0.778521736687061	0.993151615882078	0.991763224068851
Acidobacterium	0.223076327109599	0.268129908148547	0.266036425640888	-0.227767184007318	0.778521736687061	0.993151615882078	0.991763224068851
Acidothermus	0.61754002008062	0.84420572455123	0.864269454185245	-0.0724696403557911	0.822189107093526	0.993151615882078	0.991763224068851
Acidovorax	0.733500389314528	0.974200948835444	0.972911272441244	-0.0571185464338664	0.868192987494705	0.994340580372027	0.991763224068851
Aciduliprofundum	0.287118724975262	0.824498487580713	0.828480660356431	-0.18754288143016	0.778521736687061	0.993151615882078	0.991763224068851
Acinetobacter	0.347550452531539	0.674988202302332	0.675795693061119	-0.111905083404142	0.778521736687061	0.993151615882078	0.991763224068851
Actinoalloteichus	0.399795528170307	0.671528681609447	0.670763842867694	-0.142366556960109	0.778521736687061	0.993151615882078	0.991763224068851
Actinobacillus	0.662994942466676	0.500678901073045	0.510958417589705	-0.0560850327184487	0.84120477182057	0.993151615882078	0.991763224068851
Actinobaculum	0.9120531629157	0.714929380036593	0.718525999016836	0.0166287488008208	0.95875120728749	0.993151615882078	0.991763224068851
Actinomadura	0.410937456487356	0.618721192703839	0.615171287542885	-0.152430169107008	0.778521736687061	0.993151615882078	0.991763224068851
Actinomyces	0.737028553637832	0.583370809789436	0.582711127732681	-0.0502817962920144	0.869539672205054	0.993151615882078	0.991763224068851
Actinoplanes	0.396691453296866	0.63316381728919	0.630075749074942	-0.159331385579547	0.778521736687061	0.993151615882078	0.991763224068851
Actinopolymorpha	0.521526082087593	0.986305604281327	0.976262943048915	-0.103535358324691	0.792052853435313	0.9974961382378	0.991763224068851
Actinopolyspora	0.939145906635834	0.558316555915908	0.567783714332819	0.0150722912198031	0.973690550333785	0.993151615882078	0.991763224068851
Actinosynnema	0.482777736981164	0.67846820214695	0.680061738566567	-0.139092079900367	0.782514012280386	0.993151615882078	0.991763224068851
Actinotignum	0.149810122868657	0.28856110335956	0.283004736471698	-0.285133368409188	0.778521736687061	0.993151615882078	0.991763224068851
Adlercreutzia	0.0330141200175119	0.61699995135833	0.58751095685735	-0.795491318143907	0.778521736687061	0.993151615882078	0.991763224068851
Advenella	0.372216947157218	0.941050022081612	0.952899033163431	-0.127740178547387	0.778521736687061	0.993151615882078	0.991763224068851
Aequorivita	0.276362092911129	0.319721624223481	0.308984824294359	-0.145488875451106	0.778521736687061	0.993151615882078	0.991763224068851
Aeribacillus	0.140862076507859	0.663401257814995	0.673956584711499	-0.233763058837486	0.778521736687061	0.993151615882078	0.991763224068851
Aerococcus	0.083875791070397	0.444724500314643	0.433281310955958	-0.198592955786064	0.778521736687061	0.993151615882078	0.991763224068851
Aeromicrobium	0.57170723840642	0.313043328052772	0.311865568491255	-0.0975201270201029	0.805385887412399	0.993151615882078	0.991763224068851
Aeromonas	0.294862238287145	0.643473222154887	0.640250653288291	-0.154927013141739	0.778521736687061	0.993151615882078	0.991763224068851
Aerosticca	0.230679904046911	0.542399681706428	0.54982423688915	-0.252762122464657	0.778521736687061	0.993151615882078	0.991763224068851
Afipia	0.964269245602533	0.870011240886188	0.863530197121922	-0.00907045324361152	0.986222966914259	0.993151615882078	0.991763224068851
Agarilytica	0.0729885333119707	0.424150766343603	0.420037278981126	-0.405868292150185	0.778521736687061	0.993151615882078	0.991763224068851
Agarivorans	0.810635727675169	0.879547951288661	0.86231907707223	0.0363147020475272	0.904756520217319	0.993151615882078	0.991763224068851
Aggregatibacter	0.0066974724892475	0.196148484495932	0.193383138721216	-0.361087114396596	0.778521736687061	0.993151615882078	0.991763224068851
Agrobacterium	0.385070568583255	0.496482123501551	0.49462308081979	-0.129075962183756	0.778521736687061	0.993151615882078	0.991763224068851
Agrococcus	0.476715527499871	0.43058272402434	0.426964138946898	-0.131415395636019	0.778521736687061	0.993151615882078	0.991763224068851
Agromyces	0.540664995956328	0.244490197811417	0.247190916597541	-0.105412801904637	0.793548225309592	0.993151615882078	0.991763224068851
Ahniella	0.313003545318942	0.528300059246177	0.522638700595695	-0.177621817758961	0.778521736687061	0.993151615882078	0.991763224068851
Akkermansia	0.852015618532185	0.500049318013026	0.502691738409805	-0.0949714450203295	0.929864520735084	0.993151615882078	0.991763224068851
Alcaligenes	0.299091483035455	0.997001542220342	0.995968291294604	-0.146282503045892	0.778521736687061	0.997985833910195	0.99836583086613
Alcanivorax	0.335726760198744	0.724366650135931	0.713139974891122	-0.131583154704366	0.778521736687061	0.993151615882078	0.991763224068851
Algibacter	0.910208920289398	0.716192824018776	0.706443582091513	0.0177903924015115	0.957417732094414	0.993151615882078	0.991763224068851
Algoriphagus	0.684251185562471	0.59124687264603	0.593855922260956	-0.0500949176193664	0.852009572231173	0.993151615882078	0.991763224068851
Alicycliphilus	0.266034071603691	0.551365107950271	0.563756742264023	-0.204402154145906	0.778521736687061	0.993151615882078	0.991763224068851
Alicyclobacillus	0.358950031654825	0.270134948805564	0.275831009747707	-0.139929819940146	0.778521736687061	0.993151615882078	0.991763224068851
Alienimonas	0.990170407105032	0.762821565152508	0.764203351865849	0.00219651137441184	0.995328020686128	0.993151615882078	0.991763224068851
Aliiarcobacter	0.787421689964018	0.997310881429882	0.990833225597219	0.0521536085795944	0.893844553180998	0.997985833910195	0.99836583086613
Aliivibrio	0.332492861320416	0.29798986025631	0.300916544443654	-0.141727819328101	0.778521736687061	0.993151615882078	0.991763224068851
Alistipes	0.653262873844588	0.324676218832352	0.316733542684856	0.181174988270391	0.838547861149966	0.993151615882078	0.991763224068851
Alkalilimnicola	0.267154064369337	0.597623818466555	0.600256363052034	-0.217859617659489	0.778521736687061	0.993151615882078	0.991763224068851
Alkaliphilus	0.742058354879313	0.868662814379243	0.872130612947252	-0.0439092686967728	0.871471072899337	0.993151615882078	0.991763224068851
Alkalitalea	0.0557517919672055	0.279915062819094	0.284309449510289	-0.289228238940377	0.778521736687061	0.993151615882078	0.991763224068851
Alloactinosynnema	0.255923381702889	0.758210825233839	0.748498725468821	-0.210448889320002	0.778521736687061	0.993151615882078	0.991763224068851
Allochromatium	0.646893407860632	0.718380705355895	0.719788331200971	-0.074928462152551	0.836819540445258	0.993151615882078	0.991763224068851
Allofrancisella	0.163445053534395	0.19709072148724	0.202907588980068	-0.290857221120717	0.778521736687061	0.993151615882078	0.991763224068851
Allokutzneria	0.168275711381766	0.751214725931066	0.737935398565609	-0.23481437319779	0.778521736687061	0.993151615882078	0.991763224068851
