p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.776880137210534	0.73542459943345	0.568728674542217	-5.15689536260243e-06	0.99481601134058	0.999530114643244	0.999277639133153
Acaryochloris	0.967336934058135	0.543370087383222	0.320814104573284	-7.22307851911631e-07	0.99481601134058	0.999530114643244	0.999277639133153
Acetoanaerobium	0.00899664370159891	0.221835800718295	0.256697899225472	-4.95251751602114e-05	0.980551057535919	0.999530114643244	0.999277639133153
Acetobacter	0.363352512881657	0.62129078345054	0.858998953098839	-1.1909035002124e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acetobacterium	0.400352197984446	0.770354911856385	0.671992278001732	-1.03393969297295e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acetohalobium	0.822492381160289	0.955794066161603	0.747956850960937	-3.80759896145413e-06	0.99481601134058	0.999530114643244	0.999277639133153
Acetomicrobium	0.0804020599974966	0.918508895162365	0.929804473296166	-3.41365518931594e-05	0.980551057535919	0.999530114643244	0.999277639133153
Acholeplasma	0.12762697560525	0.750056096461012	0.557689789022201	-2.87020477403722e-05	0.99481601134058	0.999530114643244	0.999277639133153
Achromobacter	0.799446572240295	0.762880391746507	0.74028542095296	-3.96041964678072e-06	0.99481601134058	0.999530114643244	0.999277639133153
Acidaminococcus	0.629098751698608	0.445896495520586	0.796061062182434	-1.22837508537211e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acidianus	0.309595985917166	0.759851961809775	0.683184469000962	-2.08916118092431e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acidibrevibacterium	0.589765997377339	0.9292951000797	0.969035674959988	-1.19622001253461e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acidiferrobacter	0.549418089736771	0.683289014362675	0.945406549152768	-1.17726723608667e-05	0.99481601134058	0.999530114643244	0.999277639133153
Acidihalobacter	0.619862850350735	0.600850045441909	0.54513292383475	-9.13884715575822e-06	0.99481601134058	0.999530114643244	0.999277639133153
