p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.776880137389056	0.735424599063333	0.568728674189339	-5.1568953581238e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acaryochloris	0.967336935893754	0.543370086911832	0.320814104302869	-7.22307811050516e-07	0.994816010883735	0.999530114649808	0.999277640008863
Acetoanaerobium	0.00899664370221189	0.221835800717194	0.256697899225611	-4.95251751596878e-05	0.980551056380061	0.999530114649808	0.999277640008863
Acetobacter	0.363352512096209	0.62129078395387	0.8589989536411	-1.19090350248325e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acetobacterium	0.40035219788276	0.770354911789468	0.671992277937323	-1.03393969322648e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acetohalobium	0.822492381529434	0.955794066013119	0.747956850765644	-3.80759895319523e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acetomicrobium	0.0804020600158597	0.918508895107098	0.929804473250516	-3.41365518906296e-05	0.980551056380061	0.999530114649808	0.999277640008863
Acholeplasma	0.127626975618177	0.750056096479875	0.557689789037012	-2.87020477391501e-05	0.994816010883735	0.999530114649808	0.999277640008863
Achromobacter	0.799446569798706	0.762880392110786	0.740285421650988	-3.96041969792179e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acidaminococcus	0.629098765906611	0.445896476643133	0.79606104616268	-1.22837501729634e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidianus	0.309595985921513	0.759851961819153	0.683184469009052	-2.08916118090387e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidibrevibacterium	0.589765997054515	0.929295100176715	0.969035674949442	-1.19622001370774e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidiferrobacter	0.549418090497042	0.683289014207154	0.945406548968396	-1.17726723362788e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidihalobacter	0.619862849607346	0.600850045487172	0.545132924001334	-9.13884717662498e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acidilobus	0.485541874330955	0.553129654282717	0.9973211271338	-1.31632645666392e-05	0.994816010883735	0.999530114649808	0.999332902073662
Acidimicrobium	0.259785116908735	0.403454539748434	0.361259612787345	-2.48626801604155e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidiphilium	0.573342363613283	0.817719407133439	0.710404475804119	-1.0386098776022e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidipropionibacterium	0.924134825215891	0.866443963297198	0.878585604659399	-1.41284180348416e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acidisarcina	0.743925240363236	0.961094770555349	0.607806891924438	5.1862772028379e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acidithiobacillus	0.365826812204093	0.965939766744703	0.924424770814625	-1.42979236620532e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidobacterium	0.473845458603424	0.906902164146376	0.822083811095155	-1.30411980782566e-05	0.994816010883735	0.999530114649808	0.999277640008863
Acidothermus	0.678623674309399	0.328590301648719	0.605391531238284	6.11988453958672e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acidovorax	0.857834881050184	0.389909100610657	0.390046128059052	2.9147668716251e-06	0.994816010883735	0.999530114649808	0.999277640008863
Aciduliprofundum	0.720284686551124	0.582267183578369	0.593848294398895	-6.06958705831299e-06	0.994816010883735	0.999530114649808	0.999277640008863
Acinetobacter	0.191913227467437	0.916870587964394	0.834530923870045	-1.61669557869088e-05	0.994816010883735	0.999530114649808	0.999277640008863
Actinoalloteichus	0.866720020435596	0.652849134107519	0.634577605321284	-2.7435388750317e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinobacillus	0.0815556888788702	0.998437959991386	0.951474329310922	-2.37952782232361e-05	0.980551056380061	0.999530114649808	0.999277640008863
Actinobaculum	0.621071952213715	0.956631169638646	0.904261550819561	7.40688451502711e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinomadura	0.698006534241285	0.664280122017529	0.747005370132371	-6.99273177377335e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinomyces	0.922703688751968	0.729576163603464	0.832316727298655	1.48733873605736e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinoplanes	0.874167694846549	0.535715027660513	0.53221146846186	2.85753695805039e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinopolymorpha	0.632134269933781	0.660257094749728	0.888073729181301	-7.29138441631429e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinopolyspora	0.780523439387428	0.148597050212008	0.0927234976292229	5.45784781763395e-06	0.994816010883735	0.999530114649808	0.999277640008863
Actinosynnema	0.970523943881655	0.95573910922803	0.841481941210731	6.80614249074197e-07	0.994816010883735	0.999530114649808	0.999277640008863
Actinotignum	0.474786924825572	0.833272999503476	0.952857567437251	-1.44244791423129e-05	0.994816010883735	0.999530114649808	0.999277640008863
Adlercreutzia	0.804637995204742	0.583443649625544	0.865510421031126	-8.66947262379319e-06	0.994816010883735	0.999530114649808	0.999277640008863
Advenella	0.571222919183681	0.634895068944125	0.884341904531209	-8.28319359349562e-06	0.994816010883735	0.999530114649808	0.999277640008863
Aequorivita	0.338899971975542	0.252465528495806	0.62340835682763	-1.36350012839873e-05	0.994816010883735	0.999530114649808	0.999277640008863
Aeribacillus	0.0102480967239132	0.39377029128588	0.43899605617104	-4.38936834273016e-05	0.980551056380061	0.999530114649808	0.999277640008863
