p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.55697096195155	0.777871250998015	0.645214502722236	-0.00596416616548335	0.65815198709717	0.968685681621441	0.997983434231892
Acaryochloris	0.688491032974622	0.898560844488516	0.580259939243149	-0.00435670282754673	0.759257684241908	0.976204664441486	0.997983434231892
Acetoanaerobium	0.00760891276497491	0.467388095237907	0.486429038276967	-0.0246040835176572	0.269307059197584	0.965196461755203	0.997983434231892
Acetobacter	0.152850628644013	0.624040448443614	0.854120911716082	-0.010846678540707	0.402901507014546	0.965196461755203	0.997983434231892
Acetobacterium	0.292095025821076	0.986899894647381	0.872064998118055	-0.00748530656341812	0.47759505592817	0.993757643285495	0.997983434231892
Acetohalobium	0.116111606914608	0.367577087442117	0.315697848379906	-0.0149493090354534	0.392131130340791	0.965196461755203	0.997983434231892
Acetomicrobium	0.0543316540064254	0.935452528119372	0.942127303217329	-0.0198453221976121	0.361528246143472	0.98354996637506	0.997983434231892
Acholeplasma	0.201783512321064	0.80556985458697	0.642408981923062	-0.0128823402004254	0.428621782200136	0.968685681621441	0.997983434231892
Achromobacter	0.278373328789114	0.535014375215116	0.57903366439512	-0.0101703814005645	0.471797303287844	0.965196461755203	0.997983434231892
Acidaminococcus	0.218370209566229	0.17746229672693	0.362446508612572	-0.0196496558098773	0.439011323223366	0.965196461755203	0.997983434231892
Acidianus	0.448534017610135	0.745783603472012	0.692354624731661	-0.0074673284170544	0.578674997118428	0.968685681621441	0.997983434231892
Acidibrevibacterium	0.571595973157885	0.691422079985365	0.736124138862864	-0.00744999054692446	0.671497531752422	0.967874510955944	0.997983434231892
Acidiferrobacter	0.218398238523504	0.364147309277155	0.548479308934294	-0.0136904339876162	0.439011323223366	0.965196461755203	0.997983434231892
Acidihalobacter	0.169922967578253	0.483895941742139	0.487717052757681	-0.015114172865045	0.409567416658923	0.965196461755203	0.997983434231892
