p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.83026094062996	0.818924922452505	0.621959241163278	1.17217476896168e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acaryochloris	0.763850486996917	0.72912718779863	0.484406862573841	-1.61363697273824e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acetoanaerobium	0.0200241779138498	0.278189008987805	0.252490481964626	-0.00013164910423758	0.999462281091179	0.999042867175051	0.998399884811833
Acetobacter	0.694087736105897	0.729965367310119	0.904289494039787	-1.53809096054941e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acetobacterium	0.736005358560356	0.882464523255577	0.955546319187137	-1.23068942588734e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acetohalobium	0.984268260149394	0.442867761002991	0.355897426113438	-9.88384089620816e-07	0.999462281091179	0.999042867175051	0.998399884811833
Acetomicrobium	0.103560844741287	0.676038566561913	0.603154886501439	-9.55778193047871e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acholeplasma	0.250189997671554	0.731612181357091	0.554822375816984	-6.46256940192088e-05	0.999462281091179	0.999042867175051	0.998399884811833
Achromobacter	0.669239406695969	0.997837866847851	0.850153393273209	1.96363103664631e-05	0.999462281091179	0.999376099988484	0.998399884811833
Acidaminococcus	0.636891880478603	0.361594051119893	0.680120527331794	-3.56565368416335e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidianus	0.342063776113835	0.767861934109095	0.661768846558086	-5.83002902951554e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidibrevibacterium	0.695294574745218	0.532008969472068	0.781204784547924	2.53852170147417e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidiferrobacter	0.715356174129797	0.748822024706716	0.970926996496379	-2.13594312492057e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidihalobacter	0.859548966788488	0.782666368061485	0.648756423836351	9.65977576752446e-06	0.999462281091179	0.999042867175051	0.998399884811833
Acidilobus	0.861123563907322	0.672420232763001	0.993746282951057	-9.79462965406418e-06	0.999462281091179	0.999042867175051	0.998399884811833
Acidimicrobium	0.628900279219559	0.0837649580640531	0.105931051398366	-2.99793291259714e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidiphilium	0.857133306285213	0.89557150941565	0.784074470538042	-9.85909094777366e-06	0.999462281091179	0.999042867175051	0.998399884811833
Acidipropionibacterium	0.558646190803825	0.924466815337543	0.93588798427009	2.5471521643935e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidisarcina	0.716662143812259	0.611145593149788	0.959969849112712	1.70751372235083e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidithiobacillus	0.495342192667289	0.895104163011207	0.839795194691184	-3.20938742780869e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidobacterium	0.80744723577845	0.634023789284603	0.636023909147081	-1.30516036743603e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidothermus	0.523875452996283	0.844368912749977	0.960192996450089	2.78785224658974e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acidovorax	0.393577623892085	0.470678572074208	0.378807361678728	4.10757878834002e-05	0.999462281091179	0.999042867175051	0.998399884811833
Aciduliprofundum	0.424161270936667	0.726533161362278	0.62907909751002	-4.05207883661392e-05	0.999462281091179	0.999042867175051	0.998399884811833
Acinetobacter	0.362910694598693	0.988413244490664	0.89204116429489	-3.36091408739469e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinoalloteichus	0.797615280747169	0.929375882576972	0.956515165196935	1.2374583635854e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinobacillus	0.141127178296882	0.714518118510538	0.694348931018738	-6.06870667685556e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinobaculum	0.265913335411986	0.761670638190023	0.935823114700917	4.90188259780925e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinomadura	0.797444504190838	0.696109060475572	0.682086024523346	1.36583346112994e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinomyces	0.812170791722791	0.717856845681768	0.849459065447848	1.08344441784463e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinoplanes	0.415684532814935	0.737944415903373	0.600011379260075	4.33378505860735e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinopolymorpha	0.895052921047106	0.234472433254458	0.453493116710101	5.81440427098254e-06	0.999462281091179	0.999042867175051	0.998399884811833
Actinopolyspora	0.359070693025339	0.131948396088405	0.0742546437410423	5.37294378759008e-05	0.999462281091179	0.999042867175051	0.998399884811833
Actinosynnema	0.437168253148313	0.913294302335724	0.821494800821826	4.18811594240503e-05	0.999462281091179	0.999042867175051	0.998399884811833
