p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.830260940433382	0.81892492218833	0.621959240892734	1.17217477029406e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acaryochloris	0.76385048548223	0.729127188047078	0.484406862594662	-1.61363698388627e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acetoanaerobium	0.0200241779051339	0.278189009039325	0.252490481996553	-0.000131649104248349	0.999462281396362	0.999042867165404	0.998399884838947
Acetobacter	0.694087737429834	0.72996536708425	0.904289493598419	-1.53809095317808e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acetobacterium	0.736005358428361	0.882464523276811	0.955546319227477	-1.2306894265572e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acetohalobium	0.984268259563625	0.442867761139448	0.355897426313148	-9.88384126523702e-07	0.999462281396362	0.999042867165404	0.998399884838947
Acetomicrobium	0.103560844715539	0.676038566614105	0.603154886531429	-9.5577819313057e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acholeplasma	0.250189997670107	0.73161218135686	0.554822375816559	-6.46256940194362e-05	0.999462281396362	0.999042867165404	0.998399884838947
Achromobacter	0.669239404975648	0.997837866888647	0.850153392839419	1.96363104695893e-05	0.999462281396362	0.999376099976091	0.998399884838947
Acidaminococcus	0.636891883202891	0.361594047526984	0.680120523574062	-3.56565364516026e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidianus	0.342063776115424	0.767861934106671	0.661768846555078	-5.83002902949339e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidibrevibacterium	0.695294575090177	0.532008969557216	0.78120478453121	2.53852169862473e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidiferrobacter	0.715356173390768	0.748822024896117	0.970926996788634	-2.1359431310228e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidihalobacter	0.859548966489759	0.782666368061023	0.648756423762328	9.65977578787714e-06	0.999462281396362	0.999042867165404	0.998399884838947
Acidilobus	0.861123537169223	0.672420247560381	0.99374630205382	-9.79463160756756e-06	0.999462281396362	0.999042867165404	0.998399884838947
Acidimicrobium	0.628900293868919	0.083764954005006	0.105931047892744	-2.99793277189465e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidiphilium	0.857133306462398	0.895571509406017	0.784074470488409	-9.85909093502615e-06	0.999462281396362	0.999042867165404	0.998399884838947
Acidipropionibacterium	0.558646190843967	0.92446681534408	0.935887984276059	2.54715216415485e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidisarcina	0.716662143635802	0.611145593066382	0.959969849075783	1.70751372341765e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidithiobacillus	0.495342193314856	0.895104162942411	0.839795194778542	-3.20938742217289e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidobacterium	0.80744721662909	0.634023793869714	0.636023909560616	-1.30516050563614e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidothermus	0.523875452776076	0.844368912708243	0.960192996523973	2.78785224797258e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acidovorax	0.393577626835075	0.470678572743913	0.378807362922767	4.10757876526234e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aciduliprofundum	0.424161270932349	0.726533161343896	0.629079097485601	-4.05207883654755e-05	0.999462281396362	0.999042867165404	0.998399884838947
Acinetobacter	0.362910694885538	0.988413244528746	0.89204116440983	-3.36091408518151e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinoalloteichus	0.797615278268636	0.929375881959197	0.956515165054524	1.23745837849528e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinobacillus	0.141127178289208	0.714518118508032	0.694348931011534	-6.06870667698435e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinobaculum	0.265913333982822	0.761670638591656	0.935823113592782	4.90188261086085e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinomadura	0.797444507099215	0.696109060745524	0.682086025449949	1.36583344170722e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinomyces	0.8121707907764	0.717856846243763	0.849459066167007	1.0834444232212e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinoplanes	0.415684426576243	0.737944416117844	0.600011345397991	4.3337859444094e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinopolymorpha	0.895052941574158	0.23447244086269	0.453493122700097	5.81440316128127e-06	0.999462281396362	0.999042867165404	0.998399884838947
Actinopolyspora	0.359070692740088	0.131948396009031	0.074254643668907	5.37294379039139e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinosynnema	0.437168276924469	0.913294305062297	0.821494807408582	4.18811574933502e-05	0.999462281396362	0.999042867165404	0.998399884838947
Actinotignum	0.653024884989908	0.97508376468336	0.811837258474043	-2.69429167529747e-05	0.999462281396362	0.999042867165404	0.998399884838947
Adlercreutzia	0.700835247592564	0.737222824673609	0.767779559729555	-4.02380887625602e-05	0.999462281396362	0.999042867165404	0.998399884838947
Advenella	0.716916885011222	0.665122119940896	0.884446910089366	-1.58252875852665e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aequorivita	0.498651497226009	0.232195830745586	0.556708924830235	-2.88173255183428e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aeribacillus	0.0336648180069087	0.371355218397664	0.352084842562758	-0.000108776617231517	0.999462281396362	0.999042867165404	0.998399884838947
Aerococcus	0.455240004037123	0.747783823698321	0.526194228249686	-2.49078743461371e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aeromicrobium	0.748809972574638	0.692368997943877	0.66888562978449	1.6140617691315e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aeromonas	0.970147522659333	0.84501266799391	0.840204192846568	1.67359551218852e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aerosticca	0.86018421365285	0.710374053132864	0.559150988561404	-1.12463628372061e-05	0.999462281396362	0.999042867165404	0.998399884838947
Afipia	0.749509465154631	0.59313224455013	0.806123202099043	1.90492759304074e-05	0.999462281396362	0.999042867165404	0.998399884838947
Agarilytica	0.355472032282487	0.897596519741376	0.943907672373388	-6.40463981269776e-05	0.999462281396362	0.999042867165404	0.998399884838947
Agarivorans	0.397914318138029	0.325501818166093	0.149947415675525	3.84975416806977e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aggregatibacter	0.289291287578939	0.857038721527582	0.73456523166739	-4.47545031509801e-05	0.999462281396362	0.999042867165404	0.998399884838947
Agrobacterium	0.93274088710211	0.78501955140862	0.778106963492843	3.81023458884964e-06	0.999462281396362	0.999042867165404	0.998399884838947
Agrococcus	0.814265988667077	0.831795380584891	0.83781458025269	1.22881458810432e-05	0.999462281396362	0.999042867165404	0.998399884838947
Agromyces	0.350203110524785	0.868283241470566	0.587129633577401	4.70337826980917e-05	0.999462281396362	0.999042867165404	0.998399884838947
Ahniella	0.868150688718842	0.83022821583933	0.930320190065832	-8.81931504428309e-06	0.999462281396362	0.999042867165404	0.998399884838947
Akkermansia	0.231623241438068	0.80842821126937	0.989577849041697	-0.000194185609815324	0.999462281396362	0.999042867165404	0.998399884838947
Alcaligenes	0.710064937590748	0.998453743176467	0.815751792522897	1.55532387086254e-05	0.999462281396362	0.999376099976091	0.998399884838947
Alcanivorax	0.961490867712248	0.689273422512549	0.859643458889437	-2.02107123865714e-06	0.999462281396362	0.999042867165404	0.998399884838947
Algibacter	0.281404492833634	0.881918444845172	0.866386238027118	-5.35421269211826e-05	0.999462281396362	0.999042867165404	0.998399884838947
Algoriphagus	0.597251990913568	0.30269326238413	0.373861799865129	-2.00446541136122e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alicycliphilus	0.901236515896949	0.887287840922886	0.612822867029042	-6.93623130995021e-06	0.999462281396362	0.999042867165404	0.998399884838947
Alicyclobacillus	0.919664160521244	0.836630682747328	0.892284296660864	4.49180174786643e-06	0.999462281396362	0.999042867165404	0.998399884838947
Alienimonas	0.616690972732707	0.336720730705172	0.309607631556246	2.53457590913965e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aliiarcobacter	0.06274804073655	0.64496739183618	0.466031793409411	-0.000116703941983459	0.999462281396362	0.999042867165404	0.998399884838947
Aliivibrio	0.305210425865171	0.510197556066597	0.502939118893398	-4.8438504563061e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alistipes	0.609115737878315	0.900612657274857	0.823855689049541	-5.82258758243799e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alkalilimnicola	0.96179478800169	0.477093043114927	0.633097914496889	-2.67615318407922e-06	0.999462281396362	0.999042867165404	0.998399884838947
Alkaliphilus	0.730060037513962	0.881056595461928	0.877588615869314	-1.39597345383848e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alkalitalea	0.156558539681769	0.243566390001012	0.297488407383017	-6.49935815079717e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alloactinosynnema	0.933216425551771	0.624537438828115	0.576033373966272	-4.30007920578016e-06	0.999462281396362	0.999042867165404	0.998399884838947
Allochromatium	0.936283594124633	0.929791888522085	0.990879219202024	3.82686943085269e-06	0.999462281396362	0.999042867165404	0.998399884838947
Allofrancisella	0.151601371051908	0.610210079279326	0.663141378865529	-9.27985088290889e-05	0.999462281396362	0.999042867165404	0.998399884838947
Allokutzneria	0.699040988579761	0.456669660760305	0.678509593345138	-1.99477600883688e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alloprevotella	0.858203810037276	0.142503092838115	0.230234990277641	9.35871683781392e-06	0.999462281396362	0.999042867165404	0.998399884838947
Allopseudarcicella	0.836205615252798	0.707090074482286	0.741614892315317	-1.17864690413854e-05	0.999462281396362	0.999042867165404	0.998399884838947
Altererythrobacter	0.489484977710406	0.742081375426257	0.596100553778332	3.31024779518488e-05	0.999462281396362	0.999042867165404	0.998399884838947
Alteromonas	0.81787738821525	0.97128761779392	0.889627783747383	-8.57186143058885e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aminipila	0.478817520744225	0.526983996088946	0.621613507291845	-3.09518059263887e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aminobacter	0.758747165388555	0.660865893792128	0.626944267689823	-1.56210294620319e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aminobacterium	0.924544296117435	0.370532369720504	0.238213258964556	4.87899193589334e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aminomonas	0.65728599265977	0.802612630529536	0.513767469858271	2.25474072035644e-05	0.999462281396362	0.999042867165404	0.998399884838947
Ammonifex	0.752457043804897	0.99233841123268	0.939398510059725	-1.62078697817246e-05	0.999462281396362	0.999042867165404	0.998399884838947
Amphibacillus	0.251187331579059	0.46822946105159	0.729803399815771	-6.25113967239364e-05	0.999462281396362	0.999042867165404	0.998399884838947
Amycolatopsis	0.646228380133008	0.845706383874887	0.952508262293503	2.23505324995253e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anabaena	0.995563688537233	0.386317049597504	0.425474772320987	-2.69405511333069e-07	0.999462281396362	0.999042867165404	0.998399884838947
Anabaenopsis	0.208819517339624	0.88023757519472	0.920144558340556	-7.82730145756503e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerobutyricum	0.314491806613647	0.701661168050547	0.974424614031419	-7.14325389207916e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerococcus	0.329297425762978	0.888448738777154	0.762239625935432	-4.32719758064381e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerocolumna	0.696401744355453	0.404903620460064	0.352826834212966	-1.5320383907137e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerohalosphaera	0.25728362818491	0.794227274858364	0.666181305904412	-5.81396609590845e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerolinea	0.792596764059073	0.479593527940421	0.629190914371018	-1.40236350505765e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaeromyxobacter	0.74526633680458	0.964004651563715	0.922809145377469	1.59731874591968e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaerostipes	0.208918572568471	0.527035715241002	0.213218186510509	-0.000113114363978665	0.999462281396362	0.999042867165404	0.998399884838947
Anaerotignum	0.274283482024957	0.739269055962319	0.609273132559274	-4.71719291352344e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anaplasma	0.514468436007852	0.5644365086716	0.676211333511176	-2.8917429772251e-05	0.999462281396362	0.999042867165404	0.998399884838947
Ancylobacter	0.69121254080978	0.71245698109175	0.583526128547904	2.27092583991712e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aneurinibacillus	0.997102557926692	0.51832853129261	0.476350372532154	-1.29081638295549e-07	0.999462281396362	0.999042867165404	0.998399884838947
Anoxybacillus	0.141245540779978	0.476856682801375	0.273341847271656	-5.65281466788158e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anoxybacter	0.435418649057226	0.859285175191676	0.79523346237502	-3.64519177455741e-05	0.999462281396362	0.999042867165404	0.998399884838947
Anseongella	0.791996410152842	0.575776719342935	0.575606455600992	-1.12839837604724e-05	0.999462281396362	0.999042867165404	0.998399884838947
Antarcticibacterium	0.798055423969415	0.137086801766506	0.165710075610412	1.24288481266208e-05	0.999462281396362	0.999042867165404	0.998399884838947
Antarctobacter	0.839645168397785	0.822788176617146	0.728429193495302	-1.19740248013159e-05	0.999462281396362	0.999042867165404	0.998399884838947
Apibacter	0.457989515905164	0.917610717755135	0.902885129597229	-4.36091538450384e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquabacterium	0.955263694115704	0.600454092446402	0.563526256262668	3.1485288662019e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aquaspirillum	0.891317604670999	0.760980153955655	0.864772182943998	-6.91192716924828e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aquicella	0.112104301549198	0.14964376370285	0.117314714302397	-7.49506259689984e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquifex	0.392777051592521	0.57370276056529	0.55031902453351	-5.37628150965646e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquiflexum	0.19143766127541	0.364060115959379	0.539260103049053	-5.70760372553336e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquimarina	0.59566715424957	0.820224435793754	0.946664333517319	-2.79312614663617e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquisphaera	0.486043259424681	0.934550510760469	0.887354765285774	3.34593973848923e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aquitalea	0.880692059129971	0.843819854041176	0.823697230248592	6.3686318776401e-06	0.999462281396362	0.999042867165404	0.998399884838947
Arabia	0.0909254607003377	0.474545247870007	0.992336853072264	0.000114853757045384	0.999462281396362	0.999042867165404	0.998399884838947
Arachidicoccus	0.961913046794065	0.107136857162335	0.152125973868275	-1.83958709102498e-06	0.999462281396362	0.999042867165404	0.998399884838947
Arcanobacterium	0.597378927714652	0.776566459528911	0.57295445853297	-3.18563792268085e-05	0.999462281396362	0.999042867165404	0.998399884838947
Archaeoglobus	0.593693325593472	0.425023746685833	0.5030374239714	-2.31130641137213e-05	0.999462281396362	0.999042867165404	0.998399884838947
Archangium	0.314770690639731	0.511944898081013	0.380215892223239	5.08517541976581e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arcobacter	0.204129453155003	0.626834967392062	0.575924951215944	-7.27125281529393e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arcticibacterium	0.380821929351594	0.78303041938291	0.965379033427942	-3.65529920033581e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arenibacter	0.173676940791033	0.82058207582839	0.973492482018103	-6.4301435272119e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arenimonas	0.943253126874041	0.785660597380504	0.924452406347741	-4.36133074687727e-06	0.999462281396362	0.999042867165404	0.998399884838947
Aromatoleum	0.724650314712962	0.661651943180104	0.916463739044454	1.83627097724762e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arsenicicoccus	0.296052079694153	0.904892255041186	0.604942190834617	5.51871406391164e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arsenophonus	0.110135961579349	0.57115625638777	0.91279633637909	-9.56767622272261e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arthrobacter	0.486007115090628	0.593581913875778	0.555636839619411	2.99307581645592e-05	0.999462281396362	0.999042867165404	0.998399884838947
Arthrospira	0.728713523562131	0.734017867099264	0.963587140321781	-2.2693375434651e-05	0.999462281396362	0.999042867165404	0.998399884838947
Asaia	0.119637168717501	0.995438382978397	0.635897456516152	-8.25155455362647e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aspergillus	0.784938969898587	0.981897710555832	0.996732384070429	-1.1085694886225e-05	0.999462281396362	0.999042867165404	0.998399884838947
Asticcacaulis	0.774719099076504	0.245763930040287	0.506281094173536	-1.55982642746633e-05	0.999462281396362	0.999042867165404	0.998399884838947
Athalassotoga	0.371566280444655	0.268001189487208	0.448191774836887	-4.83659524898969e-05	0.999462281396362	0.999042867165404	0.998399884838947
Atlantibacter	0.731361336802622	0.936794988392185	0.787299840294529	-1.85025648580925e-05	0.999462281396362	0.999042867165404	0.998399884838947
Atopobium	0.203893085996522	0.174537408373714	0.132084814186524	-6.1813115735345e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aurantimicrobium	0.0759731193689432	0.852907695614569	0.360338494910165	9.38213866472259e-05	0.999462281396362	0.999042867165404	0.998399884838947
Auraticoccus	0.229014129283095	0.840437581956682	0.560600322602894	6.68876970362949e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aureimonas	0.847883934252555	0.907767088841249	0.914149315136935	1.21516897594266e-05	0.999462281396362	0.999042867165404	0.998399884838947
Aureitalea	0.821899693209365	0.618983549165472	0.564479909114126	1.22034116125678e-05	0.999462281396362	0.999042867165404	0.998399884838947
Auricoccus	0.48498583230477	0.925746227614512	0.942249484323686	-4.21487507340085e-05	0.999462281396362	0.999042867165404	0.998399884838947
Auritidibacter	0.886774547916112	0.484653985078942	0.683487782633544	-8.45866822576645e-06	0.999462281396362	0.999042867165404	0.998399884838947
Austwickia	0.909425378269227	0.8222068344988	0.964128037330977	5.04413408339569e-06	0.999462281396362	0.999042867165404	0.998399884838947
Avibacterium	0.745562454381559	0.361401590946821	0.478810906140156	-1.57126252606936e-05	0.999462281396362	0.999042867165404	0.998399884838947
Azoarcus	0.487211894752	0.686421486161219	0.522358588428809	3.11041028985391e-05	0.999462281396362	0.999042867165404	0.998399884838947
