p-variable	slope	adjusted.p-variable
Absiella	0.653166896016608	0.000712570179667541	0.775767003996816
Acaryochloris	0.744557988231624	0.000519441518372183	0.834929153357513
Acetoanaerobium	0.449788662977917	0.00116846608940165	0.680617421776411
Acetobacter	0.327502119827654	0.00128360627447144	0.666641930315024
Acetobacterium	0.145702970582612	0.00164084482799914	0.666641930315024
Acetohalobium	0.346426971560106	0.00111825804063039	0.666641930315024
Acetomicrobium	0.260663922416999	0.00185123421557321	0.666641930315024
Acholeplasma	0.267671121969207	0.00185291129713845	0.666641930315024
Achromobacter	0.257884676498397	0.00162984460478439	0.666641930315024
Acidaminococcus	0.548328262844217	0.00134750295019208	0.721534553171067
Acidianus	0.147628470698943	0.00175828016959723	0.666641930315024
Acidibrevibacterium	0.239238209039975	0.00212776962297931	0.666641930315024
Acidiferrobacter	0.521463937397204	0.000978392820393775	0.707767440554572
Acidihalobacter	0.135003258662056	0.00230066953345918	0.666641930315024
Acidilobus	0.00377801933754883	0.00536185619822888	0.666641930315024
Acidimicrobium	0.306917435885317	0.00244993784297268	0.666641930315024
Acidiphilium	0.232625723174726	0.00195442411148234	0.666641930315024
Acidipropionibacterium	0.456730498978732	0.001171002191504	0.682631614860373
Acidisarcina	0.762851268368672	-0.000395882462958452	0.842937979599403
Acidithiobacillus	0.17083125727216	0.00208396248211098	0.666641930315024
Acidobacterium	0.403777048810775	0.00146803494731221	0.666641930315024
Acidothermus	0.997277377938799	3.82412198581254e-06	0.998870391875523
Acidovorax	0.304107395885741	0.00157730608173366	0.666641930315024
Aciduliprofundum	0.186416182259142	0.00203733284893905	0.666641930315024
Acinetobacter	0.239650463212177	0.00131554609287771	0.666641930315024
Actinoalloteichus	0.330377550305414	0.00146896762885338	0.666641930315024
Actinobacillus	0.18479772853962	0.00136037190837911	0.666641930315024
Actinobaculum	0.458521935984504	0.00101688490116782	0.682631614860373
Actinomadura	0.166413995803612	0.00240238720914381	0.666641930315024
Actinomyces	0.214192831104805	0.0017549868227615	0.666641930315024
Actinoplanes	0.370012708117578	0.00148919700355457	0.666641930315024
Actinopolymorpha	0.690046692757232	0.000643709754368317	0.79857178152768
Actinopolyspora	0.627693922263301	0.000741105975739188	0.759167267435542
Actinosynnema	0.259960857386523	0.00224931624630803	0.666641930315024
Actinotignum	0.126160466846325	0.00263245065009063	0.666641930315024
Adlercreutzia	0.625935147906289	0.0019474626797874	0.759167267435542
Advenella	0.662574596085687	0.000555423912671787	0.780908258887666
Aequorivita	0.860287800618443	0.000195645714966452	0.906627764530083
Aeribacillus	0.136692929923491	0.002041722709761	0.666641930315024
Aerococcus	0.193650714105146	0.00141802897320577	0.666641930315024
Aeromicrobium	0.380165732210397	0.00133655549847998	0.666641930315024
Aeromonas	0.283024037909936	0.00138446357658964	0.666641930315024
Aerosticca	0.50541217217262	0.00116524805418195	0.699470625008478
Afipia	0.770060598029101	-0.000601641503948828	0.847525330590599
Agarilytica	0.338616672784906	0.00175113009368358	0.666641930315024
Agarivorans	0.740353205924965	-0.000419423521279262	0.83302258555698
Aggregatibacter	0.0796378760774606	0.00178536241962141	0.666641930315024
Agrobacterium	0.519226611634098	0.000810796852192433	0.706029317373266
Agrococcus	0.235004989394119	0.00204746593321314	0.666641930315024
Agromyces	0.632873175757893	0.000725688518136341	0.762105786593321
Ahniella	0.322977580440252	0.00142406258371645	0.666641930315024
Akkermansia	0.340174910462803	0.00438383783063509	0.666641930315024
Alcaligenes	0.156407896025181	0.001883789436576	0.666641930315024
Alcanivorax	0.132797198249917	0.00188975242876306	0.666641930315024
Algibacter	0.357499614795539	0.00144470398951497	0.666641930315024
Algoriphagus	0.724726916813381	0.000346382232257361	0.822445418994437
Alicycliphilus	0.227913832126922	0.00175558706943061	0.666641930315024
Alicyclobacillus	0.343526227307824	0.00131554468396362	0.666641930315024
Alienimonas	0.31373659032354	0.00144243138453579	0.666641930315024
Aliiarcobacter	0.230080321721033	0.00210536084541422	0.666641930315024
Aliivibrio	0.525770775929198	0.000728030011551767	0.710141720974056
Alistipes	0.367226256194049	0.00379328963968059	0.666641930315024
Alkalilimnicola	0.144948034356731	0.00262574124209745	0.666641930315024
Alkaliphilus	0.583007927183825	0.000640143275286638	0.739291461769908
Alkalitalea	0.236543256888375	0.00151755311551772	0.666641930315024
Alloactinosynnema	0.28017670137245	0.0019422625206251	0.666641930315024
Allochromatium	0.0846486242845139	0.00231997154604353	0.666641930315024
Allofrancisella	0.131973653042739	0.00275051038265603	0.666641930315024
Allokutzneria	0.47838069062501	0.00100404011964534	0.689980128802594
Alloprevotella	0.402539811339547	0.00120384901948103	0.666641930315024
Allopseudarcicella	0.534241532713734	0.000907187081072586	0.711323994317807
Altererythrobacter	0.291058518189998	0.00152115631337514	0.666641930315024
Alteromonas	0.429017822512086	0.000904967604974574	0.670117570215709
Aminipila	0.15019615160253	0.00175247836207892	0.666641930315024
Aminobacter	0.253409596368346	0.00156140185044489	0.666641930315024
Aminobacterium	0.888563062473224	0.000191549535620821	0.92297337469892
