p-variable	slope	adjusted.p-variable
Absiella	0.0865894862383535	3.22552807261555e-05	0.990600340015321
Acaryochloris	0.782019114389436	-5.36826505243072e-06	0.990600340015321
Acetoanaerobium	0.483331442133832	1.31948288518312e-05	0.990600340015321
Acetobacter	0.41869838686869	1.29338675211571e-05	0.990600340015321
Acetobacterium	0.200699979897894	1.76339086753475e-05	0.990600340015321
Acetohalobium	0.469356450489856	1.04895919910184e-05	0.990600340015321
Acetomicrobium	0.822090426593984	4.55244320731555e-06	0.990600340015321
Acholeplasma	0.380095179254863	1.7925545900825e-05	0.990600340015321
Achromobacter	0.453008339934344	1.32379209929946e-05	0.990600340015321
Acidaminococcus	0.210568579418811	3.38228495080426e-05	0.990600340015321
Acidianus	0.408619865588815	1.2365262509574e-05	0.990600340015321
Acidibrevibacterium	0.382504765866685	1.9318147259758e-05	0.990600340015321
Acidiferrobacter	0.998351334869192	3.85108231988389e-08	0.999334938189128
Acidihalobacter	0.426192229376208	1.51191707158886e-05	0.990600340015321
Acidilobus	0.0821567271173873	4.10484351657994e-05	0.990600340015321
Acidimicrobium	0.803790280876454	7.31312769374712e-06	0.990600340015321
Acidiphilium	0.704307891203339	7.64881872646312e-06	0.990600340015321
Acidipropionibacterium	0.342502299339032	1.81141991135256e-05	0.990600340015321
Acidisarcina	0.418830470324752	-1.28392033600137e-05	0.990600340015321
Acidithiobacillus	0.452627508794069	1.40703533899007e-05	0.990600340015321
Acidobacterium	0.632975132534051	1.02598328840519e-05	0.990600340015321
Acidothermus	0.755960200780137	-4.23388807383621e-06	0.990600340015321
Acidovorax	0.685623959539527	7.62072128902359e-06	0.990600340015321
Aciduliprofundum	0.855591199328811	-3.46765197230332e-06	0.990600340015321
Acinetobacter	0.324502641963241	1.34612523955934e-05	0.990600340015321
Actinoalloteichus	0.901054147601618	2.30232592773669e-06	0.990600340015321
Actinobacillus	0.429663121210145	9.95872521241714e-06	0.990600340015321
Actinobaculum	0.459592157823025	1.23429258512348e-05	0.990600340015321
Actinomadura	0.371944717520798	1.90500275108813e-05	0.990600340015321
Actinomyces	0.15614584884981	2.42756638619816e-05	0.990600340015321
Actinoplanes	0.586185649694514	1.10533660939311e-05	0.990600340015321
Actinopolymorpha	0.728461211923841	6.82045547474953e-06	0.990600340015321
