p-variable	slope	adjusted.p-variable
Absiella	0.310040400163478	5.72512079326592e-05	0.99970569121532
Acaryochloris	0.88346783148827	8.38011300719356e-06	0.99970569121532
Acetoanaerobium	0.851384311861906	-1.04305603287413e-05	0.99970569121532
Acetobacter	0.717790014741227	1.71062101895435e-05	0.99970569121532
Acetobacterium	0.744320633765257	1.34229514727549e-05	0.99970569121532
Acetohalobium	0.947147348882813	-2.84401330505233e-06	0.99970569121532
Acetomicrobium	0.95379569010693	-3.45653488266415e-06	0.99970569121532
Acholeplasma	0.737000473176598	2.03217230604275e-05	0.99970569121532
Achromobacter	0.720415750884791	1.86696791542041e-05	0.99970569121532
Acidaminococcus	0.263987243525489	8.91354134635018e-05	0.99970569121532
Acidianus	0.695938511559806	1.73077739922459e-05	0.99970569121532
Acidibrevibacterium	0.563698481922915	3.77638138454779e-05	0.99970569121532
Acidiferrobacter	0.854552662715835	1.00595944916236e-05	0.99970569121532
Acidihalobacter	0.532477476882635	3.50107089126394e-05	0.99970569121532
Acidilobus	0.0439454034628796	0.000138827595626291	0.99970569121532
Acidimicrobium	0.51325233340453	-5.64925469738492e-05	0.99970569121532
Acidiphilium	0.581373934960467	3.26826718511076e-05	0.99970569121532
Acidipropionibacterium	0.962546965396712	2.66092612757975e-06	0.99970569121532
Acidisarcina	0.227928338413265	-5.5990053241479e-05	0.99970569121532
Acidithiobacillus	0.546640791698938	3.33225607011587e-05	0.99970569121532
Acidobacterium	0.680933803444213	2.60335294696025e-05	0.99970569121532
Acidothermus	0.940378750561778	-3.00350928189684e-06	0.99970569121532
Acidovorax	0.770310194081919	1.62006933879579e-05	0.99970569121532
Aciduliprofundum	0.777759997832576	1.58326654682852e-05	0.99970569121532
Acinetobacter	0.719182319503145	1.45798441070977e-05	0.99970569121532
Actinoalloteichus	0.893150527600125	7.32569396480992e-06	0.99970569121532
Actinobacillus	0.683900155803129	1.5184301612704e-05	0.99970569121532
Actinobaculum	0.722380349453488	1.75320181191912e-05	0.99970569121532
Actinomadura	0.552130012272907	3.75153349035031e-05	0.99970569121532
Actinomyces	0.334911242593369	4.90929844013603e-05	0.99970569121532
Actinoplanes	0.880428743042495	9.01850528969063e-06	0.99970569121532
Actinopolymorpha	0.595677390587575	-3.06584652915916e-05	0.99970569121532
Actinopolyspora	0.949338139396408	3.48666551428285e-06	0.99970569121532
Actinosynnema	0.805721433541009	1.77925559692754e-05	0.99970569121532
Actinotignum	0.540740337657002	3.84047203533085e-05	0.99970569121532
Adlercreutzia	0.766409857920337	-4.25883757603427e-05	0.99970569121532
Advenella	0.89846043081775	5.82963883252643e-06	0.99970569121532
Aequorivita	0.517760818510462	2.56731430566178e-05	0.99970569121532
Aeribacillus	0.542403136010343	3.04523703529386e-05	0.99970569121532
Aerococcus	0.631100148791587	1.90212024613678e-05	0.99970569121532
Aeromicrobium	0.949980245814983	-3.44754096610666e-06	0.99970569121532
Aeromonas	0.946645788127882	-3.12494734932846e-06	0.99970569121532
Aerosticca	0.716306986426477	-2.28487069033473e-05	0.99970569121532
Afipia	0.925521275901097	6.8999364774626e-06	0.99970569121532
Agarilytica	0.780535600725445	1.8410884170396e-05	0.99970569121532
Agarivorans	0.11371888795223	-7.02019595521033e-05	0.99970569121532
Aggregatibacter	0.150655615073479	5.29351288411908e-05	0.99970569121532
Agrobacterium	0.959958604597121	2.27169259657857e-06	0.99970569121532
Agrococcus	0.708944486243211	2.33290637732585e-05	0.99970569121532
Agromyces	0.649015223140171	-2.47815279097808e-05	0.99970569121532
Ahniella	0.480079158348205	3.6619624123262e-05	0.99970569121532
Akkermansia	0.839952079178541	3.35254532089436e-05	0.99970569121532
Alcaligenes	0.601934027062409	2.52387774922679e-05	0.99970569121532
Alcanivorax	0.582494572945171	2.52086952001801e-05	0.99970569121532
Algibacter	0.549188185296149	3.38502163273783e-05	0.99970569121532
Algoriphagus	0.771100605030488	-1.02585049590845e-05	0.99970569121532
Alicycliphilus	0.660298434087931	-2.31949289963091e-05	0.99970569121532
Alicyclobacillus	0.907594236259468	-5.82342842839835e-06	0.99970569121532
Alienimonas	0.684052552022144	2.10411590674674e-05	0.99970569121532
Aliiarcobacter	0.797809942256178	1.63064483225531e-05	0.99970569121532
Aliivibrio	0.952755128637835	-2.44502347064439e-06	0.99970569121532
Alistipes	0.377742025072423	0.000133015678715358	0.99970569121532
Alkalilimnicola	0.519059076134454	4.22715523918451e-05	0.99970569121532
Alkaliphilus	0.697700455442065	-1.62522458198559e-05	0.99970569121532
Alkalitalea	0.753878303584118	1.45756394770581e-05	0.99970569121532
Alloactinosynnema	0.623977227401213	3.18610128465164e-05	0.99970569121532
Allochromatium	0.61216162418688	2.50502556705182e-05	0.99970569121532
Allofrancisella	0.195209466659708	8.520696900809e-05	0.99970569121532
Allokutzneria	0.905257528113855	-6.0676673825118e-06	0.99970569121532
Alloprevotella	0.283432003244161	5.5053282724805e-05	0.99970569121532
Allopseudarcicella	0.994708541928934	3.4809079545072e-07	0.99970569121532
Altererythrobacter	0.836451881206405	1.0762274202585e-05	0.99970569121532
Alteromonas	0.906828460024978	-4.82590869628725e-06	0.99970569121532
Aminipila	0.806707512392616	1.08752928549991e-05	0.99970569121532
Aminobacter	0.634572209785805	2.35141248380785e-05	0.99970569121532
Aminobacterium	0.701201768062466	-1.87741289069954e-05	0.99970569121532
Aminomonas	0.867194520738137	-1.06395120337655e-05	0.99970569121532
Ammonifex	0.66749822766895	-2.78517274403039e-05	0.99970569121532
Amphibacillus	0.485309227309324	3.14942567916662e-05	0.99970569121532
Amycolatopsis	0.948412173599422	3.68411492999253e-06	0.99970569121532
Anabaena	0.793876541871693	-1.16227461542206e-05	0.99970569121532
Anabaenopsis	0.601223794658815	3.04178869671451e-05	0.99970569121532
Anaerobutyricum	0.779373654826894	2.13834694096967e-05	0.99970569121532
Anaerococcus	0.719843485535298	1.66025765031884e-05	0.99970569121532
Anaerocolumna	0.919910926092026	3.54493782106347e-06	0.99970569121532
Anaerohalosphaera	0.49158430354467	3.86709626730054e-05	0.99970569121532
Anaerolinea	0.834226409872567	-1.06922068044097e-05	0.99970569121532
Anaeromyxobacter	0.906368121323434	7.16163555242082e-06	0.99970569121532
Anaerostipes	0.192635737492862	9.37038758735129e-05	0.99970569121532
Anaerotignum	0.837104651085206	9.97202067881924e-06	0.99970569121532
Anaplasma	0.644233824566524	2.83328234398118e-05	0.99970569121532
Ancylobacter	0.958068190880655	3.28143785598774e-06	0.99970569121532
Aneurinibacillus	0.852554971188436	-7.72089206099808e-06	0.99970569121532
Anoxybacillus	0.610025963234246	2.18128902150735e-05	0.99970569121532
Anoxybacter	0.370593005063279	-3.88612546085632e-05	0.99970569121532
Anseongella	0.493089297652787	-3.13988041760254e-05	0.99970569121532
Antarcticibacterium	0.796270030495364	1.10510837491343e-05	0.99970569121532
Antarctobacter	0.912244473050654	-6.1333546839808e-06	0.99970569121532
Apibacter	0.827566982400931	-1.33084118651768e-05	0.99970569121532
Aquabacterium	0.7488851762485	-1.66418577069369e-05	0.99970569121532
Aquaspirillum	0.511463646661334	4.2520772088262e-05	0.99970569121532
Aquicella	0.333169811173852	4.90394120297938e-05	0.99970569121532
Aquifex	0.683857648254097	2.82815390871921e-05	0.99970569121532
Aquiflexum	0.161573088292814	6.13474202110122e-05	0.99970569121532
Aquimarina	0.952649482889939	-3.09532918724419e-06	0.99970569121532
Aquisphaera	0.591807045847661	3.154695330559e-05	0.99970569121532
Aquitalea	0.633748453159082	2.08710333122056e-05	0.99970569121532
Arabia	0.775581936201124	-2.33495931189448e-05	0.99970569121532
Arachidicoccus	0.785960597977432	-1.1659743410158e-05	0.99970569121532
Arcanobacterium	0.484360146566382	4.51520536579861e-05	0.99970569121532
Archaeoglobus	0.229196624431616	6.23844113677664e-05	0.99970569121532
Archangium	0.746436558325607	1.8928907529158e-05	0.99970569121532
Arcobacter	0.726142674460596	1.57547102652185e-05	0.99970569121532
Arcticibacterium	0.455810449201511	3.20589395819598e-05	0.99970569121532
Arenibacter	0.504052987428062	3.30271636032772e-05	0.99970569121532
Arenimonas	0.850325259476101	-1.32507083607237e-05	0.99970569121532
Aromatoleum	0.282999449274327	7.93577320657523e-05	0.99970569121532
Arsenicicoccus	0.942676228904761	-4.8967643639549e-06	0.99970569121532
Arsenophonus	0.891687641689947	7.26846857093462e-06	0.99970569121532
Arthrobacter	0.895637110199707	-6.37483072356197e-06	0.99970569121532
Arthrospira	0.913865000922114	-6.89490248321576e-06	0.99970569121532
Asaia	0.347764132460508	5.59692798505601e-05	0.99970569121532
Aspergillus	0.326333066356616	4.07368676423661e-05	0.99970569121532
Asticcacaulis	0.925915701042765	6.20489300527421e-06	0.99970569121532
Athalassotoga	0.412382500720236	5.23736418339924e-05	0.99970569121532
Atlantibacter	0.860069111155743	1.07225062085672e-05	0.99970569121532
Atopobium	0.296434243974337	5.57230760421393e-05	0.99970569121532
Aurantimicrobium	0.474183884799731	-3.36682391302561e-05	0.99970569121532
Auraticoccus	0.753221594677754	-2.09444530795954e-05	0.99970569121532
Aureimonas	0.780342299890791	1.96786380379488e-05	0.99970569121532
Aureitalea	0.334974016160397	-5.84951850929802e-05	0.99970569121532
Auricoccus	0.883878553857304	7.42474826560489e-06	0.99970569121532
Auritidibacter	0.631354445521142	2.56481820549864e-05	0.99970569121532
Austwickia	0.366110498936526	-4.83144208811068e-05	0.99970569121532
Avibacterium	0.546503556275526	-3.13703666661267e-05	0.99970569121532
Azoarcus	0.589694118447544	2.67004298237631e-05	0.99970569121532
Azorhizobium	0.839703780754613	1.1831163727225e-05	0.99970569121532
Azospira	0.509281574082258	-3.31256436669668e-05	0.99970569121532
Azospirillum	0.799311982565459	1.3508866037783e-05	0.99970569121532
Azotobacter	0.874630060541457	7.83690333745712e-06	0.99970569121532
Bacillus	0.998484607533833	-6.80717506615625e-08	0.99970569121532
Bacterioplanes	0.173419659815397	7.1108062379089e-05	0.99970569121532
Bacteriovorax	0.921751729175444	5.19107167545334e-06	0.99970569121532
Bacteroides	0.7876397607069	2.88717385924688e-05	0.99970569121532
Baekduia	0.694271506593389	2.77732486693673e-05	0.99970569121532
