p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.375825968891268	0.152483813251693	0.174814100772404	0.0244127209234075	0.67359072701196	0.991543619302698	0.97969922588252
Acaryochloris	0.215378997609893	0.220787494726026	0.231916393858745	-0.0403956932196535	0.550139496752127	0.991543619302698	0.97969922588252
Acetoanaerobium	0.798520228363014	0.755161549022613	0.779765876816504	0.0079871388852302	0.926438907116644	0.991543619302698	0.97969922588252
Acetobacter	0.207032190044742	0.377532098572424	0.32283869929429	-0.03384007286631	0.543573503377385	0.991543619302698	0.97969922588252
Acetobacterium	0.538093734956401	0.687599700517494	0.648549302544602	-0.0142434480623371	0.77777817146487	0.991543619302698	0.97969922588252
Acetohalobium	0.370956172756854	0.447251410314243	0.527235868921891	0.0264589750483482	0.670646751151927	0.991543619302698	0.97969922588252
Acetomicrobium	0.865279273825768	0.716915418593795	0.790747180668945	-0.00693711481862234	0.950458528387178	0.991543619302698	0.97969922588252
Acholeplasma	0.923731275292395	0.827675898063262	0.863943897099482	-0.00286937691287127	0.975159703471362	0.991543619302698	0.991027364488958
Achromobacter	0.155134786060796	0.73015338980459	0.615562444805655	-0.0457168068421422	0.497991018809163	0.991543619302698	0.97969922588252
Acidaminococcus	0.342495913583472	0.645060192914612	0.692452478687624	-0.0392959144770715	0.643259131814337	0.991543619302698	0.97969922588252
Acidianus	0.738786310036559	0.0400565855073923	0.0475956921053387	0.0115449820324168	0.900825932942612	0.991543619302698	0.97969922588252
Acidibrevibacterium	0.700471599033831	0.768836531677091	0.742908417972779	-0.0175707321149836	0.881500270524143	0.991543619302698	0.97969922588252
Acidiferrobacter	0.134767922355101	0.802633053406022	0.666487338177859	-0.0565894496344864	0.48760322966368	0.991543619302698	0.97969922588252
Acidihalobacter	0.037517800588165	0.502520907310997	0.377232273476238	-0.0659159152575294	0.390010624718832	0.991543619302698	0.97969922588252
Acidilobus	0.732167336578982	0.169197494402951	0.160270314852991	-0.0127721082128191	0.900825932942612	0.991543619302698	0.97969922588252
Acidimicrobium	0.99659033044117	0.0968885811442975	0.0965535484430565	0.000174508898270742	0.998279850648371	0.991543619302698	0.97969922588252
Acidiphilium	0.0392721214055633	0.307183382026922	0.227531548903843	-0.0788827354894338	0.396736723690654	0.991543619302698	0.97969922588252
Acidipropionibacterium	0.13761114277018	0.540267649026789	0.434614609768084	-0.048234815211489	0.48760322966368	0.991543619302698	0.97969922588252
Acidisarcina	0.369040378399313	0.709908140747795	0.662608267012509	-0.0313031806118312	0.66853515357444	0.991543619302698	0.97969922588252
Acidithiobacillus	0.742193162274363	0.743249783636324	0.6811877084357	-0.00957146787696616	0.90213553646945	0.991543619302698	0.97969922588252
Acidobacterium	0.000483389864151205	0.709126132028362	0.457276119056524	-0.121012172607019	0.293572253189306	0.991543619302698	0.97969922588252
