p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.417687397688444	0.371537153594507	0.373148604230225	-0.022236245546266	0.994277936657686	0.996941462705144	0.999156335486192
Acaryochloris	0.747994033850219	0.867575612869761	0.824211585768945	0.00888759556311371	0.994277936657686	0.996941462705144	0.999156335486192
Acetoanaerobium	0.132768342644241	0.885115351218673	0.87563322557218	-0.0421248562795812	0.994277936657686	0.996941462705144	0.999156335486192
Acetobacter	0.774245112612632	0.755984678994292	0.790135183663582	-0.00575511670658824	0.994277936657686	0.996941462705144	0.999156335486192
Acetobacterium	0.592473698074089	0.248779260885856	0.268315940497742	-0.0099605761803622	0.994277936657686	0.996941462705144	0.999156335486192
Acetohalobium	0.721894232554851	0.13171900305781	0.126861026347679	-0.00892556315072211	0.994277936657686	0.996941462705144	0.999156335486192
Acetomicrobium	0.793486978952276	0.692302817075009	0.728806819927313	-0.00759994296808632	0.994277936657686	0.996941462705144	0.999156335486192
Acholeplasma	0.193887918162943	0.902605171322645	0.961948996021789	-0.0367658524241862	0.994277936657686	0.996941462705144	0.999375526934587
Achromobacter	0.522856157969113	0.839036649437082	0.80370599345054	0.0153058439349568	0.994277936657686	0.996941462705144	0.999156335486192
Acidaminococcus	0.524853516495418	0.852327845849979	0.773111056684185	-0.0252310919630374	0.994277936657686	0.996941462705144	0.999156335486192
Acidianus	0.218074882809305	0.963497231812428	0.920768399383184	-0.0375976006614082	0.994277936657686	0.99816671193389	0.999156335486192
Acidibrevibacterium	0.422408550689574	0.414926831600957	0.47289461375158	0.0268409002653953	0.994277936657686	0.996941462705144	0.999156335486192
Acidiferrobacter	0.865885189143981	0.880166467648891	0.923305658962823	-0.00502193085444623	0.994277936657686	0.996941462705144	0.999156335486192
Acidihalobacter	0.674024749921482	0.456756242807677	0.428656589687918	0.0118477518413979	0.994277936657686	0.996941462705144	0.999156335486192
Acidilobus	0.376792352334358	0.658208710164788	0.570247261961345	-0.0271390838777747	0.994277936657686	0.996941462705144	0.999156335486192
Acidimicrobium	0.756292630348147	0.0301260049154919	0.0324962361055921	-0.00994280263923465	0.994277936657686	0.996941462705144	0.999156335486192
Acidiphilium	0.616854842571641	0.21787142857364	0.200095002979365	0.0139884459591468	0.994277936657686	0.996941462705144	0.999156335486192
Acidipropionibacterium	0.588565226976272	0.971141902820721	0.945868912175414	0.0123391897851139	0.994277936657686	0.99816671193389	0.999156335486192
Acidisarcina	0.682692519047013	0.149868741657285	0.185396942457731	0.00952194436994698	0.994277936657686	0.996941462705144	0.999156335486192
Acidithiobacillus	0.699404920078678	0.552985843814009	0.560660440935808	-0.0093519475747338	0.994277936657686	0.996941462705144	0.999156335486192
Acidobacterium	0.961868314982788	0.884859647850781	0.891335642777398	0.00133716198275958	0.994481288458557	0.996941462705144	0.999156335486192
