p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.97513730045651	0.280136452474841	0.430841905172183	-0.0680738770273004	0.999537462923257	0.857809539447592	0.905940537726306
Acaryochloris	0.80045242306096	0.403013333938748	0.104136567824432	-0.619691929739013	0.999537462923257	0.913432636210211	0.644892441671288
Acetoanaerobium	0.613646247914618	0.0415979467441991	0.0953725639504511	-1.03906082760123	0.999537462923257	0.528122006023369	0.644703937108195
Acetobacter	0.701314665108724	0.775322289162366	0.535649272605939	-0.630474513928626	0.999537462923257	0.990742098810426	0.942624024828536
Acetobacterium	0.771055150257794	0.551957704872545	0.416952939988098	0.425856007261114	0.999537462923257	0.952534083526437	0.905061746762061
Acetohalobium	0.972816084714621	0.0965257011785943	0.137685131339952	-0.0687539212225322	0.999537462923257	0.646758349844589	0.713211703980514
Acetomicrobium	0.700667679431311	0.287808721884957	0.412913671434546	-0.851806791648949	0.999537462923257	0.857809539447592	0.905061746762061
Acholeplasma	0.837044533278679	0.349262594322851	0.251087086662121	0.443887554344591	0.999537462923257	0.879896662013837	0.82849903001764
Achromobacter	0.680021566180635	0.804527492506973	0.752613620972883	0.84401010652431	0.999537462923257	0.990742098810426	0.974604799490045
Acidaminococcus	0.924770801479403	0.204621877230927	0.474314055990178	0.324882717466486	0.999537462923257	0.799276284642201	0.927374695263857
Acidianus	0.687298214157239	0.282342434810821	0.262048737676472	0.896285195196839	0.999537462923257	0.857809539447592	0.8291625467733
Acidibrevibacterium	0.717462985676718	0.548184066686004	0.727456413852517	0.988163041741711	0.999537462923257	0.952534083526437	0.970957354016985
Acidiferrobacter	0.456826248235816	0.396499190127525	0.185274881724427	-1.79991223217278	0.999537462923257	0.911593306261259	0.77715389376188
Acidihalobacter	0.8663664981301	0.787576594512506	0.594407685014608	0.39884626552749	0.999537462923257	0.990742098810426	0.956827492689679
Acidilobus	0.627398760716404	0.802255705036731	0.314503480373858	1.27554496340532	0.999537462923257	0.990742098810426	0.865058956561335
Acidimicrobium	0.66034246760067	0.885325182913341	0.819191149842125	1.3040526562679	0.999537462923257	0.992564535752872	0.9862267611491
Acidiphilium	0.814200462545989	0.724456900361219	0.908983273195271	0.546161581025221	0.999537462923257	0.990742098810426	0.990324428939356
Acidipropionibacterium	0.386343487003841	0.40085741010551	0.400846398219617	1.79607356764646	0.999537462923257	0.91311059079573	0.905061746762061
Acidisarcina	0.102421549021662	0.22967301814192	0.375581851355028	-3.05391619639383	0.999537462923257	0.833438193622507	0.894291339181067
Acidithiobacillus	0.87853916050265	0.78176969883861	0.826318991481674	-0.322107619778593	0.999537462923257	0.990742098810426	0.988819181110846
Acidobacterium	0.684726594211723	0.827962440986224	0.856712685664933	-1.00463360684577	0.999537462923257	0.990742098810426	0.990324428939356
Acidothermus	0.222193277107467	0.360586585168684	0.0599812396210397	-2.21699003161295	0.999537462923257	0.893475624469219	0.583187161315435
Acidovorax	0.778194573779144	0.521824867704275	0.545878353328348	0.613967240233885	0.999537462923257	0.950282705751995	0.949086084409479
Aciduliprofundum	0.436456132277911	0.461907703243062	0.427191696954967	1.78145457219103	0.999537462923257	0.940105666782523	0.905846179921228
Acinetobacter	0.914791469902651	0.107895417652469	0.0959978317618471	-0.156753440429859	0.999537462923257	0.666688049544481	0.644703937108195
Actinoalloteichus	0.778892037953231	0.880106592998835	0.799274257486272	0.629155451423081	0.999537462923257	0.992564535752872	0.980853005438331
Actinobacillus	0.727489990698412	0.209321006270488	0.383460658678772	0.551415349862675	0.999537462923257	0.80359502192683	0.89490971123492
Actinobaculum	0.933053435380407	0.790914777855503	0.785324252941852	-0.164344004745109	0.999537462923257	0.990742098810426	0.977263317848053
Actinomadura	0.820104434617171	0.677488236283152	0.710018332527247	0.567900868349959	0.999537462923257	0.982560109571756	0.969641404521733
Actinomyces	0.525874821751529	0.782444775220256	0.764615379213255	-1.15884844931341	0.999537462923257	0.990742098810426	0.974604799490045
Actinoplanes	0.787356526655665	0.569501131056539	0.579365390503839	0.672388479698451	0.999537462923257	0.953509615355107	0.954166745089936
