p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.738426577139989	0.870621702960539	0.777096288809501	0.00864704656032007	0.866259112461272	0.990362794739428	0.999796129466016
Acaryochloris	0.341025539973054	0.393201197600942	0.213654766777234	0.0274286454249856	0.618379793555801	0.990362794739428	0.999796129466016
Acetoanaerobium	0.768215124742474	0.443830664602903	0.958131336369604	0.00768741942747504	0.890691418123323	0.990362794739428	0.999796129466016
Acetobacter	0.0892677081131134	0.403566355475396	0.930909301453304	0.0361628487250921	0.410937669794573	0.990362794739428	0.999796129466016
Acetobacterium	0.257985822188495	0.565305411287407	0.716014727040269	0.0214093545637119	0.556732925052439	0.990362794739428	0.999796129466016
Acetohalobium	0.5771949213665	0.332752961210773	0.99976544314716	-0.014212959213811	0.775936035023583	0.990362794739428	0.999796129466016
Acetomicrobium	0.202450321832417	0.732383864040478	0.902012871506032	0.0394041751960664	0.510682728978066	0.990362794739428	0.999796129466016
Acholeplasma	0.317192778927296	0.958791782905699	0.665727072278271	0.0257644916063234	0.601290153789432	0.991334731837929	0.999796129466016
Achromobacter	0.0966433093169874	0.517046229079356	0.973759898434955	0.0435590838159881	0.421238711114102	0.990362794739428	0.999796129466016
Acidaminococcus	0.215294681902029	0.246247600936843	0.562886773179612	0.0490214485346761	0.523047200287169	0.990362794739428	0.999796129466016
Acidianus	0.968997186062939	0.91782967895866	0.70820378233903	-0.00119029494354292	0.987207269855693	0.991334731837929	0.999796129466016
Acidibrevibacterium	0.282852692764746	0.459769680454349	0.480080286400265	0.0373219528143268	0.571352166345922	0.990362794739428	0.999796129466016
Acidiferrobacter	0.0949295194232048	0.473697693256175	0.648083119434493	0.0543290134461229	0.420368589723053	0.990362794739428	0.999796129466016
Acidihalobacter	0.0183715769127354	0.473472255615117	0.960087256705193	0.0658382561812717	0.346379156620822	0.990362794739428	0.999796129466016
Acidilobus	0.191920612698838	0.266155068119146	0.842224128689595	0.0412229493750814	0.497585094890417	0.990362794739428	0.999796129466016
Acidimicrobium	0.823516461697212	0.385412488045578	0.402285565992798	0.00787249767573177	0.921946777206703	0.990362794739428	0.999796129466016
Acidiphilium	0.042001499073538	0.276535502485732	0.504081488366935	0.0619766547210043	0.375040223061818	0.990362794739428	0.999796129466016
Acidipropionibacterium	0.154895046805986	0.216844315925865	0.719350738440762	0.0376742704697076	0.466967434035832	0.990362794739428	0.999796129466016
Acidisarcina	0.90126622030111	0.303570307199805	0.269357131253709	-0.00330012389383635	0.958469034615531	0.990362794739428	0.999796129466016
Acidithiobacillus	0.353253418453687	0.443429843867506	0.732201285668767	0.0233987149531918	0.62388668456963	0.990362794739428	0.999796129466016
Acidobacterium	0.00562103080753986	0.0266782877374382	0.179927714531953	0.0831699523856929	0.326871666369983	0.990362794739428	0.999796129466016
Acidothermus	0.951658339028432	0.934406924052226	0.184380352846731	-0.00170311773158848	0.978165262224556	0.991334731837929	0.999796129466016
Acidovorax	0.0613108248400175	0.587365486258202	0.84738582525691	0.0513171424260361	0.400639899820383	0.990362794739428	0.999796129466016
Aciduliprofundum	0.0978180219985758	0.80312346639512	0.364696077385682	0.0486496964901226	0.421238711114102	0.990362794739428	0.999796129466016
Acinetobacter	0.294873582823154	0.960267271105323	0.885250719794181	0.0191906371168388	0.581619448368933	0.991334731837929	0.999796129466016
Actinoalloteichus	0.135399162039729	0.786496309470244	0.955792603976046	0.0453476914414647	0.449608789904884	0.990362794739428	0.999796129466016
Actinobacillus	0.317726901850666	0.612167334147381	0.99753859467354	0.0222866548288244	0.601290153789432	0.990362794739428	0.999796129466016
Actinobaculum	0.517816240918413	0.700566778520091	0.408149413952206	0.0167999370015941	0.739914740417764	0.990362794739428	0.999796129466016
