p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.364057009560782	0.745052186286018	0.480814973736002	-0.0361590422614979	0.695088570015196	0.927556270887743	0.986557464087323
Acaryochloris	0.103313213649852	0.624286509438253	0.93488859816363	0.0748591839457843	0.492470896199586	0.883558153579225	0.999769871838462
Acetoanaerobium	0.79569531005817	0.725620870107131	0.88079768318308	-0.0112594552424142	0.925652439856422	0.919782793991903	0.999769871838462
Acetobacter	0.149882495480081	0.241711320068878	0.495033740543488	0.0521831927381884	0.520659775560904	0.655913135307984	0.986557464087323
Acetobacterium	0.672124272168571	0.37128096000244	0.444920902727098	0.0135236588466025	0.875270709559793	0.731051868704097	0.986557464087323
Acetohalobium	0.32488623140219	0.638984990562368	0.818785701138821	-0.0415388121253726	0.659110408821687	0.889606340946362	0.999769871838462
Acetomicrobium	0.437281737848298	0.389471503256318	0.780430531562393	0.0423262296338758	0.738611985223483	0.742028242093241	0.999769871838462
Acholeplasma	0.954173282165241	0.875177417142459	0.710145393123759	0.0023538229469483	0.990870262355068	0.960371912022586	0.999769871838462
Achromobacter	0.181498623465421	0.138547125401019	0.355105521805513	0.0593646685228537	0.554975815925232	0.611549121319861	0.986557464087323
Acidaminococcus	0.488345412885617	0.451273274034235	0.474859949646006	0.0435964635220655	0.764084236792414	0.781679645802096	0.986557464087323
Acidianus	0.300025979664262	0.480471887280817	0.578988742936403	-0.0539763454876495	0.645904305197791	0.798398749547349	0.986557464087323
Acidibrevibacterium	0.880270864096529	0.958118236936809	0.971862336542827	0.00865870226956628	0.966175448433566	0.986243497313373	0.999769871838462
Acidiferrobacter	0.11792897367084	0.248942936248159	0.731791511887227	0.0875428302552952	0.501989157991396	0.658500104603537	0.999769871838462
Acidihalobacter	0.0642834355580305	0.153804839740742	0.625351909789681	0.0823104385610752	0.467492139078522	0.617791652518847	0.989824176806311
Acidilobus	0.381243377120309	0.290523944755753	0.474361302928726	-0.0434713007870412	0.702414419843701	0.671829538728548	0.986557464087323
Acidimicrobium	0.900120916317912	0.62695944009249	0.747481153770075	-0.0072697911627207	0.969826106009711	0.883558153579225	0.999769871838462
Acidiphilium	0.0441215138102019	0.123120755546356	0.364051157895833	0.105577752207612	0.465850394404299	0.597111456750578	0.986557464087323
Acidipropionibacterium	0.187261040995026	0.0475853193931659	0.194913029248376	0.0589520699450749	0.555415718433436	0.552034309990145	0.986557464087323
Acidisarcina	0.34929335642696	0.996821337263704	0.778898647613427	0.0439890650146323	0.681299892404847	0.997523078901795	0.999769871838462
Acidithiobacillus	0.766474735316587	0.33514048141543	0.711641740082322	0.0122354937783773	0.91756888650628	0.708929975138219	0.999769871838462
Acidobacterium	0.000642963564437571	0.000821527253189022	0.0125726548080059	0.166236178067899	0.46394492328684	0.551941205165275	0.986557464087323
Acidothermus	0.958243145083024	0.923440146568352	0.480641976112043	0.00268459519712196	0.990870262355068	0.980639771429803	0.986557464087323
Acidovorax	0.0929073543298132	0.16781866923063	0.386527990761858	0.0776467912315394	0.480046244237688	0.628389377821949	0.986557464087323
Aciduliprofundum	0.18497305276945	0.939418956643151	0.406294656278833	0.06492681897155	0.555415718433436	0.984574555218148	0.986557464087323
Acinetobacter	0.673133378908061	0.941551634365911	0.905855661317341	0.0128943203320848	0.875270709559793	0.984574555218148	0.999769871838462
Actinoalloteichus	0.139798253171704	0.404765416758385	0.574326080384967	0.078312499493805	0.517276918238396	0.75054367396468	0.986557464087323
Actinobacillus	0.902542719290227	0.73183286405181	0.749941386674565	0.00474734752577497	0.969826106009711	0.921357490350942	0.999769871838462
Actinobaculum	0.991764924737822	0.324358107730878	0.822992318241195	-0.000465124173619239	0.994486185839206	0.69912849967535	0.999769871838462
Actinomadura	0.019718570346392	0.0208689469149969	0.0827560158422053	0.122336873567837	0.46394492328684	0.551941205165275	0.986557464087323
Actinomyces	0.687548032642776	0.269910429835178	0.511632583275814	-0.0243036870037824	0.88005565227669	0.664840975844122	0.986557464087323
Actinoplanes	0.192486874847644	0.196756193748757	0.479401542300808	0.0619295114274989	0.558449018711159	0.634228523633382	0.986557464087323
Actinopolymorpha	0.223083578546532	0.12240673990801	0.357985993933284	0.0656370116411157	0.590521907834898	0.597111456750578	0.986557464087323
Actinopolyspora	0.117187300134462	0.29118525094625	0.325636330672972	0.0896047163046241	0.500353412745949	0.672168276055279	0.986557464087323
Actinosynnema	0.0122320991673109	0.00534140044660692	0.0148213596023668	0.149918339324116	0.46394492328684	0.551941205165275	0.986557464087323
Actinotignum	0.180326750791051	0.179769236615196	0.145996836733481	0.0893456384627535	0.554710678795429	0.634050939320998	0.986557464087323
Adlercreutzia	0.400111502586027	0.974800100558058	0.618145988270816	0.0928165323756942	0.709414745417643	0.989488698883895	0.989824176806311
Advenella	0.460559281627636	0.945567714190692	0.912395486915715	0.0272088592471942	0.752457127700312	0.98483358865092	0.999769871838462
Aequorivita	0.129092987425909	0.519553352782557	0.721938100799485	0.0528776449391653	0.517150146936514	0.827676712491535	0.999769871838462
Aeribacillus	0.566272950218939	0.648439874209545	0.644993879444774	-0.0217583240601671	0.819232890367506	0.893727993036114	0.989824176806311
