p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.350896673898978	0.700253454429421	0.65826025355686	0.00198010663299407	0.710916317928359	0.999918667403482	0.999964951529915
Acaryochloris	0.798062015861025	0.34525441057476	0.158566478655149	-0.000608537308991616	0.899076162704896	0.999918667403482	0.999964951529915
Acetoanaerobium	0.519534816704765	0.614421303878668	0.88791457967145	0.00139241470554862	0.779200988049209	0.999918667403482	0.999964951529915
Acetobacter	0.195352620194002	0.683227772391418	0.823389911177719	0.00225336782975173	0.700654653777532	0.999918667403482	0.999964951529915
Acetobacterium	0.28115201490604	0.929596728859576	0.73645635486732	0.00171004656439746	0.700654653777532	0.999918667403482	0.999964951529915
Acetohalobium	0.551213928159408	0.203951357668682	0.574907543293935	-0.00124073716494292	0.794020654811278	0.999918667403482	0.999964951529915
Acetomicrobium	0.216504643911775	0.983987965681103	0.977261839983728	0.00313943076786499	0.700654653777532	0.999918667403482	0.999964951529915
Acholeplasma	0.353747266032364	0.741978206141397	0.917462547555867	0.00202704003336169	0.710916317928359	0.999918667403482	0.999964951529915
Achromobacter	0.211837963521819	0.786851520555519	0.954381885955433	0.00271847733294629	0.700654653777532	0.999918667403482	0.999964951529915
Acidaminococcus	0.36556248459278	0.627387252224979	0.761457861517329	0.00287493375199488	0.710916317928359	0.999918667403482	0.999964951529915
Acidianus	0.945806545656611	0.967422294560131	0.888904172452148	0.00017368525776879	0.977161544739121	0.999918667403482	0.999964951529915
Acidibrevibacterium	0.123634075330991	0.616066164883974	0.672625645018246	0.00447870691143381	0.700654653777532	0.999918667403482	0.999964951529915
Acidiferrobacter	0.171558487077884	0.440502641061552	0.957874289428717	0.0036986258427386	0.700654653777532	0.999918667403482	0.999964951529915
Acidihalobacter	0.0366812212563257	0.539559191888832	0.836838841327667	0.00485406778011954	0.700654653777532	0.999918667403482	0.999964951529915
Acidilobus	0.175099218066845	0.737173652624664	0.483350862460307	0.003694895152736	0.700654653777532	0.999918667403482	0.999964951529915
Acidimicrobium	0.679459685077232	0.526201569554845	0.663596194683155	0.00125952909862096	0.841987346449176	0.999918667403482	0.999964951529915
Acidiphilium	0.242756489779471	0.273158646635058	0.445789195757242	0.00297661369547883	0.700654653777532	0.999918667403482	0.999964951529915
Acidipropionibacterium	0.408905549259636	0.672345792779348	0.829116060115147	0.00185691124797232	0.72687660377623	0.999918667403482	0.999964951529915
Acidisarcina	0.833615209979854	0.374051344629795	0.606506748306894	-0.000469737622681942	0.914018699961858	0.999918667403482	0.999964951529915
Acidithiobacillus	0.226604040696082	0.478007354116296	0.496582489281892	0.00252897720703567	0.700654653777532	0.999918667403482	0.999964951529915
Acidobacterium	0.0673201480061199	0.168782851583414	0.624810767509847	0.00460608374276393	0.700654653777532	0.999918667403482	0.999964951529915
Acidothermus	0.979421854870372	0.585741096374016	0.565761126943191	-6.10226041811055e-05	0.990495024512773	0.999918667403482	0.999964951529915
Acidovorax	0.181928961657664	0.999468027398956	0.655775538412026	0.00303933740727488	0.700654653777532	0.999918667403482	0.999964951529915
Aciduliprofundum	0.30867219690029	0.944961770567299	0.704551211257751	0.00265193920412437	0.707922558273664	0.999918667403482	0.999964951529915
